#1764139953
steps,r,l,t
65,0.0499999999999996,65,0.031599998474121094
723,-12.179999999999888,658,0.3291187286376953
1698,-19.450000000000152,975,0.7812800407409668
2682,-21.740000000000197,984,1.2382638454437256
2765,-1.5299999999999965,83,1.2760848999023438
3637,-18.92000000000014,872,1.6789088249206543
3744,-1.3699999999999954,107,1.7264821529388428
4114,-6.399999999999955,370,1.8987407684326172
4173,0.10999999999999976,59,1.9251198768615723
4667,-10.539999999999912,494,2.1549205780029297
5245,-10.379999999999903,578,2.4290618896484375
5734,-9.689999999999925,489,2.6807000637054443
6557,-18.430000000000113,823,3.06764817237854
6963,-7.25999999999995,406,3.255964994430542
7274,-6.409999999999964,311,3.3995015621185303
8094,-14.19999999999986,820,3.7885899543762207
9094,-19.200000000000056,1000,4.257868528366089
9682,-11.5799999999999,588,4.540184259414673
10682,-20.70000000000008,1000,5.029443025588989
11062,-7.199999999999951,380,5.208431720733643
11749,-14.369999999999868,687,5.54055118560791
12258,-6.789999999999934,509,5.782367467880249
13130,-17.620000000000054,872,6.226327180862427
14130,-24.100000000000218,1000,6.723153591156006
14251,-2.0099999999999882,121,6.783854961395264
14615,-7.439999999999946,364,6.975659132003784
15615,-28.600000000000428,1000,7.476618528366089
16615,-30.00000000000036,1000,7.977980136871338
17158,-12.529999999999903,543,8.250498294830322
18158,-26.800000000000416,1000,8.759198665618896
19158,-27.900000000000365,1000,9.287698030471802
20042,-20.940000000000197,884,9.849062442779541
21042,-28.00000000000033,1000,12.598128080368042
22042,-25.100000000000225,1000,15.28102707862854
22149,-0.9700000000000011,107,15.57191777229309
23149,-25.60000000000025,1000,18.2779643535614
23559,-7.399999999999935,410,19.37141251564026
24559,-23.800000000000313,1000,22.134570121765137
25559,-16.69999999999983,1000,24.964747667312622
25813,-3.539999999999968,254,25.72846531867981
25947,-1.3399999999999965,134,26.111702919006348
26303,-3.95999999999996,356,27.1175434589386
26419,-3.559999999999987,116,27.449111461639404
26682,-3.7299999999999773,263,28.17727565765381
