#1763845316
steps,r,l,t
100,-1.8000000000000012,100,0.0556485652923584
200,-2.499999999999998,100,0.11676645278930664
300,-2.100000000000001,100,0.18401122093200684
400,-2.0999999999999996,100,0.2385871410369873
500,-2.299999999999999,100,0.2937605381011963
600,-2.1,100,0.3577697277069092
700,-2.3999999999999995,100,0.42672252655029297
800,-1.2000000000000008,100,0.4815821647644043
900,-1.700000000000001,100,0.5837388038635254
1000,-1.700000000000001,100,0.6431353092193604
1100,-2.399999999999997,100,0.6977646350860596
1200,-1.800000000000001,100,0.7617576122283936
1300,-2.1999999999999993,100,0.817744255065918
1400,-2.1999999999999966,100,0.8787164688110352
1500,-2.0999999999999988,100,0.9449286460876465
1600,-1.6000000000000008,100,1.008725643157959
1700,-1.9000000000000012,100,1.062866449356079
1800,-1.7000000000000013,100,1.1193408966064453
1900,-3.39999999999999,100,1.1787047386169434
2000,-1.4000000000000008,100,1.2392005920410156
2100,-2.4999999999999973,100,1.3010718822479248
2200,-1.600000000000001,100,1.354964256286621
2300,-1.9000000000000008,100,1.4080936908721924
2400,-2.000000000000001,100,1.4578335285186768
2500,-1.800000000000001,100,1.5052924156188965
2600,-2.1000000000000005,100,1.5530028343200684
2700,-1.600000000000001,100,1.59812331199646
2800,-2.1999999999999997,100,1.6445410251617432
2900,-2.000000000000001,100,1.69378662109375
3000,-2.3000000000000007,100,1.740776538848877
3100,-2.9999999999999942,100,1.78920578956604
3200,-1.9000000000000008,100,1.8391077518463135
3300,-1.7000000000000008,100,1.8875536918640137
3400,-1.600000000000001,100,1.9359221458435059
3500,-2.000000000000001,100,1.98543119430542
3600,-2.599999999999994,100,2.0345983505249023
3700,-2.2000000000000006,100,2.084242343902588
3800,-1.5000000000000009,100,2.133657217025757
3900,-1.9000000000000012,100,2.1825504302978516
4000,-2.0000000000000013,100,2.2343039512634277
4100,-2.9999999999999956,100,2.2833266258239746
4200,-1.900000000000001,100,2.3353865146636963
4244,0.05999999999999983,44,2.35874342918396
4344,-2.799999999999995,100,2.4068853855133057
4444,-2.100000000000001,100,2.4571688175201416
4544,-2.1999999999999966,100,2.5069262981414795
4644,-2.299999999999999,100,2.5549988746643066
