#1764277114
steps,r,l,t
200,-3.9999999999999805,200,0.040212392807006836
400,-2.699999999999991,200,0.07997393608093262
600,-4.8999999999999755,200,0.11867618560791016
676,-0.6600000000000008,76,0.13431930541992188
876,-5.599999999999996,200,0.17249727249145508
1076,-4.999999999999983,200,0.2128591537475586
1276,-4.699999999999981,200,0.25300025939941406
1476,-3.699999999999979,200,0.2920103073120117
1676,-5.099999999999981,200,0.3313758373260498
1876,-3.2999999999999843,200,0.36945486068725586
2076,-3.7999999999999825,200,0.40932130813598633
2276,-4.699999999999973,200,0.44890308380126953
2476,-4.799999999999983,200,0.49361324310302734
2676,-3.0999999999999894,200,0.5393862724304199
2876,-3.8999999999999826,200,0.5836002826690674
3076,-4.999999999999984,200,0.628197193145752
3276,-5.499999999999987,200,0.6729123592376709
3476,-4.3999999999999835,200,0.7149906158447266
3676,-4.499999999999979,200,0.7568161487579346
3876,-4.499999999999981,200,0.7989697456359863
4076,-4.899999999999985,200,0.8405148983001709
4276,-4.099999999999983,200,0.8817038536071777
4476,-3.799999999999984,200,0.923426628112793
4676,-3.999999999999983,200,0.9651072025299072
4876,-3.3999999999999777,200,1.008399248123169
5076,-5.299999999999988,200,1.0522706508636475
5276,-3.2999999999999887,200,1.0929627418518066
5476,-4.499999999999983,200,1.13435959815979
5597,-0.8100000000000012,121,1.1612322330474854
5797,-3.5999999999999823,200,1.2027509212493896
5997,-3.9999999999999782,200,1.2423217296600342
6197,-3.7999999999999807,200,1.2870361804962158
6397,-4.699999999999976,200,1.3314321041107178
6597,-4.299999999999979,200,1.376302719116211
6797,-3.999999999999979,200,1.4183645248413086
6997,-4.399999999999977,200,1.4623134136199951
7197,-4.299999999999982,200,1.5066537857055664
7397,-3.4999999999999827,200,1.5497136116027832
7597,-4.6999999999999815,200,1.5955140590667725
7797,-2.5999999999999908,200,1.6387526988983154
7997,-3.9999999999999756,200,1.682103157043457
8197,-5.0999999999999766,200,1.7290151119232178
8397,-3.4999999999999867,200,1.774040699005127
8597,-5.099999999999976,200,1.8200654983520508
8797,-3.799999999999987,200,1.8677570819854736
8997,-3.6999999999999837,200,1.9141361713409424
9197,-4.599999999999984,200,1.9638328552246094
9397,-5.19999999999998,200,2.007526159286499
9597,-5.399999999999989,200,2.0518128871917725
9797,-5.099999999999982,200,2.095104217529297
9997,-4.899999999999981,200,2.140740156173706
10197,-6.9999999999999885,200,2.1910626888275146
10397,-5.29999999999998,200,2.238827705383301
10597,-4.599999999999977,200,2.2829723358154297
10797,-5.199999999999978,200,2.329998016357422
10997,-4.199999999999982,200,2.374873638153076
11197,-4.199999999999984,200,2.4205820560455322
11368,-2.609999999999987,171,2.4582972526550293
11568,-4.699999999999982,200,2.5010721683502197
11768,-5.899999999999983,200,2.548880100250244
11968,-4.899999999999978,200,2.5939393043518066
12168,-4.899999999999988,200,2.6433451175689697
12368,-3.6999999999999873,200,2.6914427280426025
12568,-4.499999999999984,200,2.740231513977051
12768,-5.099999999999982,200,2.7876064777374268
12968,-2.8999999999999897,200,2.833214521408081
13168,-4.699999999999974,200,2.883542060852051
13368,-4.699999999999989,200,2.930335760116577
13568,-3.7999999999999847,200,2.979196310043335
13768,-5.299999999999981,200,3.026275634765625
13968,-4.1999999999999815,200,3.0715129375457764
14168,-4.699999999999979,200,3.118453025817871
14296,-2.67999999999999,128,3.1522021293640137
14496,-4.099999999999981,200,3.2019460201263428
14696,-4.899999999999985,200,3.2503340244293213
14896,-3.7999999999999856,200,3.2995121479034424
15096,-4.299999999999979,200,3.3503005504608154
15296,-4.999999999999975,200,3.3985579013824463
15496,-5.299999999999977,200,3.4515249729156494
15696,-4.199999999999982,200,3.4988434314727783
15896,-3.399999999999982,200,3.5496065616607666
16096,-6.599999999999985,200,3.6053011417388916
16296,-3.199999999999984,200,3.656193733215332
16496,-4.099999999999988,200,3.704294204711914
16627,-3.20999999999999,131,3.735942840576172
16827,-5.099999999999983,200,3.782707929611206
17027,-3.3999999999999844,200,3.83038330078125
17227,-5.499999999999979,200,3.8797812461853027
17427,-4.899999999999982,200,3.9308393001556396
17627,-4.899999999999981,200,3.980862855911255
17827,-5.899999999999981,200,4.03148341178894
18027,-4.699999999999982,200,4.077409029006958
18227,-4.899999999999978,200,4.125351905822754
18427,-6.299999999999984,200,4.173591136932373
18627,-6.099999999999978,200,4.226808071136475
18827,-4.399999999999976,200,4.277898788452148
19027,-4.899999999999983,200,4.332382678985596
19227,-3.999999999999978,200,4.381648540496826
19297,-0.7000000000000008,70,4.396913766860962
19497,-4.799999999999978,200,4.449313163757324
19697,-5.099999999999979,200,4.501322984695435
19897,-5.699999999999981,200,4.549784421920776
20097,-5.599999999999982,200,4.766132354736328
20275,-3.579999999999986,178,5.115299224853516
20388,-2.4299999999999926,113,5.345645427703857
20465,-0.17000000000000037,77,5.495630979537964
20569,-1.1400000000000003,104,5.700063943862915
20769,-5.499999999999979,200,6.089641332626343
20969,-6.499999999999992,200,6.46288800239563
21169,-5.499999999999974,200,6.848029613494873
21369,-4.499999999999973,200,7.242685317993164
21569,-3.699999999999984,200,7.636238098144531
21736,-2.2699999999999854,167,7.965275287628174
21936,-4.399999999999986,200,8.365008354187012
22136,-5.099999999999987,200,8.764892339706421
22336,-6.899999999999987,200,9.15978479385376
22536,-5.799999999999973,200,9.556366682052612
22736,-5.7999999999999785,200,9.955056428909302
22936,-3.9999999999999827,200,10.359678745269775
23136,-4.099999999999986,200,10.755716323852539
23336,-3.7999999999999847,200,11.149215936660767
23536,-2.799999999999985,200,11.552579402923584
23736,-2.999999999999984,200,11.949671030044556
23936,-3.4999999999999822,200,12.34673261642456
24136,-4.199999999999979,200,12.747872829437256
24336,-3.6999999999999824,200,13.1539306640625
24389,-0.03000000000000025,53,13.257471799850464
24439,-2.220446049250313e-16,50,13.354035377502441
24639,-3.0999999999999845,200,13.74963092803955
24839,-3.3999999999999875,200,14.145621061325073
25039,-2.7999999999999954,200,14.547786951065063
25239,-2.599999999999988,200,14.945656776428223
25370,-1.010000000000001,131,15.199467420578003
25570,-2.5999999999999885,200,15.59748363494873
25770,-3.9999999999999796,200,15.988234043121338
25862,-0.820000000000001,92,16.171993017196655
26062,-3.2999999999999874,200,16.55656147003174
26262,-3.999999999999988,200,16.952595233917236
26462,-3.599999999999989,200,17.344088792800903
26643,-1.7099999999999975,181,17.696458339691162
26843,-4.29999999999998,200,18.089102745056152
27043,-4.099999999999983,200,18.488020181655884
27190,-1.6699999999999944,147,18.77894115447998
27390,-3.9999999999999782,200,19.170836925506592
27403,0.87,13,19.197253465652466
27466,0.1699999999999997,63,19.32279396057129
27623,-1.569999999999993,157,19.62796902656555
27649,0.43999999999999995,26,19.68377709388733
27712,-0.33000000000000074,63,19.812708377838135
27827,-1.1500000000000001,115,20.030680418014526
27982,-1.349999999999994,155,20.342745065689087
28119,-1.9699999999999929,137,20.613372564315796
28171,-0.12000000000000033,52,20.713660717010498
28270,-1.3899999999999968,99,20.952269315719604
28470,-4.199999999999981,200,21.35207962989807
28558,-0.6800000000000008,88,21.528204679489136
28636,-0.9800000000000009,78,21.6847927570343
28742,-0.8600000000000012,106,21.886908531188965
28942,-3.3999999999999893,200,22.28330636024475
29123,-2.5099999999999785,181,22.64083194732666
29180,-0.17000000000000037,57,22.761488437652588
29253,-0.4300000000000006,73,22.9087495803833
29352,-0.9900000000000011,99,23.108339309692383
29426,-0.840000000000001,74,23.250028371810913
29515,-0.1900000000000006,89,23.442004680633545
29680,-1.8499999999999963,165,23.831072092056274
29802,-0.7200000000000011,122,24.063075304031372
29851,0.5099999999999996,49,24.153180360794067
29964,-1.2300000000000002,113,24.37519097328186
30071,-1.0700000000000005,107,24.58212947845459
30118,0.32999999999999985,47,24.67422342300415
30207,-1.3899999999999972,89,24.84503412246704
30306,-1.0900000000000005,99,25.035361766815186
30499,-2.829999999999985,193,25.40175151824951
30699,-3.6999999999999864,200,25.79244065284729
30800,-0.4100000000000008,101,25.99753999710083
31000,-3.199999999999983,200,26.39625096321106
31177,-2.1699999999999857,177,26.750258922576904
31313,-1.4599999999999957,136,27.022997617721558
