#1764138337
steps,r,l,t
437,-8.969999999999933,437,0.20227384567260742
1437,-22.90000000000025,1000,0.6545627117156982
1516,-1.1900000000000002,79,0.6910498142242432
1792,-3.659999999999977,276,0.8167858123779297
2458,-11.75999999999989,666,1.118577241897583
3402,-19.440000000000108,944,1.5534987449645996
3972,-9.799999999999905,570,1.819382667541504
4174,-3.5199999999999774,202,1.9089908599853516
4326,-2.119999999999993,152,1.9804151058197021
4703,-7.169999999999952,377,2.155975341796875
5356,-13.229999999999887,653,2.4709110260009766
6260,-20.04000000000009,904,2.8859238624572754
6453,-1.8299999999999919,193,2.979487657546997
6751,-5.779999999999972,298,3.115107297897339
7111,-7.299999999999951,360,3.28249454498291
7991,-15.899999999999897,880,3.702570915222168
8991,-23.700000000000337,1000,4.179561376571655
9991,-23.300000000000306,1000,4.6781439781188965
10824,-16.629999999999992,833,5.1047868728637695
11313,-11.189999999999925,489,5.349463701248169
12313,-21.90000000000023,1000,5.86472487449646
13313,-25.60000000000038,1000,6.394676446914673
13466,-2.2299999999999933,153,6.471779823303223
13684,-3.779999999999972,218,6.5768883228302
14684,-26.100000000000207,1000,7.103940010070801
15684,-26.200000000000404,1000,7.6252052783966064
16684,-23.20000000000016,1000,8.149569034576416
16764,-1.1000000000000003,80,8.188795804977417
17228,-8.239999999999938,464,8.427109241485596
17519,-5.409999999999972,291,8.590404748916626
17646,-1.6699999999999953,127,8.655164003372192
18646,-29.600000000000495,1000,9.196964025497437
19524,-29.98000000000043,878,9.6516752243042
20524,-29.80000000000039,1000,11.3744797706604
20678,-2.9399999999999844,154,11.825751304626465
20881,-4.12999999999998,203,12.376354932785034
20983,-1.4199999999999997,102,12.65448784828186
21983,-24.900000000000286,1000,15.467533588409424
22057,-0.5400000000000009,74,15.67317533493042
22523,-7.559999999999938,466,16.951926708221436
22600,-0.2700000000000007,77,17.174293518066406
22756,-2.5599999999999863,156,17.601149797439575
22842,-0.36000000000000054,86,17.83445453643799
23842,-17.499999999999893,1000,20.57051110267639
24616,-13.239999999999858,774,23.1195650100708
25036,-6.599999999999945,420,24.533937692642212
25434,-5.87999999999995,398,25.94773244857788
25794,-5.599999999999953,360,27.147830963134766
26016,-3.119999999999976,222,27.842286109924316
26253,-2.569999999999986,237,28.653740882873535
