#1763791071
r,l,t
-6.299999999999978,200,0.10648202896118164
-5.899999999999982,200,0.21282529830932617
-5.7999999999999785,200,0.31665563583374023
-5.499999999999985,200,0.4217064380645752
-8.099999999999989,200,0.5313608646392822
-5.4999999999999805,200,0.635573148727417
-5.499999999999982,200,0.7414910793304443
-5.699999999999981,200,0.8461863994598389
-4.599999999999979,200,0.9572300910949707
-7.599999999999987,200,1.0655274391174316
-6.699999999999983,200,1.1730802059173584
-8.299999999999995,200,1.2783007621765137
-4.799999999999979,200,1.3894853591918945
-6.199999999999983,200,1.4942576885223389
-6.599999999999987,200,1.6061389446258545
-6.799999999999988,200,1.7132046222686768
-6.499999999999986,200,1.8233482837677002
-8.49999999999999,200,1.9325671195983887
-7.099999999999986,200,2.041423797607422
-7.299999999999987,200,2.1503288745880127
-6.2999999999999865,200,2.265723943710327
-9.199999999999987,200,2.381596803665161
-6.199999999999981,200,2.4940905570983887
-4.799999999999978,200,2.611248254776001
-5.79999999999998,200,2.7278683185577393
-7.399999999999989,200,2.8373265266418457
-5.599999999999982,200,2.9451048374176025
-6.299999999999981,200,3.059033155441284
-7.499999999999989,200,3.173593044281006
-6.699999999999989,200,3.2921416759490967
-6.1999999999999815,200,3.407242774963379
-7.499999999999986,200,3.516836643218994
-6.799999999999985,200,3.633526563644409
-6.0999999999999845,200,3.746039390563965
-6.299999999999986,200,3.8610379695892334
-4.699999999999982,200,3.9726295471191406
-6.599999999999985,200,4.087124586105347
-6.299999999999986,200,4.200928211212158
-7.6999999999999895,200,4.319135904312134
-6.999999999999985,200,4.442519903182983
-7.899999999999986,200,4.565687656402588
-7.599999999999992,200,4.677567005157471
-6.299999999999984,200,4.79050874710083
-5.699999999999981,200,4.902646541595459
-6.499999999999987,200,5.019598484039307
-4.499999999999975,200,5.132073402404785
-6.399999999999986,200,5.246108055114746
-6.699999999999991,200,5.360875606536865
-7.599999999999986,200,5.4767656326293945
-6.299999999999983,200,5.596692085266113
-7.59999999999999,200,5.716586351394653
-7.4999999999999885,200,5.841587066650391
-6.0999999999999845,200,5.963745594024658
-6.599999999999983,200,6.080219030380249
-4.699999999999974,200,6.199414491653442
-7.599999999999995,200,6.314574480056763
-5.299999999999978,200,6.4395270347595215
-5.499999999999981,200,6.55754280090332
-8.099999999999989,200,6.6905858516693115
-7.199999999999983,200,6.813990354537964
-7.3999999999999835,200,6.93389630317688
-6.199999999999986,200,7.052991151809692
-6.999999999999984,200,7.177385568618774
-7.199999999999985,200,7.301175355911255
-9.599999999999985,200,7.4246344566345215
-8.29999999999999,200,7.5526368618011475
-7.399999999999985,200,7.679206848144531
-5.19999999999998,200,7.802983522415161
-6.999999999999985,200,7.923215627670288
-7.6999999999999895,200,8.056730031967163
-7.699999999999985,200,8.185620069503784
-5.799999999999985,200,8.309491872787476
-7.399999999999986,200,8.437915802001953
-7.299999999999991,200,8.564822673797607
-8.799999999999988,200,8.681357383728027
-7.49999999999999,200,8.800940752029419
-7.299999999999987,200,8.927438735961914
-6.2999999999999865,200,9.055626153945923
-7.899999999999991,200,9.1757652759552
-5.799999999999978,200,9.28987979888916
-7.899999999999989,200,9.405699014663696
-7.29999999999999,200,9.52411699295044
-8.69999999999999,200,9.646294116973877
-7.899999999999987,200,9.768329381942749
-6.699999999999985,200,9.891632556915283
-6.899999999999987,200,10.045593023300171
-6.699999999999985,200,10.197305679321289
-7.999999999999987,200,10.373590469360352
-9.099999999999987,200,10.530438423156738
-6.499999999999981,200,10.669539213180542
-6.799999999999982,200,10.79154109954834
-7.399999999999989,200,10.915310621261597
-7.699999999999985,200,11.037291526794434
-7.699999999999989,200,11.159886598587036
-6.999999999999989,200,11.28529143333435
-7.499999999999987,200,11.40959119796753
-6.6999999999999815,200,11.533217430114746
-7.499999999999985,200,11.655550241470337
-7.5999999999999925,200,11.770294427871704
-7.899999999999987,200,11.891553401947021
-8.99999999999999,200,12.962871074676514
-8.899999999999988,200,14.05388355255127
-5.699999999999986,200,15.179007768630981
-8.799999999999986,200,16.286341667175293
-9.999999999999986,200,17.383035898208618
-8.699999999999983,200,18.51766037940979
-7.099999999999988,200,19.589489936828613
-8.799999999999986,200,20.671860218048096
-5.799999999999979,200,21.75080895423889
-6.899999999999988,200,22.81047248840332
-5.999999999999989,200,23.880420446395874
-6.699999999999988,200,24.926602840423584
-4.1999999999999815,200,25.975993871688843
-3.9999999999999853,200,27.038358688354492
-5.49999999999998,200,28.08737087249756
-7.39999999999999,200,29.15609121322632
-3.7999999999999785,200,30.26867413520813
-6.499999999999986,200,31.383864164352417
-4.39999999999998,200,32.47503042221069
-5.299999999999983,200,33.58874297142029
-7.19999999999999,200,34.72598099708557
-4.999999999999981,200,35.87087059020996
-4.29999999999998,200,36.964685916900635
-4.499999999999976,200,38.044246673583984
-6.199999999999982,200,39.174193143844604
-6.699999999999985,200,40.321473360061646
-6.3999999999999835,200,41.37213730812073
-6.099999999999982,200,42.41843891143799
-6.099999999999981,200,43.471216917037964
-7.399999999999985,200,44.49873161315918
-5.399999999999978,200,45.58238244056702
-7.099999999999989,200,46.677459478378296
-6.499999999999983,200,47.78530287742615
-7.699999999999987,200,48.908602476119995
-6.499999999999981,200,49.973302125930786
-7.59999999999999,200,51.0640332698822
-5.999999999999987,200,52.15275478363037
-6.299999999999989,200,53.249340295791626
-5.499999999999981,200,54.3470516204834
-5.599999999999981,200,55.43509221076965
-3.6999999999999824,200,56.53572082519531
-4.999999999999982,200,57.588979721069336
-5.699999999999979,200,58.68885278701782
-5.099999999999977,200,59.75576972961426
-5.699999999999981,200,60.83519887924194
-5.299999999999981,200,61.92858386039734
-4.8999999999999835,200,63.05976581573486
