#1763576042
r,l,t
-29.400000000000418,1000,0.573676347732544
-34.90000000000019,1000,1.1280779838562012
-40.19999999999992,1000,1.6891655921936035
-27.80000000000045,1000,2.260504961013794
-37.39999999999994,1000,2.83143949508667
-34.600000000000264,1000,3.413865327835083
-44.4999999999997,1000,4.011883735656738
-32.300000000000395,1000,4.608604192733765
-31.800000000000345,1000,5.210216999053955
-30.900000000000535,1000,5.8222880363464355
-35.10000000000032,1000,6.446764707565308
-33.100000000000335,1000,7.0843446254730225
-35.100000000000165,1000,7.724408388137817
-34.30000000000022,1000,8.366041660308838
-33.700000000000315,1000,9.013911485671997
-40.00000000000004,1000,9.668400526046753
-40.59999999999987,1000,10.338397741317749
-39.40000000000021,1000,10.99251914024353
-38.6,1000,11.674992084503174
-40.000000000000064,1000,12.362843036651611
-38.59999999999995,1000,16.93094515800476
-25.700000000000376,1000,21.529820680618286
-18.450000000000138,745,24.92691707611084
-35.30000000000024,1000,29.48574209213257
-26.200000000000287,1000,34.10927772521973
-33.00000000000028,1000,38.69324588775635
-41.49999999999975,1000,43.32700824737549
-23.800000000000352,1000,47.85927963256836
-26.300000000000264,1000,52.41635870933533
-0.8599999999999444,396,54.24274778366089
3.3200000000000376,298,55.62592267990112
1.1400000000000325,316,57.08053183555603
-16.08999999999996,329,58.61563539505005
-26.80000000000042,1000,63.22889518737793
-29.000000000000416,1000,67.87491655349731
-29.40000000000045,1000,72.47972297668457
-27.320000000000043,922,76.76525211334229
-26.000000000000348,1000,81.46122121810913
-27.29,589,84.19875049591064
-45.6999999999993,1000,88.85970544815063
-30.989999999999917,899,93.12713503837585
8.03,97,93.57620978355408
-15.059999999999981,276,94.86833310127258
-14.999999999999943,390,96.71300530433655
-14.37999999999998,228,97.79059839248657
-36.50000000000017,1000,102.6557080745697
-22.400000000000215,1000,107.49733138084412
7.410000000000003,79,107.88709378242493
5.250000000000012,155,108.63161706924438
0.44000000000003325,326,110.23742699623108
-18.13999999999996,264,111.54940009117126
4.54000000000001,196,112.53901529312134
6.6700000000000035,113,113.10504221916199
-17.899999999999977,1000,117.99818015098572
8.03,77,118.37541007995605
-7.07,67,118.71297240257263
7.79,81,119.11106634140015
7.6700000000000035,93,119.59269523620605
-7.269999999999998,87,120.0197262763977
8.049999999999999,95,120.50147604942322
7.740000000000002,116,121.08769750595093
-8.34999999999999,135,121.77410101890564
5.520000000000015,158,122.53813433647156
-10.919999999999993,182,123.45014381408691
7.830000000000001,97,123.91951656341553
6.510000000000009,129,124.54425024986267
-7.699999999999996,80,124.92780303955078
-18.400000000000006,1000,129.81894445419312
7.660000000000002,104,130.32929587364197
6.820000000000007,128,130.96102595329285
8.42,88,131.41384410858154
-6.45,65,131.75677299499512
-43.99999999999999,1000,136.9757399559021
8.32,78,137.4035131931305
7.280000000000004,102,137.95892024040222
8.57,63,138.27970957756042
8.41,79,138.70417761802673
7.4600000000000035,84,139.13802552223206
7.100000000000005,120,139.76536083221436
6.61000000000001,139,140.50085949897766
8.319999999999999,78,140.89831805229187
7.110000000000005,109,141.49117875099182
7.82,88,141.95207953453064
-27.700000000000465,1000,147.2354063987732
8.32,58,147.52730083465576
-31.20000000000051,1000,152.79360628128052
-32.500000000000284,1000,158.11770915985107
-31.30000000000049,1000,163.41637110710144
8.66,64,163.75302362442017
8.86,64,164.09276127815247
-28.800000000000466,1000,169.38892817497253
-6.23,83,169.833744764328
-23.900000000000265,1000,175.21857619285583
8.559999999999999,74,175.6058030128479
9.11,49,175.87760829925537
8.8,70,176.24105858802795
9.02,68,176.60433173179626
9.33,47,176.8669195175171
8.52,58,177.1637954711914
9.09,51,177.43860030174255
8.79,61,177.75777459144592
9.11,49,178.03448963165283
9.02,48,178.29531049728394
9.05,55,178.57725501060486
9.33,47,178.83725357055664
8.549999999999999,65,179.17742681503296
8.309999999999999,89,179.66121077537537
9.05,55,179.94290447235107
9.11,49,180.2207169532776
8.92,58,180.523286819458
8.079999999999998,82,180.97185349464417
9.05,55,181.2531235218048
8.66,64,181.59136414527893
9.7,40,181.8114812374115
8.94,56,182.11074471473694
8.329999999999998,67,182.4760615825653
8.76,54,182.774840593338
8.42,68,183.13966608047485
8.42,68,183.5109212398529
8.83,57,183.81855463981628
8.68,62,184.14192271232605
-6.14,64,184.48356127738953
8.84,66,184.8442325592041
8.91,69,185.20875597000122
8.79,61,185.5253462791443
8.59,61,185.86112117767334
8.91,49,186.12240052223206
9.03,57,186.4212737083435
8.5,60,186.74083471298218
8.2,70,187.12508082389832
8.86,64,187.46623396873474
8.719999999999999,58,187.76438975334167
8.66,64,188.1064898967743
8.549999999999999,65,188.4456765651703
9.12,58,188.76484084129333
8.11,69,189.1273376941681
8.94,56,189.42970180511475
9.01,59,189.7468159198761
8.26,64,190.08652710914612
8.78,72,190.47027254104614
9.02,48,190.72474884986877
8.83,57,191.02517867088318
9.09,51,191.3012397289276
9.33,47,191.5602731704712
7.860000000000001,64,191.90387058258057
9.07,53,192.18970847129822
8.66,64,192.52875995635986
8.85,55,192.82656455039978
9.03,57,193.13773560523987
8.54,76,193.5584478378296
8.98,52,193.85017323493958
8.33,67,194.21974396705627
8.879999999999999,62,194.5579013824463
8.57,63,194.90871214866638
9.11,49,195.17662262916565
8.76,54,195.47021222114563
8.549999999999999,65,195.81091785430908
9.31,49,196.06512117385864
9.31,49,196.32410287857056
9.02,48,196.5819010734558
8.8,50,196.85995316505432
8.52,58,197.16147136688232
9.33,47,197.41851353645325
8.44,66,197.77829122543335
9.01,59,198.0813639163971
9.53,47,198.34132361412048
8.81,59,198.65568733215332
8.87,53,198.94071984291077
8.45,55,199.24098753929138
9.02,48,199.50180196762085
9.42,48,199.7649610042572
9.22,48,200.02389788627625
8.86,64,200.36447763442993
8.99,61,200.68692636489868
9.03,57,200.98630928993225
9.39,41,201.22334694862366
9.18,52,201.5023956298828
9.11,49,201.7670693397522
9.120000000000001,58,202.0704345703125
8.29,71,202.45959448814392
8.69,51,202.7384729385376
8.97,43,202.97809410095215
8.57,63,203.3053195476532
8.399999999999999,70,203.69041562080383
9.22,48,203.95715880393982
8.85,55,204.26436138153076
9.22,48,204.52856397628784
9.44,46,204.7733166217804
8.5,60,205.09991598129272
8.709999999999999,69,205.46911311149597
8.42,68,205.83072543144226
9.68,42,206.06796050071716
8.48,62,206.3916072845459
8.96,54,206.69231176376343
9.45,55,206.99507522583008
9.13,47,207.234525680542
8.99,41,207.4683017730713
9.09,51,207.72854661941528
9.27,53,208.0244438648224
9.26,44,208.2625594139099
8.95,45,208.50191926956177
9.45,55,208.80584001541138
8.96,54,209.0847418308258
9.11,49,209.3460178375244
8.54,56,209.64726853370667
8.85,55,209.94556760787964
8.61,59,210.265310049057
8.94,56,210.56837391853333
9.17,43,210.80725979804993
9.11,49,211.06920075416565
8.45,55,211.3683831691742
9.44,46,211.61267161369324
8.68,62,211.96090722084045
9.08,42,212.1882836818695
9.14,56,212.50520181655884
8.41,59,212.83631658554077
9.32,58,213.1528398990631
9.16,54,213.46538162231445
9.27,53,213.75718712806702
