#1763569776
r,l,t
-23.669999999999938,647,0.35833072662353516
-26.30000000000035,1000,0.9190757274627686
-37.10000000000006,1000,1.474585771560669
-17.39000000000015,799,1.9307246208190918
-30.90000000000046,1000,2.5020313262939453
-31.4000000000003,1000,3.077195405960083
-21.289999999999935,429,3.327087640762329
-35.40000000000015,1000,3.919051170349121
-38.650000000000155,945,4.5008385181427
-37.49999999999999,1000,5.113095760345459
-33.10000000000039,1000,5.733294248580933
-34.600000000000314,1000,6.342868328094482
-38.400000000000034,1000,6.98523736000061
-46.09999999999968,1000,7.602968215942383
-36.300000000000104,1000,8.21941328048706
-32.20000000000046,1000,8.854043960571289
-39.50000000000007,1000,9.507237195968628
-41.299999999999955,1000,10.157041549682617
-43.69999999999998,1000,10.823777437210083
-41.79999999999985,1000,11.496288061141968
-44.69999999999975,1000,12.171372413635254
-43.89999999999977,1000,16.0510151386261
-36.00000000000036,1000,20.573904991149902
-32.10000000000046,1000,25.14730739593506
-28.700000000000344,1000,29.70976948738098
-24.90000000000041,1000,34.33597135543823
-57.099999999999525,1000,38.96565341949463
-26.100000000000378,1000,43.585087299346924
-35.50000000000033,1000,48.24349045753479
-22.900000000000297,1000,52.95515584945679
-24.900000000000336,1000,57.6466007232666
-24.70000000000028,940,62.15765357017517
-5.379999999999924,428,64.19807410240173
-11.84999999999998,225,65.25595331192017
3.470000000000015,173,66.06372952461243
-3.289999999999935,389,67.964031457901
-19.32999999999994,353,69.62412333488464
-1.0499999999999563,345,71.24773216247559
3.0800000000000196,242,72.39460372924805
4.830000000000015,177,73.26351022720337
3.6500000000000163,195,74.18071985244751
4.2100000000000115,179,75.02488017082214
4.330000000000026,247,76.19865703582764
2.380000000000022,252,77.39277839660645
4.0700000000000065,153,78.10238313674927
4.140000000000016,196,79.01668906211853
2.2700000000000182,233,80.09928607940674
2.470000000000012,213,81.11703944206238
6.100000000000007,120,81.69627165794373
3.0100000000000247,259,82.91696238517761
6.060000000000009,144,83.6270010471344
4.620000000000019,188,84.54360151290894
5.520000000000013,158,85.30787658691406
6.580000000000011,132,85.92344498634338
3.810000000000012,199,86.85874843597412
3.530000000000017,227,87.92897057533264
7.640000000000001,86,88.34393334388733
7.300000000000005,120,88.9074113368988
6.500000000000009,120,89.49101114273071
5.280000000000017,202,90.44681191444397
6.570000000000006,123,91.04684567451477
7.200000000000005,110,91.59175682067871
6.450000000000006,115,92.13352704048157
6.220000000000008,108,92.64717888832092
-43.09999999999984,1000,97.43584775924683
5.680000000000012,162,98.20378112792969
-42.300000000000054,1000,102.9638888835907
8.42,88,103.3852367401123
-29.70000000000042,1000,108.24819660186768
7.370000000000003,83,108.65901565551758
7.520000000000001,78,109.03645920753479
-28.800000000000434,1000,113.91418862342834
-26.200000000000365,1000,118.82586884498596
8.26,84,119.242271900177
-29.300000000000406,1000,124.16019058227539
6.970000000000008,123,124.75254011154175
8.73,67,125.09468650817871
7.470000000000002,93,125.55257844924927
8.92,58,125.83074593544006
7.9,80,126.21950340270996
-18.869999999999962,247,127.45899415016174
8.719999999999999,78,127.84476685523987
-61.9999999999995,1000,132.7750792503357
-7.3299999999999645,513,135.38308787345886
4.340000000000022,216,136.49960923194885
-6.45,65,136.8373658657074
-7.95999999999999,146,137.60761857032776
-7.179999999999997,108,138.17278385162354
-9.009999999999987,141,138.89793300628662
-21.60000000000032,1000,144.1197395324707
7.770000000000001,103,144.66413640975952
-5.86,56,144.96015214920044
-7.83999999999999,114,145.55147218704224
-7.349999999999998,95,146.05202102661133
8.93,67,146.407897233963
-19.600000000000048,1000,151.63162422180176
8.43,57,151.93032574653625
9.0,70,152.28871989250183
6.630000000000008,117,152.9140613079071
8.229999999999999,77,153.3066074848175
8.98,52,153.58052372932434
7.600000000000001,110,154.14955186843872
8.9,60,154.46467876434326
7.959999999999999,94,154.97665071487427
6.76000000000001,134,155.6717357635498
7.999999999999999,70,156.044926404953
8.64,66,156.3854522705078
9.2,50,156.6570382118225
8.67,73,157.03963780403137
9.129999999999999,67,157.3945653438568
7.94,76,157.79393434524536
-56.69999999999931,1000,163.07278490066528
-52.499999999999204,1000,168.37166571617126
8.549999999999999,65,168.71020770072937
-26.40000000000039,1000,174.05122923851013
-32.40000000000023,1000,179.39704275131226
-5.94,64,179.73707842826843
-44.79999999999973,1000,185.0469515323639
9.370000000000001,43,185.29124188423157
8.799999999999999,70,185.6600980758667
7.909999999999999,129,186.3613579273224
8.69,71,186.72252678871155
9.09,51,187.0321216583252
-5.37,37,187.22852563858032
9.02,48,187.4845118522644
8.91,49,187.76064777374268
8.98,52,188.04398012161255
9.14,56,188.34166479110718
-5.99,59,188.6377444267273
8.5,60,188.95260858535767
8.65,55,189.25105476379395
9.24,46,189.5077874660492
9.62,48,189.76434326171875
9.26,44,189.9996190071106
9.27,53,190.27884435653687
8.89,71,190.66430139541626
-5.74,44,190.9027442932129
9.18,52,191.18753695487976
8.8,50,191.45059084892273
9.05,55,191.75069952011108
8.61,59,192.07227993011475
-6.15,55,192.35523319244385
-23.30000000000033,1000,197.73436379432678
9.26,44,197.96994185447693
9.05,55,198.26950573921204
9.2,50,198.54473519325256
9.09,51,198.8039288520813
9.5,40,199.0208866596222
9.18,52,199.29627966880798
9.22,48,199.5594048500061
-5.92,42,199.7917034626007
8.91,49,200.04548501968384
9.47,53,200.32227206230164
8.94,56,200.6190164089203
8.95,45,200.87361645698547
8.96,54,201.1552608013153
9.2,50,201.4353907108307
9.42,48,201.69513154029846
9.05,55,201.97517681121826
9.41,39,202.1926145553589
-6.01,41,202.4081094264984
9.27,53,202.70694851875305
-6.01,41,202.92282938957214
9.51,49,203.1800835132599
8.75,65,203.52372550964355
8.399999999999999,50,203.79795861244202
9.379999999999999,52,204.0755066871643
9.11,49,204.3311734199524
9.63,37,204.53015112876892
-6.01,61,204.87171030044556
9.17,43,205.08578634262085
9.13,47,205.3408327102661
9.56,34,205.53332901000977
-5.76,46,205.77178263664246
8.91,49,206.02653527259827
9.26,44,206.26712155342102
8.549999999999999,65,206.63540649414062
9.11,49,206.90091681480408
9.18,52,207.18314790725708
8.88,62,207.512531042099
8.32,58,207.8372585773468
9.22,48,208.1082775592804
9.49,51,208.4006142616272
8.94,56,208.7045340538025
8.86,64,209.05338716506958
-5.47,47,209.2962610721588
9.05,55,209.602299451828
9.76,34,209.798180103302
9.5,40,210.01437044143677
8.81,59,210.32013511657715
8.709999999999999,49,210.60635423660278
9.370000000000001,43,210.8318271636963
9.35,45,211.09123468399048
9.25,55,211.38402009010315
9.17,43,211.62397527694702
8.99,61,211.95227193832397
8.73,47,212.21367955207825
8.96,54,212.51432418823242
8.91,49,212.7709150314331
-5.91,51,213.05166745185852
9.29,51,213.3163125514984
9.290000000000001,51,213.60416221618652
9.26,44,213.84819674491882
-6.0,50,214.12533593177795
-5.59,39,214.3264925479889
8.9,60,214.65165853500366
9.26,44,214.8924446105957
9.28,62,215.2326738834381
-6.17,57,215.54011940956116
8.78,52,215.81955885887146
9.63,37,216.02121210098267
9.59,41,216.2593469619751
9.62,48,216.51845836639404
9.04,46,216.76100087165833
9.15,45,217.0009741783142
9.05,55,217.29774475097656
8.96,54,217.59375739097595
