#1763331594
r,l,t
-3510,50,0.004595518112182617
-3587,50,0.00866246223449707
-3092,50,0.012700080871582031
-3279,50,0.016727924346923828
-2883,50,0.021075963973999023
-2597,50,0.025127172470092773
-2850,50,0.02915167808532715
-2971,50,0.03348422050476074
-2509,50,0.037503719329833984
-3213,50,0.04152822494506836
-3191,50,0.046233415603637695
-2949,50,0.051079511642456055
-2894,50,0.05572772026062012
-3004,50,0.06038475036621094
-2960,50,0.06505560874938965
-3147,50,0.06969237327575684
-3433,50,0.07402253150939941
-3158,50,0.07865190505981445
-3576,50,0.0835106372833252
-3906,50,0.08837080001831055
-2883,50,0.09271693229675293
-4115,50,0.09705138206481934
-2850,50,0.10139608383178711
-2234,50,0.10571408271789551
-2487,50,0.11003518104553223
-2894,50,0.11469078063964844
-3059,50,0.11902189254760742
-3290,50,0.1237027645111084
-2366,50,0.12833023071289062
-2388,50,0.13294100761413574
-2256,50,0.13759350776672363
-4027,50,0.1422104835510254
-2751,50,0.14727473258972168
-3290,50,0.1519007682800293
-2630,50,0.15680384635925293
-2960,50,0.16114330291748047
-3202,50,0.16599225997924805
-2696,50,0.17037463188171387
-3092,50,0.17522859573364258
-3191,50,0.17958545684814453
-2399,50,0.18449759483337402
-3697,50,0.18932080268859863
-3092,50,0.193681001663208
-3202,50,0.19832181930541992
-3488,50,0.20297765731811523
-3246,50,0.20734000205993652
-3510,50,0.2126610279083252
-2674,50,0.21838736534118652
-3444,50,0.22326397895812988
-3026,50,0.22762298583984375
-3455,50,0.23275542259216309
-3202,50,0.23826885223388672
-3279,50,0.2433609962463379
-2674,50,0.2482466697692871
-2784,50,0.25257396697998047
-4258,50,0.25719738006591797
-3488,50,0.26318979263305664
-2344,50,0.26827096939086914
-2575,50,0.27334117889404297
-3521,50,0.2782413959503174
-3125,50,0.28290605545043945
-3213,50,0.2880430221557617
-3356,50,0.29378461837768555
-3279,50,0.29892969131469727
-3906,50,0.3040449619293213
-3279,50,0.3089566230773926
-4170,50,0.31383776664733887
-1618,50,0.3184843063354492
-3158,50,0.3233523368835449
-2564,50,0.3284475803375244
-1981,50,0.333996057510376
-3312,50,0.3389110565185547
-3576,50,0.343569278717041
-2300,50,0.34819984436035156
-2322,50,0.3530702590942383
-2685,50,0.3581581115722656
-2740,50,0.3630661964416504
-2685,50,0.36800503730773926
-3664,50,0.37288355827331543
-3818,50,0.3780064582824707
-3235,50,0.3828854560852051
-2872,50,0.3882129192352295
-2102,50,0.3931236267089844
-2751,50,0.3992123603820801
-2960,50,0.40456461906433105
-3697,50,0.4105401039123535
-3026,50,0.415419340133667
-3246,50,0.4207282066345215
-2586,50,0.42597174644470215
-2256,50,0.4313936233520508
-3246,50,0.4363527297973633
-2850,50,0.44237637519836426
-2960,50,0.447934627532959
-4203,50,0.4528372287750244
-3070,50,0.45824193954467773
-2718,50,0.46442127227783203
-4016,50,0.4702181816101074
-3609,50,0.4755992889404297
-3576,50,0.4811530113220215
-3433,50,0.4865119457244873
-2058,50,0.49159884452819824
-2762,50,0.4977543354034424
-3246,50,0.5028727054595947
-3510,50,0.50801682472229
-2168,50,0.5132930278778076
-3246,50,0.5192620754241943
-3356,50,0.5256209373474121
-2971,50,0.5307464599609375
-4709,50,0.5362608432769775
-3026,50,0.5413486957550049
-3565,50,0.5469231605529785
-3477,50,0.552891731262207
-3631,50,0.5577611923217773
-3257,50,0.5647344589233398
-3081,50,0.5705440044403076
-3752,50,0.575655460357666
-3763,50,0.5816695690155029
-2905,50,0.5870120525360107
-2586,50,0.5921533107757568
-3246,50,0.5968508720397949
-3345,50,0.6024494171142578
-3180,50,0.6073424816131592
-3422,50,0.6121950149536133
-3213,50,0.6183831691741943
-2773,50,0.6243295669555664
-3378,50,0.6300876140594482
-3147,50,0.6354007720947266
-3477,50,0.6417746543884277
-2751,50,0.6473004817962646
-2740,50,0.6528651714324951
-3400,50,0.6588122844696045
-3301,50,0.6642885208129883
-2410,50,0.6693880558013916
-4324,50,0.6751487255096436
-2806,50,0.6802799701690674
-2421,50,0.686229944229126
-2168,50,0.6924386024475098
-3290,50,0.6975786685943604
-2476,50,0.7035095691680908
-3367,50,0.7098541259765625
-3543,50,0.7160148620605469
-3312,50,0.7215702533721924
-3345,50,0.7275094985961914
-2487,50,0.7344706058502197
-3026,50,0.7408266067504883
-3829,50,0.7458972930908203
-3598,50,0.7517695426940918
-2586,50,0.7572834491729736
-3917,50,0.7635884284973145
-3807,50,0.7693018913269043
-3565,50,0.7748117446899414
-3774,50,0.7835798263549805
-3070,50,0.789478063583374
-3378,50,0.79457688331604
-3015,50,0.8000996112823486
-2773,50,0.805462121963501
-4005,50,0.8111550807952881
-2795,50,0.8159835338592529
-2905,50,0.8211805820465088
-2817,50,0.8266279697418213
-2421,50,0.8321444988250732
-3235,50,0.8371107578277588
-3884,50,0.8422465324401855
-3389,50,0.8476519584655762
-3356,50,0.8535885810852051
-3499,50,0.8595330715179443
-2344,50,0.8644859790802002
-4709,50,0.8698155879974365
-3444,50,0.8757402896881104
-3444,50,0.881432294845581
-2652,50,0.8867871761322021
-2850,50,0.8920876979827881
-2971,50,0.8968617916107178
-3070,50,0.9029912948608398
-2960,50,0.9081227779388428
-2949,50,0.9132733345031738
-2608,50,0.9184432029724121
-3499,50,0.923795223236084
-2960,50,0.9287221431732178
-2586,50,0.93507981300354
-2828,50,0.940615177154541
-3279,50,0.9463346004486084
-3125,50,0.9510560035705566
-2674,50,0.9567739963531494
-3081,50,0.9631917476654053
-3521,50,0.9681410789489746
-3455,50,0.9738359451293945
-3466,50,0.9799847602844238
-3092,50,0.9851624965667725
-1618,50,0.9908530712127686
-3840,50,0.9965145587921143
-4170,50,1.0036320686340332
-3532,50,1.0103034973144531
-2949,50,1.0158605575561523
-2146,50,1.022458553314209
-3708,50,1.0283429622650146
-2971,50,1.0334904193878174
-3620,50,1.0396878719329834
-3389,50,1.046311855316162
-3697,50,1.051985263824463
-3609,50,1.0591142177581787
-2674,50,1.066690444946289
-2674,50,1.0736384391784668
-2586,50,1.0803124904632568
-3565,50,1.0861575603485107
-3994,50,1.0921838283538818
-3620,50,1.0991535186767578
-3796,50,1.1063148975372314
-2828,50,1.112839698791504
-2498,50,1.119828462600708
-3191,50,1.125673770904541
-3125,50,1.1322593688964844
-3323,50,1.1384527683258057
-2168,50,1.1445233821868896
-3279,50,1.1498055458068848
-3026,50,1.156205415725708
-4918,50,1.1630301475524902
-3851,50,1.1692144870758057
-3488,50,1.1763391494750977
