#1763338136
r,l,t
-2146,50,0.0048868656158447266
-2619,50,0.009228706359863281
-2872,50,0.013561248779296875
-3400,50,0.0178983211517334
-3532,50,0.022344589233398438
-3532,50,0.026975631713867188
-2718,50,0.031319379806518555
-2718,50,0.03570675849914551
-3477,50,0.040021419525146484
-3070,50,0.044283390045166016
-3026,50,0.04860281944274902
-3642,50,0.052922964096069336
-3257,50,0.057214975357055664
-3620,50,0.06152820587158203
-2366,50,0.06587052345275879
-2575,50,0.07019877433776855
-2597,50,0.07481813430786133
-2828,50,0.07943010330200195
-2608,50,0.08373379707336426
-3477,50,0.08841562271118164
-3345,50,0.09268784523010254
-4104,50,0.09698987007141113
-3928,50,0.10191011428833008
-3433,50,0.1065676212310791
-4181,50,0.11112284660339355
-1926,50,0.11598992347717285
-2036,50,0.1203765869140625
-2817,50,0.12550783157348633
-2311,50,0.13029694557189941
-2432,50,0.13489532470703125
-2630,50,0.14002156257629395
-2322,50,0.14428353309631348
-2971,50,0.1488950252532959
-2575,50,0.15354514122009277
-3191,50,0.1585981845855713
-2344,50,0.16347146034240723
-2498,50,0.16805529594421387
-2608,50,0.1730213165283203
-2795,50,0.1776120662689209
-2399,50,0.18219971656799316
-4148,50,0.186875581741333
-3235,50,0.1912097930908203
-2806,50,0.1960916519165039
-2201,50,0.2012019157409668
-3686,50,0.20625853538513184
-3840,50,0.21159601211547852
-3081,50,0.21677803993225098
-3433,50,0.22124457359313965
-3015,50,0.2262132167816162
-3994,50,0.2314307689666748
-3675,50,0.2366476058959961
-3026,50,0.2418060302734375
-2212,50,0.24703121185302734
-2311,50,0.2532694339752197
-3125,50,0.25957393646240234
-2938,50,0.26476192474365234
-3191,50,0.27044248580932617
-2894,50,0.2757749557495117
-3345,50,0.28114867210388184
-2718,50,0.28722715377807617
-2685,50,0.2929344177246094
-2993,50,0.2991194725036621
-3312,50,0.3042941093444824
-3532,50,0.31006908416748047
-3147,50,0.3158442974090576
-2619,50,0.321657657623291
-3477,50,0.3273909091949463
-2861,50,0.3324270248413086
-3345,50,0.3378570079803467
-3136,50,0.3428049087524414
-3433,50,0.348743200302124
-2839,50,0.3555908203125
-3532,50,0.3611178398132324
-2674,50,0.36582255363464355
-2168,50,0.3717045783996582
-2828,50,0.3770322799682617
-2674,50,0.3835790157318115
-3037,50,0.3897418975830078
-3301,50,0.396181583404541
-3532,50,0.401857852935791
-2355,50,0.4081425666809082
-3257,50,0.4131357669830322
-2806,50,0.41992950439453125
-3103,50,0.4255836009979248
-2850,50,0.4305241107940674
-2784,50,0.4364802837371826
-3059,50,0.44161128997802734
-2993,50,0.4479522705078125
-2960,50,0.4546370506286621
-2762,50,0.46062684059143066
-2652,50,0.46727919578552246
-3202,50,0.473496675491333
-3521,50,0.47972702980041504
-2465,50,0.4867260456085205
-3565,50,0.49210596084594727
-2058,50,0.49846673011779785
-2278,50,0.503840446472168
-3136,50,0.5085339546203613
-2674,50,0.5146973133087158
-3785,50,0.5206398963928223
-2696,50,0.5259125232696533
-2740,50,0.5330862998962402
-3906,50,0.5386149883270264
-3059,50,0.5448501110076904
-2828,50,0.5510497093200684
-2564,50,0.5564367771148682
-2465,50,0.562110424041748
-2564,50,0.5677680969238281
-3631,50,0.5739247798919678
-2234,50,0.5808882713317871
-1882,50,0.5872738361358643
-2960,50,0.5928604602813721
-3092,50,0.599090576171875
-2652,50,0.6044118404388428
-2960,50,0.6097991466522217
-3224,50,0.6165781021118164
-3532,50,0.6216325759887695
-3246,50,0.6262655258178711
-2553,50,0.6336662769317627
-1508,50,0.639254093170166
-2817,50,0.64540696144104
-3334,50,0.6520278453826904
-2135,50,0.6577820777893066
-2146,50,0.6627318859100342
-3213,50,0.6702384948730469
-3180,50,0.6766762733459473
-3180,50,0.6831164360046387
-2960,50,0.689251184463501
-1970,50,0.6940968036651611
-3631,50,0.7003958225250244
-3125,50,0.7064261436462402
-3499,50,0.7126293182373047
-2773,50,0.7182929515838623
-2685,50,0.7235856056213379
