#1763353663
r,l,t
-59398,1000,0.24077296257019043
-59805,1000,0.4912385940551758
-62885,1000,0.7375586032867432
-56263,1000,0.991483211517334
-62038,1000,1.2513303756713867
-54514,1000,1.516021966934204
-60542,1000,1.78047513961792
-53887,1000,2.053006410598755
-56549,1000,2.3283133506774902
-57836,1000,2.594630479812622
-57803,1000,2.8656840324401855
-61180,1000,3.1433300971984863
-52897,1000,3.437657594680786
-58496,1000,3.732717514038086
-56934,1000,4.030317783355713
-55603,1000,4.335134983062744
-57484,1000,4.647336483001709
-53590,1000,4.965085983276367
-56934,1000,5.296104907989502
-55515,1000,5.613843202590942
-57000,1000,7.146551132202148
-52985,1000,8.673895359039307
-53568,1000,10.190370559692383
-51709,1000,11.733879089355469
-35704,1000,13.26296353340149
-35253,1000,14.89652156829834
-35000,1000,16.567169189453125
-33328,1000,18.248647928237915
-34736,1000,19.898153066635132
-32624,1000,21.639203310012817
-29027,1000,23.334956884384155
-33130,1000,25.044440269470215
-29632,1000,26.758747816085815
-26838,1000,28.489470720291138
-26255,1000,30.220800399780273
-25485,1000,31.97312569618225
-22328,1000,33.738221645355225
-22042,1000,35.4973418712616
-23340,1000,37.278547525405884
-23153,1000,39.046385288238525
-19743,1000,40.844722509384155
-21998,1000,42.64061641693115
-17642,1000,44.45522403717041
-18390,1000,46.261637449264526
-15904,1000,48.072089433670044
-15068,1000,49.91196012496948
-16014,1000,51.73367524147034
-13407,1000,53.61028575897217
-15167,1000,55.4483699798584
-12989,1000,57.299994707107544
-12208,1000,59.1536328792572
-9084,1000,61.02540993690491
-11108,1000,62.93748188018799
-9172,1000,64.80964255332947
-8710,1000,66.72567844390869
-6477,1000,68.62569522857666
-4376,1000,70.51993703842163
-4486,1000,72.47148585319519
-2946,1000,74.36535358428955
-2990,1000,76.33267998695374
-2044,1000,78.28077745437622
-2088,1000,80.23278641700745
-1978,1000,82.21291589736938
-2000,1000,84.13588070869446
-2000,1000,86.07759070396423
-2099,1000,88.01683712005615
-2000,1000,89.90639519691467
-2088,1000,91.86220264434814
-2088,1000,93.75618577003479
-2088,1000,95.6767885684967
-2198,1000,97.62098240852356
-2000,1000,99.52830052375793
-1978,1000,101.48477530479431
-2000,1000,103.39168810844421
-2000,1000,105.29488825798035
-2000,1000,107.22238564491272
-1989,1000,109.09985303878784
-2187,1000,111.02373170852661
-2000,1000,112.92404913902283
-2077,1000,114.81396818161011
-1978,1000,116.755366563797
-1989,1000,118.64392066001892
-2000,1000,120.57611870765686
-2000,1000,122.48571348190308
-2000,1000,124.39026975631714
-2187,1000,126.34121251106262
-2099,1000,128.24767971038818
-1989,1000,130.18660855293274
-2000,1000,132.08795499801636
