#1763352993
r,l,t
-59299,1000,0.3305990695953369
-62467,1000,0.685666561126709
-59167,1000,1.0455520153045654
-59354,1000,1.417102575302124
-58023,1000,1.7959706783294678
-61422,1000,2.185776472091675
-59772,1000,2.5724546909332275
-58463,1000,2.966360569000244
-58496,1000,3.3760547637939453
-56483,1000,3.767529249191284
-55284,1000,4.164372682571411
-55746,1000,4.570827007293701
-59332,1000,4.999235391616821
-55790,1000,5.436641454696655
-60190,1000,5.8807291984558105
-54602,1000,6.344245672225952
-58452,1000,6.795691967010498
-57055,1000,7.244488000869751
-58353,1000,7.69109582901001
-55779,1000,8.1573326587677
-62115,1000,10.196120023727417
-50642,1000,12.235793113708496
-46484,1000,14.228673458099365
-38377,1000,16.176096200942993
-36760,1000,18.20410180091858
-41006,1000,20.239508152008057
-36760,1000,22.376904726028442
-35902,1000,24.510525465011597
-31634,1000,26.675206422805786
-30688,1000,28.83480215072632
-28169,1000,30.991358757019043
-28312,1000,33.144317865371704
-26904,1000,35.301262855529785
-27157,1000,37.5447473526001
-28224,1000,39.69905233383179
-26662,1000,41.94323754310608
-24000,1000,44.13091015815735
-24473,1000,46.234960317611694
-25177,1000,48.46472764015198
-22053,1000,50.711153745651245
-21756,1000,53.01105093955994
-20018,1000,55.29494571685791
-19039,1000,57.570390939712524
-18852,1000,59.90636467933655
-18049,1000,62.199928998947144
-17543,1000,64.55410885810852
-15981,1000,66.81501173973083
-13242,1000,69.0845046043396
-14408,1000,71.36828136444092
-12461,1000,73.64840507507324
-11372,1000,76.01303339004517
-9579,1000,78.3306622505188
-8875,1000,80.70890998840332
-8347,1000,83.05406188964844
-6510,1000,85.39977955818176
-5047,1000,87.82427167892456
-5685,1000,90.23742413520813
-3870,1000,92.68142747879028
-2396,1000,95.09132051467896
-2693,1000,97.55200719833374
-2000,1000,99.99791550636292
-2088,1000,102.34799814224243
-2000,1000,104.71590185165405
-2000,1000,107.03728938102722
-2000,1000,109.44675707817078
-2363,1000,111.9171633720398
-2198,1000,114.3560094833374
-1978,1000,116.83384084701538
-2088,1000,119.2609281539917
-2000,1000,121.71826601028442
-2275,1000,124.17220997810364
-1978,1000,126.61995387077332
-1989,1000,129.09011936187744
-2099,1000,131.4942753314972
-2088,1000,133.90422868728638
-2088,1000,136.33561778068542
-2187,1000,138.74895668029785
-2088,1000,141.21120142936707
-2000,1000,143.6147482395172
-2099,1000,146.06654047966003
-2000,1000,148.48027682304382
-2000,1000,150.91747879981995
-2000,1000,153.38116312026978
-2000,1000,155.77541327476501
-713,1000,158.2417495250702
-361,1000,160.65868067741394
-801,1000,163.0859932899475
-306,1000,165.5658848285675
-31,1000,168.00662970542908
-405,1000,170.45859098434448
-559,1000,172.9001088142395
255,1000,175.35033321380615
200,1000,177.80220985412598
-75,1000,180.16671228408813
101,1000,182.64908003807068
-372,1000,185.05602741241455
24,1000,187.504248380661
57,1000,189.98341608047485
-97,1000,192.4290246963501
-581,1000,194.91271710395813
68,1000,197.37349104881287
1267,1000,199.86326622962952
1245,1000,202.33940172195435
1641,1000,204.79928398132324
1531,1000,207.26866126060486
1421,1000,209.73808979988098
1344,1000,212.20467901229858
970,1000,214.69714307785034
1069,1000,217.1866533756256
629,1000,219.69247317314148
1091,1000,222.14952731132507
2180,1000,224.59798955917358
1795,1000,227.13916444778442
1487,1000,229.6262345314026
882,1000,232.07777047157288
1762,1000,234.54573321342468
1201,1000,237.04322695732117
1861,1000,239.57721877098083
1311,1000,242.0771622657776
2422,1000,244.59214186668396
1806,1000,247.10977458953857
1740,1000,249.61470770835876
2345,1000,252.14495515823364
1883,1000,254.6420660018921
1773,1000,257.11765003204346
1707,1000,259.64463329315186
2103,1000,262.1054742336273
1377,1000,264.6218910217285
1289,1000,267.1058886051178
1344,1000,269.5440237522125
222,1000,272.03247690200806
2015,1000,274.5037236213684
1828,1000,277.01349902153015
970,1000,279.50284910202026
1597,1000,281.91134881973267
1388,1000,284.33539390563965
1520,1000,286.7546718120575
1674,1000,289.2203164100647
1476,1000,291.6316463947296
1146,1000,294.0340449810028
1663,1000,296.469265460968
1949,1000,298.9466986656189
1905,1000,301.44767355918884
2345,1000,303.882958650589
1773,1000,306.33085083961487
1179,1000,308.8048117160797
1971,1000,311.2328870296478
1839,1000,313.71698784828186
1982,1000,316.1632525920868
1784,1000,318.58118319511414
1861,1000,321.06052565574646
2422,1000,323.4772062301636
2268,1000,325.9446427822113
1751,1000,328.36214113235474
1971,1000,330.8084490299225
2620,1000,333.2581672668457
1146,1000,335.66382789611816
1905,1000,338.1632091999054
1784,1000,340.6069824695587
1872,1000,343.0255901813507
1696,1000,345.5031259059906
2367,1000,347.918808221817
1443,1000,350.3819658756256
2169,1000,352.8166527748108
1762,1000,355.2360374927521
1421,1000,357.70852994918823
1773,1000,360.1300137042999
1729,1000,362.5999753475189
2158,1000,365.0313732624054
2136,1000,367.45530581474304
2268,1000,369.8992266654968
2356,1000,372.2195723056793
1718,1000,374.60727286338806
1707,1000,377.0285179615021
2092,1000,379.4413015842438
2433,1000,381.8798768520355
1575,1000,384.27546644210815
2323,1000,386.7231693267822
1674,1000,389.128781080246
2510,1000,391.5723922252655
1399,1000,394.06265473365784
1223,1000,396.4962160587311
2048,1000,398.98618268966675
1993,1000,401.41625595092773
1740,1000,403.8746802806854
2290,1000,406.33138966560364
1762,1000,408.741970539093
1894,1000,411.2098982334137
2785,1000,413.648930311203
2345,1000,416.08566784858704
1784,1000,418.5520751476288
2136,1000,420.98721718788147
2224,1000,423.46849966049194
1817,1000,425.8996171951294
1465,1000,428.33719396591187
1355,1000,430.8223798274994
1795,1000,433.245507478714
1806,1000,435.7249050140381
761,1000,438.14972400665283
2235,1000,440.6016004085541
2147,1000,443.07434940338135
2224,1000,445.5213828086853
1278,1000,448.0065772533417
1784,1000,450.47568917274475
1982,1000,452.90292859077454
2323,1000,455.37737584114075
1861,1000,457.8176565170288
1685,1000,460.26291966438293
1894,1000,462.62492847442627
1982,1000,465.0332787036896
1905,1000,467.42884945869446
1817,1000,469.77029514312744
2004,1000,472.19914984703064
