#1763330508
r,l,t
-3312,50,0.0051996707916259766
-2949,50,0.009961605072021484
-3928,50,0.014334678649902344
-2839,50,0.018726825714111328
-2201,50,0.023069381713867188
-3422,50,0.027481794357299805
-3664,50,0.0319514274597168
-3400,50,0.03632712364196777
-3675,50,0.04098701477050781
-1871,50,0.045641183853149414
-3290,50,0.05009293556213379
-2564,50,0.0547642707824707
-2971,50,0.05943036079406738
-2773,50,0.06377339363098145
-3972,50,0.06851434707641602
-2619,50,0.07345938682556152
-2663,50,0.07782626152038574
-3444,50,0.08222818374633789
-2982,50,0.0866098403930664
-3103,50,0.09098148345947266
-3763,50,0.09531426429748535
-3202,50,0.1000375747680664
-3103,50,0.10496926307678223
-3389,50,0.10933756828308105
-2795,50,0.11400055885314941
-2025,50,0.11895918846130371
-3378,50,0.12391114234924316
-2597,50,0.12828350067138672
-2949,50,0.13363194465637207
-3411,50,0.13814473152160645
-3158,50,0.14282917976379395
-2707,50,0.14779424667358398
-2883,50,0.15215134620666504
-3312,50,0.15682291984558105
-2630,50,0.16187429428100586
-3422,50,0.16657352447509766
-3444,50,0.172074556350708
-3290,50,0.1767439842224121
-2729,50,0.18110203742980957
-2740,50,0.18610835075378418
-2993,50,0.19076251983642578
-2652,50,0.1958634853363037
-3422,50,0.20153212547302246
-2762,50,0.2064683437347412
-2971,50,0.21115684509277344
-2509,50,0.21552395820617676
-3950,50,0.22016644477844238
-2718,50,0.22502541542053223
-3092,50,0.22975897789001465
-3213,50,0.23506736755371094
-4038,50,0.23978734016418457
-3092,50,0.2444918155670166
-2938,50,0.2495269775390625
-3345,50,0.2550220489501953
-2047,50,0.26038670539855957
-2905,50,0.26609277725219727
-2751,50,0.27115702629089355
-2597,50,0.27577996253967285
-3829,50,0.2801685333251953
-3026,50,0.28502964973449707
-3972,50,0.290271520614624
-2982,50,0.29573941230773926
-3103,50,0.30087995529174805
-2718,50,0.30558204650878906
-2971,50,0.31071901321411133
-2564,50,0.31620025634765625
-2685,50,0.32105493545532227
-3290,50,0.32622432708740234
-3499,50,0.33169054985046387
-2729,50,0.33661890029907227
-3444,50,0.3422839641571045
-3873,50,0.3480188846588135
-2817,50,0.35291409492492676
-2949,50,0.3589613437652588
-3675,50,0.3660144805908203
-2465,50,0.37145400047302246
-2784,50,0.3774220943450928
-3015,50,0.38184571266174316
-2597,50,0.3874626159667969
-3257,50,0.3928792476654053
-3202,50,0.3978462219238281
-3840,50,0.4035000801086426
-2443,50,0.409285306930542
-3840,50,0.415285587310791
-3213,50,0.42130327224731445
-2828,50,0.4262385368347168
-3103,50,0.4309389591217041
-2223,50,0.43640708923339844
-3092,50,0.44219017028808594
-2300,50,0.4470100402832031
-2707,50,0.4524550437927246
-3070,50,0.4581918716430664
-2828,50,0.46463918685913086
-2245,50,0.4702181816101074
-3510,50,0.47510623931884766
-2905,50,0.4800989627838135
-2949,50,0.4853494167327881
-3224,50,0.49094152450561523
-2498,50,0.4958229064941406
-3092,50,0.5013456344604492
-3576,50,0.5067851543426514
-3257,50,0.5126044750213623
-3103,50,0.5179095268249512
-2828,50,0.5230667591094971
-2685,50,0.5290968418121338
-3433,50,0.5350477695465088
-2784,50,0.5415194034576416
-2476,50,0.5471456050872803
-3598,50,0.5531234741210938
-3477,50,0.5592737197875977
-2971,50,0.5645184516906738
-2960,50,0.57051682472229
-3114,50,0.5768072605133057
-3048,50,0.5830070972442627
-3686,50,0.5893785953521729
-2355,50,0.5949532985687256
-3037,50,0.6022167205810547
-2487,50,0.6093301773071289
-2982,50,0.6179103851318359
-2157,50,0.6240265369415283
-2674,50,0.6318011283874512
-2366,50,0.6387879848480225
-2388,50,0.6441469192504883
-3477,50,0.6499369144439697
-2729,50,0.655794620513916
-3114,50,0.6610710620880127
-3488,50,0.6667325496673584
-4126,50,0.6724095344543457
-3576,50,0.6777560710906982
-2509,50,0.6835458278656006
-2608,50,0.6890485286712646
-2454,50,0.6939835548400879
-3158,50,0.7006394863128662
-2905,50,0.7058122158050537
-3356,50,0.7115998268127441
-2894,50,0.717987060546875
-2476,50,0.7235043048858643
-2806,50,0.7298197746276855
-2410,50,0.7375202178955078
-3851,50,0.7433991432189941
-2971,50,0.7498977184295654
-3796,50,0.7564196586608887
-3411,50,0.7626552581787109
-3257,50,0.7696230411529541
-2696,50,0.7763817310333252
-3466,50,0.7826793193817139
-3422,50,0.7894682884216309
-2751,50,0.795630693435669
-1959,50,0.8023824691772461
-3587,50,0.8088476657867432
-2388,50,0.8152432441711426
-2608,50,0.8231959342956543
-2982,50,0.8287167549133301
-3620,50,0.8371961116790771
-2487,50,0.8429250717163086
-1893,50,0.8480596542358398
-3147,50,0.8550138473510742
-2817,50,0.8612804412841797
-2410,50,0.8685014247894287
-2289,50,0.8740537166595459
-2410,50,0.8816478252410889
-2883,50,0.8891358375549316
-2916,50,0.8944821357727051
-3224,50,0.9027090072631836
-3345,50,0.9084601402282715
-2795,50,0.9138956069946289
-3202,50,0.9200446605682373
-3136,50,0.9257297515869141
-3532,50,0.9311578273773193
-3433,50,0.939333438873291
-2993,50,0.9451751708984375
-2333,50,0.952505350112915
-2641,50,0.9593410491943359
-2564,50,0.9659895896911621
-3455,50,0.9717757701873779
-3323,50,0.977628231048584
-2245,50,0.9846878051757812
-3598,50,0.9896612167358398
-2696,50,0.9951145648956299
-2773,50,1.0027318000793457
-4269,50,1.0087435245513916
-2806,50,1.0175836086273193
-2872,50,1.0232388973236084
-2993,50,1.028996467590332
-3609,50,1.0374226570129395
-2388,50,1.0434975624084473
-3103,50,1.0515673160552979
-2564,50,1.0571439266204834
-2773,50,1.0637762546539307
-2498,50,1.0717923641204834
-2993,50,1.0786077976226807
-2949,50,1.085414171218872
-1926,50,1.0918502807617188
-3092,50,1.0997438430786133
-2487,50,1.1059911251068115
-3224,50,1.1123642921447754
-2674,50,1.1192688941955566
-3653,50,1.1255764961242676
-3246,50,1.1314477920532227
-2168,50,1.1389660835266113
-1871,50,1.145822525024414
-2608,50,1.1534242630004883
-2564,50,1.1588068008422852
-3103,50,1.1664950847625732
-2289,50,1.1722795963287354
-3180,50,1.178272008895874
-3180,50,1.1866648197174072
-2267,50,1.1930010318756104
-3378,50,1.200927495956421
-3763,50,1.2076196670532227
-2938,50,1.2148945331573486
-2487,50,1.2217309474945068
-2190,50,1.2274715900421143
-2707,50,1.2356476783752441
-2399,50,1.2420189380645752
-3389,50,1.2488806247711182
-3169,50,1.2573204040527344
-3235,50,1.2629237174987793
-2773,50,1.2708945274353027
-3488,50,1.2767224311828613
-2993,50,1.284677505493164
-3103,50,1.29097318649292
-2729,50,1.2969911098480225
-1772,50,1.3049917221069336
-2080,50,1.311272382736206
-3059,50,1.320204257965088
-3950,50,1.326061487197876
-2773,50,1.3341410160064697
-3015,50,1.3404414653778076
-3114,50,1.3474047183990479
-3169,50,1.3546862602233887
-3125,50,1.36441969871521
-2740,50,1.3716037273406982
