#{"t_start": 1763260049.1419482, "env_id": "None"}
r,l,t
-31.0,1000,10.173985
-28.5,1000,19.338145
-35.36,946,28.115912
-27.8,1000,37.248948
-31.97,757,44.177458
-26.6,1000,53.404701
-21.6,1000,62.789468
-19.8,1000,71.990722
-20.6,1000,81.070056
-20.9,1000,90.208463
-23.0,1000,99.750651
-27.9,1000,109.605285
-35.8,1000,119.471707
-41.3,1000,129.302917
-20.6,1000,139.168801
-53.4,1000,149.123478
-55.5,1000,159.053509
-20.7,1000,169.404387
-44.4,1000,179.506424
-36.0,1000,189.571029
-36.1,1000,199.804646
-27.7,1000,209.779988
-21.2,1000,219.095702
-20.6,1000,229.034575
-14.8,1000,238.935373
-17.5,1000,248.839651
-14.6,1000,258.844503
-14.7,1000,268.587508
-15.6,1000,278.595484
-13.6,1000,288.614232
-18.0,1000,298.585566
-29.3,1000,308.582538
-20.6,1000,318.434351
-46.3,1000,328.441321
-40.1,1000,338.434334
-19.6,1000,348.471839
-15.6,1000,358.525111
-43.4,1000,368.570177
-49.7,1000,378.652114
-44.1,1000,388.694574
-58.6,1000,398.733694
-30.9,1000,408.777496
-17.8,1000,418.916434
-18.8,1000,429.055212
-23.3,1000,439.150873
-38.6,1000,449.240886
-11.0,1000,459.447332
-14.9,1000,469.557077
-16.3,1000,479.60063
-12.2,1000,489.682446
-21.7,1000,499.807885
-12.3,1000,509.919601
-12.4,1000,520.112953
-12.7,1000,530.412024
-11.6,1000,540.589221
-11.5,1000,550.758994
-12.1,1000,560.964306
-11.4,1000,571.1428
-14.0,1000,581.419799
-17.4,1000,591.532705
-12.2,1000,601.665139
-16.9,1000,611.790385
-14.6,1000,621.716658
-13.8,1000,631.834348
-13.1,1000,641.99662
-21.2,1000,652.135612
-14.7,1000,662.292029
-11.3,1000,672.429982
-10.8,1000,682.606628
-17.5,1000,692.727027
-13.9,1000,702.827916
-10.4,1000,712.929885
-12.0,1000,723.058888
-10.3,1000,733.157002
-11.1,1000,743.306655
-10.5,1000,753.434371
-10.3,1000,763.577852
-12.0,1000,773.720815
-11.5,1000,783.836802
-11.5,1000,794.020171
-11.1,1000,804.190677
-11.6,1000,814.331181
-10.8,1000,824.473061
-10.3,1000,834.568461
-10.6,1000,844.710208
-10.7,1000,854.958457
-11.3,1000,865.120887
-10.8,1000,875.283105
-13.6,1000,885.687006
-10.4,1000,895.885619
-10.2,1000,906.302779
-10.2,1000,916.641117
-10.9,1000,926.91851
-10.4,1000,936.436332
-13.5,1000,945.844872
-10.2,1000,955.181544
-12.5,1000,964.655566
-10.1,1000,974.268504
-13.3,1000,984.201691
-13.2,1000,993.830521
-10.0,1000,1003.900498
-13.9,1000,1014.060028
-15.0,1000,1024.17924
-11.4,1000,1034.303005
-10.7,1000,1044.436326
-11.3,1000,1054.494214
-18.9,1000,1064.639384
-19.7,1000,1074.659904
-16.7,1000,1084.657214
-10.8,1000,1094.698653
-12.0,1000,1104.731684
