#1764279717
steps,r,l,t
200,-3.799999999999976,200,0.04628634452819824
400,-3.2999999999999754,200,0.08511590957641602
600,-4.89999999999998,200,0.13432908058166504
800,-4.099999999999981,200,0.19514226913452148
1000,-4.799999999999983,200,0.23938488960266113
1200,-3.6999999999999873,200,0.28333353996276855
1400,-5.199999999999986,200,0.32989072799682617
1600,-5.09999999999998,200,0.37578797340393066
1800,-4.399999999999977,200,0.42465972900390625
2000,-3.3999999999999844,200,0.4735450744628906
2200,-5.199999999999978,200,0.530522346496582
2400,-3.7999999999999856,200,0.6077485084533691
2600,-3.2999999999999896,200,0.6665658950805664
2800,-4.999999999999979,200,0.7073636054992676
3000,-3.399999999999982,200,0.7502973079681396
3200,-5.099999999999983,200,0.7917912006378174
3354,-2.039999999999992,154,0.824009895324707
3554,-4.399999999999979,200,0.8671364784240723
3754,-3.9999999999999747,200,0.9118068218231201
3954,-4.69999999999998,200,0.9540650844573975
4154,-4.399999999999982,200,0.997748851776123
4354,-4.199999999999979,200,1.038729190826416
4554,-3.499999999999986,200,1.078955888748169
4689,-1.1500000000000001,135,1.1062917709350586
4889,-3.7999999999999803,200,1.148162603378296
5089,-4.899999999999984,200,1.1891064643859863
5289,-3.8999999999999813,200,1.2317783832550049
5489,-5.999999999999987,200,1.2730443477630615
5689,-4.399999999999984,200,1.3154277801513672
5729,-0.5000000000000004,40,1.325117588043213
5929,-5.399999999999974,200,1.3669476509094238
5989,-1.0000000000000009,60,1.3792552947998047
6189,-4.29999999999998,200,1.4226253032684326
6389,-4.199999999999976,200,1.4631776809692383
6589,-3.3999999999999804,200,1.506049633026123
6666,-0.27000000000000046,77,1.5239453315734863
6866,-4.499999999999978,200,1.5676050186157227
7066,-4.099999999999975,200,1.6151652336120605
7266,-3.3999999999999826,200,1.6573066711425781
7466,-3.899999999999978,200,1.700011968612671
7666,-4.7999999999999865,200,1.7440836429595947
7866,-3.5999999999999783,200,1.7869060039520264
7955,-1.1899999999999993,89,1.8077609539031982
8155,-3.8999999999999773,200,1.8502197265625
8355,-5.899999999999983,200,1.8935520648956299
8555,-4.199999999999983,200,1.9366040229797363
8755,-2.7999999999999865,200,1.9787890911102295
8955,-4.49999999999998,200,2.0225484371185303
9155,-3.099999999999988,200,2.069323778152466
9355,-5.099999999999972,200,2.1114141941070557
9555,-5.099999999999976,200,2.155064582824707
9755,-4.499999999999984,200,2.1966745853424072
9955,-4.399999999999977,200,2.2423205375671387
10155,-5.299999999999983,200,2.284821033477783
10355,-3.6999999999999895,200,2.3315484523773193
10555,-4.8999999999999835,200,2.374891519546509
10755,-3.0999999999999805,200,2.417363166809082
10955,-4.599999999999985,200,2.462797164916992
11155,-5.799999999999983,200,2.5075387954711914
11355,-4.599999999999979,200,2.554647207260132
11446,-0.610000000000001,91,2.580496311187744
11646,-4.599999999999981,200,2.656160831451416
11846,-5.499999999999988,200,2.7281548976898193
12046,-3.299999999999982,200,2.774221181869507
12246,-4.199999999999984,200,2.82371187210083
12446,-4.799999999999991,200,2.870520830154419
12646,-5.599999999999982,200,2.923184633255005
12846,-5.399999999999983,200,2.970839262008667
13046,-6.199999999999984,200,3.016458034515381
13246,-5.399999999999982,200,3.0639259815216064
13446,-5.79999999999998,200,3.1109657287597656
13532,-0.4600000000000004,86,3.133026123046875
13732,-4.099999999999985,200,3.179339647293091
13932,-3.9999999999999787,200,3.2249817848205566
14132,-4.799999999999973,200,3.2708516120910645
14332,-4.599999999999982,200,3.316338539123535
14522,-2.9999999999999796,190,3.359227180480957
14653,-2.009999999999992,131,3.389857053756714
14853,-5.399999999999979,200,3.438321828842163
15053,-3.7999999999999803,200,3.484426259994507
15253,-4.79999999999998,200,3.533064603805542
15453,-4.899999999999975,200,3.5809669494628906
15653,-3.0999999999999868,200,3.6252095699310303
15853,-3.999999999999983,200,3.6687793731689453
16053,-5.299999999999988,200,3.7154877185821533
16253,-5.499999999999988,200,3.761868715286255
16453,-5.599999999999978,200,3.8096039295196533
16653,-6.6999999999999815,200,3.8541369438171387
16853,-5.39999999999998,200,3.9017484188079834
17053,-5.59999999999998,200,3.9541149139404297
17253,-5.0999999999999845,200,4.003649711608887
17453,-4.9999999999999805,200,4.049883842468262
17653,-6.099999999999987,200,4.0991199016571045
17853,-6.299999999999983,200,4.144814968109131
18053,-5.099999999999987,200,4.193868637084961
18253,-6.299999999999981,200,4.2386555671691895
18453,-5.699999999999984,200,4.287636995315552
18653,-5.499999999999983,200,4.33746337890625
18853,-5.999999999999987,200,4.3889524936676025
19053,-3.9999999999999822,200,4.437210321426392
19253,-5.899999999999981,200,4.485361576080322
19453,-6.499999999999982,200,4.5331315994262695
19653,-4.999999999999981,200,4.582160234451294
19853,-7.699999999999986,200,4.6388585567474365
20053,-4.899999999999986,200,4.7961766719818115
20253,-5.499999999999976,200,5.187898397445679
20453,-5.599999999999981,200,5.570575475692749
20653,-4.3999999999999755,200,5.928195953369141
20853,-3.9999999999999742,200,6.287152290344238
21053,-5.999999999999982,200,6.676925182342529
21253,-3.899999999999984,200,7.089748859405518
21412,-2.089999999999983,159,7.418256998062134
21612,-5.1999999999999735,200,7.810676574707031
21812,-7.799999999999985,200,8.202035427093506
22012,-4.199999999999979,200,8.585188388824463
22212,-4.699999999999979,200,8.953347444534302
22412,-5.79999999999998,200,9.30623984336853
22612,-3.899999999999976,200,9.673113346099854
22812,-3.9999999999999813,200,10.051937341690063
23012,-4.099999999999982,200,10.421040058135986
23147,-0.8500000000000012,135,10.674192190170288
23268,-1.9099999999999884,121,10.918197631835938
23468,-3.199999999999982,200,11.292075157165527
23668,-3.2999999999999936,200,11.658006191253662
23868,-4.1999999999999815,200,12.021800518035889
23993,-0.850000000000001,125,12.256855487823486
24072,-0.09000000000000052,79,12.409514427185059
24272,-2.6999999999999886,200,12.781405448913574
24472,-2.9999999999999907,200,13.112508058547974
24623,-1.1099999999999992,151,13.376623392105103
24800,-1.769999999999987,177,13.697802543640137
25000,-3.3999999999999786,200,14.077620029449463
25146,-0.9600000000000011,146,14.331296682357788
25192,0.13999999999999968,46,14.415807485580444
25392,-2.499999999999995,200,14.772428274154663
25557,-2.4499999999999913,165,15.061683893203735
25613,0.0399999999999997,56,15.158538341522217
25813,-3.199999999999989,200,15.500919103622437
26013,-3.1999999999999855,200,15.843307733535767
26163,-1.1999999999999995,150,16.10550594329834
26363,-3.899999999999988,200,16.450592756271362
26524,-2.009999999999989,161,16.7345449924469
26612,-0.7800000000000009,88,16.886812210083008
26747,-1.149999999999998,135,17.124478816986084
26767,0.7999999999999999,20,17.159818649291992
26967,-3.7999999999999887,200,17.51706600189209
27070,-0.8300000000000012,103,17.699179887771606
27270,-2.299999999999997,200,18.04440712928772
27313,0.06999999999999984,43,18.122297763824463
27509,-3.059999999999982,196,18.487346649169922
27709,-3.5999999999999828,200,18.872971296310425
27814,-1.1500000000000006,105,19.10150384902954
27857,-0.03000000000000025,43,19.19967222213745
27909,0.3799999999999998,52,19.292658805847168
28044,-1.7499999999999944,135,19.5654194355011
28077,0.5699999999999998,33,19.62630343437195
28187,-0.5000000000000009,110,19.835138082504272
28387,-2.9999999999999845,200,20.20193099975586
28587,-4.199999999999987,200,20.580999851226807
28757,-1.9999999999999953,170,20.899566650390625
28917,-1.3999999999999975,160,21.195226430892944
29037,-1.099999999999999,120,21.419216871261597
29185,-1.7799999999999947,148,21.68320393562317
29363,-2.079999999999983,178,21.99655795097351
29449,-0.5600000000000007,86,22.152093410491943
29565,-1.659999999999995,116,22.356520652770996
29637,-0.5200000000000007,72,22.485080003738403
29805,-1.5799999999999936,168,22.787599325180054
29973,-1.679999999999991,168,23.10446333885193
30000,0.22999999999999998,27,23.160128355026245
30188,-2.0799999999999903,188,23.56802988052368
30243,0.24999999999999978,55,23.670567989349365
30319,-0.0600000000000005,76,23.82023811340332
30351,0.2799999999999999,32,23.883140325546265
30484,-1.9299999999999928,133,24.146146297454834
30564,-0.6000000000000008,80,24.300451278686523
30678,-0.5400000000000009,114,24.524762868881226
30726,0.4199999999999998,48,24.622223377227783
30802,-0.26000000000000045,76,24.773768663406372
30910,-1.3799999999999943,108,24.987695455551147
31081,-2.00999999999999,171,25.327049732208252
31213,-0.9200000000000013,132,25.58512830734253
31333,-1.099999999999999,120,25.817877531051636
31423,-0.4000000000000006,90,25.991324424743652
31537,-1.14,114,26.21254587173462
31620,-0.6300000000000008,83,26.37600326538086
31728,-0.48000000000000065,108,26.587432622909546
31852,-0.8400000000000012,124,26.82957649230957
32038,-1.859999999999988,186,27.182424306869507
32063,0.5499999999999998,25,27.22784447669983
32185,-1.3199999999999965,122,27.472328186035156
32247,-0.5200000000000007,62,27.595572233200073
32447,-2.699999999999987,200,27.974496126174927
32556,-0.890000000000001,109,28.1829617023468
32668,-0.920000000000001,112,28.40912914276123
32789,-0.8100000000000009,121,28.668501615524292
32933,-1.339999999999997,144,29.002192974090576
33042,-0.2900000000000009,109,29.243152379989624
33080,0.31999999999999984,38,29.32698130607605
33138,-0.28000000000000047,58,29.433622121810913
33231,-0.23000000000000065,93,29.611916303634644
33431,-2.399999999999995,200,30.005151987075806
33448,0.8300000000000001,17,30.047471523284912
33551,-0.33000000000000074,103,30.245274305343628
33705,-1.5399999999999954,154,30.588422775268555
33878,-2.4299999999999855,173,30.96256971359253
33947,-0.39000000000000057,69,31.102356672286987
34045,-0.7800000000000009,98,31.305226802825928
