#1764273444
steps,r,l,t
188,-3.4799999999999827,188,0.0354156494140625
388,-3.699999999999976,200,0.07074856758117676
588,-2.9999999999999893,200,0.10665559768676758
788,-4.4999999999999805,200,0.1434929370880127
988,-4.899999999999977,200,0.17987465858459473
1188,-3.999999999999973,200,0.2162489891052246
1304,-0.660000000000001,116,0.2377314567565918
1504,-2.6999999999999864,200,0.2757093906402588
1704,-3.399999999999982,200,0.312938928604126
1904,-3.2999999999999847,200,0.347369909286499
2104,-2.6999999999999886,200,0.3845863342285156
2304,-4.999999999999982,200,0.42249536514282227
2504,-4.4999999999999805,200,0.4576377868652344
2704,-4.399999999999976,200,0.49413037300109863
2743,0.20999999999999974,39,0.5007739067077637
2943,-3.999999999999985,200,0.5379695892333984
3143,-4.9999999999999725,200,0.5753734111785889
3343,-5.7999999999999785,200,0.6108105182647705
3543,-2.299999999999997,200,0.6493668556213379
3743,-5.09999999999998,200,0.6865196228027344
3943,-5.099999999999975,200,0.7247440814971924
4143,-3.499999999999982,200,0.7621827125549316
4343,-5.099999999999991,200,0.8001117706298828
4543,-4.099999999999974,200,0.8379254341125488
4743,-5.1999999999999815,200,0.8753395080566406
4943,-3.699999999999985,200,0.9142105579376221
5143,-4.5999999999999766,200,0.9535505771636963
5343,-3.999999999999983,200,0.9916746616363525
5506,-2.329999999999986,163,1.0225660800933838
5706,-4.499999999999983,200,1.0622508525848389
5906,-4.499999999999976,200,1.099433183670044
6106,-2.7999999999999923,200,1.1410703659057617
6229,-2.3299999999999876,123,1.165433645248413
6429,-3.899999999999981,200,1.204202651977539
6629,-3.899999999999982,200,1.24605131149292
6829,-3.599999999999978,200,1.2865827083587646
7029,-6.09999999999999,200,1.328700304031372
7229,-3.2999999999999843,200,1.36905837059021
7429,-4.399999999999983,200,1.408390998840332
7629,-5.299999999999978,200,1.4490861892700195
7829,-4.499999999999973,200,1.4926609992980957
8029,-4.199999999999988,200,1.5338237285614014
8229,-2.7999999999999936,200,1.5739946365356445
8429,-2.699999999999991,200,1.6145999431610107
8629,-3.3999999999999777,200,1.6572775840759277
8829,-4.299999999999984,200,1.6975860595703125
9029,-3.5999999999999805,200,1.740576982498169
9229,-3.999999999999983,200,1.7844421863555908
9429,-5.099999999999984,200,1.8260104656219482
9629,-7.199999999999988,200,1.867933750152588
9829,-4.59999999999998,200,1.909745693206787
10029,-5.29999999999998,200,1.9514291286468506
10229,-4.2999999999999865,200,1.9922714233398438
10326,-0.870000000000001,97,2.0125741958618164
10526,-3.2999999999999847,200,2.0528347492218018
10726,-3.7999999999999803,200,2.094508647918701
10926,-4.499999999999985,200,2.1391143798828125
11126,-4.7999999999999785,200,2.1835789680480957
11326,-5.399999999999972,200,2.2248480319976807
11526,-3.8999999999999893,200,2.267584800720215
11726,-4.399999999999973,200,2.3101656436920166
11926,-5.199999999999985,200,2.3529293537139893
12126,-4.099999999999985,200,2.3936967849731445
12326,-5.199999999999984,200,2.437110424041748
12526,-5.799999999999978,200,2.4807608127593994
12726,-3.999999999999974,200,2.524416446685791
12926,-4.399999999999979,200,2.5694186687469482
13126,-4.099999999999974,200,2.613497257232666
13326,-4.499999999999977,200,2.6544196605682373
13526,-7.499999999999984,200,2.6968648433685303
13726,-6.199999999999976,200,2.7420578002929688
13926,-4.699999999999983,200,2.7854316234588623
14126,-5.199999999999979,200,2.828315496444702
14326,-5.999999999999981,200,2.8735554218292236
14526,-4.899999999999981,200,2.9182684421539307
14726,-5.799999999999983,200,2.962567090988159
14926,-4.799999999999977,200,3.007025957107544
15126,-5.699999999999981,200,3.049272060394287
15326,-4.499999999999974,200,3.0928361415863037
15526,-4.699999999999975,200,3.1369779109954834
15726,-4.5999999999999694,200,3.182710886001587
15926,-4.599999999999976,200,3.227323532104492
16126,-3.8999999999999764,200,3.2725300788879395
16326,-6.299999999999976,200,3.317209243774414
16526,-5.299999999999986,200,3.365399122238159
16726,-5.699999999999982,200,3.413156509399414
16926,-6.399999999999978,200,3.459638833999634
17126,-6.69999999999998,200,3.5032570362091064
17326,-5.29999999999998,200,3.550196647644043
17526,-5.299999999999981,200,3.598674774169922
17726,-3.3999999999999844,200,3.645437717437744
17926,-4.59999999999998,200,3.69132661819458
18126,-4.599999999999981,200,3.7374978065490723
18326,-4.199999999999972,200,3.780637264251709
18526,-5.399999999999978,200,3.827225685119629
18726,-5.099999999999972,200,3.872638463973999
18926,-4.599999999999974,200,3.9154887199401855
19126,-5.299999999999981,200,3.963005542755127
19326,-5.19999999999998,200,4.008315086364746
19526,-5.599999999999982,200,4.05399227142334
19726,-4.999999999999988,200,4.1016340255737305
19926,-6.199999999999979,200,4.149127006530762
20126,-4.699999999999985,200,4.384035348892212
20326,-4.899999999999983,200,4.743119716644287
20526,-5.399999999999985,200,5.095420837402344
20726,-8.099999999999994,200,5.453317880630493
20926,-5.899999999999984,200,5.806068658828735
21126,-4.49999999999998,200,6.157121896743774
21299,-2.429999999999982,173,6.459946632385254
21499,-3.699999999999974,200,6.816896438598633
21699,-5.199999999999985,200,7.170974016189575
21899,-3.9999999999999782,200,7.5306267738342285
22044,-2.049999999999989,145,7.7941975593566895
22244,-4.699999999999975,200,8.166423320770264
22444,-4.199999999999983,200,8.524822235107422
22644,-3.999999999999981,200,8.881656885147095
22837,-2.129999999999982,193,9.22055959701538
23037,-3.3999999999999866,200,9.575577735900879
23237,-4.899999999999982,200,9.934844493865967
23437,-4.299999999999974,200,10.29237174987793
23637,-4.599999999999988,200,10.645717144012451
23837,-3.6999999999999806,200,11.00043511390686
23973,-1.6599999999999941,136,11.244065523147583
24173,-4.399999999999971,200,11.601126909255981
24373,-2.9999999999999867,200,11.96085500717163
24415,0.2799999999999998,42,12.033432722091675
24615,-3.6999999999999877,200,12.395542860031128
24815,-3.2999999999999825,200,12.761190176010132
25015,-3.799999999999988,200,13.111726760864258
25182,-2.569999999999995,167,13.402174234390259
25265,-0.630000000000001,83,13.547811508178711
25465,-2.199999999999997,200,13.895825624465942
25665,-3.6999999999999846,200,14.253071784973145
25865,-3.7999999999999843,200,14.614405870437622
26065,-3.0999999999999908,200,14.969948768615723
26154,-0.3900000000000008,89,15.129124879837036
26354,-3.4999999999999867,200,15.485714673995972
26496,-1.3199999999999965,142,15.742682933807373
26650,-1.8399999999999939,154,16.01917576789856
26687,0.4299999999999998,37,16.085637092590332
26887,-3.499999999999987,200,16.44875407218933
26925,0.5199999999999998,38,16.520177125930786
27006,-0.8100000000000009,81,16.66486930847168
27186,-2.1999999999999824,180,16.992536544799805
27367,-1.709999999999986,181,17.323975324630737
27511,-2.0399999999999947,144,17.585506439208984
27635,-0.8400000000000012,124,17.807376623153687
27673,0.41999999999999993,38,17.877408504486084
27873,-3.7999999999999807,200,18.236828088760376
28059,-1.5599999999999976,186,18.57532501220703
28191,-1.7199999999999969,132,18.81514811515808
28326,-2.3499999999999925,135,19.065260887145996
28523,-3.5699999999999887,197,19.420775890350342
28656,-1.7299999999999967,133,19.65654182434082
28808,-1.4199999999999957,152,19.938961029052734
28910,-0.4200000000000008,102,20.12328004837036
28991,-0.3100000000000005,81,20.268795013427734
29068,-0.4700000000000004,77,20.414876699447632
29164,-1.4599999999999962,96,20.590749740600586
29218,-0.14000000000000035,54,20.688974142074585
29353,-1.349999999999995,135,20.939321756362915
29384,-0.010000000000000009,31,20.997596502304077
29426,-0.12000000000000033,42,21.071357011795044
29538,-1.0200000000000011,112,21.277045965194702
29738,-3.6999999999999873,200,21.641422033309937
29877,-2.189999999999986,139,21.89935278892517
29950,-0.7300000000000009,73,22.030720949172974
30016,-0.26000000000000045,66,22.158321857452393
30216,-3.1999999999999797,200,22.49276638031006
30334,-1.3799999999999997,118,22.68807291984558
30534,-3.5999999999999823,200,23.02490544319153
30637,-1.4299999999999964,103,23.201958894729614
30837,-3.5999999999999828,200,23.544437408447266
30958,-1.2099999999999989,121,23.747296810150146
31116,-1.979999999999989,158,24.0304012298584
31219,-0.030000000000000693,103,24.209124088287354
