#1764284639
steps,r,l,t
200,-4.399999999999979,200,0.0175628662109375
354,-2.2399999999999842,154,0.030515432357788086
554,-3.69999999999998,200,0.047293901443481445
754,-4.699999999999979,200,0.06498074531555176
915,-1.9099999999999906,161,0.07882809638977051
1115,-3.699999999999975,200,0.0958709716796875
1315,-3.399999999999985,200,0.11243414878845215
1515,-4.299999999999982,200,0.12954187393188477
1715,-4.999999999999981,200,0.14686369895935059
1915,-6.79999999999998,200,0.16501641273498535
2115,-5.099999999999981,200,0.18272686004638672
2315,-5.2999999999999785,200,0.19931340217590332
2432,-1.4699999999999978,117,0.20979523658752441
2632,-4.299999999999977,200,0.22641491889953613
2832,-5.299999999999976,200,0.2441120147705078
3032,-5.099999999999985,200,0.26105332374572754
3232,-2.999999999999991,200,0.27817201614379883
3432,-3.999999999999973,200,0.29698705673217773
3632,-3.8999999999999786,200,0.31446266174316406
3687,-0.050000000000000266,55,0.3193397521972656
3779,-1.2199999999999986,92,0.32727646827697754
3979,-3.2999999999999887,200,0.34575414657592773
4179,-4.799999999999975,200,0.3626129627227783
4379,-3.1999999999999886,200,0.38129639625549316
4579,-5.499999999999978,200,0.40068984031677246
4779,-5.699999999999973,200,0.4191310405731201
4894,-1.2499999999999958,115,0.42944860458374023
5088,-2.239999999999986,194,0.44707584381103516
5288,-4.799999999999973,200,0.4657249450683594
5488,-2.7999999999999883,200,0.4831242561340332
5688,-3.299999999999989,200,0.501368522644043
5888,-3.8999999999999906,200,0.5212903022766113
6088,-5.099999999999975,200,0.5417234897613525
6288,-4.899999999999982,200,0.5628294944763184
6488,-4.799999999999987,200,0.5825884342193604
6688,-3.8999999999999764,200,0.6050198078155518
6791,-0.5300000000000009,103,0.6162223815917969
6991,-4.999999999999981,200,0.6356160640716553
7191,-5.9999999999999805,200,0.6564199924468994
7391,-5.199999999999978,200,0.6766836643218994
7591,-4.499999999999977,200,0.696814775466919
7791,-4.099999999999979,200,0.7177104949951172
7991,-3.899999999999972,200,0.7381985187530518
8191,-5.399999999999979,200,0.7583096027374268
8391,-2.899999999999984,200,0.778397798538208
8591,-3.999999999999979,200,0.799354076385498
8791,-3.5999999999999828,200,0.8211140632629395
8991,-4.0999999999999766,200,0.8431429862976074
9191,-4.999999999999989,200,0.8656351566314697
9391,-4.799999999999987,200,0.8881640434265137
9436,0.34999999999999987,45,0.8937416076660156
9636,-3.399999999999982,200,0.91489577293396
9836,-5.999999999999977,200,0.938866376876831
10036,-6.199999999999978,200,0.9613127708435059
10236,-3.199999999999989,200,0.9814941883087158
10436,-3.7999999999999834,200,1.0036470890045166
10636,-3.5999999999999734,200,1.024768352508545
10836,-5.19999999999998,200,1.0472018718719482
11036,-4.199999999999977,200,1.0688908100128174
11236,-4.599999999999985,200,1.0897331237792969
11436,-3.8999999999999777,200,1.1123661994934082
11636,-3.9999999999999876,200,1.1360588073730469
11836,-6.09999999999998,200,1.1632907390594482
11923,-0.870000000000001,87,1.1741383075714111
12060,-1.8699999999999906,137,1.1919121742248535
12260,-3.899999999999977,200,1.2236156463623047
12460,-4.499999999999976,200,1.2512328624725342
12660,-3.7999999999999847,200,1.2738118171691895
12860,-5.299999999999982,200,1.2966217994689941
13060,-5.699999999999974,200,1.3193752765655518
13260,-4.499999999999982,200,1.3419482707977295
13403,-1.4299999999999968,143,1.358912706375122
13603,-7.299999999999982,200,1.3815302848815918
13803,-3.8999999999999737,200,1.4030401706695557
14003,-5.199999999999976,200,1.4272398948669434
14098,-0.35000000000000053,95,1.437413215637207
14298,-4.799999999999976,200,1.461291790008545
14498,-4.499999999999981,200,1.4858996868133545
14698,-6.299999999999978,200,1.5100913047790527
14898,-5.999999999999987,200,1.5338823795318604
15098,-5.699999999999988,200,1.5581138134002686
15298,-5.099999999999983,200,1.580216646194458
15498,-4.599999999999982,200,1.6056644916534424
15698,-4.399999999999984,200,1.6288275718688965
15898,-5.899999999999981,200,1.654313564300537
16098,-4.299999999999984,200,1.6785821914672852
16298,-5.3999999999999835,200,1.703382968902588
16498,-4.999999999999977,200,1.726372241973877
16698,-4.799999999999981,200,1.7478084564208984
16898,-3.899999999999985,200,1.7709262371063232
17098,-6.499999999999981,200,1.7941067218780518
17298,-4.099999999999979,200,1.818397045135498
17498,-8.299999999999983,200,1.8418097496032715
17698,-3.7999999999999767,200,1.8642992973327637
17898,-5.099999999999989,200,1.8884665966033936
18098,-5.19999999999998,200,1.9119298458099365
18161,-0.13000000000000034,63,1.919975757598877
18361,-4.399999999999982,200,1.9432501792907715
18561,-4.299999999999989,200,1.9660217761993408
18589,0.52,28,1.97007155418396
18789,-5.799999999999983,200,1.9946410655975342
18989,-5.599999999999984,200,2.0192928314208984
19189,-4.699999999999976,200,2.043811321258545
19389,-5.199999999999985,200,2.0706615447998047
19589,-5.29999999999998,200,2.09560489654541
19789,-4.599999999999981,200,2.118933916091919
19989,-5.699999999999981,200,2.144085168838501
20189,-4.899999999999984,200,2.421299934387207
20389,-6.39999999999998,200,2.7115721702575684
20534,-1.4499999999999964,145,2.9224987030029297
20734,-3.7999999999999803,200,3.212517499923706
20934,-4.699999999999979,200,3.500723361968994
21134,-3.899999999999977,200,3.797355890274048
21334,-5.099999999999988,200,4.0869224071502686
21534,-4.099999999999982,200,4.37616229057312
21734,-4.599999999999981,200,4.66771936416626
21827,-0.13000000000000078,93,4.804263591766357
22022,-2.449999999999986,195,5.090407848358154
22222,-5.999999999999984,200,5.3824462890625
22422,-4.2999999999999865,200,5.677436113357544
22622,-4.099999999999981,200,5.970506191253662
22679,0.029999999999999694,57,6.053398370742798
22807,-1.5799999999999976,128,6.2431488037109375
23007,-2.999999999999981,200,6.533418416976929
23206,-2.389999999999981,199,6.8287129402160645
23406,-4.399999999999976,200,7.119612455368042
23606,-3.2999999999999825,200,7.413362979888916
23806,-2.899999999999991,200,7.709057092666626
23829,0.5699999999999998,23,7.745486259460449
23995,-3.159999999999987,166,7.989637136459351
24195,-3.6999999999999758,200,8.285321474075317
24395,-3.099999999999989,200,8.581610202789307
24595,-2.999999999999988,200,8.874961376190186
24795,-2.799999999999993,200,9.16773509979248
24950,-2.0499999999999927,155,9.398892402648926
25089,-1.2899999999999994,139,9.603713989257812
25122,0.06999999999999995,33,9.652525901794434
25322,-3.0999999999999863,200,9.947583675384521
25522,-3.399999999999982,200,10.241999864578247
25722,-3.6999999999999855,200,10.537940263748169
25922,-2.8999999999999866,200,10.835854768753052
26107,-2.149999999999989,185,11.106887340545654
26307,-3.3999999999999875,200,11.402994871139526
26351,0.45999999999999974,44,11.46965765953064
26411,-0.10000000000000031,60,11.55916166305542
26611,-3.0999999999999868,200,11.856752157211304
26663,-0.6200000000000006,52,11.933159112930298
26837,-1.8399999999999903,174,12.194255352020264
26947,-1.2999999999999983,110,12.354837894439697
26970,0.5699999999999998,23,12.389880180358887
27072,-0.6200000000000008,102,12.542227983474731
27229,-1.7699999999999962,157,12.775635480880737
27429,-3.6999999999999833,200,13.076607942581177
27629,-3.8999999999999786,200,13.37259292602539
27829,-3.4999999999999805,200,13.66767406463623
27958,-1.7899999999999887,129,13.859712839126587
28123,-2.3499999999999854,165,14.105005025863647
28323,-3.899999999999979,200,14.402703285217285
28523,-3.5999999999999766,200,14.701828479766846
28721,-1.9799999999999909,198,15.000960350036621
28915,-2.239999999999987,194,15.288774013519287
28987,-0.8200000000000007,72,15.395748615264893
29187,-3.9999999999999805,200,15.698856830596924
29231,0.35999999999999976,44,15.764871835708618
29335,-1.1399999999999981,104,15.919048547744751
29457,-2.0199999999999934,122,16.104658126831055
29606,-2.3899999999999917,149,16.325842142105103
29660,-0.3400000000000005,54,16.408774614334106
29707,-0.07000000000000028,47,16.474854230880737
29815,-0.48000000000000065,108,16.63701558113098
29934,-0.9900000000000009,119,16.816730260849
30117,-2.42999999999999,183,17.091545820236206
30139,0.58,22,17.121981143951416
