#1764286350
steps,r,l,t
200,-5.599999999999983,200,0.017348051071166992
400,-3.9999999999999782,200,0.03416252136230469
600,-4.6999999999999815,200,0.05098104476928711
800,-6.499999999999986,200,0.06813430786132812
1000,-3.9999999999999774,200,0.08511638641357422
1200,-4.699999999999981,200,0.10294604301452637
1400,-4.199999999999978,200,0.11961627006530762
1600,-3.2999999999999856,200,0.13621020317077637
1800,-4.399999999999981,200,0.1524806022644043
2000,-3.8999999999999875,200,0.16914772987365723
2182,-2.6199999999999886,182,0.18576574325561523
2382,-3.699999999999978,200,0.20366835594177246
2582,-5.29999999999998,200,0.22272276878356934
2782,-3.7999999999999803,200,0.24193167686462402
2943,-2.7099999999999875,161,0.2577977180480957
3143,-3.8999999999999813,200,0.2761986255645752
3343,-4.899999999999978,200,0.2951927185058594
3543,-4.199999999999973,200,0.3141305446624756
3743,-4.199999999999979,200,0.3342747688293457
3943,-2.999999999999991,200,0.35279393196105957
4143,-4.599999999999977,200,0.3724370002746582
4225,-0.7200000000000011,82,0.3803102970123291
4425,-2.9999999999999893,200,0.3982367515563965
4625,-3.2999999999999865,200,0.41773033142089844
4825,-3.599999999999983,200,0.4382612705230713
5025,-3.8999999999999826,200,0.4573476314544678
5225,-2.9999999999999885,200,0.4778106212615967
5305,-1.7999999999999974,80,0.4854710102081299
5505,-3.5999999999999845,200,0.5047142505645752
5705,-5.399999999999984,200,0.5263097286224365
5905,-3.699999999999989,200,0.5471887588500977
6105,-2.9999999999999867,200,0.5692768096923828
6305,-4.699999999999982,200,0.5916457176208496
6505,-3.8999999999999777,200,0.6119523048400879
6699,-5.039999999999974,194,0.6332573890686035
6899,-4.099999999999985,200,0.6565868854522705
7094,-3.6499999999999844,195,0.6767120361328125
7294,-2.999999999999984,200,0.6976184844970703
7476,-2.1199999999999886,182,0.7166202068328857
7676,-4.2999999999999785,200,0.7366790771484375
7876,-4.199999999999978,200,0.7561855316162109
8076,-3.599999999999981,200,0.7776138782501221
8264,-2.4799999999999853,188,0.7975466251373291
8464,-4.899999999999989,200,0.8190739154815674
8529,-0.15000000000000036,65,0.8252670764923096
8687,-1.5799999999999919,158,0.8412778377532959
8887,-4.49999999999998,200,0.864865779876709
9087,-3.999999999999979,200,0.8861899375915527
9287,-4.699999999999975,200,0.9062826633453369
9487,-4.899999999999981,200,0.9286243915557861
9687,-4.699999999999976,200,0.9495489597320557
9887,-6.59999999999998,200,0.9717555046081543
10087,-3.799999999999982,200,0.9938101768493652
10287,-4.199999999999979,200,1.0176002979278564
10487,-5.39999999999998,200,1.0420222282409668
10687,-5.0999999999999766,200,1.0643494129180908
10887,-3.8999999999999875,200,1.0856614112854004
11045,-2.0799999999999876,158,1.1040046215057373
11245,-3.4999999999999867,200,1.1258373260498047
11445,-3.3999999999999866,200,1.147587776184082
11638,-2.3299999999999876,193,1.1681764125823975
11801,-3.3299999999999788,163,1.1859846115112305
12001,-2.899999999999984,200,1.2079026699066162
