#1764226315
steps,r,l,t
200,-5.799999999999983,200,0.11836934089660645
400,-5.59999999999998,200,0.22022414207458496
600,-6.9999999999999805,200,0.3195164203643799
800,-5.799999999999978,200,0.41455578804016113
1000,-5.699999999999981,200,0.5134322643280029
1200,-5.299999999999979,200,0.6125576496124268
1400,-5.799999999999983,200,0.7164201736450195
1600,-5.299999999999978,200,0.8168294429779053
1800,-6.199999999999982,200,0.9114353656768799
2000,-7.699999999999989,200,1.0119597911834717
2200,-5.899999999999982,200,1.106243371963501
2400,-5.699999999999982,200,1.2056350708007812
2600,-7.899999999999995,200,1.3022892475128174
2800,-5.999999999999984,200,1.3975613117218018
3000,-4.799999999999978,200,1.4945859909057617
3200,-6.699999999999984,200,1.592559576034546
3400,-5.49999999999998,200,1.6933977603912354
3600,-5.799999999999979,200,1.7927546501159668
3800,-5.899999999999982,200,1.8983185291290283
4000,-7.099999999999986,200,1.9947185516357422
4200,-6.399999999999982,200,2.094688653945923
4400,-7.399999999999989,200,2.1959304809570312
4600,-6.399999999999978,200,2.2996842861175537
4800,-7.499999999999986,200,2.4047977924346924
5000,-4.699999999999979,200,2.507406711578369
5200,-5.69999999999998,200,2.625051736831665
5400,-4.899999999999981,200,2.7336440086364746
5600,-6.1999999999999895,200,2.8437230587005615
5800,-5.999999999999992,200,2.954139471054077
6000,-5.499999999999979,200,3.067250967025757
6200,-5.999999999999984,200,3.183534622192383
6400,-6.499999999999985,200,3.3022615909576416
6600,-5.199999999999978,200,3.4195053577423096
6800,-6.799999999999984,200,3.5240790843963623
7000,-7.6999999999999895,200,3.638902425765991
7200,-7.699999999999988,200,3.7495903968811035
7400,-6.69999999999998,200,3.8599398136138916
7600,-6.399999999999983,200,3.9619641304016113
7800,-7.299999999999988,200,4.069281578063965
8000,-5.799999999999983,200,4.180677652359009
8200,-5.299999999999977,200,4.2922749519348145
8400,-7.799999999999992,200,4.406922340393066
8600,-8.399999999999993,200,4.5161988735198975
8800,-7.0999999999999845,200,4.621866941452026
9000,-6.699999999999986,200,4.7377119064331055
9200,-5.499999999999981,200,4.846819639205933
9400,-7.099999999999987,200,4.953035354614258
9600,-5.899999999999982,200,5.054581642150879
9800,-5.599999999999987,200,5.160308361053467
10000,-6.499999999999991,200,5.267603397369385
10200,-6.999999999999988,200,5.376721143722534
10400,-8.79999999999999,200,5.483932256698608
10600,-6.899999999999986,200,5.597069978713989
10800,-6.799999999999987,200,5.705793142318726
11000,-7.299999999999987,200,5.812422513961792
11200,-6.899999999999986,200,5.920689105987549
11400,-6.999999999999985,200,6.029747486114502
11600,-4.599999999999982,200,6.13612699508667
11800,-7.099999999999989,200,6.242751598358154
12000,-7.799999999999988,200,6.353943347930908
12200,-7.5999999999999845,200,6.465136528015137
12400,-6.099999999999983,200,6.573450803756714
12600,-6.799999999999977,200,6.683666706085205
12800,-6.09999999999998,200,6.797855377197266
13000,-7.299999999999992,200,6.906975030899048
13200,-5.2999999999999785,200,7.021454095840454
13400,-5.09999999999998,200,7.150501489639282
13600,-7.299999999999987,200,7.270620822906494
13800,-7.199999999999983,200,7.394110918045044
14000,-7.89999999999999,200,7.508630037307739
14200,-7.79999999999999,200,7.616731405258179
14400,-5.499999999999981,200,7.727494955062866
14600,-7.499999999999985,200,7.845374822616577
14800,-6.399999999999985,200,7.95754075050354
15000,-7.099999999999992,200,8.062039136886597
15200,-7.499999999999986,200,8.175479650497437
15400,-5.5999999999999845,200,8.28389310836792
15600,-4.799999999999984,200,8.393005132675171
