#1764212583
steps,r,l,t
200,-6.099999999999979,200,0.10348081588745117
400,-6.1999999999999815,200,0.2859001159667969
600,-5.199999999999978,200,0.38773417472839355
800,-6.699999999999981,200,0.4876432418823242
1000,-6.699999999999984,200,0.5864615440368652
1200,-6.5999999999999845,200,0.685330867767334
1400,-7.599999999999988,200,0.7850854396820068
1600,-6.09999999999998,200,0.8871145248413086
1800,-6.599999999999981,200,0.9911704063415527
2000,-7.399999999999989,200,1.0867767333984375
2200,-5.999999999999977,200,1.1853785514831543
2400,-6.099999999999982,200,1.2906084060668945
2600,-5.1999999999999815,200,1.39381742477417
2800,-6.199999999999982,200,1.4953539371490479
3000,-6.599999999999988,200,1.5948817729949951
3200,-5.699999999999979,200,1.696089506149292
3400,-5.599999999999976,200,1.7954528331756592
3600,-5.59999999999998,200,1.8945214748382568
3800,-5.399999999999982,200,1.9976093769073486
4000,-7.299999999999979,200,2.096438407897949
4200,-5.699999999999988,200,2.194615364074707
4400,-4.799999999999979,200,2.2963435649871826
4600,-6.299999999999984,200,2.3954081535339355
4800,-5.599999999999977,200,2.493962049484253
5000,-5.899999999999984,200,2.59578275680542
5200,-7.899999999999994,200,2.6957967281341553
5400,-5.999999999999985,200,2.7978665828704834
5600,-6.0999999999999845,200,2.897353172302246
5800,-6.59999999999998,200,2.9998416900634766
6000,-5.899999999999983,200,3.10929799079895
6200,-7.1999999999999815,200,3.2151477336883545
6400,-5.699999999999977,200,3.321554183959961
6600,-6.899999999999988,200,3.432253360748291
6800,-9.699999999999983,200,3.552072286605835
7000,-5.699999999999978,200,3.655595541000366
7200,-6.499999999999983,200,3.7577834129333496
7400,-6.8999999999999835,200,3.863020181655884
7600,-6.999999999999981,200,3.9656002521514893
7800,-5.1999999999999815,200,4.069164276123047
8000,-5.4999999999999805,200,4.173522710800171
8200,-6.599999999999983,200,4.2758002281188965
8400,-5.899999999999979,200,4.379464864730835
8600,-7.599999999999986,200,4.482494115829468
8800,-7.299999999999983,200,4.5870256423950195
9000,-6.099999999999981,200,4.692648887634277
9200,-6.399999999999979,200,4.799222946166992
9400,-5.999999999999981,200,4.903460502624512
9600,-5.299999999999981,200,5.0077385902404785
9800,-6.099999999999982,200,5.120454549789429
10000,-6.099999999999982,200,5.228588581085205
10200,-6.599999999999984,200,5.342613697052002
10400,-6.599999999999984,200,5.448326587677002
10600,-7.599999999999983,200,5.571598291397095
10800,-6.09999999999998,200,5.674182653427124
11000,-7.299999999999987,200,5.7856361865997314
11200,-7.299999999999987,200,5.891690015792847
11400,-6.1999999999999815,200,5.997986793518066
11600,-6.699999999999982,200,6.101311445236206
11800,-6.899999999999985,200,6.210334300994873
12000,-6.699999999999982,200,6.321073055267334
12200,-6.599999999999985,200,6.426382064819336
12400,-7.3999999999999835,200,6.537743330001831
12600,-6.599999999999984,200,6.653167247772217
12800,-6.999999999999984,200,6.769129991531372
13000,-6.899999999999989,200,6.886145830154419
13200,-8.299999999999983,200,7.007631301879883
13400,-5.5999999999999845,200,7.120359182357788
13600,-7.4999999999999885,200,7.239771366119385
13800,-7.4999999999999885,200,7.346992254257202
14000,-7.99999999999999,200,7.456521987915039
14200,-6.399999999999985,200,7.573598861694336
14400,-6.899999999999983,200,7.691496849060059
14600,-6.499999999999982,200,7.8120105266571045
14800,-8.29999999999999,200,7.936706781387329
15000,-8.099999999999984,200,8.058907270431519
15200,-7.399999999999991,200,8.179877281188965
15400,-8.199999999999989,200,8.304541110992432
15600,-6.499999999999984,200,8.416533946990967
15800,-6.499999999999982,200,8.532477855682373
16000,-7.49999999999999,200,8.649068832397461
16200,-6.899999999999984,200,8.762917041778564
16400,-6.099999999999979,200,8.877538681030273
16600,-6.89999999999999,200,8.98847770690918
16800,-7.299999999999986,200,9.098673105239868
17000,-7.699999999999985,200,9.219007730484009
17200,-5.799999999999979,200,9.334716796875
17400,-8.599999999999989,200,9.454849481582642
17600,-6.0999999999999845,200,9.571024417877197
17800,-7.0999999999999845,200,9.690847158432007
18000,-6.899999999999981,200,9.805997848510742
18200,-7.899999999999989,200,9.92008900642395
18400,-7.499999999999987,200,10.042030572891235
18600,-7.6999999999999895,200,10.15665078163147
18800,-9.39999999999998,200,10.274246215820312
19000,-7.099999999999981,200,10.387583494186401
19200,-9.399999999999983,200,10.506413221359253
19400,-7.099999999999981,200,10.616211891174316
19600,-7.799999999999983,200,10.733030080795288
19800,-8.799999999999985,200,10.858864068984985
20000,-7.599999999999989,200,10.975419759750366
20200,-6.999999999999987,200,12.33414340019226
20400,-5.599999999999983,200,13.422876119613647
20600,-4.999999999999983,200,14.490810632705688
20800,-5.999999999999985,200,15.578017234802246
21000,-7.499999999999988,200,16.66603708267212
21200,-3.799999999999982,200,17.777132511138916
21400,-5.299999999999977,200,18.89529514312744
21600,-4.099999999999981,200,20.017909288406372
21800,-5.099999999999973,200,21.134235382080078
22000,-4.399999999999978,200,22.238975763320923
22200,-5.5999999999999845,200,23.36493706703186
22400,-4.29999999999998,200,24.50061345100403
22600,-3.799999999999979,200,25.613433599472046
22800,-4.29999999999998,200,26.731633186340332
23000,-4.999999999999981,200,27.87634801864624
23200,-4.99999999999998,200,28.955594778060913
23400,-4.399999999999983,200,30.053367853164673
23600,-5.499999999999984,200,31.14715552330017
23800,-4.299999999999984,200,32.24359178543091
24000,-6.0999999999999845,200,33.374364376068115
24200,-4.599999999999977,200,34.51834034919739
24400,-4.899999999999978,200,35.69459676742554
24600,-4.699999999999975,200,36.81066656112671
24800,-5.599999999999981,200,37.95649242401123
25000,-4.299999999999977,200,39.10422372817993
25200,-4.399999999999983,200,40.2423939704895
25400,-5.29999999999998,200,41.392173290252686
25600,-5.19999999999998,200,42.49787211418152
25800,-4.699999999999983,200,43.600773334503174
26000,-4.399999999999975,200,44.70562148094177
26200,-4.999999999999982,200,45.77779722213745
26400,-3.6999999999999824,200,46.87121510505676
26600,-5.19999999999998,200,47.95344257354736
26800,-4.59999999999998,200,49.08399724960327
27000,-5.499999999999982,200,50.192784786224365
27200,-4.49999999999998,200,51.31035614013672
27400,-4.199999999999985,200,52.45182538032532
27600,-5.099999999999983,200,53.571361780166626
27800,-4.199999999999982,200,54.710142612457275
28000,-6.699999999999993,200,55.8162579536438
28200,-4.299999999999981,200,56.92112612724304
28400,-3.4999999999999822,200,58.131696462631226
28600,-4.199999999999981,200,59.36699318885803
28800,-4.89999999999998,200,60.559916257858276
29000,-3.9999999999999827,200,61.69122552871704
29200,-3.7999999999999803,200,62.841001749038696
29400,-3.8999999999999817,200,64.00612282752991
29600,-3.8999999999999804,200,65.13449764251709
29800,-4.299999999999975,200,66.31941795349121
30000,-3.69999999999998,200,67.46993851661682
30200,-4.49999999999998,200,68.66388964653015
30400,-4.8999999999999835,200,69.81646752357483
30600,-5.099999999999981,200,70.95637917518616
30800,-4.299999999999982,200,72.06474876403809
31000,-4.1999999999999815,200,73.23405575752258
31200,-5.399999999999981,200,74.38525462150574
31400,-4.199999999999984,200,75.52254867553711
31600,-3.899999999999977,200,76.63115501403809
31800,-5.099999999999979,200,77.77631115913391
32000,-2.8999999999999866,200,78.92351460456848
32200,-5.299999999999988,200,80.08674550056458
32400,-4.299999999999973,200,81.27212834358215
32600,-4.299999999999982,200,82.45262742042542
32800,-4.99999999999998,200,83.60195398330688
33000,-4.19999999999998,200,84.80012035369873
33200,-5.699999999999984,200,85.963449716568
33400,-4.999999999999978,200,87.09726548194885
33600,-3.899999999999983,200,88.20060086250305
33800,-6.199999999999985,200,89.33309388160706
34000,-5.099999999999979,200,90.4711217880249
34200,-4.099999999999978,200,91.66796970367432
34400,-5.69999999999998,200,92.82783317565918
34600,-4.399999999999982,200,93.99336671829224
34800,-4.1999999999999815,200,95.10688853263855
35000,-6.4999999999999805,200,96.29972720146179
35200,-4.999999999999985,200,97.47586965560913
35400,-4.899999999999982,200,98.63296270370483
35600,-4.399999999999982,200,99.79213404655457
35800,-4.699999999999979,200,100.98508143424988
36000,-4.399999999999987,200,102.14469051361084
36200,-5.299999999999985,200,103.32076287269592
36400,-7.699999999999986,200,104.50605916976929
36600,-5.599999999999984,200,105.65372586250305
36800,-4.299999999999985,200,106.80314302444458
37000,-6.099999999999979,200,107.9679651260376
37200,-3.899999999999983,200,109.21725749969482
37400,-6.599999999999983,200,110.41932487487793
37600,-4.999999999999977,200,111.55295205116272
37800,-5.099999999999981,200,112.7133584022522
38000,-5.399999999999983,200,113.86969637870789
38200,-6.699999999999982,200,115.04512286186218
38400,-6.99999999999999,200,116.2027096748352
38600,-5.49999999999998,200,117.4001042842865
38800,-6.699999999999984,200,118.74208378791809
39000,-5.599999999999987,200,120.0161759853363
39200,-6.099999999999982,200,121.17827987670898
39400,-6.5999999999999845,200,122.43143558502197
39600,-4.99999999999998,200,123.6088297367096
39800,-6.899999999999984,200,124.79314184188843
40000,-6.799999999999984,200,126.03853106498718
40200,-5.199999999999977,200,127.26800441741943
40400,-5.499999999999983,200,128.48551487922668
40600,-4.199999999999977,200,129.63862323760986
40800,-5.799999999999984,200,130.8219027519226
41000,-5.099999999999984,200,131.9730942249298
41200,-4.399999999999978,200,133.12321519851685
41400,-6.299999999999984,200,134.32642483711243
