#1764232941
steps,r,l,t
200,-6.099999999999983,200,0.09454631805419922
400,-6.799999999999983,200,0.18646764755249023
600,-4.899999999999978,200,0.2750520706176758
800,-6.599999999999982,200,0.3674139976501465
1000,-6.199999999999981,200,0.4598071575164795
1200,-5.499999999999981,200,0.5523049831390381
1400,-8.099999999999993,200,0.6395151615142822
1600,-4.999999999999979,200,0.7334678173065186
1800,-6.799999999999977,200,0.8225491046905518
2000,-5.599999999999979,200,0.9136908054351807
2200,-5.999999999999979,200,1.007669448852539
2400,-7.699999999999989,200,1.095512866973877
2600,-6.899999999999989,200,1.191431999206543
2800,-6.09999999999998,200,1.2842552661895752
3000,-6.499999999999974,200,1.3732571601867676
3200,-5.19999999999998,200,1.4636950492858887
3400,-7.299999999999987,200,1.555802583694458
3600,-5.299999999999982,200,1.6463887691497803
3800,-4.699999999999976,200,1.7365036010742188
4000,-6.899999999999983,200,1.8247342109680176
4200,-7.899999999999992,200,1.9214842319488525
4400,-4.699999999999977,200,2.017820358276367
4600,-6.999999999999985,200,2.109464168548584
4800,-8.79999999999999,200,2.2012505531311035
5000,-5.399999999999981,200,2.292527914047241
5200,-5.799999999999983,200,2.3847906589508057
5400,-6.199999999999982,200,2.4761159420013428
5600,-7.999999999999988,200,2.576793909072876
5800,-7.199999999999984,200,2.6762523651123047
6000,-6.399999999999986,200,2.7708444595336914
6200,-5.099999999999985,200,2.8638558387756348
6400,-5.599999999999981,200,2.9626832008361816
6600,-5.599999999999981,200,3.0682640075683594
6800,-6.099999999999983,200,3.1687893867492676
7000,-6.09999999999998,200,3.273319721221924
7200,-6.899999999999987,200,3.372081995010376
7400,-7.299999999999986,200,3.466128349304199
7600,-7.199999999999988,200,3.562997579574585
7800,-4.699999999999983,200,3.658625364303589
8000,-5.399999999999987,200,3.7554993629455566
8200,-5.99999999999998,200,3.8519954681396484
8400,-6.199999999999995,200,3.948293924331665
8600,-6.299999999999986,200,4.046605587005615
8800,-6.099999999999982,200,4.1403279304504395
9000,-7.599999999999986,200,4.238361835479736
9200,-5.69999999999998,200,4.332983732223511
9400,-6.199999999999989,200,4.423507928848267
9600,-6.99999999999998,200,4.519650220870972
9800,-5.799999999999985,200,4.620355129241943
10000,-9.199999999999983,200,4.718441486358643
10200,-6.199999999999983,200,4.816760301589966
10400,-6.7999999999999865,200,4.913089275360107
10600,-6.699999999999988,200,5.011923789978027
10800,-5.099999999999979,200,5.105185270309448
11000,-6.099999999999984,200,5.20369291305542
11200,-7.799999999999992,200,5.296907901763916
11400,-7.499999999999988,200,5.396951675415039
11600,-6.299999999999986,200,5.492643117904663
11800,-7.69999999999999,200,5.586792707443237
12000,-6.399999999999982,200,5.682021141052246
12200,-7.099999999999989,200,5.780404806137085
12400,-6.0999999999999925,200,5.879923582077026
12600,-6.599999999999984,200,5.98433780670166
12800,-7.099999999999989,200,6.0861265659332275
13000,-6.8999999999999835,200,6.185322284698486
13200,-7.499999999999987,200,6.280940294265747
13400,-7.199999999999993,200,6.383046388626099
13600,-8.799999999999985,200,6.484651803970337
