#1764242536
steps,r,l,t
200,-7.199999999999984,200,0.09438467025756836
400,-5.199999999999978,200,0.18781328201293945
600,-6.699999999999988,200,0.2793467044830322
800,-7.599999999999987,200,0.3706541061401367
1000,-5.5999999999999845,200,0.46631717681884766
1200,-6.499999999999986,200,0.5638859272003174
1400,-6.499999999999979,200,0.660372257232666
1600,-6.199999999999978,200,0.7572448253631592
1800,-5.399999999999978,200,0.8530669212341309
2000,-4.999999999999979,200,0.9542176723480225
2200,-6.49999999999998,200,1.0480692386627197
2400,-5.299999999999981,200,1.148972511291504
2600,-5.999999999999977,200,1.2499573230743408
2800,-6.399999999999982,200,1.345001459121704
3000,-6.299999999999981,200,1.438809871673584
3200,-5.899999999999984,200,1.5399925708770752
3400,-5.899999999999983,200,1.6353275775909424
3600,-6.399999999999981,200,1.7354552745819092
3800,-6.299999999999981,200,1.830474615097046
4000,-6.299999999999983,200,1.930738925933838
4200,-6.999999999999982,200,2.024707317352295
4400,-6.799999999999991,200,2.1257336139678955
4600,-6.399999999999982,200,2.227745532989502
4800,-6.299999999999982,200,2.3278586864471436
5000,-7.099999999999987,200,2.432258129119873
5200,-8.999999999999991,200,2.533963918685913
5400,-7.199999999999987,200,2.6375210285186768
5600,-5.299999999999978,200,2.7502036094665527
5800,-4.199999999999981,200,2.852081060409546
6000,-6.499999999999984,200,2.9558253288269043
6200,-5.799999999999978,200,3.0577094554901123
6400,-5.599999999999976,200,3.1643948554992676
6600,-6.699999999999985,200,3.2741119861602783
6800,-5.599999999999979,200,3.375903606414795
7000,-5.699999999999978,200,3.4787302017211914
7200,-5.999999999999987,200,3.58280348777771
7400,-6.69999999999998,200,3.69003963470459
7600,-4.699999999999978,200,3.8027455806732178
7800,-6.099999999999983,200,3.9047958850860596
8000,-5.99999999999998,200,4.004722595214844
8200,-6.999999999999978,200,4.107909679412842
8400,-5.699999999999982,200,4.21039605140686
8600,-6.199999999999982,200,4.306934833526611
8800,-5.299999999999982,200,4.4052674770355225
9000,-4.599999999999982,200,4.499263763427734
9200,-7.499999999999987,200,4.597684860229492
9400,-7.999999999999992,200,4.698146820068359
9600,-5.299999999999974,200,4.796314001083374
9800,-5.699999999999982,200,4.894047260284424
10000,-6.199999999999981,200,4.992384433746338
10200,-5.599999999999978,200,5.097131729125977
10400,-8.99999999999999,200,5.206252336502075
10600,-7.899999999999994,200,5.310513973236084
10800,-6.499999999999974,200,5.416756629943848
11000,-6.899999999999986,200,5.522998809814453
