#1764162721
steps,r,l,t
50,-3224,50,0.022264957427978516
100,-2454,50,0.04463839530944824
150,-3873,50,0.06521773338317871
200,-3796,50,0.08689212799072266
250,-2718,50,0.10864901542663574
300,-2993,50,0.13044977188110352
350,-3554,50,0.15182948112487793
400,-3334,50,0.17388534545898438
450,-2432,50,0.19451427459716797
500,-3169,50,0.2153465747833252
550,-2674,50,0.2370004653930664
600,-2388,50,0.25893425941467285
650,-3785,50,0.2796921730041504
700,-3279,50,0.2998969554901123
750,-3477,50,0.32028794288635254
800,-2509,50,0.34265565872192383
850,-3136,50,0.36466121673583984
900,-3422,50,0.38611698150634766
950,-2355,50,0.40778350830078125
1000,-3213,50,0.4297826290130615
1050,-2696,50,0.45078253746032715
1100,-3565,50,0.4727344512939453
1150,-3081,50,0.4948863983154297
1200,-3411,50,0.5164341926574707
1250,-2993,50,0.5372922420501709
1300,-2564,50,0.5582671165466309
1350,-3004,50,0.5798830986022949
1400,-3059,50,0.6030755043029785
1450,-3004,50,0.6248211860656738
1500,-2531,50,0.6469624042510986
1550,-3576,50,0.6679356098175049
1600,-2542,50,0.6908280849456787
1650,-2707,50,0.7133045196533203
1700,-3191,50,0.7355184555053711
1750,-2784,50,0.7572164535522461
1800,-2762,50,0.7815062999725342
1850,-3466,50,0.8042929172515869
1900,-3147,50,0.8244845867156982
1950,-2762,50,0.84651780128479
2000,-3136,50,0.8689417839050293
2050,-2729,50,0.8919394016265869
2100,-3785,50,0.9131317138671875
2150,-2465,50,0.9346446990966797
2200,-3477,50,0.9580826759338379
2250,-3499,50,0.9803774356842041
2300,-2707,50,1.001633644104004
2350,-3356,50,1.0259456634521484
2400,-2905,50,1.0479393005371094
2450,-3202,50,1.0713310241699219
2500,-3114,50,1.0948035717010498
2550,-3180,50,1.1172661781311035
2600,-2949,50,1.1423821449279785
2650,-2960,50,1.1632771492004395
2700,-2520,50,1.1870505809783936
2750,-2256,50,1.2097978591918945
2800,-4148,50,1.2308690547943115
2850,-3477,50,1.2536938190460205
2900,-3587,50,1.276357650756836
2950,-4247,50,1.2982182502746582
3000,-3565,50,1.3226604461669922
3050,-3268,50,1.3440508842468262
3100,-3708,50,1.3696842193603516
3150,-2520,50,1.3910191059112549
3200,-3477,50,1.414125919342041
3250,-3301,50,1.4369616508483887
3300,-3950,50,1.4597554206848145
3350,-3048,50,1.4832277297973633
3400,-2509,50,1.5082097053527832
3450,-3521,50,1.5310490131378174
3500,-3334,50,1.5552854537963867
3550,-2124,50,1.5779740810394287
3600,-3279,50,1.600987195968628
3650,-3895,50,1.6233689785003662
3700,-3059,50,1.6470322608947754
3750,-4148,50,1.6709997653961182
3800,-2179,50,1.6933019161224365
3850,-3268,50,1.7169406414031982
3900,-2564,50,1.7413182258605957
3950,-3070,50,1.764894723892212
4000,-3367,50,1.78840970993042
4050,-2487,50,1.8118817806243896
4100,-3510,50,1.8352410793304443
4150,-3323,50,1.859130620956421
4200,-2894,50,1.8835344314575195
4250,-3411,50,1.9060170650482178
4300,-3290,50,1.9290828704833984
4350,-2619,50,1.9530436992645264
4400,-1596,50,1.9761888980865479
4450,-3532,50,2.0005884170532227
4500,-2696,50,2.0235800743103027
4550,-3411,50,2.0467987060546875
4600,-4016,50,2.0689074993133545
4650,-2817,50,2.0928592681884766
4700,-3686,50,2.1187188625335693
4750,-2938,50,2.1426873207092285
4800,-2575,50,2.1657516956329346
4850,-3345,50,2.189507484436035
4900,-2641,50,2.2135584354400635
4950,-3268,50,2.2372725009918213
5000,-3323,50,2.2609217166900635
5050,-3114,50,2.286675214767456
5100,-3389,50,2.3118481636047363
5150,-2542,50,2.33510160446167
5200,-3345,50,2.3588638305664062
5250,-3235,50,2.3822948932647705
5300,-2553,50,2.4083662033081055
5350,-2960,50,2.4313108921051025
5400,-3092,50,2.455535411834717
5450,-3202,50,2.479321002960205
5500,-3257,50,2.5036051273345947
5550,-2641,50,2.526050567626953
5600,-3873,50,2.5484392642974854
5650,-3180,50,2.572342872619629
5700,-3070,50,2.5971839427948
5750,-2883,50,2.6226377487182617
5800,-2916,50,2.648360013961792
5850,-3400,50,2.6737422943115234
5900,-3301,50,2.696199893951416
5950,-3213,50,2.719536304473877
6000,-3169,50,2.74372935295105
6050,-2773,50,2.7668542861938477
6100,-3180,50,2.790371894836426
6150,-3521,50,2.8153865337371826
6200,-3576,50,2.838531255722046
6250,-3532,50,2.8622026443481445
6300,-3466,50,2.887418746948242
6350,-2839,50,2.9122352600097656
6400,-2982,50,2.933849334716797
6450,-2971,50,2.9584357738494873
6500,-3609,50,2.9817543029785156
6550,-3851,50,3.006591558456421
6600,-3873,50,3.033970594406128
6650,-3345,50,3.0598959922790527
6700,-3367,50,3.0869247913360596
6750,-3092,50,3.112729549407959
6800,-3554,50,3.1392486095428467
6850,-3147,50,3.1655471324920654
6900,-2817,50,3.189330577850342
6950,-3675,50,3.212924003601074
7000,-3235,50,3.2354514598846436
7050,-3158,50,3.2600035667419434
7100,-2696,50,3.2824578285217285
7150,-3169,50,3.3067784309387207
7200,-2729,50,3.3318026065826416
7250,-2729,50,3.356804609298706
7300,-2949,50,3.3781800270080566
7350,-2421,50,3.4025979042053223
7400,-4192,50,3.4294791221618652
7450,-2322,50,3.454591989517212
7500,-2542,50,3.4793453216552734
7550,-3257,50,3.5052425861358643
7600,-3499,50,3.5316379070281982
7650,-3037,50,3.555539846420288
7700,-2938,50,3.580251455307007
7750,-3334,50,3.6032729148864746
7800,-2300,50,3.6285488605499268
7850,-3059,50,3.6526803970336914
7900,-3367,50,3.6793854236602783
7950,-2509,50,3.7036314010620117
8000,-3235,50,3.7287673950195312
8050,-3356,50,3.752911329269409
8100,-2388,50,3.7779948711395264
8150,-3279,50,3.802483558654785
8200,-3103,50,3.82723069190979
8250,-3279,50,3.8518264293670654
8300,-3609,50,3.8762893676757812
8350,-2971,50,3.9023854732513428
8400,-2883,50,3.9273717403411865
8450,-2828,50,3.951554298400879
8500,-4203,50,3.976588726043701
8550,-3609,50,4.0017173290252686
8600,-2696,50,4.027086019515991
8650,-3620,50,4.056054592132568
8700,-2784,50,4.082326412200928
8750,-2707,50,4.107335805892944
8800,-2828,50,4.13353419303894
8850,-3125,50,4.159413814544678
8900,-3455,50,4.184722900390625
8950,-2817,50,4.210580825805664
9000,-3862,50,4.236117362976074
9050,-4060,50,4.260267734527588
9100,-3169,50,4.288507461547852
9150,-2168,50,4.312433481216431
9200,-3521,50,4.335684537887573
9250,-2542,50,4.359411954879761
9300,-3477,50,4.3837995529174805
9350,-3422,50,4.407238960266113
9400,-3389,50,4.432884931564331
9450,-4060,50,4.458407878875732
9500,-3895,50,4.483169078826904
9550,-3851,50,4.507514476776123
9600,-3048,50,4.53325891494751
9650,-2586,50,4.560605525970459
9700,-3268,50,4.5866265296936035
9750,-2223,50,4.6124396324157715
9800,-3532,50,4.641010999679565
9850,-3719,50,4.667565822601318
9900,-3114,50,4.694751501083374
9950,-2883,50,4.717848062515259
10000,-3708,50,4.742308139801025
10050,-3037,50,4.767818927764893
10100,-2872,50,4.794658184051514
10150,-3257,50,4.820079565048218
10200,-2960,50,4.844779014587402
10250,-3268,50,4.871290683746338
10300,-2971,50,4.897942781448364
10350,-3543,50,4.923120975494385
10400,-3972,50,4.951011419296265
10450,-3279,50,4.977165460586548
10500,-3015,50,5.003018617630005
10550,-3169,50,5.028176307678223
10600,-3279,50,5.055540084838867
10650,-3147,50,5.083102703094482
10700,-2993,50,5.109551191329956
10750,-3565,50,5.134556770324707
10800,-2949,50,5.161231756210327
10850,-2498,50,5.186513423919678
10900,-3169,50,5.215768337249756
10950,-3433,50,5.245442867279053
11000,-1970,50,5.271897077560425
11050,-3565,50,5.297773838043213
11100,-2289,50,5.325157880783081
11150,-2575,50,5.3520286083221436
11200,-3433,50,5.3798911571502686
11250,-2949,50,5.406931400299072
11300,-4566,50,5.43532657623291
11350,-3147,50,5.463027000427246
11400,-2608,50,5.4909844398498535
11450,-3840,50,5.520894527435303
11500,-3444,50,5.5487024784088135
11550,-4005,50,5.5728440284729
11600,-2619,50,5.600830078125
11650,-2828,50,5.628330707550049
11700,-3532,50,5.656304121017456
11750,-3444,50,5.682566404342651
11800,-2993,50,5.709027290344238
11850,-2630,50,5.73600697517395
11900,-3686,50,5.762122869491577
11950,-2795,50,5.78808069229126
12000,-2751,50,5.8150954246521
12050,-4335,50,5.844691038131714
12100,-3488,50,5.870656490325928
12150,-3741,50,5.896568536758423
12200,-4049,50,5.926496267318726
12250,-3763,50,5.955357551574707
12300,-4214,50,5.982160329818726
12350,-2817,50,6.005213260650635
