#1764158662
steps,r,l,t
50,-2113,50,0.02129673957824707
100,-2707,50,0.04338955879211426
150,-4159,50,0.0643758773803711
200,-3851,50,0.08684396743774414
250,-3774,50,0.10666203498840332
300,-2300,50,0.1283121109008789
350,-3532,50,0.2161397933959961
400,-2718,50,0.23774003982543945
450,-2245,50,0.25899553298950195
500,-3125,50,0.27968931198120117
550,-2003,50,0.3009953498840332
600,-3004,50,0.32028889656066895
650,-2498,50,0.3396773338317871
700,-3015,50,0.360889196395874
750,-2509,50,0.38181471824645996
800,-3422,50,0.40478062629699707
850,-2718,50,0.42464518547058105
900,-2894,50,0.44379329681396484
950,-2707,50,0.46431565284729004
1000,-3554,50,0.4859042167663574
1050,-3697,50,0.5056943893432617
1100,-3213,50,0.5285749435424805
1150,-3312,50,0.5505807399749756
1200,-2806,50,0.5705134868621826
1250,-3158,50,0.5922911167144775
1300,-3378,50,0.6128745079040527
1350,-3345,50,0.6348471641540527
1400,-2795,50,0.6564373970031738
1450,-3345,50,0.6771364212036133
1500,-3147,50,0.697951078414917
1550,-2740,50,0.7191884517669678
1600,-2773,50,0.7390470504760742
1650,-3950,50,0.7594678401947021
1700,-3818,50,0.7803764343261719
1750,-1783,50,0.8020532131195068
1800,-3081,50,0.8239619731903076
1850,-2509,50,0.8464910984039307
1900,-2465,50,0.8685522079467773
1950,-3136,50,0.8917508125305176
2000,-3477,50,0.9127771854400635
2050,-3015,50,0.9342019557952881
2100,-3609,50,0.9579412937164307
2150,-4027,50,0.9792876243591309
2200,-2729,50,1.0013363361358643
2250,-3103,50,1.024937391281128
2300,-3774,50,1.0479915142059326
2350,-2432,50,1.0703017711639404
2400,-2674,50,1.0901241302490234
2450,-2289,50,1.1117620468139648
2500,-3609,50,1.1354854106903076
2550,-2806,50,1.1581568717956543
2600,-2960,50,1.1814088821411133
2650,-3400,50,1.203108310699463
2700,-3312,50,1.2264084815979004
2750,-1519,50,1.248955488204956
2800,-4038,50,1.2738332748413086
2850,-2663,50,1.2983827590942383
2900,-2927,50,1.322331428527832
2950,-2993,50,1.3498568534851074
3000,-3103,50,1.3794519901275635
3050,-2542,50,1.3999006748199463
3100,-2443,50,1.4244606494903564
3150,-4841,50,1.4474012851715088
3200,-3730,50,1.4687292575836182
3250,-2894,50,1.488581895828247
3300,-3213,50,1.5104610919952393
3350,-2575,50,1.5314593315124512
3400,-3565,50,1.5551629066467285
3450,-3213,50,1.578094720840454
3500,-2707,50,1.5979740619659424
3550,-3521,50,1.6197140216827393
3600,-2894,50,1.6406574249267578
3650,-2509,50,1.6609599590301514
3700,-2124,50,1.6820309162139893
3750,-2531,50,1.7065367698669434
3800,-3411,50,1.7302119731903076
3850,-2718,50,1.7514090538024902
3900,-3620,50,1.7740886211395264
3950,-2916,50,1.7968051433563232
4000,-2982,50,1.8195574283599854
4050,-2982,50,1.8407070636749268
4100,-3268,50,1.8624660968780518
4150,-3125,50,1.8855865001678467
4200,-2003,50,1.910191535949707
4250,-3466,50,1.9338314533233643
4300,-3268,50,1.9548158645629883
4350,-3576,50,1.9777164459228516
4400,-2509,50,2.0002007484436035
4450,-3587,50,2.0224952697753906
4500,-2740,50,2.0452327728271484
4550,-3191,50,2.068260669708252
4600,-2641,50,2.0911712646484375
4650,-2707,50,2.1146466732025146
4700,-3631,50,2.136354446411133
4750,-3125,50,2.156480550765991
4800,-2729,50,2.1802215576171875
4850,-2971,50,2.2014262676239014
4900,-3719,50,2.2250630855560303
4950,-3059,50,2.2502968311309814
5000,-3576,50,2.279296875
5050,-2366,50,2.3062593936920166
5100,-3345,50,2.329561471939087
5150,-3037,50,2.3533637523651123
5200,-2663,50,2.379213333129883
5250,-3345,50,2.4034032821655273
5300,-3125,50,2.427342176437378
5350,-3818,50,2.4516401290893555
5400,-3004,50,2.4751970767974854
5450,-1948,50,2.498241901397705
5500,-3455,50,2.523681640625
5550,-2960,50,2.549860954284668
5600,-3257,50,2.5782663822174072
5650,-2982,50,2.6070175170898438
5700,-2949,50,2.6306204795837402
5750,-3411,50,2.660442352294922
5800,-3103,50,2.685009717941284
5850,-2883,50,2.7097437381744385
5900,-3741,50,2.7345993518829346
5950,-3675,50,2.76039457321167
6000,-3983,50,2.789263963699341
6050,-3235,50,2.814903736114502
6100,-3686,50,2.8403031826019287
6150,-3653,50,2.865546941757202
6200,-2828,50,2.8918445110321045
6250,-2982,50,2.9164061546325684
6300,-3543,50,2.944611072540283
6350,-2432,50,2.9732179641723633
6400,-2630,50,2.9944255352020264
6450,-2938,50,3.016101360321045
6500,-3499,50,3.0414555072784424
6550,-3246,50,3.06742525100708
6600,-3873,50,3.092871904373169
6650,-2872,50,3.121040105819702
6700,-3752,50,3.14717435836792
6750,-3532,50,3.174870014190674
6800,-2564,50,3.2038331031799316
6850,-3906,50,3.2310194969177246
6900,-3686,50,3.259849786758423
6950,-3477,50,3.2864537239074707
7000,-3455,50,3.312919855117798
7050,-3631,50,3.3386893272399902
7100,-3081,50,3.3642265796661377
7150,-3796,50,3.389957904815674
7200,-2652,50,3.418869733810425
7250,-2619,50,3.4444220066070557
7300,-3554,50,3.4767773151397705
7350,-2597,50,3.500692844390869
7400,-3840,50,3.5269899368286133
7450,-2509,50,3.550926685333252
7500,-3642,50,3.5755865573883057
7550,-3488,50,3.6057662963867188
7600,-4192,50,3.6319048404693604
7650,-2586,50,3.658588171005249
7700,-3081,50,3.68784761428833
7750,-2146,50,3.714601516723633
7800,-2905,50,3.7397830486297607
7850,-2960,50,3.7656989097595215
7900,-4126,50,3.7919583320617676
7950,-2663,50,3.816159725189209
8000,-3906,50,3.8412222862243652
8050,-3147,50,3.8699469566345215
8100,-3334,50,3.896252155303955
8150,-4038,50,3.920435905456543
8200,-3136,50,3.9441866874694824
8250,-2850,50,3.96946382522583
8300,-3433,50,3.999098300933838
8350,-3444,50,4.025282859802246
8400,-3455,50,4.050267219543457
8450,-3323,50,4.0766761302948
8500,-3356,50,4.104007005691528
8550,-3466,50,4.129148244857788
8600,-3103,50,4.153580665588379
8650,-3609,50,4.17957878112793
8700,-3015,50,4.20566201210022
8750,-3169,50,4.233998775482178
8800,-4038,50,4.261329412460327
8850,-3323,50,4.289795398712158
8900,-2465,50,4.315513372421265
8950,-3565,50,4.344385385513306
9000,-3477,50,4.3714964389801025
9050,-3609,50,4.3965370655059814
9100,-2894,50,4.42454195022583
9150,-3268,50,4.446934700012207
9200,-2663,50,4.46963357925415
9250,-3081,50,4.494270324707031
9300,-3400,50,4.524150609970093
9350,-3180,50,4.543827056884766
9400,-4225,50,4.5708327293396
9450,-4247,50,4.597227573394775
9500,-2938,50,4.622066497802734
9550,-3807,50,4.644725799560547
9600,-3532,50,4.671811580657959
9650,-2311,50,4.699728727340698
9700,-2377,50,4.723637342453003
9750,-3477,50,4.749247789382935
9800,-3862,50,4.774036407470703
9850,-3125,50,4.798753261566162
9900,-2861,50,4.821887493133545
9950,-3576,50,4.848119258880615
10000,-3389,50,4.872977256774902
10050,-2641,50,4.899580240249634
10100,-3290,50,4.924916505813599
10150,-3411,50,4.951427936553955
10200,-3796,50,4.977385520935059
10250,-3169,50,5.0035693645477295
10300,-3290,50,5.027473211288452
10350,-4368,50,5.051381349563599
10400,-2729,50,5.0810325145721436
10450,-3015,50,5.103560447692871
10500,-2410,50,5.129735231399536
10550,-3268,50,5.1569743156433105
10600,-3378,50,5.182110548019409
10650,-3554,50,5.208884954452515
10700,-3059,50,5.232349157333374
10750,-3422,50,5.255423545837402
10800,-3389,50,5.278414964675903
10850,-3631,50,5.30248236656189
10900,-3565,50,5.327841758728027
10950,-2465,50,5.351447105407715
11000,-2476,50,5.376668691635132
11050,-3169,50,5.403767108917236
11100,-3763,50,5.430963039398193
11150,-2916,50,5.454532623291016
11200,-3114,50,5.4792320728302
11250,-3026,50,5.50470757484436
11300,-3983,50,5.530206680297852
11350,-2872,50,5.5558412075042725
11400,-3378,50,5.580916404724121
11450,-2839,50,5.606488227844238
11500,-2993,50,5.629117012023926
11550,-2773,50,5.655534505844116
11600,-3631,50,5.679769992828369
11650,-2872,50,5.7044501304626465
11700,-5061,50,5.730004072189331
11750,-3642,50,5.753917217254639
11800,-3312,50,5.778444051742554
11850,-3653,50,5.802910804748535
