#1764166537
steps,r,l,t
50,-3466,50,0.021297454833984375
100,-2520,50,0.04199028015136719
150,-2487,50,0.06382346153259277
200,-3026,50,0.08564925193786621
250,-2696,50,0.10703682899475098
300,-2883,50,0.12793231010437012
350,-2223,50,0.149674654006958
400,-2366,50,0.17174577713012695
450,-3334,50,0.19174599647521973
500,-2674,50,0.21272540092468262
550,-2311,50,0.23309755325317383
600,-2817,50,0.253925085067749
650,-2740,50,0.27628517150878906
700,-3235,50,0.2973806858062744
750,-2487,50,0.318223237991333
800,-2773,50,0.33966827392578125
850,-2982,50,0.3605659008026123
900,-3103,50,0.3814239501953125
950,-3290,50,0.40250587463378906
1000,-3301,50,0.42287611961364746
1050,-4071,50,0.44428563117980957
1100,-3180,50,0.4660153388977051
1150,-3620,50,0.4875938892364502
1200,-3202,50,0.5098476409912109
1250,-2300,50,0.5316581726074219
1300,-2366,50,0.5527389049530029
1350,-3345,50,0.5739264488220215
1400,-3367,50,0.5952067375183105
1450,-2751,50,0.6169412136077881
1500,-2817,50,0.6382722854614258
1550,-3422,50,0.6604492664337158
1600,-2245,50,0.6819112300872803
1650,-3587,50,0.7035846710205078
1700,-4291,50,0.7257416248321533
1750,-2641,50,0.747107982635498
1800,-3257,50,0.7685260772705078
1850,-3103,50,0.7900083065032959
1900,-3114,50,0.811976432800293
1950,-3785,50,0.8333134651184082
2000,-2883,50,0.855168342590332
2050,-2861,50,0.8760619163513184
2100,-3334,50,0.8973391056060791
2150,-2542,50,0.9185523986816406
2200,-2861,50,0.939784049987793
2250,-2894,50,0.9610574245452881
2300,-3378,50,0.9832501411437988
2350,-3125,50,1.0073869228363037
2400,-2641,50,1.0306949615478516
2450,-2740,50,1.0526397228240967
2500,-3356,50,1.074625015258789
2550,-3697,50,1.0972840785980225
2600,-3763,50,1.1196184158325195
2650,-3202,50,1.1418538093566895
2700,-2850,50,1.1639437675476074
2750,-3004,50,1.186349630355835
2800,-3477,50,1.208669662475586
2850,-2641,50,1.2306418418884277
2900,-2432,50,1.2524738311767578
2950,-3246,50,1.2744083404541016
3000,-3411,50,1.2971007823944092
3050,-2927,50,1.319744348526001
3100,-1959,50,1.3417468070983887
3150,-3367,50,1.3629753589630127
3200,-2487,50,1.3847501277923584
3250,-2993,50,1.4070982933044434
3300,-2817,50,1.4293909072875977
3350,-2938,50,1.45047926902771
3400,-2795,50,1.472787857055664
3450,-2971,50,1.496185064315796
3500,-3642,50,1.5175607204437256
3550,-3730,50,1.5403692722320557
3600,-2542,50,1.5633430480957031
3650,-3620,50,1.5859630107879639
3700,-3389,50,1.6082026958465576
3750,-2894,50,1.6301689147949219
3800,-2388,50,1.655210018157959
3850,-3224,50,1.6770961284637451
3900,-3851,50,1.69856858253479
3950,-3653,50,1.7210650444030762
4000,-2960,50,1.7440433502197266
4050,-4181,50,1.7673568725585938
4100,-3499,50,1.7899227142333984
4150,-3026,50,1.811051845550537
4200,-2696,50,1.8339529037475586
4250,-3312,50,1.8546030521392822
4300,-2476,50,1.8774964809417725
4350,-3125,50,1.9004087448120117
4400,-2630,50,1.9242041110992432
4450,-3268,50,1.9456398487091064
4500,-2751,50,1.9674279689788818
4550,-3774,50,1.9889678955078125
4600,-2718,50,2.01173996925354
4650,-3411,50,2.035308837890625
4700,-4214,50,2.0567984580993652
4750,-3323,50,2.0802958011627197
4800,-3070,50,2.1030750274658203
4850,-3125,50,2.1268696784973145
4900,-3268,50,2.1508736610412598
4950,-3719,50,2.1738333702087402
5000,-2509,50,2.1954891681671143
5050,-2322,50,2.2178866863250732
5100,-2487,50,2.2398059368133545
5150,-2883,50,2.2604472637176514
5200,-2784,50,2.282463550567627
5250,-3037,50,2.3038909435272217
5300,-2542,50,2.3271453380584717
5350,-2817,50,2.352445125579834
5400,-3026,50,2.375175714492798
5450,-3081,50,2.398271083831787
5500,-3147,50,2.421729564666748
5550,-3400,50,2.4436163902282715
5600,-2795,50,2.466212272644043
5650,-3510,50,2.488436460494995
5700,-2993,50,2.5124740600585938
5750,-2773,50,2.535440444946289
5800,-2454,50,2.5572376251220703
5850,-1981,50,2.582422971725464
5900,-2454,50,2.606799602508545
5950,-2564,50,2.631225824356079
6000,-3169,50,2.653928518295288
6050,-2355,50,2.6780552864074707
6100,-2410,50,2.7020323276519775
6150,-2938,50,2.7253262996673584
6200,-3202,50,2.750706672668457
6250,-3444,50,2.7752513885498047
6300,-3411,50,2.8012473583221436
6350,-3818,50,2.822930097579956
6400,-3752,50,2.848388910293579
6450,-2597,50,2.8731601238250732
6500,-2784,50,2.8923566341400146
6550,-3378,50,2.9150431156158447
6600,-2883,50,2.9395315647125244
6650,-2377,50,2.963033676147461
6700,-3565,50,2.986931562423706
6750,-3642,50,3.0107760429382324
6800,-2608,50,3.0351450443267822
6850,-3125,50,3.0588583946228027
6900,-3158,50,3.0827536582946777
6950,-2410,50,3.1070244312286377
7000,-2828,50,3.130566120147705
7050,-2179,50,3.154829978942871
7100,-2333,50,3.179452419281006
7150,-2839,50,3.2025253772735596
7200,-2410,50,3.2268483638763428
7250,-3521,50,3.2509844303131104
7300,-2883,50,3.2770841121673584
7350,-3796,50,3.302379846572876
7400,-2465,50,3.3263769149780273
7450,-2509,50,3.3488776683807373
7500,-1640,50,3.372596263885498
7550,-3356,50,3.399435043334961
7600,-2828,50,3.422257900238037
7650,-3411,50,3.4449875354766846
7700,-2432,50,3.469017505645752
7750,-3026,50,3.4926207065582275
7800,-2443,50,3.5174295902252197
7850,-4709,50,3.540752410888672
7900,-4049,50,3.567505359649658
7950,-2718,50,3.5918478965759277
8000,-3114,50,3.613171339035034
8050,-1970,50,3.636744737625122
8100,-4313,50,3.6612765789031982
8150,-2102,50,3.6863768100738525
8200,-2388,50,3.7102255821228027
8250,-3378,50,3.73356032371521
8300,-3928,50,3.759922504425049
8350,-2982,50,3.7850522994995117
8400,-2795,50,3.8094682693481445
8450,-2410,50,3.8357648849487305
8500,-3290,50,3.8591270446777344
8550,-2575,50,3.8832268714904785
8600,-2597,50,3.909271240234375
8650,-3136,50,3.93471097946167
8700,-3004,50,3.9597814083099365
8750,-1343,50,3.984588623046875
8800,-3356,50,4.009488344192505
8850,-3356,50,4.035541534423828
8900,-2487,50,4.0607078075408936
8950,-3125,50,4.086042881011963
9000,-3378,50,4.111861228942871
9050,-2740,50,4.135569095611572
9100,-2828,50,4.163145303726196
9150,-2564,50,4.188476800918579
9200,-3191,50,4.212407350540161
9250,-2608,50,4.239938497543335
9300,-2850,50,4.265408515930176
9350,-2696,50,4.289224147796631
9400,-3015,50,4.3152406215667725
9450,-2971,50,4.34289288520813
9500,-3356,50,4.368568181991577
9550,-3752,50,4.394028186798096
9600,-2949,50,4.418199777603149
9650,-2388,50,4.444348573684692
9700,-3499,50,4.466352462768555
9750,-3125,50,4.49238395690918
9800,-1552,50,4.519670009613037
9850,-3587,50,4.544912338256836
9900,-2300,50,4.570651292800903
9950,-2531,50,4.599608421325684
10000,-2124,50,4.627508163452148
10050,-2586,50,4.654780864715576
10100,-2872,50,4.680282831192017
10150,-3015,50,4.706083536148071
10200,-3554,50,4.733604431152344
10250,-3510,50,4.7587363719940186
10300,-2179,50,4.7836692333221436
10350,-2817,50,4.809967279434204
10400,-2366,50,4.838405609130859
10450,-2531,50,4.862921953201294
10500,-2740,50,4.88959527015686
10550,-2289,50,4.916025161743164
10600,-3642,50,4.942158460617065
10650,-4137,50,4.968242406845093
10700,-2894,50,4.995349168777466
10750,-2652,50,5.02097487449646
10800,-2916,50,5.047727584838867
10850,-2388,50,5.074793100357056
10900,-2927,50,5.102667331695557
10950,-2597,50,5.1285481452941895
11000,-2817,50,5.155074119567871
11050,-3070,50,5.182430267333984
11100,-3268,50,5.208672285079956
11150,-2839,50,5.2368762493133545
11200,-2432,50,5.265689373016357
11250,-2960,50,5.291600227355957
11300,-3246,50,5.317717552185059
11350,-2795,50,5.343998670578003
11400,-3565,50,5.370323181152344
11450,-2828,50,5.39829683303833
11500,-3378,50,5.42985725402832
11550,-2993,50,5.454979419708252
11600,-3092,50,5.481431007385254
11650,-1706,50,5.5088090896606445
11700,-3719,50,5.535086154937744
11750,-4027,50,5.5615692138671875
11800,-3202,50,5.588823080062866
11850,-3147,50,5.616439580917358
11900,-2355,50,5.642340183258057
11950,-2938,50,5.667915344238281
12000,-3510,50,5.69610071182251
12050,-3972,50,5.723477125167847
12100,-2718,50,5.74779200553894
12150,-3620,50,5.7725207805633545
12200,-2817,50,5.800426006317139
12250,-3466,50,5.828554391860962
12300,-2971,50,5.856459617614746
12350,-3609,50,5.881648540496826
12400,-3301,50,5.9056971073150635
12450,-4005,50,5.929941415786743
12500,-3026,50,5.955647706985474
12550,-2894,50,5.981177091598511
12600,-3081,50,6.010704040527344
12650,-3433,50,6.035089015960693
12700,-3301,50,6.0600526332855225
12750,-2861,50,6.089238405227661
12800,-2399,50,6.11631965637207
12850,-3466,50,6.144202470779419
12900,-3191,50,6.172046184539795
12950,-2564,50,6.199756383895874
13000,-3389,50,6.227229833602905
13050,-2564,50,6.255296230316162
13100,-2685,50,6.283564567565918
13150,-2443,50,6.311260223388672
13200,-3323,50,6.337928533554077
13250,-2366,50,6.363748550415039
13300,-3741,50,6.39168643951416
13350,-2993,50,6.418797969818115
13400,-2674,50,6.443780422210693
13450,-2597,50,6.471267938613892
13500,-2718,50,6.498151063919067
13550,-3158,50,6.528398275375366
13600,-3026,50,6.554821491241455
13650,-3345,50,6.57834005355835
13700,-3521,50,6.606548547744751
13750,-3136,50,6.633763551712036
13800,-2014,50,6.660658836364746
13850,-3070,50,6.690628528594971
13900,-2817,50,6.718278169631958
13950,-2696,50,6.74490213394165
14000,-3147,50,6.7741923332214355
14050,-2311,50,6.801487922668457
14100,-2993,50,6.830237865447998
14150,-2498,50,6.8584654331207275
14200,-2542,50,6.887877464294434
14250,-1431,50,6.915613412857056
14300,-2036,50,6.943362712860107
14350,-2883,50,6.972853183746338
14400,-2916,50,7.001516580581665
14450,-3323,50,7.031986236572266
14500,-2696,50,7.058696508407593
14550,-2289,50,7.086026668548584
14600,-3180,50,7.114312648773193
14650,-3631,50,7.1416404247283936
