#1764173880
steps,r,l,t
50,-3587,50,0.022373199462890625
100,-3818,50,0.04577302932739258
150,-2003,50,0.06572961807250977
200,-3004,50,0.08716177940368652
250,-3235,50,0.10903263092041016
300,-3620,50,0.13156533241271973
350,-3532,50,0.15235066413879395
400,-3136,50,0.17326092720031738
450,-3840,50,0.19399380683898926
500,-2971,50,0.2156527042388916
550,-2509,50,0.2388935089111328
600,-3521,50,0.25890207290649414
650,-3279,50,0.28038644790649414
700,-2212,50,0.30394744873046875
750,-3169,50,0.3251993656158447
800,-2652,50,0.3462338447570801
850,-3488,50,0.3702843189239502
900,-3015,50,0.39218831062316895
950,-2311,50,0.4132533073425293
1000,-2696,50,0.4349551200866699
1050,-2410,50,0.4568185806274414
1100,-2619,50,0.47956395149230957
1150,-3774,50,0.5020692348480225
1200,-3147,50,0.5243320465087891
1250,-2355,50,0.5468130111694336
1300,-3686,50,0.5680711269378662
1350,-2817,50,0.5908560752868652
1400,-3191,50,0.6140363216400146
1450,-4016,50,0.6367735862731934
1500,-3092,50,0.6582708358764648
1550,-3521,50,0.6806216239929199
1600,-2146,50,0.7031669616699219
1650,-3312,50,0.7244770526885986
1700,-2113,50,0.7457668781280518
1750,-3301,50,0.76926589012146
1800,-3675,50,0.7910904884338379
1850,-2905,50,0.8128554821014404
1900,-3367,50,0.8383347988128662
1950,-3895,50,0.8619441986083984
2000,-3917,50,0.8862802982330322
2050,-3631,50,0.9129657745361328
2100,-2575,50,0.9362483024597168
2150,-3037,50,0.9584851264953613
2200,-3147,50,0.9813551902770996
2250,-2520,50,1.0041172504425049
2300,-3323,50,1.0262391567230225
2350,-2476,50,1.049440860748291
2400,-3015,50,1.0727243423461914
2450,-3202,50,1.0964677333831787
2500,-2476,50,1.1180908679962158
2550,-3532,50,1.1407320499420166
2600,-3180,50,1.1643743515014648
2650,-2443,50,1.1879463195800781
2700,-2168,50,1.2097196578979492
2750,-2597,50,1.2326302528381348
2800,-3565,50,1.2566978931427002
2850,-2960,50,1.2793190479278564
2900,-3422,50,1.301534652709961
2950,-2058,50,1.3250727653503418
3000,-2938,50,1.3484892845153809
3050,-3543,50,1.371652364730835
3100,-2036,50,1.3962697982788086
3150,-2190,50,1.4190986156463623
3200,-3070,50,1.4446659088134766
3250,-3356,50,1.4670782089233398
3300,-2630,50,1.4926955699920654
3350,-2905,50,1.5156333446502686
3400,-2443,50,1.5397582054138184
3450,-3103,50,1.5640931129455566
3500,-2685,50,1.586348056793213
3550,-4489,50,1.6116783618927002
3600,-3609,50,1.6335368156433105
3650,-3807,50,1.6591839790344238
3700,-3521,50,1.6816680431365967
3750,-3312,50,1.7059195041656494
3800,-3521,50,1.7292559146881104
3850,-3796,50,1.7515366077423096
3900,-3345,50,1.7728991508483887
3950,-2487,50,1.794325351715088
4000,-3389,50,1.8173887729644775
4050,-2707,50,1.8391516208648682
4100,-3906,50,1.861177682876587
4150,-3235,50,1.885361909866333
4200,-3125,50,1.9065423011779785
4250,-2685,50,1.930859088897705
4300,-3345,50,1.9550259113311768
4350,-3433,50,1.9775733947753906
4400,-3026,50,2.002270460128784
4450,-3686,50,2.024524211883545
4500,-2971,50,2.0462117195129395
4550,-2795,50,2.070117950439453
4600,-2883,50,2.0935418605804443
4650,-2960,50,2.117281913757324
4700,-3433,50,2.1414103507995605
4750,-3169,50,2.1648786067962646
4800,-3906,50,2.1886887550354004
4850,-3125,50,2.214351177215576
4900,-2476,50,2.2380967140197754
4950,-2212,50,2.2626237869262695
5000,-3125,50,2.284186363220215
5050,-3741,50,2.309072732925415
5100,-2377,50,2.3315489292144775
5150,-2575,50,2.352158784866333
5200,-2245,50,2.375140905380249
5250,-3796,50,2.399744749069214
5300,-3785,50,2.4240596294403076
5350,-3697,50,2.4483466148376465
5400,-3246,50,2.472928524017334
5450,-3675,50,2.496060371398926
5500,-2124,50,2.517789840698242
5550,-2784,50,2.541780471801758
5600,-3235,50,2.5680806636810303
5650,-3290,50,2.5909953117370605
5700,-3147,50,2.6136653423309326
5750,-3840,50,2.6379001140594482
5800,-2861,50,2.662552833557129
5850,-3389,50,2.6852073669433594
5900,-4181,50,2.709552049636841
5950,-3081,50,2.7327888011932373
6000,-3906,50,2.7572379112243652
6050,-3521,50,2.7814629077911377
6100,-3345,50,2.8025267124176025
6150,-3180,50,2.825803518295288
6200,-3114,50,2.8506829738616943
6250,-2586,50,2.8753135204315186
6300,-2377,50,2.8994035720825195
