#1764271311
steps,r,l,t
200,-3.99999999999999,200,0.0882875919342041
400,-4.499999999999987,200,0.2538156509399414
589,-2.589999999999983,189,0.33658504486083984
621,0.47999999999999976,32,0.3518521785736084
821,-4.49999999999998,200,0.4364306926727295
1021,-3.4999999999999845,200,0.5161905288696289
1221,-3.599999999999979,200,0.5997107028961182
1421,-4.099999999999981,200,0.687577486038208
1621,-5.799999999999977,200,0.7716591358184814
1821,-3.7999999999999807,200,0.8535025119781494
2021,-4.299999999999975,200,0.9366772174835205
2221,-4.699999999999975,200,1.0279209613800049
2406,-2.4499999999999797,185,1.11189603805542
2606,-3.699999999999976,200,1.2042946815490723
2806,-3.799999999999978,200,1.2961680889129639
3006,-4.699999999999985,200,1.3838374614715576
3206,-3.499999999999986,200,1.4706823825836182
3406,-4.99999999999998,200,1.5568208694458008
3606,-4.5999999999999845,200,1.6495461463928223
3806,-5.799999999999973,200,1.7437009811401367
4006,-3.499999999999984,200,1.8309953212738037
4206,-4.899999999999984,200,1.9241726398468018
4406,-3.499999999999983,200,2.015371561050415
4606,-5.399999999999981,200,2.1024107933044434
4806,-5.29999999999998,200,2.193061113357544
5006,-4.999999999999986,200,2.293229579925537
5206,-4.799999999999979,200,2.394103527069092
5406,-3.3999999999999866,200,2.4858803749084473
5606,-4.399999999999973,200,2.5686380863189697
5806,-4.499999999999982,200,2.659451961517334
6006,-5.1999999999999815,200,2.741006851196289
6206,-5.399999999999991,200,2.8280394077301025
6406,-3.399999999999982,200,2.9108662605285645
6606,-6.0999999999999845,200,3.0011866092681885
6806,-3.999999999999983,200,3.0906755924224854
7006,-3.5999999999999863,200,3.1801958084106445
7206,-4.999999999999976,200,3.275632381439209
7406,-3.7999999999999785,200,3.3703043460845947
7606,-6.399999999999983,200,3.4666929244995117
7736,-2.4999999999999867,130,3.5344386100769043
7936,-3.1999999999999913,200,3.6401596069335938
8136,-5.699999999999983,200,3.7385222911834717
8336,-4.99999999999998,200,3.830172300338745
8536,-5.699999999999982,200,3.92000675201416
8736,-5.799999999999994,200,4.0101330280303955
8936,-5.599999999999978,200,4.101924896240234
9136,-3.899999999999986,200,4.197163820266724
9336,-4.6999999999999815,200,4.294297933578491
9536,-5.399999999999986,200,4.392539978027344
9736,-4.099999999999981,200,4.487274408340454
9936,-4.499999999999977,200,4.579497337341309
10136,-5.499999999999984,200,4.672198295593262
10336,-4.4999999999999805,200,4.76460599899292
10536,-3.1999999999999846,200,4.858377933502197
10736,-4.599999999999977,200,4.950983047485352
10936,-4.799999999999984,200,5.041470289230347
11136,-4.3999999999999755,200,5.1344897747039795
11336,-6.99999999999998,200,5.2276599407196045
11536,-4.099999999999975,200,5.32549786567688
11736,-3.8999999999999817,200,5.42357611656189
11936,-4.499999999999986,200,5.521734714508057
12136,-3.9999999999999827,200,5.6147425174713135
12336,-4.899999999999983,200,5.7107086181640625
12536,-5.399999999999977,200,5.807968854904175
12736,-4.499999999999976,200,5.904111623764038
