#1764224720
steps,r,l,t
200,-6.59999999999998,200,0.09435391426086426
400,-5.7999999999999785,200,0.1919710636138916
600,-5.899999999999981,200,0.28821349143981934
800,-5.399999999999979,200,0.3785891532897949
1000,-6.199999999999986,200,0.46987128257751465
1200,-5.699999999999983,200,0.5649888515472412
1400,-5.49999999999998,200,0.6574831008911133
1600,-4.999999999999974,200,0.7507941722869873
1800,-6.699999999999983,200,0.8473749160766602
2000,-5.699999999999981,200,0.9438984394073486
2200,-5.699999999999982,200,1.03944993019104
2400,-5.799999999999984,200,1.1354053020477295
2600,-6.499999999999982,200,1.230675220489502
2800,-7.399999999999986,200,1.3249461650848389
3000,-7.299999999999981,200,1.4200243949890137
3200,-7.599999999999991,200,1.5220437049865723
3400,-5.299999999999981,200,1.6189279556274414
3600,-6.699999999999982,200,1.7259361743927002
3800,-6.399999999999985,200,1.8232159614562988
4000,-5.999999999999982,200,1.9137558937072754
4200,-5.4999999999999805,200,2.014694929122925
4400,-8.099999999999993,200,2.119370222091675
4600,-9.499999999999988,200,2.2182509899139404
4800,-6.899999999999981,200,2.319481134414673
5000,-6.0999999999999766,200,2.419217109680176
5200,-6.1999999999999815,200,2.519550323486328
5400,-7.1999999999999895,200,2.6170473098754883
5600,-6.699999999999984,200,2.717437744140625
5800,-8.499999999999988,200,2.8162074089050293
6000,-7.399999999999987,200,2.9177064895629883
6200,-7.099999999999987,200,3.0253236293792725
6400,-5.999999999999984,200,3.1254072189331055
6600,-6.2999999999999785,200,3.2326066493988037
6800,-8.599999999999987,200,3.3340306282043457
7000,-5.59999999999998,200,3.439366579055786
7200,-6.699999999999986,200,3.5461270809173584
7400,-6.09999999999998,200,3.653796434402466
7600,-7.099999999999988,200,3.763915777206421
7800,-6.099999999999981,200,3.8726320266723633
8000,-9.19999999999999,200,3.9846041202545166
8200,-8.799999999999986,200,4.090669631958008
8400,-7.399999999999985,200,4.199267387390137
8600,-6.599999999999982,200,4.308053493499756
8800,-5.299999999999981,200,4.414515256881714
9000,-6.099999999999983,200,4.526695013046265
9200,-8.199999999999987,200,4.64137601852417
9400,-8.099999999999994,200,4.754672288894653
9600,-8.299999999999986,200,4.872743368148804
9800,-7.59999999999999,200,4.98397421836853
10000,-6.799999999999986,200,5.088856935501099
10200,-5.499999999999981,200,5.197855472564697
10400,-5.399999999999977,200,5.301003694534302
10600,-6.09999999999998,200,5.406337261199951
10800,-6.699999999999985,200,5.514081954956055
11000,-7.199999999999986,200,5.621016025543213
11200,-6.499999999999982,200,5.726219415664673
11400,-5.199999999999978,200,5.83568263053894
11600,-6.099999999999983,200,5.949477195739746
11800,-5.999999999999981,200,6.067809104919434
