#1764216250
steps,r,l,t
200,-7.099999999999984,200,0.09965777397155762
400,-6.699999999999982,200,0.20642328262329102
600,-5.199999999999979,200,0.3046743869781494
800,-4.1999999999999815,200,0.40292954444885254
1000,-6.699999999999982,200,0.5033388137817383
1200,-7.699999999999987,200,0.5999126434326172
1400,-4.8999999999999835,200,0.706601619720459
1600,-5.799999999999983,200,0.8098139762878418
1800,-6.799999999999983,200,0.9139983654022217
2000,-5.399999999999982,200,1.018151044845581
2200,-5.899999999999982,200,1.1179633140563965
2400,-5.499999999999984,200,1.2216746807098389
2600,-6.199999999999978,200,1.328484058380127
2800,-6.399999999999976,200,1.4311563968658447
3000,-5.399999999999982,200,1.5318593978881836
3200,-5.699999999999975,200,1.636026382446289
3400,-8.699999999999987,200,1.7407681941986084
3600,-6.099999999999978,200,1.8451974391937256
3800,-5.099999999999981,200,1.9459936618804932
4000,-6.099999999999981,200,2.0499227046966553
4200,-6.2999999999999785,200,2.1568901538848877
4400,-6.899999999999987,200,2.2648813724517822
4600,-5.499999999999985,200,2.372987985610962
4800,-6.299999999999984,200,2.4821159839630127
5000,-6.1999999999999815,200,2.5861127376556396
5200,-7.399999999999983,200,2.695314407348633
5400,-6.399999999999982,200,2.8030495643615723
5600,-6.099999999999983,200,2.9188497066497803
5800,-4.799999999999977,200,3.0308425426483154
6000,-5.999999999999981,200,3.1444270610809326
6200,-5.99999999999998,200,3.2625961303710938
6400,-9.199999999999985,200,3.372188091278076
6600,-5.099999999999984,200,3.487128973007202
6800,-7.099999999999981,200,3.5987777709960938
7000,-7.19999999999998,200,3.7068545818328857
7200,-5.29999999999998,200,3.8195624351501465
7400,-6.099999999999982,200,3.928006410598755
7600,-6.199999999999977,200,4.0348429679870605
7800,-6.7999999999999865,200,4.148774862289429
8000,-5.499999999999985,200,4.2632060050964355
8200,-5.799999999999976,200,4.3682520389556885
8400,-5.599999999999984,200,4.4733850955963135
8600,-7.199999999999983,200,4.5816521644592285
8800,-6.499999999999982,200,4.690130949020386
9000,-7.09999999999998,200,4.793011426925659
9200,-5.59999999999998,200,4.901005744934082
9400,-7.199999999999984,200,5.010620832443237
9600,-7.599999999999989,200,5.112695932388306
9800,-5.399999999999985,200,5.217648029327393
10000,-6.999999999999981,200,5.337006568908691
10200,-6.299999999999983,200,5.446850299835205
10400,-6.899999999999981,200,5.552807092666626
10600,-7.099999999999981,200,5.6604743003845215
10800,-5.299999999999976,200,5.770800828933716
11000,-6.599999999999984,200,5.878451824188232
11200,-6.199999999999982,200,5.987070798873901
11400,-7.499999999999984,200,6.099457740783691
11600,-5.1999999999999815,200,6.208538293838501
11800,-6.799999999999982,200,6.317762851715088
12000,-5.599999999999986,200,6.434521675109863
12200,-6.19999999999998,200,6.546674728393555
