#1764229548
steps,r,l,t
200,-5.899999999999982,200,0.08656978607177734
400,-6.09999999999998,200,0.1726219654083252
600,-5.199999999999981,200,0.2571678161621094
800,-5.099999999999978,200,0.34171628952026367
1000,-6.999999999999983,200,0.4260115623474121
1200,-5.09999999999998,200,0.507305383682251
1400,-6.099999999999985,200,0.5912551879882812
1600,-5.699999999999982,200,0.6811137199401855
1800,-5.599999999999978,200,0.7719812393188477
2000,-5.899999999999977,200,0.8599774837493896
2200,-7.59999999999999,200,0.9492855072021484
2400,-4.99999999999998,200,1.036283016204834
2600,-5.999999999999989,200,1.1272521018981934
2800,-5.499999999999977,200,1.222616195678711
3000,-4.999999999999983,200,1.3139777183532715
3200,-4.999999999999987,200,1.4106850624084473
3400,-8.69999999999999,200,1.4993071556091309
3600,-5.799999999999981,200,1.5899512767791748
3800,-7.39999999999999,200,1.6831450462341309
4000,-6.699999999999981,200,1.775160789489746
4200,-5.299999999999982,200,1.8679618835449219
4400,-7.0999999999999845,200,1.9643580913543701
4600,-5.299999999999982,200,2.060708522796631
4800,-6.799999999999983,200,2.16088604927063
5000,-6.099999999999982,200,2.254737615585327
5200,-7.29999999999999,200,2.3449361324310303
5400,-5.999999999999983,200,2.440117359161377
5600,-6.099999999999982,200,2.533247232437134
5800,-6.199999999999983,200,2.6273701190948486
6000,-5.499999999999979,200,2.7249841690063477
6200,-5.399999999999984,200,2.8169281482696533
6400,-5.499999999999977,200,2.9068660736083984
6600,-4.79999999999998,200,3.005399703979492
6800,-6.0999999999999766,200,3.100651264190674
7000,-5.09999999999998,200,3.1899240016937256
7200,-5.899999999999981,200,3.28239369392395
7400,-7.299999999999988,200,3.380049705505371
7600,-5.699999999999984,200,3.4728474617004395
7800,-7.199999999999984,200,3.570207118988037
8000,-5.799999999999981,200,3.6633358001708984
8200,-5.59999999999998,200,3.7597429752349854
8400,-6.09999999999998,200,3.857295274734497
8600,-5.499999999999976,200,3.9486372470855713
8800,-8.599999999999987,200,4.044535160064697
9000,-5.899999999999978,200,4.135870456695557
9200,-6.699999999999981,200,4.225408315658569
9400,-6.899999999999985,200,4.322721481323242
9600,-5.29999999999998,200,4.41657567024231
9800,-5.599999999999984,200,4.510097503662109
10000,-7.099999999999984,200,4.604815244674683
10200,-6.0999999999999845,200,4.700764417648315
10400,-6.19999999999998,200,4.795238256454468
10600,-7.3999999999999835,200,4.896351099014282
10800,-7.399999999999993,200,4.988425970077515
11000,-6.9999999999999805,200,5.0803916454315186
11200,-5.299999999999981,200,5.177508592605591
11400,-6.999999999999984,200,5.275082588195801
11600,-4.999999999999981,200,5.371501684188843
11800,-6.999999999999985,200,5.4691197872161865
12000,-6.399999999999985,200,5.567948818206787
12200,-7.899999999999989,200,5.664644241333008
12400,-7.299999999999986,200,5.767695665359497
12600,-6.699999999999989,200,5.867523193359375
12800,-6.899999999999984,200,5.970062255859375
13000,-5.299999999999983,200,6.0735063552856445
13200,-8.999999999999986,200,6.170741558074951
13400,-5.899999999999982,200,6.267715692520142
13600,-8.199999999999987,200,6.372206687927246
13800,-7.5999999999999845,200,6.4698779582977295
14000,-7.399999999999989,200,6.573051929473877
14200,-6.7999999999999865,200,6.670404434204102
14400,-7.499999999999986,200,6.767690181732178
14600,-7.099999999999982,200,6.8639209270477295
14800,-6.599999999999984,200,6.968791484832764
15000,-4.89999999999998,200,7.0656657218933105
15200,-6.499999999999982,200,7.164395332336426
15400,-6.199999999999982,200,7.2596399784088135
15600,-6.9999999999999885,200,7.363471984863281
15800,-6.999999999999987,200,7.467668533325195
16000,-7.69999999999999,200,7.569472789764404
16200,-5.599999999999984,200,7.669759035110474
16400,-6.899999999999984,200,7.769517660140991
16600,-6.099999999999986,200,7.875488519668579
16800,-6.499999999999987,200,7.982266187667847
17000,-6.999999999999992,200,8.086913824081421
17200,-8.099999999999989,200,8.190141439437866
17400,-6.599999999999982,200,8.292975664138794
17600,-7.799999999999991,200,8.39505648612976
17800,-7.599999999999989,200,8.499433040618896
18000,-6.299999999999982,200,8.601317405700684
18200,-8.299999999999988,200,8.711007118225098
18400,-7.299999999999993,200,8.814998388290405
18600,-6.699999999999987,200,8.921862602233887
18800,-4.399999999999979,200,9.033382654190063
19000,-6.699999999999984,200,9.142405986785889
19200,-8.599999999999985,200,9.254610300064087
19400,-6.899999999999986,200,9.380189657211304
19600,-6.799999999999985,200,9.50830364227295
19800,-8.099999999999987,200,9.635278224945068
20000,-7.999999999999992,200,9.760483980178833
20200,-6.299999999999977,200,10.872188091278076
20400,-8.59999999999999,200,11.990251779556274
20600,-8.499999999999991,200,13.167096614837646
20800,-6.3999999999999835,200,14.36696195602417
21000,-7.399999999999984,200,15.475965976715088
21200,-4.799999999999979,200,16.655027866363525
21400,-4.799999999999975,200,17.83477807044983
21600,-5.399999999999984,200,18.93370294570923
21800,-4.399999999999977,200,19.975531578063965
22000,-4.899999999999977,200,21.036041259765625
22200,-6.099999999999981,200,22.116785526275635
22400,-4.899999999999982,200,23.21499729156494
22600,-4.599999999999978,200,24.3451406955719
22800,-4.699999999999981,200,25.36740803718567
23000,-5.699999999999985,200,26.5110924243927
23200,-6.499999999999986,200,27.581791162490845
23400,-5.099999999999984,200,28.69046664237976
23600,-3.8999999999999813,200,29.810059547424316
23800,-4.699999999999981,200,30.902881860733032
24000,-3.499999999999987,200,31.994661331176758
24200,-3.5999999999999828,200,33.109116554260254
24400,-4.799999999999976,200,34.133965492248535
24600,-3.6999999999999833,200,35.259803771972656
24800,-4.399999999999981,200,36.41978406906128
25000,-3.7999999999999803,200,37.47957801818848
25200,-4.699999999999978,200,38.55879211425781
25400,-4.499999999999981,200,39.591527462005615
25600,-4.99999999999998,200,40.61467170715332
25800,-4.099999999999985,200,41.64121222496033
26000,-4.59999999999998,200,42.675050020217896
26200,-4.499999999999986,200,43.736161947250366
26400,-4.399999999999984,200,44.7731568813324
26600,-5.19999999999998,200,45.82428050041199
26800,-4.4999999999999805,200,46.89542579650879
27000,-5.29999999999998,200,47.99720048904419
27200,-4.499999999999975,200,49.05411124229431
27400,-4.399999999999982,200,50.1007125377655
27600,-6.499999999999983,200,51.15175771713257
27800,-4.499999999999979,200,52.20733594894409
28000,-5.79999999999998,200,53.25394892692566
28200,-5.199999999999981,200,54.33457136154175
28400,-5.799999999999981,200,55.36546468734741
28600,-4.699999999999985,200,56.43674087524414
28800,-4.099999999999977,200,57.513781785964966
29000,-4.39999999999998,200,58.54022693634033
29200,-4.599999999999984,200,59.56938982009888
29400,-5.799999999999982,200,60.61357378959656
29600,-5.099999999999983,200,61.67916536331177
29800,-4.59999999999998,200,62.73416066169739
30000,-5.699999999999981,200,63.78935146331787
30200,-3.799999999999978,200,64.85480308532715
30400,-4.1999999999999815,200,65.89113974571228
30600,-4.099999999999979,200,66.93596243858337
30800,-4.299999999999982,200,67.99282622337341
31000,-5.79999999999998,200,69.09399008750916
31200,-3.6999999999999797,200,70.16085815429688
31400,-5.199999999999988,200,71.21407675743103
31600,-4.799999999999976,200,72.26270532608032
31800,-4.69999999999998,200,73.30975103378296
32000,-4.399999999999982,200,74.36706161499023
32200,-4.3999999999999835,200,75.41038060188293
32400,-5.099999999999978,200,76.52602958679199
32600,-5.799999999999983,200,77.59432554244995
32800,-5.19999999999998,200,78.67838764190674
33000,-4.8999999999999755,200,79.73878288269043
33200,-4.299999999999981,200,80.80041146278381
33400,-6.399999999999981,200,81.845374584198
33600,-4.799999999999976,200,82.89335584640503
33800,-5.69999999999998,200,83.9464738368988
34000,-4.49999999999998,200,84.9963128566742
34200,-3.799999999999978,200,86.05594515800476
34400,-5.099999999999986,200,87.08372259140015
34600,-3.999999999999985,200,88.13324761390686
34800,-3.499999999999987,200,89.21270942687988
35000,-5.099999999999982,200,90.2841284275055
35200,-4.3999999999999755,200,91.34053635597229
35400,-3.6999999999999775,200,92.42141652107239
35600,-4.199999999999983,200,93.52827668190002
35800,-4.399999999999981,200,94.61088514328003
36000,-3.299999999999989,200,95.68702745437622
36200,-3.999999999999985,200,96.74816942214966
36400,-3.3999999999999893,200,97.80242896080017
36600,-3.8999999999999795,200,98.88414096832275
36800,-4.299999999999986,200,99.98144555091858
37000,-3.2999999999999843,200,101.08284664154053
37200,-3.799999999999978,200,102.19834756851196
37400,-4.099999999999984,200,103.32017183303833
37600,-4.09999999999998,200,104.37702465057373
37800,-4.199999999999979,200,105.44998288154602
38000,-3.5999999999999845,200,106.5282187461853
38200,-3.899999999999981,200,107.61474585533142
38400,-3.299999999999987,200,108.74485278129578
38600,-3.4999999999999822,200,109.84690999984741
38800,-3.799999999999985,200,110.95578145980835
39000,-3.099999999999989,200,112.03289413452148
39132,5.1800000000000095,132,112.75081515312195
39332,-6.499999999999986,200,113.81333827972412
39532,-3.099999999999989,200,114.87166357040405
39732,-3.8999999999999786,200,115.92576289176941
39932,-3.699999999999989,200,117.016916513443
40132,-4.899999999999985,200,118.08240032196045
40332,-5.799999999999989,200,119.14234900474548
40532,-7.499999999999987,200,120.1927387714386
40732,-5.79999999999998,200,121.27034091949463
40932,-6.6999999999999815,200,122.33963775634766
41132,-5.799999999999983,200,123.4307119846344
41332,-4.199999999999979,200,124.54540944099426
41532,-4.499999999999978,200,125.6800184249878
41732,-5.499999999999983,200,126.78328800201416
41932,-4.499999999999985,200,127.88558793067932
42132,-5.899999999999986,200,128.95357656478882
42332,-6.7999999999999865,200,130.0554485321045
42532,-4.299999999999982,200,131.13496708869934
42732,-9.09999999999999,200,132.2157814502716
42932,-11.399999999999977,200,133.38630270957947
43132,-2.9999999999999845,200,134.55395436286926
43332,-5.899999999999982,200,135.6273365020752
43483,-9.309999999999985,151,136.42630624771118
43683,-3.899999999999981,200,137.52510952949524
43883,-8.599999999999987,200,138.59521007537842
44083,-3.999999999999983,200,139.68001127243042
44283,-2.9999999999999876,200,140.80475997924805
44483,-3.899999999999985,200,141.93984532356262
44683,-5.899999999999987,200,143.0424404144287
44883,-10.099999999999982,200,144.10683751106262
45083,-9.299999999999981,200,145.17944884300232
45283,-13.29999999999997,200,146.2542107105255
45483,-8.199999999999989,200,147.3320198059082
45683,-3.2999999999999887,200,148.41844058036804
45883,-5.199999999999984,200,149.5550298690796
46083,-5.199999999999986,200,150.6749062538147
46283,-4.799999999999984,200,151.79548239707947
46483,-3.8999999999999853,200,152.91742873191833
46683,-5.299999999999989,200,154.02322268486023
46883,-10.399999999999991,200,155.14216923713684
47083,-6.399999999999992,200,156.26279735565186
47283,-3.5999999999999828,200,157.367121219635
47463,5.100000000000015,180,158.3583607673645
47663,-4.199999999999984,200,159.46131777763367
47863,-4.199999999999978,200,160.55989933013916
48063,-7.7999999999999945,200,161.65795469284058
48263,-3.9999999999999827,200,162.73839497566223
48463,-5.499999999999985,200,163.8373715877533
48663,-10.299999999999983,200,164.9756565093994
48863,-4.999999999999982,200,166.12253379821777
49063,-4.599999999999983,200,167.23616909980774
49263,-6.899999999999994,200,168.3454520702362
49463,-11.999999999999977,200,169.43385362625122
49663,-6.399999999999985,200,170.54044437408447
49863,-8.99999999999999,200,171.65475392341614
50063,-9.999999999999984,200,172.76915884017944
50263,-8.39999999999999,200,173.8749361038208
50463,-6.999999999999994,200,174.96847295761108
50663,-5.099999999999981,200,176.0590741634369
50863,-5.999999999999989,200,177.13859915733337
51063,-4.699999999999983,200,178.22854733467102
51263,-6.099999999999985,200,179.3584544658661
51463,-3.6999999999999775,200,180.46691298484802
51663,-7.5999999999999845,200,181.57335257530212
51863,-4.89999999999998,200,182.6873619556427
51945,-6.32,82,183.14723539352417
52009,-6.34,64,183.49745631217957
52209,-4.7999999999999785,200,184.5859136581421
52394,-9.649999999999983,185,185.58517241477966
52594,-5.399999999999981,200,186.6902482509613
52794,-4.499999999999976,200,187.81889581680298
52994,-5.399999999999981,200,188.9516806602478
53052,-6.08,58,189.28747749328613
53252,-3.599999999999986,200,190.40658140182495
53452,-3.499999999999983,200,191.53004026412964
53652,-3.2999999999999865,200,192.6512806415558
53852,-4.69999999999998,200,193.8659851551056
54052,-3.6999999999999758,200,194.9848358631134
54252,-2.7999999999999954,200,196.1241488456726
54314,8.48,62,196.46756052970886
54377,-6.03,63,196.83983778953552
54577,-3.399999999999985,200,197.9891288280487
54777,-2.8999999999999817,200,199.10849857330322
54977,-3.299999999999982,200,200.2397277355194
55023,9.24,46,200.49257946014404
55223,-3.099999999999989,200,201.61819458007812
55423,-2.9999999999999845,200,202.7656421661377
55508,8.549999999999999,85,203.2703833580017
55708,-2.9999999999999867,200,204.43008756637573
55908,-2.7999999999999883,200,205.6086757183075
56108,-3.59999999999998,200,206.72633242607117
56167,9.01,59,207.04613995552063
56225,-5.88,58,207.37855744361877
56275,9.4,50,207.65107893943787
56475,-3.4999999999999787,200,208.75739431381226
56675,-3.3999999999999844,200,209.8543050289154
56738,8.97,63,210.20922303199768
56938,-3.5999999999999797,200,211.35299801826477
57138,-2.9999999999999862,200,212.4909770488739
57338,-4.399999999999984,200,213.62185740470886
57396,8.72,58,213.95885610580444
57446,9.0,50,214.23506546020508
57646,-4.699999999999983,200,215.34407711029053
57846,-15.099999999999966,200,216.4991455078125
58046,-9.899999999999984,200,217.6139533519745
58246,-3.599999999999978,200,218.72057938575745
58288,9.08,42,218.96515440940857
58333,9.35,45,219.2126817703247
58375,9.48,42,219.44415402412415
58575,-3.3999999999999897,200,220.56554913520813
58630,-6.15,55,220.87776231765747
58830,-3.1999999999999797,200,221.9949460029602
58875,9.35,45,222.23728322982788
59075,-4.59999999999998,200,223.35226368904114
59275,-3.6999999999999806,200,224.4796805381775
59325,9.4,50,224.77608251571655
59525,-3.3999999999999844,200,225.9239592552185
59725,-3.3999999999999755,200,227.08510613441467
59925,-6.099999999999987,200,228.27603435516357
60125,-3.199999999999984,200,229.39098858833313
60325,-3.6999999999999806,200,230.5198917388916
60376,8.89,51,230.80794048309326
60429,9.07,53,231.1017303466797
60508,8.41,79,231.56033945083618
60708,-3.1999999999999846,200,232.69370579719543
60908,-5.399999999999984,200,233.83298420906067
61108,-12.699999999999974,200,235.00203347206116
61159,9.29,51,235.28261613845825
61209,9.2,50,235.58112287521362
61282,7.870000000000002,73,236.00073051452637
61482,-5.299999999999984,200,237.1415512561798
61682,-4.4999999999999805,200,238.2795205116272
61882,-3.899999999999978,200,239.40243124961853
62082,-8.599999999999998,200,240.525541305542
62282,-7.099999999999996,200,241.65149545669556
62482,-4.399999999999982,200,242.79308676719666
62682,-9.499999999999986,200,243.93842935562134
62756,8.96,74,244.36544942855835
62956,-3.0999999999999863,200,245.5102550983429
63018,8.68,62,245.8496482372284
63218,-5.399999999999979,200,246.97687125205994
63418,-4.299999999999979,200,248.0974988937378
63465,9.33,47,248.37245273590088
63568,-6.83,103,248.9603145122528
63768,-4.499999999999982,200,250.0902760028839
63968,-6.2999999999999945,200,251.2646508216858
64168,-12.299999999999981,200,252.44745182991028
64212,9.06,44,252.71250796318054
64412,-6.8999999999999835,200,253.93608784675598
