#1764243871
steps,r,l,t
200,-5.99999999999998,200,0.09212279319763184
400,-5.699999999999982,200,0.1833643913269043
600,-6.099999999999983,200,0.2741272449493408
800,-6.599999999999985,200,0.3640940189361572
1000,-5.499999999999984,200,0.4549992084503174
1200,-5.79999999999998,200,0.5450243949890137
1400,-4.99999999999998,200,0.6335363388061523
1600,-5.999999999999978,200,0.7224669456481934
1800,-6.399999999999982,200,0.8138885498046875
2000,-6.79999999999998,200,0.9041502475738525
2200,-5.399999999999978,200,0.9957160949707031
2400,-5.299999999999977,200,1.085000991821289
2600,-8.499999999999986,200,1.1738193035125732
2800,-8.39999999999999,200,1.2653312683105469
3000,-6.299999999999981,200,1.3579902648925781
3200,-6.999999999999984,200,1.45176100730896
3400,-5.099999999999985,200,1.544055700302124
3600,-5.59999999999998,200,1.6394803524017334
3800,-5.999999999999986,200,1.7329301834106445
4000,-5.599999999999978,200,1.8308401107788086
4200,-5.299999999999978,200,1.9301025867462158
4400,-6.199999999999983,200,2.0230631828308105
4600,-6.399999999999983,200,2.120844602584839
4800,-6.999999999999984,200,2.2202398777008057
5000,-5.999999999999981,200,2.318894147872925
5200,-7.599999999999986,200,2.4177134037017822
5400,-5.6999999999999815,200,2.5135598182678223
5600,-7.199999999999987,200,2.6124703884124756
5800,-5.09999999999998,200,2.7077078819274902
6000,-6.499999999999987,200,2.812298536300659
6200,-6.299999999999977,200,2.913356065750122
6400,-6.699999999999982,200,3.0134594440460205
6600,-6.399999999999979,200,3.1143722534179688
6800,-7.099999999999985,200,3.2157976627349854
7000,-5.999999999999986,200,3.3174774646759033
7200,-8.099999999999984,200,3.4224705696105957
7400,-6.299999999999982,200,3.527393102645874
7600,-7.799999999999982,200,3.6304595470428467
7800,-7.1999999999999815,200,3.7324769496917725
8000,-5.799999999999981,200,3.8353993892669678
8200,-5.999999999999978,200,3.942215919494629
8400,-5.499999999999976,200,4.045661687850952
8600,-6.9999999999999805,200,4.151826858520508
8800,-6.199999999999985,200,4.260393142700195
9000,-6.599999999999984,200,4.362647294998169
9200,-6.799999999999984,200,4.469222545623779
9400,-7.999999999999989,200,4.578692674636841
9600,-6.399999999999979,200,4.686938524246216
9800,-5.3999999999999835,200,4.793112516403198
10000,-7.6999999999999815,200,4.8975043296813965
10200,-6.299999999999979,200,5.0047385692596436
10400,-7.699999999999984,200,5.118196487426758
10600,-6.499999999999986,200,5.2188684940338135
10800,-7.299999999999987,200,5.327951908111572
11000,-5.199999999999974,200,5.427398681640625
11200,-6.699999999999983,200,5.530969619750977
11400,-6.799999999999984,200,5.637158393859863
11600,-7.499999999999988,200,5.745692014694214
11800,-8.199999999999992,200,5.848690748214722
12000,-6.299999999999981,200,5.951403617858887
12200,-6.499999999999983,200,6.058759450912476
12400,-5.1999999999999815,200,6.1573896408081055
12600,-6.899999999999988,200,6.264566898345947
12800,-7.499999999999987,200,6.372164249420166
13000,-5.899999999999976,200,6.479455471038818
13200,-7.099999999999984,200,6.589913368225098
13400,-7.799999999999986,200,6.696591377258301
13600,-6.1999999999999815,200,6.803451061248779
13800,-6.3999999999999835,200,6.906267166137695
14000,-8.599999999999987,200,7.009217023849487
14200,-7.5999999999999845,200,7.113137722015381
14400,-6.899999999999983,200,7.217238903045654
14600,-6.899999999999985,200,7.335855484008789
14800,-7.699999999999985,200,7.445817470550537
15000,-7.999999999999989,200,7.556605815887451
15200,-7.199999999999988,200,7.662739276885986
15400,-6.899999999999983,200,7.771371364593506
15600,-7.999999999999985,200,7.877411603927612
15800,-7.799999999999989,200,7.9857497215271
16000,-6.1999999999999815,200,8.088022708892822
16200,-7.799999999999986,200,8.19256329536438
16400,-7.49999999999999,200,8.302359819412231
16600,-7.499999999999985,200,8.40436315536499
16800,-7.699999999999985,200,8.515120029449463
17000,-6.999999999999981,200,8.62678575515747
17200,-7.099999999999984,200,8.731891393661499
17400,-6.799999999999982,200,8.837316513061523
17600,-8.099999999999985,200,8.948046445846558
17800,-6.999999999999984,200,9.052956581115723
18000,-8.099999999999987,200,9.159098863601685
18200,-8.699999999999989,200,9.267887115478516
18400,-7.499999999999982,200,9.374886512756348
18600,-6.299999999999979,200,9.479726552963257
18800,-7.599999999999986,200,9.590387344360352
19000,-7.999999999999989,200,9.695170640945435
19200,-7.1999999999999815,200,9.801208257675171
19400,-10.899999999999979,200,9.914668321609497
19600,-6.699999999999984,200,10.023213386535645
19800,-5.899999999999983,200,10.138327836990356
20000,-6.699999999999982,200,10.251155614852905
20200,-6.59999999999998,200,11.065168380737305
20400,-5.299999999999979,200,11.895248413085938
20600,-5.599999999999985,200,12.734914302825928
20800,-5.699999999999983,200,13.576139450073242
21000,-3.6999999999999837,200,14.402259826660156
21200,-4.699999999999979,200,15.194555759429932
21400,-5.199999999999982,200,15.990401268005371
21600,-4.699999999999981,200,16.802947521209717
21800,-4.799999999999979,200,17.61549210548401
22000,-6.299999999999986,200,18.41933846473694
22200,-3.799999999999982,200,19.244385719299316
22400,-4.1999999999999815,200,20.083702087402344
22600,-6.099999999999984,200,20.908193588256836
22800,-4.699999999999979,200,21.728875875473022
23000,-5.299999999999977,200,22.54768943786621
23200,-4.8999999999999755,200,23.375600814819336
23400,-5.3999999999999835,200,24.193984746932983
23600,-6.199999999999982,200,25.009443521499634
23800,-5.499999999999985,200,25.809812784194946
24000,-5.299999999999982,200,26.618119716644287
24200,-5.2999999999999785,200,27.418622732162476
24400,-4.099999999999979,200,28.23535919189453
24600,-4.199999999999981,200,29.078389167785645
24800,-4.7999999999999785,200,29.9434072971344
25000,-3.3999999999999893,200,30.806480884552002
25200,-3.9999999999999836,200,31.636855125427246
25400,-5.4999999999999805,200,32.47317719459534
25600,-4.099999999999973,200,33.28386092185974
25800,-4.8999999999999835,200,34.08811593055725
26000,-4.399999999999985,200,34.923017740249634
26200,-4.09999999999998,200,35.752761125564575
26400,-5.499999999999982,200,36.58875393867493
26600,-3.4999999999999867,200,37.41700077056885
26800,-4.099999999999978,200,38.24009418487549
27000,-4.299999999999981,200,39.06730604171753
27200,-4.099999999999981,200,39.89540457725525
27400,-3.899999999999983,200,40.718387603759766
27600,-4.699999999999978,200,41.53667211532593
27800,-3.8999999999999804,200,42.33745765686035
28000,-3.999999999999979,200,43.16133999824524
28200,-4.799999999999979,200,43.97260046005249
28400,-6.399999999999986,200,44.82124328613281
28600,-4.799999999999981,200,45.64601278305054
28800,-4.69999999999998,200,46.47859740257263
29000,-4.39999999999998,200,47.31820750236511
29200,-3.699999999999983,200,48.16608905792236
29400,-4.899999999999986,200,49.01096534729004
29600,-4.299999999999978,200,49.84997487068176
29800,-3.69999999999998,200,50.685870885849
30000,-4.0999999999999766,200,51.52862071990967
30200,-6.299999999999983,200,52.35501313209534
30400,-4.799999999999981,200,53.1739616394043
30600,-3.9999999999999813,200,54.01925206184387
30800,-5.5999999999999845,200,54.85315442085266
31000,-4.29999999999998,200,55.68348455429077
31200,-6.299999999999981,200,56.52780842781067
31400,-4.6999999999999815,200,57.366397857666016
31600,-5.699999999999983,200,58.205936670303345
31800,-4.69999999999998,200,59.03992414474487
32000,-4.799999999999981,200,59.853501081466675
32200,-5.599999999999976,200,60.67641568183899
32400,-4.199999999999981,200,61.494354486465454
32600,-5.799999999999983,200,62.316978931427
32800,-5.1999999999999815,200,63.1398344039917
33000,-5.199999999999983,200,63.96609306335449
33200,-6.199999999999983,200,64.80239248275757
33400,-4.399999999999977,200,65.65849542617798
33600,-5.699999999999984,200,66.50079083442688
33800,-5.799999999999981,200,67.363046169281
34000,-5.399999999999984,200,68.20047807693481
34200,-5.799999999999985,200,69.02246117591858
34400,-6.099999999999981,200,69.8592119216919
34600,-9.299999999999985,200,70.71561694145203
34800,-7.199999999999982,200,71.5616180896759
35000,-6.599999999999986,200,72.40021133422852
35200,-5.399999999999982,200,73.25025773048401
35400,-5.499999999999984,200,74.1230411529541
35600,-7.499999999999987,200,74.96636366844177
35800,-5.799999999999982,200,75.82510900497437
36000,-6.799999999999986,200,76.69837045669556
36200,-5.19999999999998,200,77.56150007247925
36400,-5.99999999999998,200,78.39187550544739
36600,-6.599999999999983,200,79.22223353385925
36800,-6.899999999999982,200,80.05192041397095
37000,-6.699999999999987,200,80.88346767425537
37200,-5.399999999999981,200,81.72188091278076
37400,-6.399999999999985,200,82.55678153038025
37600,-6.099999999999981,200,83.41525602340698
37800,-5.49999999999998,200,84.28427791595459
38000,-5.8999999999999835,200,85.13788414001465
38200,-4.599999999999983,200,86.0000307559967
38400,-4.999999999999983,200,86.84175109863281
38600,-4.399999999999985,200,87.67041754722595
38800,-3.4999999999999845,200,88.51713919639587
39000,-4.799999999999982,200,89.4413571357727
39200,-5.799999999999981,200,90.32511401176453
39400,-5.999999999999984,200,91.22309803962708
39600,-5.899999999999983,200,92.11299633979797
39800,-5.799999999999986,200,93.00175261497498
40000,-4.599999999999979,200,93.86836099624634
40200,-4.799999999999982,200,94.72291445732117
40400,-4.499999999999979,200,95.60937547683716
40600,-4.899999999999982,200,96.47595858573914
40800,-5.999999999999982,200,97.32372069358826
41000,-4.599999999999982,200,98.16017246246338
41200,-6.799999999999986,200,99.05931973457336
41400,-5.899999999999993,200,99.98806047439575
41600,-4.399999999999983,200,100.85103178024292
41800,-5.299999999999983,200,101.70802450180054
42000,-5.999999999999981,200,102.62060213088989
42200,-4.499999999999978,200,103.53242325782776
42400,-4.199999999999986,200,104.46347713470459
42600,-7.0999999999999845,200,105.35420870780945
42800,-5.099999999999983,200,106.19287467002869
43000,-4.499999999999982,200,107.0788345336914
43200,-3.5999999999999823,200,107.98493027687073
43400,-4.399999999999978,200,108.86506390571594
43600,-4.299999999999986,200,109.7943058013916
43800,-3.699999999999983,200,110.6914873123169
44000,-4.499999999999981,200,111.56641483306885
44200,-4.499999999999987,200,112.43391251564026
44400,-4.1999999999999815,200,113.33160400390625
44600,-3.8999999999999844,200,114.24698758125305
44800,-4.399999999999978,200,115.14154577255249
45000,-5.1999999999999815,200,116.04976487159729
45200,-5.499999999999984,200,116.91888093948364
45400,-3.2999999999999856,200,117.80131483078003
45600,-4.399999999999975,200,118.72084617614746
45800,-4.499999999999986,200,119.59313702583313
46000,-3.5999999999999814,200,120.47428178787231
46200,-3.3999999999999844,200,121.3432228565216
46400,-4.399999999999984,200,122.23494052886963
46600,-4.999999999999979,200,123.10833740234375
46800,-3.2999999999999843,200,123.98638319969177
47000,-3.399999999999989,200,124.83759808540344
47161,-8.20999999999999,161,125.51313638687134
47361,-4.5999999999999845,200,126.38414144515991
47561,-5.999999999999987,200,127.23708939552307
47761,-5.399999999999982,200,128.08839416503906
47961,-6.199999999999988,200,128.95296335220337
48144,-8.82999999999998,183,129.75665616989136
48344,-3.8999999999999817,200,130.6483769416809
48544,-4.299999999999983,200,131.52947974205017
48744,-3.6999999999999824,200,132.4069802761078
48944,-3.5999999999999783,200,133.26316118240356
49144,-4.399999999999987,200,134.11317801475525
49344,-4.799999999999987,200,134.96732378005981
49464,-6.900000000000001,120,135.48401808738708
49664,-4.099999999999978,200,136.32636833190918
49864,-4.299999999999986,200,137.1822690963745
50064,-4.8999999999999915,200,138.04365396499634
50264,-3.499999999999987,200,138.9217083454132
50464,-3.3999999999999897,200,139.8117377758026
50664,-5.099999999999989,200,140.71258330345154
50860,-9.859999999999975,196,141.55551075935364
51060,-3.099999999999989,200,142.4270474910736
51260,-3.799999999999985,200,143.3017385005951
51460,-5.399999999999981,200,144.1960985660553
51517,-6.37,57,144.43288683891296
51717,-5.39999999999998,200,145.28962445259094
51917,-5.299999999999986,200,146.15693378448486
52117,-3.399999999999987,200,147.05533909797668
52317,-3.2999999999999847,200,147.93780040740967
52517,-4.299999999999983,200,148.83836007118225
52717,-4.899999999999986,200,149.73134636878967
52917,-4.199999999999985,200,150.6012167930603
53117,-3.499999999999987,200,151.5061752796173
53315,-9.07999999999998,198,152.37405943870544
53515,-5.499999999999982,200,153.23208785057068
53715,-4.5999999999999845,200,154.1239173412323
53915,-4.3999999999999755,200,155.00587964057922
54115,-5.399999999999989,200,155.90269660949707
54315,-3.5999999999999828,200,156.79981207847595
54515,-4.799999999999986,200,157.69639205932617
54715,-4.999999999999985,200,158.5814447402954
54915,-4.599999999999983,200,159.4481337070465
55115,-4.199999999999986,200,160.31310844421387
55315,-4.599999999999978,200,161.17339944839478
55438,-6.830000000000001,123,161.7203607559204
55638,-5.199999999999992,200,162.59669256210327
55838,-4.999999999999986,200,163.4730932712555
56038,-5.299999999999986,200,164.3699414730072
56238,-4.099999999999984,200,165.27840089797974
56438,-4.199999999999986,200,166.17648696899414
56638,-4.599999999999988,200,167.06065320968628
56838,-4.799999999999981,200,167.95049047470093
57038,-4.499999999999983,200,168.84433817863464
57238,-3.199999999999983,200,169.74167466163635
57438,-4.899999999999984,200,170.6142008304596
57638,-4.899999999999981,200,171.49733185768127
57838,-4.599999999999985,200,172.39973902702332
58038,-3.7999999999999883,200,173.31117057800293
58238,-3.599999999999987,200,174.21367049217224
58438,-4.799999999999981,200,175.10407161712646
58638,-5.39999999999998,200,175.99833631515503
58838,-4.199999999999983,200,176.86242818832397
59038,-4.399999999999983,200,177.75874495506287
59238,-4.899999999999987,200,178.64750957489014
59438,-4.299999999999979,200,179.5198335647583
59638,-4.49999999999999,200,180.42126059532166
59838,-3.9999999999999827,200,181.33283352851868
60038,-3.3999999999999866,200,182.2708384990692
60238,-4.4999999999999805,200,183.1972427368164
60438,-4.499999999999985,200,184.0756208896637
60638,-4.399999999999979,200,184.9646861553192
60838,-3.4999999999999827,200,185.8574457168579
61038,-3.1999999999999877,200,186.7544116973877
61238,-3.3999999999999915,200,187.65514993667603
61438,-3.699999999999988,200,188.57117891311646
61638,-3.59999999999998,200,189.50043058395386
