#1764160292
steps,r,l,t
50,-2663,50,0.023879528045654297
100,-3323,50,0.04444384574890137
150,-2652,50,0.06594419479370117
200,-2850,50,0.08820295333862305
250,-4082,50,0.11253690719604492
300,-2707,50,0.13351821899414062
350,-3312,50,0.15750765800476074
400,-3477,50,0.18043184280395508
450,-2773,50,0.20504212379455566
500,-4005,50,0.2261807918548584
550,-2861,50,0.24843287467956543
600,-3400,50,0.27065300941467285
650,-3400,50,0.29471611976623535
700,-2025,50,0.3152906894683838
750,-2652,50,0.3365814685821533
800,-2564,50,0.3607926368713379
850,-2960,50,0.3825862407684326
900,-2883,50,0.404102087020874
950,-3059,50,0.42633581161499023
1000,-3279,50,0.44975972175598145
1050,-2597,50,0.47150135040283203
1100,-2190,50,0.49200010299682617
1150,-3059,50,0.5141317844390869
1200,-2773,50,0.538461446762085
1250,-2905,50,0.5603015422821045
1300,-3125,50,0.582381010055542
1350,-3532,50,0.6046559810638428
1400,-3466,50,0.6283779144287109
1450,-2531,50,0.6495082378387451
1500,-3103,50,0.6708688735961914
1550,-3543,50,0.6945765018463135
1600,-2652,50,0.7174680233001709
1650,-2707,50,0.7385742664337158
1700,-3389,50,0.7611582279205322
1750,-3851,50,0.783069372177124
1800,-2971,50,0.8051691055297852
1850,-3367,50,0.8279221057891846
1900,-3598,50,0.8513002395629883
1950,-3543,50,0.8723957538604736
2000,-2300,50,0.8962752819061279
2050,-3411,50,0.9191498756408691
2100,-3191,50,0.94386887550354
2150,-1871,50,0.9679148197174072
2200,-2960,50,0.9895684719085693
2250,-2102,50,1.0124423503875732
2300,-3092,50,1.0342073440551758
2350,-3334,50,1.0577526092529297
2400,-3653,50,1.080772876739502
2450,-3906,50,1.101959228515625
2500,-3499,50,1.1259100437164307
2550,-2619,50,1.149352788925171
2600,-3719,50,1.1712770462036133
2650,-3191,50,1.194162130355835
2700,-3796,50,1.2203757762908936
2750,-3774,50,1.2414460182189941
2800,-2388,50,1.265657901763916
2850,-3972,50,1.2898814678192139
2900,-3477,50,1.313934564590454
2950,-3851,50,1.3373758792877197
3000,-2674,50,1.360877513885498
3050,-2784,50,1.3846912384033203
3100,-2465,50,1.4068374633789062
3150,-3554,50,1.4290602207183838
3200,-3235,50,1.4525878429412842
3250,-3235,50,1.478135108947754
3300,-2300,50,1.503225564956665
3350,-3455,50,1.524550199508667
3400,-2762,50,1.5472848415374756
3450,-2740,50,1.5732855796813965
3500,-2432,50,1.5953783988952637
3550,-2223,50,1.618584156036377
3600,-2542,50,1.6441752910614014
3650,-1948,50,1.669414758682251
3700,-3015,50,1.6925086975097656
3750,-2861,50,1.7145471572875977
3800,-3180,50,1.737191915512085
3850,-2575,50,1.7619304656982422
3900,-3235,50,1.7854104042053223
3950,-2872,50,1.8081648349761963
4000,-2641,50,1.8321318626403809
4050,-2091,50,1.8568878173828125
4100,-2377,50,1.878525733947754
4150,-2575,50,1.9014625549316406
4200,-2817,50,1.9277987480163574
4250,-2718,50,1.9516644477844238
4300,-3686,50,1.972419023513794
4350,-2784,50,1.9973433017730713
4400,-2806,50,2.022153615951538
4450,-4236,50,2.04580020904541
4500,-2707,50,2.067678451538086
4550,-4379,50,2.0906286239624023
4600,-2751,50,2.117790937423706
4650,-3444,50,2.1397058963775635
4700,-2531,50,2.1625759601593018
4750,-2751,50,2.1883833408355713
4800,-2267,50,2.211475372314453
4850,-2916,50,2.232221841812134
4900,-2938,50,2.2577526569366455
4950,-3279,50,2.2813680171966553
5000,-2663,50,2.3059308528900146
5050,-2509,50,2.329442024230957
5100,-2795,50,2.3538146018981934
5150,-2685,50,2.377107858657837
5200,-2663,50,2.4008889198303223
5250,-2410,50,2.4245834350585938
5300,-2861,50,2.4480032920837402
5350,-2597,50,2.47462797164917
5400,-2641,50,2.4991042613983154
5450,-2773,50,2.5232176780700684
5500,-3301,50,2.5463762283325195
5550,-2784,50,2.5685691833496094
5600,-3136,50,2.594733953475952
5650,-2608,50,2.61938738822937
5700,-3642,50,2.6433889865875244
5750,-3499,50,2.6660242080688477
5800,-2850,50,2.689743757247925
5850,-2432,50,2.712672710418701
5900,-3565,50,2.7369415760040283
5950,-2861,50,2.760594129562378
6000,-3004,50,2.7841951847076416
6050,-3312,50,2.80688738822937
6100,-3070,50,2.83099102973938
6150,-3433,50,2.8559823036193848
6200,-3026,50,2.8792896270751953
6250,-3620,50,2.904048442840576
6300,-3268,50,2.9271328449249268
6350,-3543,50,2.9497854709625244
6400,-2498,50,2.9724175930023193
6450,-3587,50,2.995217800140381
6500,-2454,50,3.017388343811035
6550,-2443,50,3.041874885559082
6600,-3499,50,3.0668206214904785
6650,-2982,50,3.091282367706299
6700,-4016,50,3.1144018173217773
6750,-3147,50,3.137022018432617
6800,-3235,50,3.159362316131592
6850,-3807,50,3.1844828128814697
6900,-2817,50,3.208205461502075
6950,-2564,50,3.2346222400665283
7000,-3213,50,3.258179187774658
7050,-3598,50,3.2824673652648926
7100,-3312,50,3.307560920715332
7150,-3400,50,3.332606792449951
7200,-2586,50,3.355929136276245
7250,-3433,50,3.380559206008911
7300,-3312,50,3.4046847820281982
7350,-2762,50,3.4278571605682373
7400,-2729,50,3.4506046772003174
7450,-3147,50,3.473693370819092
7500,-3257,50,3.4983794689178467
7550,-3730,50,3.523716449737549
7600,-3114,50,3.5491087436676025
7650,-2916,50,3.5705738067626953
7700,-2245,50,3.59326434135437
7750,-3136,50,3.617903709411621
7800,-2960,50,3.642578601837158
7850,-2740,50,3.6665995121002197
7900,-3158,50,3.690358877182007
7950,-2608,50,3.716087579727173
8000,-3466,50,3.7429122924804688
8050,-3103,50,3.7683751583099365
8100,-2465,50,3.7934181690216064
8150,-2839,50,3.818070888519287
8200,-2795,50,3.8439383506774902
8250,-2707,50,3.868725061416626
8300,-3939,50,3.8939661979675293
8350,-3026,50,3.919769048690796
8400,-2982,50,3.9439761638641357
8450,-2663,50,3.9703381061553955
8500,-2718,50,3.9942095279693604
8550,-2652,50,4.019606351852417
8600,-3752,50,4.044532299041748
8650,-2773,50,4.06845498085022
8700,-2476,50,4.093493938446045
8750,-2608,50,4.116767406463623
8800,-2751,50,4.1398022174835205
8850,-2971,50,4.164143800735474
8900,-2597,50,4.187434196472168
8950,-2619,50,4.213098526000977
9000,-2795,50,4.236633777618408
9050,-2245,50,4.258603096008301
9100,-3565,50,4.286207437515259
9150,-2146,50,4.3102781772613525
9200,-3312,50,4.334939002990723
9250,-2828,50,4.360820055007935
9300,-2608,50,4.388221502304077
9350,-3202,50,4.413726329803467
9400,-2102,50,4.438657999038696
9450,-3279,50,4.461466312408447
9500,-3235,50,4.486691951751709
9550,-3213,50,4.5124077796936035
9600,-3004,50,4.537513732910156
9650,-2498,50,4.562664031982422
9700,-2652,50,4.587848424911499
9750,-3279,50,4.6128904819488525
9800,-2652,50,4.639932870864868
9850,-2784,50,4.6653666496276855
9900,-2619,50,4.688917875289917
9950,-3246,50,4.714740991592407
10000,-3994,50,4.740613698959351
10050,-2685,50,4.766626834869385
10100,-2740,50,4.793528318405151
10150,-3356,50,4.820441007614136
10200,-3510,50,4.848160266876221
10250,-3895,50,4.874565124511719
10300,-2443,50,4.8983941078186035
10350,-3015,50,4.924332857131958
10400,-3279,50,4.948208332061768
10450,-2883,50,4.974515199661255
10500,-3301,50,4.9989142417907715
10550,-4027,50,5.022557973861694
10600,-2454,50,5.046941518783569
10650,-2476,50,5.070590496063232
10700,-2685,50,5.094367265701294
10750,-2476,50,5.119457244873047
10800,-3411,50,5.145823955535889
10850,-2641,50,5.1739091873168945
10900,-3433,50,5.1988749504089355
10950,-3037,50,5.22512412071228
11000,-2344,50,5.251789331436157
11050,-3037,50,5.27815580368042
11100,-2663,50,5.304645299911499
11150,-3422,50,5.329246997833252
11200,-2564,50,5.35609245300293
11250,-3356,50,5.380706548690796
11300,-3994,50,5.405871391296387
11350,-3367,50,5.433450222015381
11400,-2751,50,5.4571733474731445
11450,-3070,50,5.4848527908325195
11500,-2487,50,5.5098717212677
11550,-2399,50,5.5355212688446045
11600,-2267,50,5.561619997024536
11650,-2938,50,5.586692810058594
11700,-2256,50,5.611766338348389
11750,-2894,50,5.634915828704834
11800,-1937,50,5.66001033782959
11850,-2421,50,5.6879260540008545
11900,-2564,50,5.711443185806274
11950,-2927,50,5.738729476928711
12000,-3609,50,5.765289783477783
12050,-2487,50,5.791975259780884
12100,-3180,50,5.816059589385986
12150,-2575,50,5.845360517501831
12200,-2421,50,5.873075723648071
12250,-3235,50,5.898704528808594
12300,-3169,50,5.925078868865967
12350,-3147,50,5.951153755187988
12400,-2322,50,5.978357315063477
12450,-2333,50,6.003586530685425
12500,-3444,50,6.028112411499023
12550,-3202,50,6.054145574569702
12600,-3026,50,6.078439235687256
12650,-2608,50,6.104437589645386
12700,-3466,50,6.131157636642456
12750,-3378,50,6.155893087387085
12800,-3433,50,6.1837158203125
12850,-2520,50,6.212601900100708
12900,-2168,50,6.241928577423096
12950,-3851,50,6.265145301818848
13000,-3147,50,6.290916681289673
13050,-3389,50,6.319593667984009
13100,-4049,50,6.3459391593933105
13150,-3818,50,6.3720784187316895
13200,-2443,50,6.39739465713501
13250,-2817,50,6.42359733581543
13300,-3070,50,6.451721668243408
13350,-3114,50,6.47788143157959
13400,-2762,50,6.501892805099487
13450,-1838,50,6.527348518371582
13500,-2872,50,6.554646968841553
13550,-2289,50,6.58118200302124
13600,-2707,50,6.606448411941528
13650,-2718,50,6.634338617324829
13700,-3257,50,6.662733554840088
13750,-3213,50,6.690516710281372
13800,-2806,50,6.717692136764526
13850,-2498,50,6.742821216583252
13900,-3004,50,6.76865029335022
13950,-3576,50,6.7947986125946045
14000,-3136,50,6.821671485900879
14050,-2597,50,6.847918510437012
14100,-3400,50,6.873831510543823
14150,-2674,50,6.901872396469116
14200,-2608,50,6.928540229797363
14250,-2223,50,6.95534086227417
14300,-3103,50,6.984712362289429
14350,-2432,50,7.009966611862183
14400,-2916,50,7.039179801940918
14450,-3818,50,7.066090822219849
14500,-3070,50,7.092033386230469
14550,-2740,50,7.123236417770386
14600,-2564,50,7.15166449546814
14650,-2729,50,7.181440353393555
14700,-2839,50,7.208953619003296
14750,-3829,50,7.236690044403076
14800,-3455,50,7.266632318496704
14850,-3554,50,7.29857063293457
14900,-2509,50,7.324629783630371
14950,-2806,50,7.351761341094971
15000,-2366,50,7.3796775341033936
15050,-2520,50,7.405874490737915
15100,-2927,50,7.432832479476929
15150,-1794,50,7.461049795150757
15200,-2674,50,7.485360383987427
15250,-2399,50,7.5126307010650635
15300,-3466,50,7.541814804077148
15350,-3147,50,7.567265748977661
15400,-3950,50,7.593127727508545
15450,-3807,50,7.62517786026001
15500,-3059,50,7.653952121734619
15550,-2663,50,7.685776710510254
15600,-2498,50,7.716772794723511
15650,-2377,50,7.7453155517578125
15700,-2157,50,7.774894952774048
15750,-3180,50,7.804368019104004
15800,-2080,50,7.834981441497803
15850,-2938,50,7.86284613609314
15900,-3587,50,7.894622325897217
15950,-3334,50,7.919185638427734
16000,-3158,50,7.946852922439575
16050,-2300,50,7.978975772857666
16100,-2872,50,8.007278203964233
16150,-3642,50,8.033926010131836
16200,-3664,50,8.059158563613892
16250,-3081,50,8.088092803955078
16300,-2784,50,8.117262125015259
16350,-2289,50,8.142496109008789
16400,-2454,50,8.172428131103516
16450,-3015,50,8.201848268508911
16500,-3499,50,8.23523736000061
16550,-3114,50,8.266777038574219
16600,-3048,50,8.295249462127686
16650,-2685,50,8.324848651885986
16700,-3268,50,8.353151321411133
16750,-3059,50,8.384016513824463
16800,-3631,50,8.414373636245728
16850,-2718,50,8.439806699752808
16900,-2586,50,8.471222400665283
16950,-2828,50,8.50483226776123
17000,-2091,50,8.534287214279175
17050,-2586,50,8.565765380859375
17100,-2784,50,8.5930335521698
17150,-3620,50,8.62319827079773
17200,-3279,50,8.651582717895508
17250,-2652,50,8.683695793151855
17300,-4060,50,8.713804006576538
17350,-3895,50,8.742454528808594
17400,-2762,50,8.774415493011475
17450,-2850,50,8.805366516113281
17500,-3026,50,8.836448192596436
17550,-2025,50,8.865402698516846
17600,-2784,50,8.89572286605835
17650,-1651,50,8.925718069076538
17700,-3158,50,8.952246189117432
17750,-3037,50,8.985437870025635
17800,-2718,50,9.017054557800293
17850,-2344,50,9.046354055404663
17900,-3026,50,9.077950477600098
17950,-2520,50,9.105068922042847
18000,-2399,50,9.134935140609741
18050,-2608,50,9.163828372955322
18100,-3356,50,9.193849802017212
18150,-2696,50,9.221302509307861
18200,-2168,50,9.250426769256592
18250,-2938,50,9.279852867126465
18300,-3004,50,9.308777093887329
18350,-3587,50,9.341180562973022
18400,-3037,50,9.37017011642456
18450,-2322,50,9.399837970733643
18500,-2652,50,9.431233167648315
18550,-3246,50,9.458646535873413
18600,-2399,50,9.48828411102295
18650,-3730,50,9.515887022018433
18700,-2619,50,9.547420263290405
18750,-2784,50,9.578770160675049
18800,-2168,50,9.604784965515137
18850,-2630,50,9.636650800704956
18900,-3092,50,9.663844108581543
18950,-3224,50,9.694515466690063
19000,-2443,50,9.72177505493164
19050,-2707,50,9.748817205429077
19100,-2795,50,9.779833316802979
19150,-2883,50,9.809104204177856
19200,-2806,50,9.837553024291992
19250,-2047,50,9.867622137069702
19300,-3037,50,9.896167516708374
19350,-3092,50,9.92652702331543
19400,-2872,50,9.955600261688232
19450,-3477,50,9.985809326171875
19500,-2960,50,10.013524293899536
19550,-2003,50,10.04742431640625
19600,-3015,50,10.076459884643555
19650,-3158,50,10.111260175704956
19700,-2839,50,10.139019250869751
19750,-1684,50,10.166451215744019
19800,-2124,50,10.195642948150635
19850,-2938,50,10.22460675239563
19900,-3004,50,10.25490665435791
19950,-3587,50,10.2848060131073
20000,-3191,50,10.316619873046875
20050,-3532,50,10.431440830230713
20100,-2509,50,10.556055307388306
20150,-3686,50,10.67323112487793
20200,-2861,50,10.797013282775879
20250,-2685,50,10.912243604660034
20300,-2454,50,11.035200119018555
20350,-2542,50,11.149993896484375
20400,-2883,50,11.266961336135864
20450,-3312,50,11.382128715515137
20500,-3620,50,11.501508235931396
20550,-2410,50,11.609293937683105
20600,-2421,50,11.72953176498413
20650,-2674,50,11.850643157958984
20700,-1970,50,11.985919952392578
20750,-2883,50,12.101850032806396
20800,-2542,50,12.22484827041626
20850,-2608,50,12.339587926864624
20900,-2212,50,12.460667371749878
20950,-3774,50,12.572556972503662
21000,-2509,50,12.696017503738403
21050,-2751,50,12.811492204666138
21100,-3059,50,12.931634426116943
21150,-3576,50,13.050818920135498
21200,-2663,50,13.174468994140625
21250,-3653,50,13.286505222320557
21300,-2894,50,13.41113567352295
21350,-2938,50,13.529588222503662
21400,-3114,50,13.653280973434448
21450,-3070,50,13.770092487335205
21500,-1970,50,13.90128779411316
21550,-2157,50,14.022186994552612
21600,-2718,50,14.140161514282227
21650,-2366,50,14.254460096359253
21700,-2421,50,14.370673894882202
21750,-2850,50,14.485081434249878
21800,-2575,50,14.60651683807373
21850,-2300,50,14.720186710357666
21900,-3356,50,14.841788291931152
21950,-2916,50,14.952369689941406
22000,-2850,50,15.076237678527832
22050,-2487,50,15.19718599319458
22100,-2619,50,15.329833269119263
22150,-3873,50,15.44800353050232
22200,-2454,50,15.57507610321045
22250,-2905,50,15.690213680267334
22300,-2586,50,15.80848479270935
22350,-3246,50,15.921135902404785
22400,-2223,50,16.03426480293274
22450,-3070,50,16.14189052581787
22500,-2894,50,16.265131950378418
22550,-3015,50,16.391215562820435
22600,-2817,50,16.52744197845459
22650,-3422,50,16.644219636917114
22700,-2487,50,16.759472846984863
22750,-3488,50,16.871989965438843
22800,-2267,50,16.985119342803955
22850,-2124,50,17.100587606430054
22900,-2399,50,17.22591495513916
22950,-1948,50,17.337679624557495
23000,-1959,50,17.454750061035156
23050,-1959,50,17.563279628753662
23100,-2674,50,17.683550119400024
23150,-3114,50,17.802168607711792
23200,-2399,50,17.920305728912354
23250,-2553,50,18.034216165542603
23300,-2894,50,18.162611722946167
23350,-2916,50,18.26886558532715
23400,-3180,50,18.388309240341187
23450,-3059,50,18.501336336135864
23500,-2487,50,18.6256046295166
23550,-2476,50,18.73935341835022
23600,-3103,50,18.85774827003479
23650,-2751,50,18.977503061294556
23700,-2520,50,19.100189685821533
23750,-2740,50,19.218552589416504
23800,-3598,50,19.334791660308838
23850,-2707,50,19.447203636169434
23900,-3268,50,19.565800428390503
23950,-2839,50,19.67628526687622
24000,-2817,50,19.79492449760437
24050,-2289,50,19.906919717788696
24100,-2245,50,20.02547597885132
24150,-3136,50,20.139774560928345
24200,-3367,50,20.26864242553711
24250,-2839,50,20.39266347885132
24300,-3059,50,20.514926433563232
24350,-3763,50,20.63034200668335
24400,-3235,50,20.753400802612305
24450,-2311,50,20.878085374832153
