#1764169720
steps,r,l,t
50,-2685,50,0.022253751754760742
100,-3059,50,0.04366016387939453
150,-2509,50,0.06520485877990723
200,-3631,50,0.08785533905029297
250,-3026,50,0.11017441749572754
300,-2707,50,0.1322927474975586
350,-2564,50,0.15376710891723633
400,-3917,50,0.17603158950805664
450,-2476,50,0.1982407569885254
500,-2410,50,0.2199087142944336
550,-3136,50,0.24091839790344238
600,-2729,50,0.2632865905761719
650,-3708,50,0.284747838973999
700,-3466,50,0.30675172805786133
750,-2828,50,0.3296055793762207
800,-2839,50,0.3511042594909668
850,-3367,50,0.3729586601257324
900,-3400,50,0.39565324783325195
950,-2333,50,0.4171292781829834
1000,-2707,50,0.43863821029663086
1050,-3532,50,0.46093320846557617
1100,-2718,50,0.4832956790924072
1150,-3400,50,0.5046231746673584
1200,-2311,50,0.5260498523712158
1250,-3631,50,0.5472328662872314
1300,-2157,50,0.5713992118835449
1350,-2916,50,0.5926363468170166
1400,-2773,50,0.614708423614502
1450,-1981,50,0.6351072788238525
1500,-3312,50,0.6581180095672607
1550,-1926,50,0.6785330772399902
1600,-3510,50,0.7002558708190918
1650,-2751,50,0.7219045162200928
1700,-2366,50,0.7430839538574219
1750,-3510,50,0.7663168907165527
1800,-2795,50,0.7885763645172119
1850,-3862,50,0.810312032699585
1900,-2047,50,0.8333184719085693
1950,-2839,50,0.8550052642822266
2000,-3268,50,0.8759748935699463
2050,-2685,50,0.8978161811828613
2100,-2828,50,0.9217007160186768
2150,-2575,50,0.9435312747955322
2200,-2234,50,0.965355634689331
2250,-3312,50,0.9864523410797119
2300,-2080,50,1.0089576244354248
2350,-2861,50,1.0296287536621094
2400,-2509,50,1.0523569583892822
2450,-3158,50,1.0751149654388428
2500,-2564,50,1.0964818000793457
2550,-2762,50,1.1181886196136475
2600,-2927,50,1.1408355236053467
2650,-2333,50,1.1619923114776611
2700,-3367,50,1.1840004920959473
2750,-3422,50,1.205996036529541
2800,-3081,50,1.2279961109161377
2850,-3147,50,1.251039743423462
2900,-2773,50,1.2720584869384766
2950,-2905,50,1.2938196659088135
3000,-2971,50,1.315812110900879
3050,-3356,50,1.3402483463287354
3100,-3202,50,1.361966609954834
3150,-1904,50,1.3836946487426758
3200,-3169,50,1.4074187278747559
3250,-2410,50,1.432185411453247
3300,-3114,50,1.4547455310821533
3350,-3279,50,1.4774510860443115
3400,-2993,50,1.5012664794921875
3450,-2861,50,1.5251643657684326
3500,-3477,50,1.5460846424102783
3550,-3059,50,1.569183349609375
3600,-2256,50,1.5907585620880127
3650,-2751,50,1.613889217376709
3700,-2135,50,1.6360242366790771
3750,-3444,50,1.6583163738250732
3800,-3543,50,1.6814095973968506
3850,-2322,50,1.7050681114196777
3900,-3290,50,1.7281668186187744
3950,-3950,50,1.7519419193267822
4000,-2322,50,1.7754418849945068
4050,-3125,50,1.8003771305084229
4100,-3103,50,1.8229420185089111
4150,-3697,50,1.8452417850494385
4200,-3136,50,1.868035078048706
4250,-3026,50,1.8910436630249023
4300,-2674,50,1.9141576290130615
4350,-2773,50,1.9389901161193848
4400,-3620,50,1.960481882095337
4450,-2674,50,1.9832122325897217
4500,-3224,50,2.0064711570739746
4550,-3257,50,2.0303640365600586
4600,-3554,50,2.0550146102905273
4650,-2828,50,2.077411413192749
4700,-2828,50,2.0994582176208496
4750,-2751,50,2.1207220554351807
4800,-2740,50,2.1456069946289062
4850,-2663,50,2.169003486633301
4900,-2058,50,2.1909263134002686
4950,-3631,50,2.2136499881744385
5000,-2608,50,2.236107349395752
5050,-3158,50,2.26088285446167
5100,-3829,50,2.283770799636841
5150,-2333,50,2.307204008102417
5200,-3400,50,2.330153226852417
5250,-3862,50,2.357408285140991
5300,-2564,50,2.3815627098083496
5350,-2674,50,2.406590223312378
5400,-2476,50,2.4310338497161865
5450,-3279,50,2.452465772628784
5500,-2388,50,2.4767138957977295
5550,-3147,50,2.4980502128601074
5600,-2773,50,2.522486925125122
5650,-3345,50,2.545151710510254
5700,-2674,50,2.5702404975891113
5750,-2674,50,2.592705011367798
5800,-1838,50,2.6173741817474365
5850,-3136,50,2.6401638984680176
5900,-2993,50,2.662874937057495
5950,-2916,50,2.6874642372131348
6000,-3235,50,2.7110400199890137
6050,-3191,50,2.735349416732788
6100,-2487,50,2.7586586475372314
6150,-3796,50,2.779888391494751
6200,-2267,50,2.8016953468322754
6250,-2795,50,2.8259317874908447
6300,-2377,50,2.8525004386901855
6350,-3521,50,2.8755903244018555
6400,-3136,50,2.8973522186279297
6450,-3532,50,2.922114372253418
6500,-2146,50,2.9437484741210938
6550,-2443,50,2.9689719676971436
6600,-2278,50,2.991248369216919
6650,-2553,50,3.0182101726531982
6700,-2806,50,3.0430548191070557
6750,-2278,50,3.067199468612671
6800,-3257,50,3.0906338691711426
6850,-3092,50,3.1140754222869873
6900,-2872,50,3.1356563568115234
6950,-2971,50,3.1599948406219482
7000,-3807,50,3.187544584274292
7050,-2322,50,3.213397979736328
7100,-3642,50,3.2360727787017822
7150,-2520,50,3.2614564895629883
7200,-2828,50,3.284055471420288
7250,-2542,50,3.3102612495422363
7300,-2454,50,3.334350824356079
7350,-2938,50,3.3566930294036865
7400,-3114,50,3.3811023235321045
7450,-2586,50,3.4040145874023438
7500,-2729,50,3.4236464500427246
7550,-3004,50,3.4494495391845703
7600,-2630,50,3.475588083267212
7650,-2542,50,3.500915765762329
7700,-2322,50,3.524345874786377
7750,-3070,50,3.547729730606079
7800,-3774,50,3.573046922683716
7850,-2773,50,3.598262071609497
7900,-3521,50,3.6219322681427
7950,-2058,50,3.6459927558898926
8000,-1684,50,3.670043706893921
8050,-3422,50,3.694484233856201
8100,-2949,50,3.720430374145508
8150,-3015,50,3.7475028038024902
8200,-2806,50,3.773358106613159
8250,-3543,50,3.798255443572998
8300,-3389,50,3.822242498397827
8350,-2641,50,3.8462297916412354
8400,-3697,50,3.8709254264831543
8450,-3345,50,3.894449234008789
8500,-2817,50,3.919295072555542
8550,-3521,50,3.9436442852020264
8600,-2146,50,3.969465970993042
8650,-2949,50,3.9933364391326904
8700,-2388,50,4.017872333526611
8750,-2311,50,4.043503046035767
8800,-2509,50,4.069219589233398
8850,-3301,50,4.093921422958374
8900,-3125,50,4.1171958446502686
8950,-3411,50,4.142536878585815
9000,-2850,50,4.168067455291748
9050,-2795,50,4.19873571395874
9100,-2597,50,4.225546836853027
9150,-1761,50,4.250725746154785
9200,-3301,50,4.2779717445373535
9250,-3268,50,4.305565357208252
9300,-2630,50,4.331605672836304
9350,-2223,50,4.357846975326538
9400,-2157,50,4.382827043533325
9450,-3807,50,4.407317638397217
9500,-3026,50,4.4345011711120605
9550,-3015,50,4.457459211349487
9600,-3092,50,4.483358383178711
9650,-2157,50,4.50774073600769
9700,-3312,50,4.5321266651153564
9750,-2476,50,4.558481216430664
9800,-2652,50,4.58503794670105
9850,-3257,50,4.6086883544921875
9900,-2146,50,4.637244462966919
9950,-2553,50,4.663244962692261
10000,-3158,50,4.687853574752808
10050,-2982,50,4.713502883911133
10100,-2619,50,4.73436427116394
10150,-3048,50,4.75860857963562
10200,-2685,50,4.784752130508423
10250,-3785,50,4.810378074645996
10300,-3312,50,4.8373332023620605
10350,-2245,50,4.865409851074219
10400,-3246,50,4.88944411277771
10450,-2894,50,4.917341947555542
10500,-3411,50,4.9439661502838135
10550,-2872,50,4.971245527267456
10600,-2509,50,4.997913122177124
10650,-2531,50,5.0254175662994385
10700,-2432,50,5.047488212585449
10750,-2729,50,5.071812152862549
10800,-2179,50,5.099755525588989
10850,-2938,50,5.124382257461548
10900,-2102,50,5.148121356964111
10950,-2817,50,5.174428701400757
11000,-2696,50,5.20237398147583
11050,-2883,50,5.228244781494141
11100,-2608,50,5.2543230056762695
11150,-2564,50,5.284502744674683
11200,-2872,50,5.309939384460449
11250,-3576,50,5.335750102996826
11300,-2179,50,5.362594366073608
11350,-2080,50,5.390833616256714
11400,-2509,50,5.413040399551392
11450,-2784,50,5.439956903457642
11500,-3631,50,5.470009803771973
11550,-2872,50,5.496011734008789
11600,-3257,50,5.518887042999268
11650,-3400,50,5.546000003814697
11700,-2234,50,5.573775291442871
11750,-2498,50,5.600772857666016
11800,-3400,50,5.626549959182739
11850,-3367,50,5.656326055526733
11900,-2762,50,5.685118198394775
11950,-3290,50,5.710498809814453
12000,-2927,50,5.741552829742432
12050,-2718,50,5.768368721008301
12100,-3455,50,5.792934894561768
12150,-2960,50,5.818035125732422
12200,-2784,50,5.8447558879852295
12250,-2531,50,5.873909950256348
12300,-4049,50,5.897850036621094
12350,-3037,50,5.92388391494751
12400,-2773,50,5.9499030113220215
12450,-3598,50,5.976309299468994
12500,-3246,50,6.002039909362793
12550,-3598,50,6.028121471405029
12600,-2575,50,6.053102016448975
12650,-3169,50,6.080404281616211
12700,-2993,50,6.107609987258911
12750,-2872,50,6.134038925170898
12800,-2190,50,6.159184694290161
12850,-3213,50,6.185143947601318
12900,-3235,50,6.213039875030518
12950,-2894,50,6.2405335903167725
13000,-3026,50,6.268309593200684
13050,-3048,50,6.292231559753418
13100,-2740,50,6.317310571670532
13150,-3587,50,6.341392993927002
13200,-2311,50,6.370344161987305
13250,-2806,50,6.397435426712036
13300,-2872,50,6.424842834472656
13350,-3345,50,6.45340895652771
13400,-2927,50,6.482379913330078
13450,-3037,50,6.507936716079712
13500,-2740,50,6.534056186676025
13550,-2553,50,6.5603203773498535
13600,-2784,50,6.588058233261108
13650,-3323,50,6.613187313079834
13700,-2377,50,6.642412424087524
13750,-1750,50,6.6704261302948
13800,-2872,50,6.6980204582214355
13850,-3180,50,6.723304510116577
13900,-3070,50,6.750187397003174
13950,-2652,50,6.7759788036346436
14000,-3378,50,6.804445266723633
14050,-3180,50,6.831850290298462
14100,-2817,50,6.855800628662109
14150,-3158,50,6.880765438079834
14200,-3466,50,6.908731937408447
14250,-2762,50,6.93455171585083
14300,-3356,50,6.961674451828003
14350,-2751,50,6.987293720245361
14400,-2267,50,7.015605688095093
14450,-3290,50,7.041228294372559
14500,-2531,50,7.068384885787964
14550,-1926,50,7.096686840057373
14600,-2861,50,7.1235435009002686
14650,-3455,50,7.150888919830322
14700,-3312,50,7.178329229354858
14750,-2938,50,7.206545352935791
14800,-2619,50,7.234962701797485
14850,-2795,50,7.259976148605347
14900,-2828,50,7.288453102111816
14950,-2102,50,7.3144166469573975
15000,-2300,50,7.337383985519409
15050,-2179,50,7.365774154663086
15100,-2388,50,7.390763759613037
15150,-2487,50,7.418406009674072
15200,-2190,50,7.445196151733398
15250,-3037,50,7.473536968231201
15300,-3224,50,7.499836444854736
15350,-2432,50,7.526906490325928
15400,-3224,50,7.5549376010894775
15450,-2487,50,7.584845304489136
15500,-3444,50,7.612285137176514
15550,-2905,50,7.642218112945557
15600,-3345,50,7.668511152267456
15650,-2520,50,7.693929433822632
15700,-2784,50,7.72168755531311
15750,-2036,50,7.748926401138306
15800,-2751,50,7.777007818222046
15850,-2938,50,7.805073976516724
15900,-2696,50,7.832356929779053
15950,-2971,50,7.8624489307403564
16000,-3224,50,7.890620470046997
16050,-3444,50,7.918620347976685
16100,-2168,50,7.947157621383667
16150,-3587,50,7.977851390838623
16200,-3433,50,8.006741762161255
16250,-3752,50,8.03583025932312
16300,-2971,50,8.068109512329102
16350,-2839,50,8.095692157745361
16400,-3785,50,8.124954223632812
16450,-2773,50,8.15204668045044
16500,-2828,50,8.184061765670776
16550,-3059,50,8.2119722366333
16600,-3081,50,8.23863410949707
16650,-2729,50,8.264634370803833
16700,-2377,50,8.292683601379395
16750,-3224,50,8.317154884338379
16800,-2619,50,8.34501576423645
16850,-2245,50,8.371342897415161
16900,-2586,50,8.399964332580566
16950,-3356,50,8.4282705783844
17000,-2795,50,8.45447063446045
17050,-2718,50,8.483706951141357
17100,-2025,50,8.514007568359375
17150,-3136,50,8.540628433227539
17200,-2839,50,8.566328048706055
17250,-3180,50,8.591800451278687
17300,-3114,50,8.623584747314453
17350,-3070,50,8.649468183517456
17400,-2619,50,8.676950216293335
17450,-3444,50,8.704535722732544
17500,-2190,50,8.73230767250061
17550,-2751,50,8.76118779182434
17600,-2564,50,8.788882732391357
17650,-4148,50,8.816540241241455
17700,-2113,50,8.843393802642822
17750,-2322,50,8.872334241867065
17800,-2245,50,8.900498628616333
17850,-2674,50,8.929036855697632
17900,-3664,50,8.957807064056396
17950,-2949,50,8.985049486160278
18000,-2663,50,9.013875007629395
18050,-2751,50,9.042966604232788
18100,-2938,50,9.07029676437378
18150,-2938,50,9.099669694900513
18200,-3147,50,9.128139972686768
18250,-3367,50,9.155386924743652
18300,-4038,50,9.185748100280762
18350,-2861,50,9.212080001831055
18400,-2465,50,9.239251375198364
18450,-2146,50,9.268861532211304
18500,-2597,50,9.299010276794434
18550,-2641,50,9.327609777450562
18600,-3356,50,9.35475492477417
18650,-3356,50,9.381761074066162
18700,-3202,50,9.411097049713135
18750,-2905,50,9.44275426864624
18800,-2784,50,9.467482805252075
18850,-2828,50,9.498958826065063
18900,-1948,50,9.530718564987183
18950,-3224,50,9.558124303817749
19000,-2938,50,9.583271503448486
19050,-3125,50,9.609982013702393
19100,-3895,50,9.639588356018066
19150,-2443,50,9.66828727722168
19200,-3345,50,9.69772720336914
19250,-2190,50,9.725870370864868
19300,-2740,50,9.75460934638977
19350,-2300,50,9.784777402877808
19400,-3037,50,9.813279151916504
19450,-2949,50,9.843502759933472
19500,-2685,50,9.874911308288574
19550,-2872,50,9.903794527053833
19600,-2883,50,9.937456369400024
19650,-2597,50,9.967872619628906
19700,-3180,50,9.999659538269043
19750,-2751,50,10.029930353164673
19800,-3246,50,10.055154800415039
19850,-2949,50,10.086406946182251
19900,-2762,50,10.118313550949097
19950,-2960,50,10.14723515510559
20000,-2542,50,10.176380634307861
20050,-2751,50,10.287686109542847
20100,-2839,50,10.40407657623291
20150,-2905,50,10.51123309135437
20200,-3455,50,10.618692874908447
20250,-3059,50,10.72549843788147
20300,-2872,50,10.845081806182861
20350,-2168,50,10.956935405731201
20400,-2916,50,11.07370400428772
20450,-2322,50,11.181155920028687
20500,-2443,50,11.296819686889648
20550,-2575,50,11.409193277359009
20600,-2828,50,11.534388303756714
20650,-2696,50,11.647007703781128
20700,-3488,50,11.762803792953491
20750,-2608,50,11.875168323516846
20800,-2696,50,11.998724937438965
20850,-3224,50,12.112884283065796
20900,-3323,50,12.232973575592041
20950,-2421,50,12.345010995864868
21000,-2212,50,12.468317747116089
21050,-3356,50,12.584251403808594
21100,-3246,50,12.709079027175903
21150,-3576,50,12.81516695022583
21200,-3081,50,12.930089712142944
21250,-3026,50,13.036911964416504
21300,-3345,50,13.152800798416138
21350,-3191,50,13.265342235565186
21400,-1904,50,13.38551139831543
21450,-2872,50,13.496955394744873
21500,-2927,50,13.61107850074768
21550,-2795,50,13.723387479782104
21600,-3576,50,13.83683705329895
21650,-4159,50,13.94195032119751
21700,-2905,50,14.054251909255981
21750,-2971,50,14.164405822753906
21800,-2861,50,14.276744842529297
21850,-2608,50,14.38982629776001
21900,-3015,50,14.51501178741455
21950,-2828,50,14.62322211265564
22000,-2993,50,14.745557308197021
22050,-2454,50,14.85340428352356
22100,-1871,50,14.965304136276245
22150,-3059,50,15.071698427200317
22200,-3213,50,15.183831930160522
22250,-3488,50,15.290661811828613
22300,-2718,50,15.412789583206177
22350,-3048,50,15.520326375961304
22400,-2311,50,15.642286777496338
22450,-3257,50,15.758604526519775
