#1764170543
steps,r,l,t
50,-2333,50,0.022675037384033203
100,-3059,50,0.04492473602294922
150,-2091,50,0.06706452369689941
200,-3433,50,0.08885622024536133
250,-2828,50,0.11108517646789551
300,-3708,50,0.1323556900024414
350,-2267,50,0.15437769889831543
400,-2377,50,0.17601656913757324
450,-2190,50,0.19655776023864746
500,-2850,50,0.21927309036254883
550,-2487,50,0.2411510944366455
600,-2509,50,0.2634577751159668
650,-2608,50,0.2850368022918701
700,-3015,50,0.30680227279663086
750,-2201,50,0.32991838455200195
800,-3400,50,0.3531923294067383
850,-3488,50,0.37581396102905273
900,-2366,50,0.3982260227203369
950,-3367,50,0.421358585357666
1000,-2696,50,0.44394922256469727
1050,-2454,50,0.46770572662353516
1100,-2168,50,0.4900236129760742
1150,-2520,50,0.5131442546844482
1200,-3015,50,0.5355479717254639
1250,-3235,50,0.5572872161865234
1300,-2993,50,0.5803680419921875
1350,-3411,50,0.6020514965057373
1400,-2443,50,0.6250793933868408
1450,-2828,50,0.6476964950561523
1500,-2124,50,0.6695713996887207
1550,-3378,50,0.6920039653778076
1600,-2905,50,0.7144160270690918
1650,-1838,50,0.7359762191772461
1700,-1915,50,0.7586007118225098
1750,-2278,50,0.779893159866333
1800,-3235,50,0.8021745681762695
1850,-2586,50,0.8250031471252441
1900,-2960,50,0.8476064205169678
1950,-2575,50,0.8714649677276611
2000,-3642,50,0.8938643932342529
2050,-3103,50,0.9162321090698242
2100,-2377,50,0.9387340545654297
2150,-3664,50,0.9615640640258789
2200,-2245,50,0.9848446846008301
2250,-3180,50,1.0062339305877686
2300,-3004,50,1.02817964553833
2350,-3488,50,1.0515458583831787
2400,-2443,50,1.0753984451293945
2450,-3180,50,1.0973761081695557
2500,-3290,50,1.122180700302124
2550,-3015,50,1.1453351974487305
2600,-3180,50,1.167490005493164
2650,-2806,50,1.1906211376190186
2700,-2421,50,1.2133350372314453
2750,-3334,50,1.2367570400238037
2800,-3301,50,1.2606046199798584
2850,-2509,50,1.2856183052062988
2900,-3840,50,1.3105568885803223
2950,-2872,50,1.3333065509796143
3000,-3059,50,1.3551886081695557
3050,-3818,50,1.3801019191741943
3100,-2784,50,1.4033184051513672
3150,-3180,50,1.427232265472412
3200,-2806,50,1.4505279064178467
3250,-3928,50,1.4732115268707275
3300,-3895,50,1.498286485671997
3350,-2542,50,1.5204615592956543
3400,-2938,50,1.5433263778686523
3450,-3147,50,1.5666921138763428
3500,-3598,50,1.5914585590362549
3550,-3576,50,1.6147167682647705
3600,-2586,50,1.6394164562225342
3650,-3928,50,1.6627216339111328
3700,-2421,50,1.687129259109497
3750,-3642,50,1.7105293273925781
3800,-2883,50,1.7338271141052246
3850,-3290,50,1.7570359706878662
3900,-3411,50,1.782332181930542
3950,-2168,50,1.8062093257904053
4000,-3037,50,1.8292675018310547
4050,-2872,50,1.8518497943878174
4100,-2322,50,1.8755497932434082
4150,-2388,50,1.8977892398834229
4200,-3059,50,1.9223105907440186
4250,-3598,50,1.9460582733154297
4300,-3895,50,1.9713315963745117
4350,-4093,50,1.993082046508789
4400,-3246,50,2.016587018966675
4450,-2234,50,2.0405166149139404
4500,-3906,50,2.0645031929016113
4550,-3587,50,2.0888330936431885
4600,-3620,50,2.1137330532073975
4650,-3521,50,2.1381423473358154
4700,-3301,50,2.1627259254455566
4750,-2927,50,2.1880135536193848
4800,-2036,50,2.211291551589966
4850,-3136,50,2.2357568740844727
4900,-3224,50,2.2631351947784424
4950,-2916,50,2.29012131690979
5000,-3334,50,2.3123068809509277
5050,-3213,50,2.338587760925293
5100,-2861,50,2.3670859336853027
5150,-3906,50,2.39311146736145
5200,-3323,50,2.4199118614196777
5250,-3521,50,2.445834159851074
5300,-3257,50,2.4714508056640625
5350,-2806,50,2.4968063831329346
5400,-3224,50,2.5217809677124023
5450,-3466,50,2.549205780029297
5500,-3389,50,2.5729315280914307
5550,-3048,50,2.598043441772461
5600,-2817,50,2.623091220855713
5650,-2850,50,2.6484622955322266
5700,-2597,50,2.6722142696380615
5750,-2333,50,2.697535991668701
5800,-2861,50,2.7229559421539307
5850,-3400,50,2.746061325073242
5900,-2982,50,2.770402193069458
5950,-3433,50,2.795889377593994
6000,-3598,50,2.819981575012207
6050,-3213,50,2.8471310138702393
6100,-3939,50,2.8720755577087402
6150,-3631,50,2.8974087238311768
6200,-3136,50,2.9221065044403076
6250,-2410,50,2.9484822750091553
6300,-3136,50,2.972994327545166
6350,-3642,50,3.000077247619629
6400,-2927,50,3.02590012550354
6450,-2828,50,3.0515716075897217
6500,-3873,50,3.079481363296509
6550,-3389,50,3.1082382202148438
6600,-2971,50,3.1323013305664062
6650,-3147,50,3.156534433364868
6700,-3488,50,3.1816203594207764
6750,-2421,50,3.207486629486084
6800,-3268,50,3.2338693141937256
6850,-3290,50,3.260312795639038
6900,-3400,50,3.2882792949676514
6950,-3290,50,3.3139829635620117
7000,-2707,50,3.3395543098449707
7050,-2795,50,3.3657400608062744
7100,-3279,50,3.393890142440796
7150,-3499,50,3.4207613468170166
7200,-3642,50,3.4455597400665283
7250,-2443,50,3.47381591796875
7300,-3125,50,3.50126314163208
7350,-3257,50,3.530484676361084
7400,-3433,50,3.555515766143799
7450,-2971,50,3.5828378200531006
7500,-2718,50,3.609564781188965
7550,-3147,50,3.634573221206665
7600,-3323,50,3.659825563430786
7650,-3356,50,3.6850967407226562
7700,-2531,50,3.7099449634552
7750,-2553,50,3.733691930770874
7800,-2685,50,3.7605254650115967
7850,-2828,50,3.7850735187530518
7900,-2729,50,3.8123669624328613
7950,-2872,50,3.839548349380493
8000,-3290,50,3.866056203842163
8050,-3840,50,3.8927719593048096
8100,-3345,50,3.9173285961151123
8150,-2795,50,3.9445574283599854
8200,-3433,50,3.9691355228424072
8250,-3554,50,3.996856689453125
8300,-3246,50,4.024909019470215
8350,-3917,50,4.050087213516235
8400,-3026,50,4.076786756515503
8450,-3103,50,4.101213216781616
8500,-3015,50,4.1285319328308105
8550,-3235,50,4.152133941650391
8600,-3422,50,4.179940700531006
8650,-3103,50,4.206096410751343
8700,-3609,50,4.229769706726074
8750,-3378,50,4.253988742828369
8800,-4137,50,4.2782838344573975
8850,-4126,50,4.303766250610352
8900,-4038,50,4.329019784927368
8950,-3378,50,4.355004787445068
9000,-2850,50,4.38210391998291
9050,-3444,50,4.406745672225952
9100,-3422,50,4.436793565750122
9150,-3224,50,4.4651618003845215
9200,-2971,50,4.493393182754517
9250,-3103,50,4.5201287269592285
9300,-2784,50,4.547922611236572
9350,-2322,50,4.572203874588013
9400,-3752,50,4.596131801605225
9450,-2828,50,4.624018430709839
9500,-3015,50,4.650048732757568
9550,-1585,50,4.675272226333618
9600,-4423,50,4.702492952346802
9650,-2355,50,4.729805946350098
9700,-3741,50,4.754927635192871
9750,-3356,50,4.78049111366272
9800,-4137,50,4.80525279045105
9850,-3004,50,4.832732200622559
9900,-2366,50,4.861255168914795
