#{"t_start": 1762184309.7034893, "env_id": "None"}
r,l,t
-11.81,591,0.044413
-3.03,193,0.058133
-11.58,418,0.087723
-9.67,417,0.117284
-10.67,517,0.154328
-12.53,503,0.191049
-9.03,373,0.218359
-11.93,643,0.265439
-7.11,321,0.288888
-20.5,1000,0.361308
-13.33,623,0.804508
-3.83,293,1.028129
-10.32,632,1.504843
-7.42,382,1.787323
-5.3,290,2.006706
-4.09,299,2.235792
-14.27,717,2.783777
-21.0,1000,3.544354
-8.25,455,3.891428
-3.87,237,4.071323
-3.31,201,4.231142
-0.13,43,4.26374
-5.94,354,4.534439
-4.36,296,4.755264
-7.28,368,5.044863
-2.08,188,5.197235
-2.16,176,5.344682
-10.07,537,5.821674
-6.59,349,6.137075
-16.55,865,6.917319
-6.74,334,7.18983
-18.03,833,7.880553
-8.83,453,8.268119
-5.86,326,8.530544
-16.74,774,9.172219
-18.96,736,9.826585
-6.38,358,10.143373
-1.3,130,10.264286
-23.6,1000,11.097694
-9.03,453,11.470911
-21.8,1000,12.285703
-11.84,624,12.811927
-1.1,90,12.883461
-6.67,337,13.156292
-2.29,139,13.270314
-3.57,207,13.446443
-5.17,307,13.702184
-8.47,357,14.000028
-23.5,1000,14.813198
-7.18,378,15.124406
-19.81,971,15.932596
-3.64,224,16.116511
-27.3,1000,16.968504
-14.61,651,17.520306
-0.5,90,17.602149
-4.07,217,17.791627
-4.41,291,18.044158
-2.78,138,18.15953
-22.33,963,19.025963
-11.16,516,19.465178
-13.59,489,19.895544
-7.79,349,20.214159
-3.01,171,20.360256
-1.74,114,20.458722
-26.8,1000,21.272511
-0.37,87,21.342494
-9.99,449,21.725084
-10.37,487,22.145501
0.2,40,22.179991
-4.88,248,22.395516
-5.03,253,22.625028
-3.34,154,22.771667
-2.74,134,22.89868
-28.5,1000,23.838671
-4.62,222,24.067412
-0.57,67,24.12934
-1.81,131,24.268344
-17.48,688,24.95893
-8.12,392,25.321666
-1.38,98,25.422463
-2.11,101,25.525176
-1.72,132,25.672069
-0.46,46,25.71873
-7.54,274,25.960562
-2.43,133,26.085834
-16.55,665,26.712771
-8.85,335,27.008954
-3.58,178,27.158508
-5.73,203,27.3298
-25.9,1000,28.252799
-11.49,419,28.646164
-14.22,542,29.141288
-10.72,392,29.511868
-19.69,779,30.344929
-6.57,287,30.616512
-2.89,159,30.770779
-2.48,128,30.889263
-9.05,315,31.183484
-7.66,346,31.563926
-8.6,340,31.969947
-5.55,225,32.214911
-4.47,197,32.442021
-6.77,247,32.721442
-2.94,134,32.880715
-3.67,197,33.080429
-15.0,540,33.621702
-3.93,183,33.815542
-5.72,272,34.092706
-9.51,361,34.458335
-9.89,339,34.800503
-25.62,922,35.727918
-11.53,343,36.070757
-7.88,308,36.36431
-3.42,162,36.525008
-7.2,300,36.813727
-1.99,109,36.919219
-6.03,233,37.135729
-8.03,293,37.409205
-1.72,92,37.500424
-31.8,1000,38.500722
-8.84,304,38.805595
0.04,36,38.840589
-3.21,151,38.986289
-28.16,956,40.142432
-5.94,194,40.334763
-7.4,280,40.615953
-1.63,93,40.705556
-11.04,384,41.083616
-1.91,121,41.20474
-2.33,123,41.323565
-13.71,461,41.879527
-1.93,103,41.98994
-5.14,194,42.212546
-13.31,461,42.770994
-14.91,461,43.311438
-6.32,232,43.570056
-17.31,561,44.18762
-9.87,357,44.577348
-27.31,881,45.491512
-36.9,1000,46.609328
-2.3,90,46.705837
-10.89,339,47.05259
-6.84,244,47.317387
-2.53,143,47.462317
-13.77,487,47.998411
-8.47,277,48.261979
-3.12,132,48.386809
-3.2,120,48.49912
-12.41,411,48.891682
-28.47,857,49.756885
-7.99,269,50.037774
-15.44,444,50.516252
-36.1,1000,51.537292
-9.47,317,51.845473
-24.43,753,52.59507
-4.0,160,52.794981
-9.38,318,53.29251
-5.39,189,53.486015
-15.62,502,54.013762
-2.46,106,54.121697
-20.6,620,54.759667
-8.91,301,55.09969
-3.93,163,55.33367
-28.02,842,56.344515
