#{"t_start": 1764219237.831267, "env_id": "None"}
r,l,t
-6.9,200,0.137167
-4.7,200,0.266129
-3.2,200,0.395376
-4.6,200,0.526062
-4.6,200,0.655075
-3.7,200,0.783206
-4.0,200,0.912341
-3.3,200,1.03807
-4.3,200,1.167114
-4.4,200,1.291152
-3.9,200,1.4157
-5.1,200,1.541558
-5.4,200,1.669041
-3.9,200,1.793598
-3.2,200,1.918123
-3.8,200,2.042826
-4.3,200,2.169363
-3.9,200,2.294394
-0.33,83,2.346437
-6.1,200,2.470549
-3.1,200,2.594693
-4.3,200,2.721838
-4.3,200,2.845994
-5.2,200,2.975725
-5.4,200,3.101428
-3.7,200,3.226624
-3.4,200,3.350806
-3.8,200,3.474607
-3.7,200,3.600401
-4.0,200,3.727041
-3.3,200,3.851419
-3.2,200,3.976856
-4.1,200,4.101282
-4.4,200,4.224903
-3.8,200,4.348217
-3.1,200,4.471757
-3.6,200,4.595716
-4.0,200,4.720129
-3.7,200,4.846184
-4.2,200,4.972423
-4.4,200,5.10087
-3.6,200,5.224362
-3.4,200,5.347698
-3.9,200,5.471298
-4.2,200,5.594571
-3.6,200,5.717739
-5.7,200,5.843652
-5.0,200,5.967237
-4.9,200,6.100661
-4.4,200,6.227147
-4.7,200,6.35297
-4.7,200,6.479583
-4.0,200,6.606445
-5.6,200,6.733534
-0.11,61,6.772188
-4.3,200,6.901042
-3.9,200,7.028875
-3.6,200,7.158602
-1.41,91,7.21707
-4.0,200,7.343633
-6.1,200,7.470222
-5.2,200,7.596412
-4.2,200,7.72297
-4.8,200,7.849134
-4.9,200,7.978382
-3.7,200,8.105825
-5.2,200,8.232437
-4.7,200,8.358702
-5.7,200,8.485218
-1.58,98,8.547512
-4.9,200,8.673869
-4.6,200,8.800091
-4.3,200,8.927577
-4.5,200,9.058358
-4.2,200,9.188576
-3.9,200,9.314914
-2.29,139,9.403192
-2.54,164,9.50761
-4.6,200,9.634749
-4.0,200,9.761573
-0.56,86,9.816601
-4.4,200,9.943326
-4.8,200,10.074189
-4.2,200,10.201382
-5.0,200,10.329432
-2.57,127,10.409617
-4.2,200,10.539095
-5.1,200,10.665101
-5.5,200,10.792032
-4.5,200,10.918211
-4.6,200,11.043164
-3.9,200,11.171494
-4.8,200,11.29515
-4.6,200,11.418506
-4.7,200,11.541654
-3.5,200,11.664348
-2.27,137,11.748859
-1.32,162,11.84863
-4.3,200,11.971577
-3.6,200,12.095957
-4.1,200,12.224622
-3.4,200,12.348509
-4.5,200,12.472447
-4.7,200,12.595956
-3.31,121,12.767179
-1.89,69,12.900343
-8.5,200,13.308992
-7.8,200,13.702718
-6.1,200,14.08934
-6.9,200,14.479768
-6.3,200,14.87506
-8.8,200,15.270987
-6.2,200,15.671854
-7.6,200,16.077507
-9.4,200,16.486035
-8.0,200,16.861838
-0.03,33,16.928942
-8.6,200,17.304502
-3.2,200,17.686707
-8.1,200,18.064387
-3.5,200,18.461622
-3.7,200,18.847963
-5.8,200,19.238904
-2.6,200,19.631095
-2.7,200,20.021288
-2.9,200,20.414695
-5.5,200,20.821062
-4.9,200,21.229287
-3.1,200,21.648649
-10.4,200,22.059503
-6.9,200,22.467839
-4.3,200,22.871326
-3.9,200,23.275962
-3.0,200,23.689909
-3.4,200,24.100575
-4.0,200,24.504407
-4.2,200,24.908948
-3.6,200,25.322847
-6.3,200,25.725647
-5.6,200,26.140744
-3.6,200,26.551872
-2.9,200,26.96458
-3.7,200,27.375556
-4.5,200,27.786762
-2.8,200,28.177552
-4.4,200,28.572825
-3.2,200,28.965693
-2.7,200,29.367887
-3.3,200,29.76106
-3.9,200,30.158622
-3.6,200,30.556818
-3.7,200,30.950702
-3.2,200,31.349119
-2.9,200,31.759824
-2.9,200,32.163346
-3.0,200,32.573147
-2.8,200,33.000994
-3.5,200,33.42187
-3.0,200,33.843517
-3.2,200,34.262955
-3.6,200,34.687886
-3.1,200,35.110243
-3.4,200,35.519906
-2.4,200,35.916562
-3.2,200,36.328084
-2.3,200,36.741006
-4.0,200,37.149993
-0.26,106,37.376445
-1.13,93,37.574039
-3.0,200,37.999236
-3.7,200,38.417972
-2.6,200,38.831383
-1.86,176,39.206926
-0.61,91,39.390206
-2.9,200,39.798381
-2.4,200,40.20685
-2.8,200,40.627637
-3.4,200,41.043701
-0.86,116,41.278601
-2.6,200,41.694368
-3.2,200,42.118912
-3.64,194,42.515345
-3.4,200,42.928924
-1.07,147,43.237737
-1.46,176,43.619658
-0.45,95,43.827234
-2.8,200,44.260646
-2.3,200,44.692708
-3.1,200,45.127133
-2.5,200,45.566474
-3.0,200,46.007015
-0.7,140,46.32777
-0.71,81,46.517381
-2.4,200,46.980622
-2.3,200,47.434195
-2.6,200,47.880608
-0.16,96,48.095875
-2.3,200,48.543423
-2.9,200,48.996018
-2.3,200,49.448755
-2.6,200,49.895656
-2.4,200,50.351274
-2.9,200,50.789524
-2.2,200,51.23193
-2.4,200,51.676093
-2.5,200,52.118992
-2.7,200,52.562439
-2.5,200,53.007914
-2.2,200,53.457694
-2.5,200,53.910253
-2.2,200,54.361304
-2.0,200,54.806581
-2.7,200,55.266405
-3.2,200,55.775189
-2.6,200,56.222841
-0.51,131,56.54017
-2.2,200,56.989458
-2.9,200,57.453553
-2.3,200,57.905039
-2.5,200,58.365195
-2.9,200,58.834372
-0.62,122,59.119365
-2.2,200,59.566381
-2.3,200,60.022579
-2.1,200,60.485494
-2.7,200,60.94213
-2.8,200,61.398735
-2.2,200,61.845363
-3.3,200,62.291494
-3.7,200,62.74375
-2.3,200,63.173864
0.42,38,63.253962
-2.1,200,63.683029
-2.3,200,64.118726
-2.8,200,64.54688
-2.1,200,64.975805
-2.2,200,65.411379
-2.6,200,65.854482
-2.5,200,66.307062
0.07,63,66.443958
-2.7,200,66.901651
-2.7,200,67.350795
-2.7,200,67.786568
-2.2,200,68.228032
-2.2,200,68.670565
-2.6,200,69.123728
-3.8,200,69.578827
-3.2,200,70.033579
-2.8,200,70.500657
-2.5,200,70.954195
-3.1,200,71.402318
-2.8,200,71.853292
-2.8,200,72.299738
-3.0,200,72.749895
-2.8,200,73.171161
-2.6,200,73.607209
-2.3,200,74.02818
-3.5,200,74.461582
-3.2,200,74.889611
-2.6,200,75.382544
-2.5,200,75.898551
-2.7,200,76.399279
-2.3,200,76.885856
-2.5,200,77.34997
-2.2,200,77.835441
-2.6,200,78.316481
-2.6,200,78.806588
-2.5,200,79.271433
-2.3,200,79.736165
-2.2,200,80.209718
-2.1,200,80.675113
-2.4,200,81.138918
0.11,79,81.32443
-2.6,200,81.806968
-2.6,200,82.272612
-2.2,200,82.739611
-2.3,200,83.214599
-2.2,200,83.683767
-2.5,200,84.157487
-2.2,200,84.608637
-2.3,200,85.076501
-2.1,200,85.528644
0.04,76,85.702938
-2.1,200,86.162864
-2.4,200,86.615887
-2.4,200,87.073321
-2.3,200,87.513552
-2.3,200,87.971238
0.13,37,88.058744
-2.3,200,88.533488
-2.8,200,89.003723
-2.3,200,89.489319
0.24,76,89.667864
-2.7,200,90.140246
-2.1,200,90.619061
-2.1,200,91.089885
-0.74,124,91.379241
-2.2,200,91.840642
-2.3,200,92.301706
0.51,39,92.396521
-2.7,200,92.864207
-2.3,200,93.32954
-2.2,200,93.805701
-2.1,200,94.261327
-2.3,200,94.741598
-2.1,200,95.213241
-2.5,200,95.680047
-2.4,200,96.142974
-2.6,200,96.611491
-2.3,200,97.070457
-2.1,200,97.542582
-2.4,200,98.010573
-2.3,200,98.47623
-2.6,200,98.943995
-2.3,200,99.422242
-2.2,200,99.910541
-2.3,200,100.399107
-2.3,200,100.894209
-2.3,200,101.387448
-2.4,200,101.869998
-2.4,200,102.334843
-2.3,200,102.794751
-0.24,94,103.019161
-2.6,200,103.506525
-2.6,200,103.984158
-0.09,119,104.259868
0.55,45,104.364336
-2.5,200,104.827703
-2.5,200,105.298614
-2.8,200,105.784632
-2.3,200,106.291187
