#{"t_start": 1764252356.5959764, "env_id": "None"}
r,l,t
-3.38,188,0.177906
-1.71,111,0.27947
-8.84,504,0.752187
-13.07,687,1.358695
-5.28,318,1.651476
-8.09,449,2.056871
-18.28,988,2.948664
-20.5,1000,3.905281
-24.2,1000,4.92697
-1.82,152,5.074915
-19.3,1000,6.067469
-9.92,472,6.526716
-6.25,315,6.817582
-6.69,319,7.11604
-8.23,383,7.545071
-20.8,1000,8.584969
-7.74,444,8.987159
-13.45,825,9.744805
-9.28,438,10.147171
-23.2,1000,11.059534
-21.52,992,12.022897
-20.6,1000,12.939075
-8.79,509,13.405517
-2.6,170,13.571266
-19.7,990,14.530285
-6.23,353,14.873284
-0.75,85,14.951358
-4.78,278,15.206757
-2.69,219,15.407965
-16.92,872,16.224093
-14.9,810,17.029602
-25.3,1000,18.002513
-9.8,480,18.454859
-21.7,1000,19.903194
-9.61,441,20.949061
-5.93,333,21.72694
-10.88,598,23.121005
-12.61,731,24.889985
-4.17,187,25.383487
-1.58,128,25.691191
-21.6,1000,28.044501
-17.49,859,30.125057
-7.05,415,31.083365
-12.93,613,32.502069
-18.1,1000,34.811496
-4.8,290,35.517293
-6.09,409,36.493362
0.16,54,36.623274
-18.4,1000,39.005407
-20.8,1000,41.327091
-1.86,126,41.605903
-7.09,459,42.653121
-2.53,223,43.18557
-6.28,358,44.00025
-9.58,568,45.337297
-21.0,1000,47.605131
-5.67,367,48.44746
-14.38,808,50.332805
-14.81,831,52.24956
-2.29,219,52.758551
-9.6,550,54.054642
-15.23,763,55.856004
-2.62,192,56.325892
-19.9,1000,58.71454
-17.41,981,61.115947
-5.67,417,62.106462
-8.26,416,63.06788
-23.8,1000,65.423729
-9.91,581,66.851378
-10.11,501,68.056505
-3.34,214,68.562151
-6.32,312,69.325478
-4.34,254,69.949133
-6.99,439,71.030579
-2.63,223,71.572145
-5.22,362,72.413707
0.13,77,72.59571
-1.96,226,73.109526
-4.94,364,73.950786
-16.03,903,76.008475
-21.5,1000,78.414122
-22.7,1000,80.802036
-1.25,125,81.08014
-3.79,209,81.552502
-21.2,1000,83.907402
-20.8,1000,86.292829
-1.46,116,86.567257
-2.33,183,87.01278
-0.53,93,87.23515
-12.04,694,88.870785
-21.2,1000,91.248255
-16.3,920,93.499234
-5.92,342,94.338297
-1.18,168,94.737143
-1.35,155,95.097565
-8.46,476,96.21277
-9.41,461,97.312101
-5.9,240,97.889405
-12.48,618,99.355795
-5.7,280,100.025708
-4.22,202,100.517526
-15.09,909,102.702193
-21.2,1000,105.120892
-13.6,790,107.035855
-19.6,1000,109.519526
-3.03,233,110.109021
-11.81,801,112.02606
-4.27,307,112.769078
-4.27,207,113.263131
-6.79,349,114.107795
-11.24,644,115.624739
-20.4,1000,117.928183
-5.12,322,118.674578
-9.33,483,119.838219
-13.48,658,121.40293
-3.83,283,122.065655
-6.91,421,123.055264
-8.48,408,123.988256
-4.29,259,124.610687
-7.01,471,125.831581
-0.21,61,125.966885
-0.96,96,126.223476
-20.6,1000,128.589639
0.21,69,128.764401
-3.17,187,129.246103
-2.1,160,129.635332
-9.0,570,131.039689
-2.64,234,131.600347
-4.69,329,132.394149
-8.89,469,133.518843
-2.0,150,133.863333
-7.38,528,135.162617
-6.91,331,135.984829
-11.28,568,137.375555
-6.09,419,138.408231
-7.31,431,139.449072
-9.85,465,140.548178
-8.65,465,141.676012
-8.65,455,142.826429
-4.67,257,143.455741
-6.95,385,144.371861
-2.39,219,144.888453
-14.39,839,146.818138
-12.78,768,148.618458
-5.43,233,149.177134
-4.68,308,149.944202
-18.06,956,152.347367
-1.85,175,152.78033
-13.46,746,154.523806
-2.58,228,155.057214
-6.09,389,155.941189
-1.37,177,156.354099
-15.82,882,158.451542
-1.01,61,158.590064
-7.88,328,159.355435
-8.7,520,160.604647
-1.99,169,161.028723
-7.1,420,162.093453
-3.0,210,162.576598
-4.79,339,163.382146
-7.93,473,164.530854
-4.52,342,165.328878
-17.8,1000,167.721191
-7.85,485,168.916606
-3.38,208,169.432479
-17.53,923,171.739211
-3.68,278,172.421757
-1.05,135,172.77385
-6.33,383,173.692937
-3.56,136,174.022605
-7.58,498,175.229274
-11.14,624,176.780794
-10.28,508,178.037104
-13.02,812,179.966415
-5.82,292,180.663275
-17.7,1000,183.065374
-5.27,277,183.758306
-9.53,483,184.871731
-9.58,578,186.285602
-9.08,478,187.412249
0.17,63,187.570928
-9.74,604,189.000484
0.16,44,189.101432
-11.04,604,190.570947
-18.8,1000,193.008403
-1.99,159,193.39194
-3.32,242,193.971463
-5.9,350,194.792118
-4.14,334,195.583416
-2.63,213,196.08328
-9.58,488,197.226361
-16.02,912,199.410782
-7.75,515,200.674676
-5.69,389,201.622649
-5.57,337,202.434869
-5.3,330,203.193511
-2.12,182,203.631725
-5.18,298,204.338218
-7.25,435,205.446114
-2.05,175,205.916327
-12.57,647,207.507779
-11.36,766,209.350287
-0.97,117,209.625118
-10.76,666,211.209295
-6.38,338,212.006072
-6.41,431,213.044424
-5.55,315,213.765754
-16.06,916,215.9383
-9.0,470,217.14216
-1.59,149,217.513371
-4.22,272,218.194301
-1.81,121,218.48961
-6.5,380,219.463156
-4.96,366,220.32866
-5.2,320,221.093321
-6.34,374,222.028204
-5.06,336,222.880477
-7.01,371,223.760005
-1.69,209,224.248445
-21.0,1000,226.579884
-12.94,714,228.237878
-19.24,974,230.545064
-17.83,833,232.601974
-1.12,92,232.81918
-9.42,592,234.253511
-4.71,361,235.128954
-4.63,333,235.933205
-6.2,490,237.126169
-8.34,434,238.215803
-16.8,1000,240.67736
-5.44,424,241.661948
-5.04,364,242.527138
-2.42,192,242.985221
-13.96,726,244.742911
-6.36,506,246.020734
-15.98,888,248.219428
-19.7,1000,250.62342
-4.76,346,251.458967
-18.3,1000,253.822683
-8.63,503,255.010627
-3.79,269,255.642279
-1.92,172,256.044682
-6.62,452,257.110175
-0.57,87,257.31713
-1.29,159,257.697214
-0.47,77,257.894268
-4.71,381,258.817636
-14.77,947,261.029327
-0.03,83,261.225029
-14.0,740,263.035492
-8.95,475,264.157658
-5.87,367,265.006107
-17.6,1000,267.435509
-9.6,600,268.875616
-4.02,302,269.57019
-8.4,450,270.598127
-1.58,108,270.856185
-13.96,756,272.623583
-4.84,354,273.469854
-3.49,299,274.17639
-2.39,269,274.852637
-5.32,362,275.764254
-1.13,163,276.185363
-0.57,97,276.418147
-16.7,1000,278.870245
-5.44,374,279.769053
-17.2,1000,282.16079
-16.1,910,284.33145
-0.56,106,284.575886
-0.5,120,284.858082
-4.74,304,285.572701
-1.61,171,285.982121
-0.33,63,286.140198
-0.76,116,286.451686
-0.71,41,286.550077
-2.07,157,286.927029
-18.6,1000,289.341865
-0.98,98,289.572638
-4.7,320,290.333716
-2.44,154,290.688987
-4.62,322,291.480796
-9.09,599,292.956073
-3.81,221,293.496542
-7.04,484,294.686485
-2.5,180,295.126566
-2.21,181,295.568392
-3.56,266,296.215464
-3.3,300,296.932677
-1.48,138,297.283036
-11.09,679,298.904731
-8.41,591,300.308243
-1.96,156,300.721803
-7.23,473,301.881511
-6.28,418,302.892571
-7.95,495,304.075713
-4.58,298,304.803529
-2.46,156,305.213837
-0.49,109,305.525839
-3.14,184,306.051518
-2.9,240,306.652554
-11.24,814,308.610807
-8.33,573,309.99942
-7.35,455,311.156939
-8.34,524,312.417077
-5.58,378,313.33313
-3.56,276,313.977103
-1.51,201,314.453937
-2.42,172,314.874482
-20.6,1000,317.322384
-5.18,328,318.168499
-9.06,536,319.496835
-5.99,379,320.421108
-15.0,1000,322.737438
0.21,69,322.900926
-7.15,445,323.933946
-4.69,239,324.49714
