#{"t_start": 1764132523.2185712, "env_id": "None"}
r,l,t
-16.22,772,1.931136
-4.64,284,2.179553
-14.55,725,2.817294
-0.2,60,2.871367
-21.7,1000,3.768173
-14.69,699,4.373939
-12.43,653,4.980668
-15.98,898,5.779268
-9.55,485,6.196839
-3.41,211,6.379897
-6.13,343,6.67936
-9.54,554,7.165201
-13.73,633,7.72641
-17.68,888,8.517509
-5.24,274,8.786164
-8.49,449,9.197038
-16.27,887,9.979532
-18.46,926,10.800986
-11.58,568,11.305282
-0.59,89,11.382519
-20.81,921,12.19931
-3.44,214,12.393251
-7.31,391,12.742771
-8.36,496,13.192801
-17.58,798,13.912252
-6.71,391,14.264668
-8.15,455,14.695512
-21.7,1000,15.593389
-5.1,280,15.835008
-22.8,1000,16.706871
-7.51,431,17.112742
-22.0,1000,17.993865
-0.94,114,18.094799
-10.77,597,18.654629
-10.15,525,19.4975
-11.84,644,20.806142
-1.32,132,21.09576
-12.6,620,22.327957
-21.7,1000,24.346986
-5.05,365,25.104281
-9.38,478,26.10005
-5.19,299,26.695533
-17.69,889,28.451455
-18.15,845,30.198746
-19.3,1000,32.271533
-1.19,99,32.47925
-19.0,1000,34.377919
-11.73,633,35.594381
-5.5,300,36.177314
-6.93,433,37.025039
-21.2,1000,38.996787
-11.04,674,40.319086
-24.2,1000,42.293031
-11.36,546,43.348075
-4.41,251,43.848466
-13.4,690,45.217384
-1.28,98,45.397695
-1.65,185,45.739976
-16.93,933,47.538877
-17.08,768,49.055515
0.47,33,49.125472
-20.8,1000,51.134859
-20.0,1000,53.061859
-8.71,471,53.989689
-5.33,343,54.675671
-4.5,340,55.36456
-21.2,1000,57.334089
-13.15,775,58.910618
-9.07,447,59.788112
-20.7,1000,61.702891
-0.14,104,61.899411
0.76,24,61.945729
-6.59,369,62.636545
-10.94,624,63.81394
-8.2,560,64.920927
-20.2,1000,66.879413
-13.31,701,68.286219
-10.3,610,69.498166
-0.98,108,69.714687
-19.1,1000,71.691355
-11.45,555,72.800635
-11.65,745,74.276772
-7.85,495,75.257372
-7.13,333,75.910908
-4.5,310,76.512845
-4.01,241,76.983813
-3.23,223,77.40432
-11.55,565,78.51032
-4.48,308,79.168849
-1.25,135,79.428611
-7.46,376,80.199685
-7.08,418,81.028935
-5.82,352,81.707558
-15.5,760,83.189803
-13.38,658,84.486709
-3.09,219,84.920223
-8.54,534,85.966258
-10.67,467,86.878652
-2.04,184,87.26929
-10.72,632,88.563428
-10.37,497,89.527251
-3.01,131,89.78439
-0.72,72,89.940406
-4.47,307,90.567107
-8.73,513,91.584859
-6.15,425,92.440161
-3.01,261,92.977664
-13.01,801,94.610393
-17.3,1000,96.644934
-9.95,555,97.730168
-19.9,1000,99.683125
-11.36,526,100.674197
-5.53,353,101.366464
-1.83,143,101.667786
-4.32,182,102.064549
-5.94,364,102.795297
-10.67,587,103.95719
-7.75,405,104.750432
-15.6,770,106.268987
-14.29,939,108.112359
-5.71,351,108.78779
-7.05,415,109.583567
-4.87,237,110.068367
-10.19,609,111.27679
-4.34,294,111.848908
-5.64,354,112.536124
-9.14,594,113.711648
-8.0,510,114.683731
-12.6,660,115.975167
-1.44,94,116.184095
-7.84,424,117.02296
-1.69,159,117.340608
-7.02,382,118.092688
-4.86,316,118.715359
-12.24,654,120.054564
-5.74,344,120.758124
-4.73,303,121.350739
-4.41,291,121.928751
-10.45,585,123.090108
-5.72,372,123.83119
-2.01,121,124.086277
-0.36,56,124.203701
-7.47,427,125.095103
-21.9,1000,127.159034
-17.6,1000,129.226526
-16.49,939,131.143669
-12.89,729,132.64201
-18.2,1000,134.639158
-2.91,211,135.079701
-5.77,337,135.743081
-14.32,832,137.43207
0.29,51,137.535915
-1.66,166,137.864857
-8.12,482,138.848277
-3.04,214,139.291392
-6.72,442,140.183848
-7.34,454,141.091639
-4.93,353,141.79424
-16.08,858,143.485808
-2.24,134,143.748918
-10.28,748,145.178383
-22.4,1000,147.202852
-7.2,430,148.066385
-8.82,452,148.946129
-11.02,722,150.343193
-8.02,652,151.675019
-18.2,1000,153.692801
-14.48,928,155.602888
-16.4,1000,157.619626
-7.08,458,158.5405
-4.92,402,159.378671
-19.3,1000,161.433259
-7.34,484,162.471188
-16.5,1000,164.42365
-2.93,243,164.901692
-21.5,1000,166.887058
-4.64,264,167.424043
-10.39,679,168.799449
-14.23,773,170.365833
-10.09,599,171.604922
-4.6,220,172.070026
-3.34,294,172.679416
-7.49,499,173.668489
-18.9,1000,175.635985
-5.24,354,176.363963
-7.38,418,177.189079
-2.87,187,177.559322
-2.9,150,177.876462
-7.76,456,178.78992
-17.19,909,180.609882
-0.72,102,180.819315
-5.34,314,181.469318
-8.95,475,182.426739
-9.31,651,183.733528
-2.53,203,184.140879
-9.7,490,185.115297
-6.27,327,185.773693
-9.95,545,186.879512
-4.22,262,187.412183
-10.54,614,188.669187
-4.46,276,189.238924
-14.12,792,190.865891
-7.92,512,191.927137
-1.83,143,192.215284
-18.9,1000,194.234463
-18.8,1000,196.263716
-2.34,174,196.63294
-6.5,400,197.474071
-19.7,1000,199.541928
-11.87,737,201.057722
-8.94,544,202.161018
-6.9,460,203.086545
-1.58,128,203.343254
-3.62,322,203.988495
-14.7,830,205.634886
-3.51,251,206.139546
-6.15,315,206.76564
-7.67,457,207.702705
-7.97,527,208.796401
-17.98,868,210.551361
-9.1,610,211.784858
-2.69,269,212.317928
-6.96,466,213.271343
-2.95,315,213.907132
-5.04,364,214.622962
-13.0,640,215.957255
-2.64,224,216.394414
-12.25,675,217.770597
-4.35,365,218.499378
-3.81,251,218.995876
-17.4,1000,221.030386
-3.04,214,221.488789
-11.83,803,223.10902
-3.34,304,223.721541
-6.79,449,224.625359
-3.51,261,225.145594
-2.2,190,225.526765
-6.93,483,226.498385
-5.33,333,227.210557
-7.23,493,228.19875
-12.34,924,230.123594
-5.42,322,230.760507
-1.91,151,231.062073
-9.08,498,232.068162
-3.46,256,232.559914
-11.32,662,233.840318
-11.87,787,235.478557
-0.41,51,235.585953
-1.56,96,235.773268
-7.94,454,236.666406
-15.76,786,238.243103
-4.89,319,238.884964
-5.12,412,239.728963
-13.79,769,241.302641
-8.84,644,242.551848
-8.94,474,243.498434
-5.48,288,244.068055
-1.74,174,244.415004
-5.66,386,245.194678
-5.47,357,245.901561
-17.66,916,247.749818
-5.41,391,248.591602
-5.88,408,249.453927
-1.34,144,249.745582
-9.92,752,251.241898
-9.91,671,252.655001
-12.39,749,254.159655
-4.54,314,254.805208
-7.53,413,255.638841
-11.96,706,257.135156
-10.37,547,258.332976
-7.61,511,259.422842
-5.46,296,260.078155
-11.89,719,261.581828
-4.09,269,262.140117
-11.28,718,263.629705
-1.71,191,264.017135
-2.01,151,264.330428
-6.36,396,265.163982
-7.49,559,266.318949
-5.13,313,266.975353
-1.87,187,267.351698
-4.44,284,267.960697
-6.74,444,268.845603
-7.08,508,269.873185
-8.54,454,270.803056
-12.89,809,272.481644
-5.17,317,273.133686
-3.22,272,273.684796
-5.25,245,274.216396
-4.56,386,275.0325
-5.45,345,275.732157
-2.74,174,276.116084
-12.35,645,277.452295
-4.87,327,278.14939
-18.4,1000,280.360468
-0.91,141,280.667739
-7.85,525,281.867757
-4.63,283,282.454343
-0.81,91,282.651851
-2.94,214,283.119293
-1.4,100,283.335188
-7.22,472,284.35219
-9.11,471,285.350269
0.3,40,285.438539
-9.45,635,286.811863
-2.12,132,287.087548
-7.74,504,288.160069
-6.69,429,289.125891
-16.08,878,291.005692
-7.42,432,291.947375
0.29,41,292.032316
-12.86,786,293.713165
-10.38,718,295.148889
-3.69,279,295.729613
-13.36,916,297.671169
-19.0,1000,299.752159
-17.7,1000,301.820115
-1.92,152,302.136561
-16.47,977,304.189527
-7.53,443,305.14286
-1.42,192,305.555243
-12.23,793,307.229432
-10.23,603,308.485765
-2.79,249,308.995673
-3.99,289,309.590444
-9.51,651,310.957998
-15.2,1000,313.034272
-4.26,346,313.746656
-2.19,229,314.236664
-6.87,427,315.131855
-7.7,560,316.282278
-7.11,461,317.234964
-4.22,272,317.817976
-6.0,420,318.753873
-4.41,251,319.310232
-1.89,179,319.692299
-7.14,464,320.764038
-16.94,944,322.799616
-12.65,875,324.710259
-3.52,272,325.311646
-5.82,382,326.144941
-3.14,224,326.622094
-16.1,1000,328.82903
-2.52,162,329.182533
-18.5,1000,331.370893
-7.88,488,332.388894
-2.77,187,332.761486
-11.54,784,334.462863
-11.12,762,336.051619
-4.82,362,336.814618
-0.05,55,336.932843
-0.26,76,337.094582
-10.06,656,338.460532
-13.12,952,340.403959
-13.76,946,342.391122
-5.12,332,343.07787
-16.2,1000,345.185529
-15.3,890,347.09358
-11.46,666,348.517973
-10.69,649,349.927713
-17.8,1000,351.996817
-13.66,936,354.037854
-3.33,263,354.591535
-2.29,199,355.023577
-17.0,1000,357.120934
-16.6,1000,359.212308
-3.98,248,359.730998
-0.56,106,359.95613
-2.45,185,360.354753
-4.64,324,361.044759
-13.05,845,362.772953
-0.69,99,362.974818
-4.99,279,363.524135
-4.54,264,364.071175
-2.28,198,364.484996
-17.0,1000,366.660336
0.1,40,366.745665
-8.45,515,367.841505
-9.7,680,369.273038
-15.25,975,371.265726
-13.4,810,372.967325
-14.72,872,374.796536
-2.28,258,375.338233
-8.61,611,376.617232
-5.62,432,377.527147
-7.86,626,378.895993
-2.42,142,379.204692
-15.6,1000,381.380579
-13.08,808,383.123966
-9.86,586,384.322759
-1.25,155,384.644322
-7.9,570,385.866084
-1.83,123,386.145152
-13.34,834,388.035185
-9.29,629,389.476422
-16.1,1000,391.717284
-17.5,1000,394.128433
-4.06,186,394.531859
-16.75,985,396.779033
-2.33,213,397.290636
-11.18,688,398.880316
-6.11,461,399.953074
-5.61,431,400.953344
-12.39,859,402.967106
-1.24,84,403.162632
-13.79,819,405.042365
-2.1,190,405.481324
-5.14,354,406.326839
-7.13,453,407.416804
-4.71,271,408.032737
-0.95,155,408.372744
-4.74,294,409.053771
-5.87,377,409.934129
-6.01,351,410.776089
-4.57,327,411.579013
0.01,69,411.75526
-3.66,256,412.415133
-0.84,84,412.642667
-4.64,304,413.430294
-14.9,1000,415.926649
-5.56,356,416.851625
-0.38,68,417.036156
-5.49,419,418.242892
-6.81,401,419.334135
-8.48,488,420.596071
-5.31,351,421.569429
-11.04,744,423.630311
-10.35,685,425.391021
-18.9,1000,428.116835
0.57,53,428.258518
-8.53,503,429.471925
-2.1,170,429.862969
-2.11,171,430.277234
-1.93,153,430.6274
-2.67,217,431.147761
-11.11,741,432.893728
-6.22,472,433.99987
-0.37,77,434.177774
-3.9,250,434.789048
-5.05,425,436.316207
-0.83,63,436.537075
-3.29,269,437.361532
-7.9,590,439.284696
-0.96,166,439.822087
-4.86,346,440.936906
-13.91,881,443.279706
-6.67,507,444.535575
-5.83,483,445.68263
-0.37,67,445.849294
-1.9,160,446.241526
-11.48,788,448.149579
-5.8,460,449.283149
-1.62,162,449.747443
-0.38,88,449.967921
-3.5,230,450.544199
-6.29,539,451.904962
-7.88,498,453.121257
-4.76,356,454.027325
-9.18,658,455.656155
-17.1,1000,458.041346
-15.28,928,460.260974
-18.58,988,462.578557
-2.45,245,463.151089
-7.13,463,464.229321
-3.63,303,464.964361
-3.68,298,465.67771
-0.87,87,465.890601
-2.7,240,466.447178
0.73,37,466.531419
-13.19,979,468.82233
-3.27,257,469.426615
-8.92,602,470.850067
-11.35,665,472.385492
-0.48,118,472.661079
-9.11,551,474.012172
-0.69,109,474.276798
-3.77,247,474.833552
-5.28,418,475.818243
-3.0,200,476.27738
-6.79,449,477.321414
-2.36,176,477.723635
-14.87,987,480.017984
-4.41,251,480.619708
-4.93,353,481.498142
-2.16,176,481.941135
-1.49,119,482.240801
-6.47,387,483.182674
-0.85,125,483.474409
-2.98,218,484.022538
-6.83,503,485.206201
-0.82,112,485.473843
-5.75,445,486.551105
-7.52,492,487.845105
-17.6,1000,490.249966
-9.28,578,491.638346
-8.69,489,492.880397
-10.62,692,494.647919
-5.91,471,495.797413
-4.88,468,496.926739
-2.75,225,497.520891
-4.58,318,498.354596
-8.66,416,499.540321
-2.5,210,500.117384
-2.36,196,500.606478
-0.66,76,500.796968
-2.09,209,501.314531
-9.88,708,503.116436
-2.11,191,503.584528
-1.1,100,503.820958
-0.96,116,504.106934
0.54,26,504.171645
-3.76,236,504.778491
-3.21,251,505.411391
-12.52,822,507.463957
-0.45,55,507.607746
-2.71,241,508.213347
-4.56,416,509.280885
-3.16,286,509.997591
-13.65,795,512.120154
-3.87,327,513.006515
-1.5,140,513.383904
-8.33,523,514.707241
-16.5,1000,517.387519
-6.7,540,518.843339
-12.41,771,520.779388
-5.52,432,521.966765
-6.35,495,523.264448
-5.68,448,524.389861
-14.79,809,526.418396
-8.26,636,528.050201
-3.75,295,528.81034
-6.66,406,529.906934
-6.02,432,531.003032
-9.44,694,532.723584
-15.6,1000,535.218517
-1.13,113,535.499747
-3.19,239,536.149626
-4.7,330,536.976724
-7.01,451,538.169461
-12.5,870,540.417702
-1.24,154,540.785043
-0.45,115,541.066988
-5.41,411,542.056859
-2.54,264,542.743124
-7.94,544,544.06332
-8.8,630,545.69801
-6.56,486,546.871239
-4.51,361,547.772807
-0.25,65,547.933922
-4.27,367,548.799585
-0.8,110,549.058796
-14.8,860,551.186559
-4.48,288,551.911504
-1.44,124,552.228992
-1.21,111,552.520909
-1.91,171,552.935359
-12.18,808,554.996175
-10.58,638,556.597828
-4.6,250,557.232456
-2.17,147,557.580685
-1.11,171,557.995481
-4.94,394,559.169523
-2.93,233,559.77838
-8.22,592,561.286709
-2.0,170,561.730034
-9.89,679,563.468373
-5.44,364,564.408514
-0.14,34,564.495731
-1.33,153,564.889156
-1.75,145,565.250165
-1.11,131,565.574076
-1.65,155,565.984179
-5.48,408,567.020182
-4.24,374,568.006577
-2.31,241,568.591833
-7.65,505,569.882488
-0.62,112,570.18134
-1.34,124,570.502054
-7.8,580,572.018369
-5.3,430,573.090024
-4.15,275,573.754644
-0.26,66,573.922229
-10.3,690,575.690975
-0.82,102,575.993748
-7.47,477,577.196582
-1.55,155,577.58499
-17.5,1000,580.277108
-3.15,265,580.948902
-14.15,955,583.379828
-3.64,234,583.972336
-14.19,979,586.397999
-1.74,164,586.813641
-7.73,603,588.394849
-10.35,695,590.153714
-10.55,745,591.980843
-6.97,577,593.405966
-5.48,398,594.400695
-14.59,919,596.748839
-9.8,690,598.495094
-2.25,195,598.96421
-0.93,153,599.31929
-0.13,43,599.426734
-2.27,217,599.955736
-4.35,265,600.577697
-13.48,858,602.670201
-10.74,634,604.268423
-3.58,288,605.016981
-1.07,147,605.399698
-4.58,358,606.352204
-10.94,694,608.170577
-2.52,162,608.596977
-14.5,1000,611.210881
-5.65,445,612.378676
-0.5,110,612.652609
-5.93,453,613.779562
-4.15,275,614.487194
-1.11,141,614.837824
-0.26,106,615.111172
0.32,68,615.283896
-4.19,239,615.868259
-5.86,316,616.66872
-15.13,963,619.43366
-5.18,388,620.508803
-10.95,815,622.758019
-1.51,181,623.230356
-3.36,306,624.049413
-2.53,253,624.678251
-7.02,482,626.003272
-2.56,206,626.525634
-6.22,452,627.749695
0.11,59,627.91091
-3.11,221,628.466845
-3.36,236,629.062741
-4.84,304,629.826609
-5.34,434,630.991397
-16.4,1000,633.622805
0.14,56,633.763534
-2.75,265,634.429758
