#{"t_start": 1762153540.997424, "env_id": "None"}
r,l,t
-34.2,1000,0.063454
-48.7,1000,0.12535
-31.3,1000,0.188373
-31.7,1000,0.25027
-35.9,1000,0.312561
-8.06,396,0.60272
-24.63,503,0.97875
-40.3,1000,1.710337
-33.6,1000,2.441778
-19.29,449,2.774919
-21.09,769,3.355886
-26.8,1000,4.122414
-30.0,1000,4.888875
-30.1,1000,5.648698
-26.4,1000,6.411042
-23.7,1000,7.178401
-23.6,1000,7.952773
-25.4,1000,8.738727
-25.7,1000,9.536789
-22.6,1000,10.339593
-24.0,1000,11.134678
-23.8,1000,11.929235
-18.64,434,12.281153
-25.8,1000,13.078832
-22.9,1000,13.877466
-25.4,1000,14.685993
-24.3,1000,15.502306
-26.6,1000,16.326308
1.01,359,16.623307
-28.3,1000,17.449423
-14.54,904,18.197516
-0.27,347,18.488147
-19.61,721,19.09721
-12.48,278,19.328347
-8.86,676,19.895319
-20.3,1000,20.749062
-18.8,1000,21.602128
0.1,400,21.935991
-13.1,420,22.293361
-10.99,279,22.534557
-23.5,1000,23.393942
-21.7,1000,24.251525
-20.2,1000,25.130039
4.02,248,25.351973
-20.2,1000,26.244573
-22.9,1000,27.159934
-18.3,1000,28.072693
-21.58,968,28.947841
-29.5,960,29.835892
-20.72,622,30.403131
-11.77,337,30.717334
-13.44,374,31.05726
-10.04,334,31.365282
-12.85,445,31.771902
-10.61,281,32.032545
-6.56,726,32.706187
-17.37,697,33.358546
-18.5,320,33.653343
-14.7,1000,34.55953
-17.9,1000,35.461479
-13.9,1000,36.338685
-14.0,1000,37.232135
-2.38,888,38.06279
-14.4,1000,39.005909
-14.2,1000,39.940526
-13.9,1000,40.893403
-12.5,1000,41.84533
-12.0,1000,42.869146
-12.3,1000,43.885244
-11.9,1000,44.913855
0.18,712,45.60736
-12.1,1000,46.573277
-10.9,1000,47.552368
-11.7,1000,48.543616
-13.4,1000,49.527531
-10.2,1000,50.502369
6.32,338,50.834811
-10.8,1000,51.81074
-10.7,1000,52.755482
-10.9,1000,53.704947
-11.0,1000,54.630877
-10.9,1000,55.562392
-11.0,1000,56.490396
-12.6,1000,57.42853
-10.3,1000,58.408197
-11.1,1000,59.380607
-11.0,1000,60.350906
-11.7,1000,61.322425
-11.1,1000,62.288581
-10.1,1000,63.270461
0.22,888,64.134356
-12.0,1000,65.115895
-14.84,854,65.964697
-12.3,1000,66.936999
-11.1,1000,67.919716
-10.5,1000,68.892664
-10.8,1000,69.862794
-10.6,1000,70.842745
-14.0,1000,71.81907
-10.9,1000,72.799841
-11.8,1000,73.771372
-10.5,1000,74.747374
-10.3,1000,75.670862
-11.2,1000,76.598366
-16.4,1000,77.566969
-11.3,1000,78.540366
-16.2,1000,79.51568
-11.2,1000,80.486702
-11.8,1000,81.45945
-13.0,1000,82.401367
-12.3,1000,83.318649
-11.4,1000,84.239399
-10.6,1000,85.165189
-11.4,1000,86.089127
-10.9,1000,87.028322
-10.6,1000,87.995714
-11.0,1000,88.976954
-16.7,1000,89.949183
-13.9,1000,90.921895
-11.0,1000,91.904854
-11.3,1000,92.893754
-11.0,1000,93.86895
-16.9,1000,94.853771
-35.2,1000,95.83321
-14.0,1000,96.811184
-24.1,1000,97.798996
-11.6,1000,98.773584
-10.4,1000,99.743905
-19.13,933,100.670814
-23.7,1000,101.661975
-16.47,907,102.559066
-11.0,1000,103.535974
-15.43,743,104.257969
-11.48,658,104.898546
-11.51,491,105.374607
-43.2,1000,106.358232
-70.0,1000,107.339253
-55.4,1000,108.311651
-11.7,1000,109.288211
-10.9,1000,110.271236
-11.7,1000,111.248461
-11.8,1000,112.223042
-11.5,1000,113.200558
-11.0,1000,114.177204
-18.6,1000,115.15156
-14.69,649,115.789204
-11.6,1000,116.762555
-12.8,1000,117.734195
-11.4,1000,118.706392
-11.1,1000,119.680959
-10.93,513,120.182134
-11.8,1000,121.15756
-12.8,1000,122.125506
-0.15,795,122.895624
3.97,563,123.447391
2.64,646,124.076577
4.12,438,124.506456
6.01,359,124.856453
-14.35,815,125.655696
-11.2,1000,126.643466
-26.49,529,127.160253
-12.7,1000,128.136745
-11.9,1000,129.106535
-10.7,1000,130.075965
-11.2,1000,131.062354
-11.6,1000,132.034288
-11.3,1000,133.010776
-10.4,1000,133.993959
-11.2,1000,134.966927
-11.1,1000,135.9471
-11.6,1000,136.92642
-10.9,1000,137.902182
-11.2,1000,138.88079
-10.7,1000,139.860609
-10.9,1000,140.845767
-11.0,1000,141.821205
-10.5,1000,142.796937
-14.0,1000,143.766821
-10.6,1000,144.743961
-11.5,1000,145.721653
-11.1,1000,146.691592
-10.8,1000,147.666262
