#{"t_start": 1763796797.441695, "env_id": "None"}
r,l,t
-5.8,200,0.179045
-4.7,200,0.350513
-6.6,200,0.518476
-5.1,200,0.720128
-7.1,200,0.88681
-7.5,200,1.050114
-7.0,200,1.211782
-5.3,200,1.377631
-5.8,200,1.540861
-4.7,200,1.707056
-6.5,200,1.874117
-6.8,200,2.038668
-5.7,200,2.202817
-9.1,200,2.369619
-5.3,200,2.536265
-7.1,200,2.700859
-5.4,200,2.880701
-5.6,200,3.051109
-4.8,200,3.215758
-8.8,200,3.376327
-5.6,200,3.540952
-4.8,200,3.703161
-5.7,200,3.869339
-5.8,200,4.034524
-6.2,200,4.197782
-6.3,200,4.361376
-6.9,200,4.542363
-6.5,200,4.711185
-6.1,200,4.876492
-6.9,200,5.042974
-6.1,200,5.210411
-6.1,200,5.38035
-6.2,200,5.558001
-5.5,200,5.739338
-6.6,200,5.921939
-4.4,200,6.094627
-6.8,200,6.261048
-7.1,200,6.430622
-6.7,200,6.61045
-6.5,200,6.817152
-6.2,200,6.987464
-7.0,200,7.159029
-5.8,200,7.371163
-6.2,200,7.547844
-6.8,200,7.71883
-4.9,200,7.879722
-8.1,200,8.07417
-7.2,200,8.254501
-6.9,200,8.424952
-5.7,200,8.608377
-6.6,200,8.780801
-8.2,200,8.95883
-9.1,200,9.132728
-6.8,200,9.298712
-5.9,200,9.46334
-5.7,200,9.632918
-7.3,200,9.809945
-8.6,200,9.992066
-7.5,200,10.182147
-8.1,200,10.36656
-6.7,200,10.575105
-5.5,200,10.768313
-6.4,200,11.007942
-5.4,200,11.240456
-7.3,200,11.440465
-5.5,200,11.636331
-9.0,200,11.800192
-5.7,200,11.973594
-6.7,200,12.150826
-6.0,200,12.328816
-5.3,200,12.528765
-7.4,200,12.706916
-5.5,200,12.884093
-5.4,200,13.060696
-5.6,200,13.224924
-9.3,200,13.386687
-5.0,200,13.549636
-6.3,200,13.713553
-6.1,200,13.877436
-6.1,200,14.042297
-5.6,200,14.208035
-4.3,200,14.368601
-5.0,200,14.531189
-6.0,200,14.692611
-4.7,200,14.853222
-6.1,200,15.016184
-6.4,200,15.193513
-5.8,200,15.372473
-6.5,200,15.550277
-5.7,200,15.721692
-5.4,200,15.897176
-6.7,200,16.094831
-7.9,200,16.278004
-5.7,200,16.456675
-5.0,200,16.633234
-6.0,200,16.806374
-4.9,200,16.981785
-6.9,200,17.161747
-5.3,200,17.348706
-6.1,200,17.528853
-9.2,200,18.064782
-9.4,200,18.690796
-9.5,200,19.240563
-9.4,200,19.805229
-9.2,200,20.380915
-9.5,200,20.934916
-11.0,200,21.503655
-9.7,200,22.074404
-8.5,200,22.64103
-9.7,200,23.206077
-7.7,200,23.758753
-7.4,200,24.295034
-10.8,200,24.822774
-6.2,200,25.359424
-7.1,200,25.898713
-7.4,200,26.497262
-10.8,200,27.107305
-10.6,200,27.677806
-6.7,200,28.269081
-8.8,200,28.878724
-11.7,200,29.424494
-10.2,200,30.019173
-11.7,200,30.569253
-9.7,200,31.142341
-9.4,200,31.686686
-10.4,200,32.259279
-8.2,200,32.795961
-8.4,200,33.395703
-7.5,200,34.003946
-7.1,200,34.554142
-6.1,200,35.110684
-8.2,200,35.715294
-4.5,200,36.314716
-4.7,200,36.898533
-4.1,200,37.485245
-8.6,170,37.999337
-4.5,200,38.607939
-4.2,200,39.17694
-4.6,200,39.734518
-4.7,200,40.367558
-4.0,200,40.930614
-3.8,200,41.508801
-4.1,200,42.05997
-5.3,200,42.608614
-4.3,200,43.194557
-3.3,200,43.808083
-4.4,200,44.601165
-4.6,200,45.205382
-5.3,200,45.789045
-4.6,200,46.373581
-4.4,200,46.993821
-4.8,200,47.610205
-3.4,200,48.244566
-4.3,200,48.82745
-4.0,200,49.407268
-4.0,200,49.962726
-5.1,200,50.540911
-4.1,200,51.090629
-4.2,200,51.650339
-3.7,200,52.224141
-5.4,200,52.799061
-3.5,200,53.378087
-3.7,200,53.971562
-2.7,200,54.558437
-3.6,200,55.160277
-2.8,200,55.788932
-3.7,200,56.394695
-3.1,200,57.029832
-3.6,200,57.657882
-3.4,200,58.287436
-3.1,200,58.890774
-3.1,200,59.484015
-3.7,200,60.15535
-3.7,200,60.774445
-2.7,200,61.405186
-4.5,200,61.978148
-3.5,200,62.599165
-3.5,200,63.206381
-2.8,200,63.803445
-3.6,200,64.387551
-3.0,200,64.994982
-4.2,200,65.587682
-3.4,200,66.216463
-3.0,200,66.877213
-2.7,200,67.557389
-3.1,200,68.190691
-2.8,200,68.777282
-3.3,200,69.34815
-2.7,200,69.945388
-3.4,200,70.560042
-3.1,200,71.144978
-2.4,200,71.802713
-2.9,200,72.452898
-3.3,200,73.120358
-3.2,200,73.78358
-2.9,200,74.46106
-2.7,200,75.077067
-3.0,200,75.729902
-3.1,200,76.4208
-3.1,200,77.009005
-2.9,200,77.602287
-3.2,200,78.183657
-2.4,200,78.79244
-2.8,200,79.368654
-3.4,200,79.943723
-3.9,200,80.523179
-2.9,200,81.134145
-2.7,200,81.78639
-2.9,200,82.391915
-3.0,200,82.995967
-2.6,200,83.64278
-2.6,200,84.272113
-2.8,200,84.893737
-2.5,200,85.50173
-4.2,200,86.133171
-3.6,200,86.744621
-3.1,200,87.331727
-3.2,200,87.942495
-3.4,200,88.615777
-3.1,200,89.264161
-3.3,200,89.875773
-2.8,200,90.504784
-3.1,200,91.205483
-3.2,200,91.858859
-3.2,200,92.524295
-2.6,200,93.15207
-2.4,200,93.805438
-2.7,200,94.434248
-3.6,200,95.046387
-3.3,200,95.678985
-2.6,200,96.285584
-3.1,200,96.89465
-2.4,200,97.550108
-2.6,200,98.210235
-3.0,200,98.863111
-4.0,200,99.494745
-3.2,200,100.152414
-2.5,200,100.821576
-2.7,200,101.475409
-3.4,200,102.110062
-2.1,200,102.766403
-2.4,200,103.392041
-3.0,200,104.106095
-3.2,200,104.861176
-3.4,200,105.488446
-3.0,200,106.135255
-2.4,200,106.800508
-2.8,200,107.432911
-3.1,200,108.069829
-2.3,200,108.683085
-3.1,200,109.297153
-3.4,200,109.891326
-2.8,200,110.541378
-2.7,200,111.161252
-2.6,200,111.775792
-2.3,200,112.39977
-2.8,200,113.067309
-2.4,200,113.760138
-2.6,200,114.42467
-2.5,200,115.105202
-2.2,200,115.78403
-2.4,200,116.462053
-2.5,200,117.117217
-2.3,200,117.793248
-2.2,200,118.487039
-2.1,200,119.148984
-2.1,200,119.785499
-2.0,200,120.474695
