#{"t_start": 1763804543.8396401, "env_id": "None"}
r,l,t
-33.5,1000,0.49945
-44.9,1000,0.995787
-41.0,1000,1.492844
-33.4,1000,1.999214
-31.0,1000,2.519263
-34.7,1000,3.043039
-44.5,1000,3.561034
-32.72,982,4.071207
-35.5,1000,4.588962
-35.8,1000,5.114141
-32.3,1000,5.636397
-31.5,1000,6.161896
-28.1,1000,6.681607
-6.04,434,6.907243
-29.1,920,7.388931
-39.5,1000,7.915123
-34.8,1000,8.442042
-30.7,1000,8.96804
-46.9,1000,9.493708
-17.28,838,9.936756
-27.8,1000,10.66703
-44.8,1000,12.366806
-35.0,1000,14.07061
-34.3,1000,15.801583
-35.6,1000,17.510221
-32.0,1000,19.201207
-36.9,1000,20.92246
-42.2,1000,22.618634
-17.09,709,23.826683
-29.7,1000,25.539755
-32.9,1000,27.256411
-33.6,1000,28.979424
-38.1,1000,30.712154
-33.7,1000,32.425697
-33.3,1000,34.147439
-32.5,1000,35.885765
-30.4,1000,37.614805
-34.7,1000,39.320985
-23.64,534,40.25198
-33.2,1000,42.006348
-35.2,1000,43.722253
-29.1,1000,45.459671
-28.7,1000,47.173481
-35.7,1000,48.890507
-36.0,1000,50.640784
-28.7,1000,52.377996
-27.6,590,53.397986
-35.0,1000,55.137757
-16.96,666,56.292466
-29.5,1000,58.041271
-34.3,1000,59.787792
-43.9,1000,61.548223
-27.5,1000,63.298958
-37.7,1000,65.047942
-29.9,1000,66.81106
-33.2,1000,68.598709
-36.4,1000,70.395714
-25.9,460,71.209508
-27.37,957,72.903266
-39.7,1000,74.624755
-37.4,1000,76.370956
-45.0,1000,78.079587
-28.6,1000,79.820671
-42.3,1000,81.54161
-30.6,1000,83.283096
-35.0,1000,85.031583
-32.5,1000,86.778657
-27.3,1000,88.569412
-29.8,1000,90.362833
-25.62,952,92.035224
-27.5,1000,93.804922
-24.39,779,95.193926
-34.5,1000,96.981556
-25.22,892,98.560112
-30.9,1000,100.325273
-33.9,1000,102.091272
-42.4,1000,103.832459
-36.6,1000,105.61666
-31.9,1000,107.403419
