#{"t_start": 1763579683.4613023, "env_id": "None"}
r,l,t
-38.4,1000,0.67108
-37.6,1000,1.289529
-40.9,1000,1.896564
-30.3,1000,2.503694
-37.6,1000,3.112951
-41.7,1000,3.723892
-49.4,1000,4.329681
-36.2,1000,4.93723
-45.7,1000,5.546689
-37.9,1000,6.156004
-37.4,1000,6.762785
-31.7,1000,7.370324
-40.7,1000,7.982195
-30.3,1000,8.586425
-31.8,1000,9.179412
-42.9,1000,9.786452
-23.79,439,10.053768
-37.7,1000,10.658593
-32.7,1000,11.268693
-34.2,1000,11.875521
-32.7,1000,13.036135
-27.9,1000,14.931693
-24.24,474,15.846539
-22.21,781,17.356436
-31.3,1000,19.271324
-30.8,1000,21.198763
-35.9,1000,23.110041
-30.7,1000,25.007808
-35.4,870,26.597905
-32.5,1000,28.426732
-30.7,1000,30.285537
-35.2,1000,32.167038
-32.5,1000,33.985962
-31.2,790,35.423307
-39.5,1000,37.241058
-33.6,1000,39.086543
-37.6,1000,40.979563
-39.7,1000,42.859464
-37.7,1000,44.801351
-31.6,1000,46.679613
-29.5,1000,48.640751
-29.7,1000,50.608889
-37.0,1000,52.56069
-39.5,1000,54.512026
-29.4,1000,56.403771
-29.8,1000,58.25153
-28.9,1000,60.072522
-21.04,874,61.702129
-26.9,1000,63.631498
-44.4,1000,65.609356
-32.2,1000,67.548716
-27.1,1000,69.424746
-34.1,1000,71.334389
-29.1,1000,73.329219
-22.93,853,74.990713
-38.1,1000,76.924665
-29.7,1000,78.891591
-29.8,1000,80.899784
-35.4,1000,82.90157
-31.2,670,84.209569
-32.3,1000,86.175735
-31.9,1000,88.157443
-42.1,1000,90.163139
-29.6,1000,92.138863
-32.2,1000,94.12507
-0.97,297,94.710044
-26.5,1000,96.690264
-27.3,1000,98.72182
-30.0,1000,100.695502
-33.3,1000,102.655797
-35.5,1000,104.57486
-36.8,1000,106.477267
-38.5,1000,108.417592
-28.1,1000,110.373688
-26.5,1000,112.330806
-28.7,1000,114.306128
-26.5,1000,116.28904
-30.6,1000,118.301769
-34.2,1000,120.349881
-27.5,1000,122.408043
-28.9,1000,124.409169
-33.1,1000,126.390502
-29.2,1000,128.375505
-30.2,1000,130.374706
-20.47,447,131.272664
-21.04,914,133.119873
-28.9,1000,135.152253
-32.9,1000,137.201414
-30.8,1000,139.237744
-32.9,1000,141.204486
-28.34,704,142.58894
-29.5,1000,144.572915
-36.4,1000,146.488192
-32.1,1000,148.441935
-32.0,1000,150.421019
-31.1,1000,152.396283
-36.5,1000,154.35724
-27.1,1000,156.333447
-33.6,1000,158.324253
-37.7,1000,160.369997
-24.67,527,161.432908
-34.5,1000,163.458832
-33.0,1000,165.464985
-28.9,1000,167.487744
-36.1,1000,169.489253
-26.5,1000,171.504452
-31.0,1000,173.490645
-29.2,1000,175.435666
-31.3,1000,177.41925
-31.4,1000,179.41939
-26.4,1000,181.448562
-28.6,1000,183.466647
-27.8,1000,185.480507
-28.1,1000,187.543261
-37.2,1000,189.549241
-28.5,1000,191.598888
-35.7,1000,193.626395
-34.4,1000,195.698695
-40.2,1000,197.676096
-26.07,667,199.043166
-10.16,506,200.064838
-44.1,1000,202.100716
-27.6,1000,204.151299
-33.76,866,205.927131
-15.93,673,207.311062
-17.59,639,208.618857
-34.5,1000,210.579319
-34.5,1000,212.543826
-8.87,527,213.591627
-35.6,1000,215.58007
-31.5,1000,217.596285
-25.6,1000,219.704904
-31.4,1000,221.794047
-28.5,1000,223.887954
-21.67,507,224.947319
-13.13,553,226.100925
-37.1,1000,228.166008
-16.6,710,229.687691
-42.0,1000,231.780702
-25.8,1000,233.79945
-40.4,1000,235.896755
-7.86,576,237.076795
-40.0,1000,239.116884
-26.9,1000,241.153205
-25.1,1000,243.206655
-23.45,845,244.910783
-27.0,1000,246.886795
-30.6,1000,248.920424
-29.8,1000,250.987507
-29.4,1000,253.003811
-26.5,1000,254.98435
-28.44,714,256.384126
-15.73,693,257.756477
-37.4,1000,259.791766
4.66,144,260.077601
-41.6,1000,262.086624
-32.7,1000,264.099097
-40.4,1000,266.11151
-37.4,1000,268.115682
-13.59,579,269.263482
-36.7,1000,271.238758
0.49,251,271.732431
-33.9,1000,273.708863
-39.7,1000,275.758305
-29.5,1000,277.729381
-8.22,472,278.653829
-28.8,1000,280.644157
-33.5,1000,282.619559
-6.67,447,283.5117
-38.7,1000,285.508905
-25.9,1000,287.498819
-33.0,1000,289.466741
1.41,259,289.979885
-31.1,1000,292.029488
-38.0,1000,294.077727
-19.48,938,295.962362
-37.1,1000,297.991173
-40.2,1000,300.028536
-27.4,1000,302.078133
-20.67,707,303.452935
-35.8,1000,305.397597
-19.0,490,306.380597
-12.88,658,307.718032
-19.11,331,308.390321
-35.5,1000,310.428612
-30.8,1000,312.494948
-20.82,992,314.394723
-33.5,1000,316.295202
-33.8,1000,318.280643
-33.5,1000,320.184666
-16.44,774,321.651228
-34.6,1000,323.576496
-27.5,1000,325.55672
-16.81,721,327.023321
-30.0,1000,329.063841
-39.9,1000,331.132643
-26.3,1000,333.227718
-32.5,1000,335.286689
-27.9,1000,337.335539
-33.7,1000,339.401241
-24.0,1000,341.481442
-24.3,1000,343.540303
-39.8,1000,345.570018
-26.5,1000,347.629275
-33.7,1000,349.706054
-26.6,1000,351.722273
-25.5,1000,353.759062
-24.9,1000,355.841457
-26.9,1000,357.954594
-24.5,1000,359.963911
-25.2,1000,362.077267
-27.8,1000,364.146239
-26.1,1000,366.213048
-35.3,1000,368.268543
-30.5,1000,370.326992
-39.6,1000,372.444393
-32.3,1000,374.583433
1.29,251,375.104262
-24.7,1000,377.081279
-32.5,1000,379.045625
-26.6,1000,381.046919
-27.5,1000,383.12205
-25.39,619,384.414444
-24.9,1000,386.517097
-23.6,1000,388.577892
-25.0,1000,390.697587
-23.9,1000,392.792454
-24.0,1000,394.886433
-25.6,1000,396.873036
-33.7,1000,398.908131
-27.5,1000,401.009698
-15.99,699,402.433025
-30.2,1000,404.490336
-25.38,968,406.474124
-26.7,1000,408.527501
-34.2,1000,410.574285
-4.87,567,411.743451
-19.31,831,413.433432
-26.0,1000,415.514456
-36.0,1000,417.5893
-29.3,1000,419.645687
-24.3,1000,421.722929
-23.1,1000,423.744405
-18.19,819,425.433351
-33.7,1000,427.476166
-26.2,1000,429.529364
-34.3,1000,431.617288
-33.0,1000,433.672548
-6.71,471,434.61815
-26.76,926,436.502107
-7.32,522,437.595352
-23.0,1000,439.67418
-5.84,434,440.572412
-33.4,1000,442.623628
-38.2,1000,444.663233
-16.46,816,446.335752
-27.7,1000,448.414231
-35.0,1000,450.4822
-39.9,1000,452.49792
-27.7,1000,454.52291
-28.1,1000,456.597962
-30.3,1000,458.670521
-29.3,1000,460.753599
-13.95,695,462.193728
-34.4,890,464.037319
-38.2,1000,466.105585
-15.93,893,467.956743
-29.7,1000,469.992103
-25.0,1000,472.059055
-24.8,1000,474.102322
-32.0,1000,476.188272
-30.0,1000,478.304995
-32.4,1000,480.34944
-32.1,1000,482.481133
-30.6,1000,484.562045
-38.1,1000,486.638461
-27.4,1000,488.682638
-27.9,1000,490.810513
-25.9,1000,492.92414
-25.7,1000,495.021936
-35.2,1000,497.089311
-30.2,1000,499.228627
-23.6,1000,501.366225
-27.2,1000,503.500948
-27.1,1000,505.624205
-30.7,1000,507.7698
-30.4,1000,509.868631
-29.9,1000,511.978463
-32.0,1000,514.095333
-25.8,1000,516.25023
-25.9,1000,518.321508
-28.8,1000,520.454357
-36.9,1000,522.579707
-28.8,1000,524.699292
-26.1,1000,526.784364
-18.78,428,527.704416
-28.0,1000,529.816029
-26.9,1000,531.967599
-28.8,1000,534.085547
-27.2,1000,536.198755
-29.7,1000,538.326327
-35.3,1000,540.400276
-26.0,1000,542.54057
-27.7,1000,544.661674
-33.9,1000,546.78538
-27.6,1000,548.933236
-23.3,1000,551.091911
-29.8,1000,553.230449
-35.7,1000,555.379529
-23.8,1000,557.569385
-25.9,1000,559.708995
-24.4,1000,561.863663
-24.1,1000,563.994955
-23.1,1000,566.132717
-25.7,1000,568.225049
