#{"t_start": 1762149850.8491433, "env_id": "None"}
r,l,t
-10.69,539,0.038484
-5.7,290,0.058747
-19.37,827,0.114373
-12.72,592,0.154271
-3.08,208,0.168376
-22.8,1000,0.236339
-19.48,808,0.290764
-6.71,341,0.313754
-12.17,587,0.480733
-12.2,520,0.867552
-17.65,835,1.490241
-14.87,717,2.021606
-23.4,1000,2.774059
-7.32,332,3.023355
-0.93,103,3.101061
-26.5,1000,3.859134
-21.58,978,4.601847
-9.94,454,4.948555
-11.22,442,5.288729
-12.45,575,5.726842
0.57,33,5.754053
-8.24,404,6.062604
-9.63,353,6.333097
-4.24,224,6.507557
-3.19,189,6.654304
-12.72,492,7.03511
-0.1,90,7.107278
-3.64,184,7.253828
-9.69,419,7.579571
-17.48,628,8.075229
-17.11,701,8.622936
-12.37,527,9.040344
-23.61,971,9.80577
-9.63,413,10.136886
-8.77,467,10.516166
-6.8,380,10.826306
-3.31,201,10.991464
-9.5,430,11.350292
-27.2,1000,12.165628
-1.35,145,12.281243
-6.7,350,12.566633
-1.35,105,12.650507
-2.24,144,12.769259
-1.25,135,12.881804
-2.23,173,13.03072
-6.22,242,13.22617
-2.97,207,13.395214
-1.49,119,13.493713
-3.2,120,13.5949
-2.75,185,13.7419
-2.05,155,13.868016
-0.74,94,13.945184
-17.86,706,14.528047
-1.11,101,14.614591
-1.78,118,14.726215
-10.31,281,14.958259
-3.3,170,15.104934
-16.11,581,15.587595
-15.64,564,16.055327
-1.85,115,16.155195
-6.07,277,16.395026
-4.15,205,16.563118
-9.29,459,16.950789
-7.55,365,17.256503
-1.6,120,17.358012
-1.46,106,17.446326
-6.12,312,17.711769
-7.0,380,18.039896
-2.94,154,18.17692
-1.98,158,18.30893
-4.67,257,18.529285
-6.93,283,18.770415
-3.57,227,18.962787
-1.28,108,19.052516
-1.57,87,19.127208
-2.16,116,19.223019
-3.21,171,19.366198
-8.19,349,19.66157
-5.26,326,19.939487
-4.15,245,20.157828
-1.0,100,20.244113
-5.68,268,20.485575
0.12,68,20.545131
-1.82,122,20.655086
-10.9,390,21.002665
-5.93,323,21.285866
-7.59,389,21.623245
-4.13,243,21.833925
-1.01,111,21.929826
-3.31,201,22.107096
-1.65,135,22.221553
-2.35,145,22.346936
-0.29,99,22.435346
-0.85,115,22.534242
-2.54,174,22.688342
-14.59,449,23.085995
-1.72,112,23.187036
-10.66,326,23.469581
-4.53,263,23.699975
-5.77,327,23.980465
-0.2,80,24.049759
-1.59,129,24.161922
-0.63,73,24.223864
-2.58,178,24.381928
-2.31,201,24.554643
-3.59,209,24.740252
-2.73,243,24.961563
-3.03,193,25.131027
-1.14,94,25.215771
-3.54,254,25.439462
-12.92,692,26.052685
-2.82,182,26.216346
-5.77,327,26.507872
-0.94,94,26.593247
-4.79,309,26.868338
-3.48,208,27.056461
-1.11,121,27.16617
-2.98,238,27.380355
-5.06,306,27.651706
-1.54,94,27.738622
-1.7,130,27.854586
-5.92,312,28.136039
-0.51,81,28.21023
-3.51,261,28.447104
-4.7,190,28.617172
-2.51,181,28.783662
-3.4,260,29.016797
-7.9,610,29.571915
-7.38,438,29.970558
-2.33,223,30.174367
0.22,78,30.24761
-3.54,254,30.485239
-2.9,210,30.673836
-14.98,878,31.476881
-1.09,119,31.58649
-7.49,439,31.99105
-0.79,69,32.055835
-13.09,699,32.707322
-0.66,106,32.801486
-0.75,125,32.921
-8.39,489,33.36812
0.42,38,33.402635
-1.05,75,33.473266
-6.67,337,33.783479
-7.09,359,34.116885
-1.05,115,34.224384
-5.74,414,34.609812
-2.74,234,34.829356
0.24,56,34.881933
-0.05,75,34.95356
-5.06,386,35.312608
-6.41,531,35.809036
-2.13,163,35.964599
-0.11,61,36.021536
-0.25,75,36.094856
-0.62,82,36.168675
-3.87,97,36.259624
-0.19,69,36.325488
