#{"t_start": 1763488363.2304518, "env_id": "None"}
r,l,t
564.0,50,0.060971
467.0,50,0.096374
663.0,50,0.125885
59.0,50,0.155581
465.0,50,0.184765
1158.0,50,0.214396
1362.0,50,0.243724
566.0,50,0.271909
-1440.0,50,0.300577
770.0,50,0.328697
1166.0,50,0.356509
-925.0,50,0.384786
861.0,50,0.412848
459.0,50,0.441604
-529.0,50,0.474462
766.0,50,0.502232
471.0,50,0.530608
1267.0,50,0.561655
-238.0,50,0.590494
1469.0,50,0.619248
1354.0,50,0.650563
-535.0,50,0.679361
-22.0,50,0.708317
1271.0,50,0.738492
762.0,50,0.766797
865.0,50,0.796699
-32.0,50,0.82708
-638.0,50,0.854794
-745.0,50,0.885002
-533.0,50,0.913895
-230.0,50,0.944322
168.0,50,0.975616
-626.0,50,1.005822
-1440.0,50,1.037349
368.0,50,1.067213
-127.0,50,1.096486
766.0,50,1.127399
-927.0,50,1.155471
69.0,50,1.18447
269.0,50,1.215485
962.0,50,1.243831
972.0,50,1.272743
170.0,50,1.30171
-1230.0,50,1.33034
1170.0,50,1.359318
-634.0,50,1.386898
867.0,50,1.417107
-234.0,50,1.445612
-543.0,50,1.473299
166.0,50,1.503018
-34.0,50,1.531986
-131.0,50,1.559659
-1236.0,50,1.589834
374.0,50,1.617761
67.0,50,1.646303
1059.0,50,1.675619
-531.0,50,1.703546
463.0,50,1.734125
572.0,50,1.764569
-1127.0,50,1.792357
-634.0,50,1.822462
368.0,50,1.851387
-836.0,50,1.879322
665.0,50,1.910677
1358.0,50,1.939058
-2133.0,50,1.969649
-731.0,50,1.998352
362.0,50,2.026048
-36.0,50,2.056399
-723.0,50,2.086046
-628.0,50,2.113929
863.0,50,2.144583
-1644.0,50,2.173074
-539.0,50,2.202085
-28.0,50,2.230864
364.0,50,2.258413
570.0,50,2.288598
665.0,50,2.316919
-1634.0,50,2.345409
560.0,50,2.374625
-228.0,50,2.402217
570.0,50,2.432275
1968.0,50,2.460699
869.0,50,2.488613
-529.0,50,2.518975
-2228.0,50,2.548908
-131.0,50,2.578153
168.0,50,2.608924
362.0,50,2.636613
65.0,50,2.665411
-529.0,50,2.697753
65.0,50,2.725479
-36.0,50,2.754421
665.0,50,2.783252
366.0,50,2.811084
267.0,50,2.840525
-440.0,50,2.868138
570.0,50,2.897317
-632.0,50,2.925811
-535.0,50,2.951818
-133.0,50,2.979437
2667.0,50,3.006011
-533.0,50,3.032715
566.0,50,3.059152
-531.0,50,3.08582
-135.0,50,3.112323
263.0,50,3.138795
370.0,50,3.165416
1661.0,50,3.191926
-1329.0,50,3.218764
477.0,50,3.245333
774.0,50,3.27193
-36.0,50,3.298727
-436.0,50,3.325267
65.0,50,3.351892
568.0,50,3.378458
-1036.0,50,3.405059
67.0,50,3.43155
-1232.0,50,3.458091
562.0,50,3.484923
370.0,50,3.511613
-234.0,50,3.538161
-438.0,50,3.564712
166.0,50,3.591524
661.0,50,3.618202
-135.0,50,3.647146
-38.0,50,3.674538
-937.0,50,3.701902
667.0,50,3.729827
869.0,50,3.756559
-333.0,50,3.783253
770.0,50,3.811216
764.0,50,3.838114
-828.0,50,3.86471
-224.0,50,3.891686
-135.0,50,3.919885
-1232.0,50,3.950207
-339.0,50,3.979592
-834.0,50,4.007725
1564.0,50,4.037243
-832.0,50,4.064942
-1135.0,50,4.094251
261.0,50,4.123533
267.0,50,4.151312
970.0,50,4.180096
-1830.0,50,4.207589
564.0,50,4.2355
67.0,50,4.262869
-727.0,50,4.290433
-224.0,50,4.317998
-236.0,50,4.345174
164.0,50,4.373338
267.0,50,4.400468
-727.0,50,4.427643
865.0,50,4.455007
-236.0,50,4.482557
1067.0,50,4.509931
166.0,50,4.536968
-131.0,50,4.564942
-135.0,50,4.592275
-624.0,50,4.619518
-1337.0,50,4.647415
-834.0,50,4.67458
-430.0,50,4.702168
1368.0,50,4.730437
1069.0,50,4.758188
465.0,50,4.785706
-1333.0,50,4.813049
659.0,50,4.841241
-234.0,50,4.868333
-442.0,50,4.895987
663.0,50,4.923926
-335.0,50,4.951019
-2137.0,50,4.978745
-24.0,50,5.00665
671.0,50,5.034166
1267.0,50,5.061836
461.0,50,5.089571
-30.0,50,5.11666
-1030.0,50,5.143897
570.0,50,5.171499
661.0,50,5.199207
1067.0,50,5.226434
-2234.0,50,5.253735
-531.0,50,5.282108
477.0,50,5.3096
568.0,50,5.337411
57.0,50,5.364766
-1133.0,50,5.392204
-424.0,50,5.419394
465.0,50,5.446915
467.0,50,5.474242
-1129.0,50,5.501538
-30.0,50,5.529325
-1931.0,50,5.557405
964.0,50,5.584326
-129.0,50,5.612275
374.0,50,5.639959
-828.0,50,5.667181
-438.0,50,5.694751
1073.0,50,5.72353
-832.0,50,5.750569
-1030.0,50,5.778112
-26.0,50,5.805516
966.0,50,5.833243
766.0,50,5.861026
-432.0,50,5.888314
665.0,50,5.915916
-830.0,50,5.943946
69.0,50,5.971363
-733.0,50,6.002104
-331.0,50,6.029931
-129.0,50,6.058156
259.0,50,6.086055
-30.0,50,6.113498
1164.0,50,6.140018
263.0,50,6.168008
962.0,50,6.195174
463.0,50,6.22195
271.0,50,6.250179
1370.0,50,6.277783
-935.0,50,6.305592
469.0,50,6.333719
364.0,50,6.360984
673.0,50,6.389582
-527.0,50,6.41736
-428.0,50,6.444696
465.0,50,6.472285
65.0,50,6.499845
174.0,50,6.527223
865.0,50,6.554832
-430.0,50,6.582729
-137.0,50,6.609851
-634.0,50,6.637676
-735.0,50,6.665483
-36.0,50,6.692437
-632.0,50,6.719852
-931.0,50,6.746929
463.0,50,6.774866
-135.0,50,6.802572
-1921.0,50,6.82975
-32.0,50,6.857734
-634.0,50,6.885134
1069.0,50,6.912604
-30.0,50,6.940481
-137.0,50,6.968041
65.0,50,6.995318
-234.0,50,7.023655
-1234.0,50,7.051465
1362.0,50,7.079277
1873.0,50,7.107735
170.0,50,7.135806
968.0,50,7.163904
665.0,50,7.191844
162.0,50,7.219693
1665.0,50,7.247163
1867.0,50,7.274657
-834.0,50,7.302275
-28.0,50,7.330343
-333.0,50,7.358548
1463.0,50,7.386909
-428.0,50,7.414812
1261.0,50,7.442429
-133.0,50,7.469699
166.0,50,7.497098
663.0,50,7.524393
764.0,50,7.551523
-129.0,50,7.578789
1069.0,50,7.606234
867.0,50,7.633733
1566.0,50,7.661457
-933.0,50,7.689046
1069.0,50,7.716467
269.0,50,7.743573
863.0,50,7.770844
364.0,50,7.798059
-327.0,50,7.825477
568.0,50,7.852699
-935.0,50,7.880068
-1032.0,50,7.908158
259.0,50,7.936101
69.0,50,7.963903
55.0,50,7.991265
574.0,50,8.018995
366.0,50,8.046983
671.0,50,8.074668
-634.0,50,8.101682
-329.0,50,8.12923
-135.0,50,8.157991
69.0,50,8.18551
-931.0,50,8.212841
-1236.0,50,8.240812
-333.0,50,8.26826
-428.0,50,8.295653
859.0,50,8.323313
-1234.0,50,8.350249
762.0,50,8.379129
2267.0,50,8.407348
-1331.0,50,8.434428
65.0,50,8.462075
-335.0,50,8.489948
-535.0,50,8.51772
871.0,50,8.54535
-242.0,50,8.572497
174.0,50,8.601112
-34.0,50,8.628911
368.0,50,8.656472
665.0,50,8.684144
-436.0,50,8.711739
-527.0,50,8.739082
459.0,50,8.767334
-1232.0,50,8.794937
-432.0,50,8.822113
675.0,50,8.850404
-238.0,50,8.877972
-535.0,50,8.905138
-1135.0,50,8.933633
370.0,50,8.961154
968.0,50,8.988341
1366.0,50,9.016775
-729.0,50,9.044466
-133.0,50,9.071418
271.0,50,9.099396
-34.0,50,9.126755
-36.0,50,9.154785
-1737.0,50,9.182576
764.0,50,9.209798
65.0,50,9.238135
-1028.0,50,9.265955
-232.0,50,9.292758
-228.0,50,9.320915
170.0,50,9.348359
-32.0,50,9.375848
-329.0,50,9.403604
277.0,50,9.431046
63.0,50,9.458245
-539.0,50,9.48512
-537.0,50,9.512027
-121.0,50,9.538634
-240.0,50,9.56589
261.0,50,9.592968
570.0,50,9.619561
568.0,50,9.646772
661.0,50,9.673316
-339.0,50,9.700742
-135.0,50,9.728115
-232.0,50,9.754668
865.0,50,9.78255
1372.0,50,9.809738
-537.0,50,9.836397
1261.0,50,9.863618
-1232.0,50,9.890591
-931.0,50,9.917102
875.0,50,9.944806
-232.0,50,9.972208
-26.0,50,9.999318
-630.0,50,10.026964
-133.0,50,10.054383
63.0,50,10.081095
271.0,50,10.108555
-234.0,50,10.135641
-935.0,50,10.162845
-226.0,50,10.191101
158.0,50,10.219531
-335.0,50,10.246546
-531.0,50,10.274902
-846.0,50,10.303919
-729.0,50,10.330986
-131.0,50,10.358721
-38.0,50,10.387508
-333.0,50,10.416013
-345.0,50,10.442852
669.0,50,10.470937
572.0,50,10.498726
-428.0,50,10.525714
271.0,50,10.554029
71.0,50,10.583239
-333.0,50,10.611786
265.0,50,10.63872
265.0,50,10.667092
1667.0,50,10.69711
2172.0,50,10.724683
-30.0,50,10.753376
568.0,50,10.783243
467.0,50,10.810903
-1541.0,50,10.838696
1675.0,50,10.868469
659.0,50,10.896035
-832.0,50,10.924858
-430.0,50,10.953117
-531.0,50,10.980661
-1141.0,50,11.011063
-1339.0,50,11.039566
762.0,50,11.068433
-1135.0,50,11.098731
-735.0,50,11.127426
-634.0,50,11.154928
-729.0,50,11.184662
-1230.0,50,11.212824
-28.0,50,11.239783
75.0,50,11.346551
378.0,50,11.444693
-20.0,50,11.550573
-26.0,50,11.654321
-2113.0,50,11.761505
-1024.0,50,11.861363
1778.0,50,11.964213
271.0,50,12.058566
-123.0,50,12.159996
376.0,50,12.262235
1174.0,50,12.368266
477.0,50,12.465884
-333.0,50,12.569659
-119.0,50,12.672181
1873.0,50,12.777876
-121.0,50,12.878202
471.0,50,12.98343
1580.0,50,13.093277
1178.0,50,13.203412
669.0,50,13.299646
-725.0,50,13.403585
