#{"t_start": 1763340694.0128226, "env_id": "None"}
r,l,t
-3433.0,50,0.044706
-2927.0,50,0.078774
-3532.0,50,0.108942
-2762.0,50,0.138058
-2839.0,50,0.166893
-2553.0,50,0.195788
-2938.0,50,0.22406
-3268.0,50,0.253071
-3026.0,50,0.285621
-3224.0,50,0.315841
-3521.0,50,0.346301
-3125.0,50,0.375337
-3345.0,50,0.405528
-2674.0,50,0.435362
-3059.0,50,0.465302
-3455.0,50,0.494808
-2663.0,50,0.525368
-3235.0,50,0.554981
-3158.0,50,0.584572
-3114.0,50,0.614274
-2190.0,50,0.643831
-3015.0,50,0.673709
-3807.0,50,0.704341
-3510.0,50,0.734294
-3895.0,50,0.765342
-2146.0,50,0.798734
-3708.0,50,0.833574
-3411.0,50,0.864771
-2421.0,50,0.895672
-3521.0,50,0.925052
-2421.0,50,0.953702
-2773.0,50,0.982142
-4016.0,50,1.01134
-3642.0,50,1.041017
-2399.0,50,1.069958
-2839.0,50,1.098369
-2652.0,50,1.126951
-3158.0,50,1.155712
-3972.0,50,1.184291
-3235.0,50,1.212801
-2982.0,50,1.241089
-3158.0,50,1.269537
-1937.0,50,1.298042
-3290.0,50,1.326189
-2476.0,50,1.35456
-3103.0,50,1.382572
-3092.0,50,1.410923
-2542.0,50,1.438936
-3004.0,50,1.467166
-2949.0,50,1.495097
-3323.0,50,1.523647
-2762.0,50,1.552276
-3367.0,50,1.580321
-3059.0,50,1.608678
-3378.0,50,1.636582
-3323.0,50,1.664568
-2388.0,50,1.69275
-3510.0,50,1.720747
-3400.0,50,1.749045
-3686.0,50,1.776919
-3532.0,50,1.805484
-2652.0,50,1.83361
-2839.0,50,1.861577
-2960.0,50,1.889671
-3345.0,50,1.918007
-2531.0,50,1.946503
-4280.0,50,1.974349
-3488.0,50,2.002345
-3345.0,50,2.030378
-2531.0,50,2.059408
-2410.0,50,2.088201
-2751.0,50,2.116605
-2707.0,50,2.145412
-2696.0,50,2.173761
-3147.0,50,2.202559
-3246.0,50,2.230905
-3169.0,50,2.259699
-4346.0,50,2.288646
-3213.0,50,2.318069
-3411.0,50,2.347892
-3840.0,50,2.377894
-2520.0,50,2.411832
-2091.0,50,2.447115
-2905.0,50,2.482837
-2443.0,50,2.513038
-2212.0,50,2.541921
-2916.0,50,2.57081
-2553.0,50,2.599384
-3103.0,50,2.627817
-2531.0,50,2.655968
-2839.0,50,2.684201
-2905.0,50,2.712619
-2443.0,50,2.741039
-3125.0,50,2.769205
-2729.0,50,2.797124
-2619.0,50,2.825254
-3257.0,50,2.853553
-3301.0,50,2.881602
-2883.0,50,2.910316
-3279.0,50,2.938478
-3224.0,50,2.967434
-2641.0,50,2.995504
-3719.0,50,3.023707
-2839.0,50,3.051367
-2916.0,50,3.079916
-3532.0,50,3.107779
-3554.0,50,3.136345
-2828.0,50,3.164486
-3158.0,50,3.192942
-3532.0,50,3.221092
-3257.0,50,3.249188
-3334.0,50,3.277141
-2344.0,50,3.305556
-2487.0,50,3.333621
-1992.0,50,3.362057
-3510.0,50,3.390008
-2597.0,50,3.418986
-2674.0,50,3.447271
-1684.0,50,3.475312
-3224.0,50,3.503497
-3576.0,50,3.531583
-3037.0,50,3.559694
-3103.0,50,3.588266
-3015.0,50,3.615949
-3015.0,50,3.644677
-2234.0,50,3.672496
-2894.0,50,3.700362
-3092.0,50,3.728565
-3301.0,50,3.758074
-2751.0,50,3.788008
-2619.0,50,3.816241
-2872.0,50,3.844538
-2806.0,50,3.872539
-3345.0,50,3.90092
-3114.0,50,3.929564
-2861.0,50,3.957479
-3004.0,50,3.986684
-3532.0,50,4.014642
-1431.0,50,4.042792
-2916.0,50,4.071135
-3862.0,50,4.099902
-2432.0,50,4.127945
-3521.0,50,4.156425
-3378.0,50,4.18476
-2960.0,50,4.213824
-3081.0,50,4.242152
-3708.0,50,4.270319
-3796.0,50,4.298333
-3070.0,50,4.326765
-3191.0,50,4.355001
-2817.0,50,4.383302
-2234.0,50,4.412059
-2872.0,50,4.440033
-3312.0,50,4.468207
-2883.0,50,4.496362
-3235.0,50,4.525368
-3103.0,50,4.553644
-2553.0,50,4.581704
-3191.0,50,4.610374
-3026.0,50,4.638227
-3609.0,50,4.666569
-2938.0,50,4.69441
-2839.0,50,4.723289
-3224.0,50,4.751768
-2410.0,50,4.780106
-2333.0,50,4.808318
-2773.0,50,4.836359
-2553.0,50,4.864797
-3048.0,50,4.893176
-3477.0,50,4.921873
-2564.0,50,4.950151
-2971.0,50,4.978187
-3092.0,50,5.00637
-3213.0,50,5.034633
-2839.0,50,5.062789
-3466.0,50,5.090701
-2641.0,50,5.119529
-2850.0,50,5.148056
-3004.0,50,5.176486
-2971.0,50,5.204753
-4170.0,50,5.233166
-3202.0,50,5.261
-2619.0,50,5.289357
-2784.0,50,5.317685
-3532.0,50,5.345922
-2729.0,50,5.374569
-3598.0,50,5.403094
-2795.0,50,5.431711
-2300.0,50,5.459962
-3708.0,50,5.487951
-3037.0,50,5.516114
-3191.0,50,5.544193
-2861.0,50,5.572772
-2729.0,50,5.600815
-2740.0,50,5.629306
-3015.0,50,5.657354
-3136.0,50,5.685329
-3213.0,50,5.713566
-3466.0,50,5.741544
-2652.0,50,5.769489
-3422.0,50,5.798689
-2971.0,50,5.826849
-3202.0,50,5.854925
-3279.0,50,5.883389
-2641.0,50,5.912204
-3378.0,50,5.940321
-2894.0,50,5.968384
-3345.0,50,5.996588
-2399.0,50,6.025018
-3191.0,50,6.053956
-2630.0,50,6.082402
-2894.0,50,6.110836
-3598.0,50,6.139932
-3092.0,50,6.168339
-2850.0,50,6.196791
-2883.0,50,6.224902
-3125.0,50,6.253186
-2883.0,50,6.281455
-3499.0,50,6.309633
-2795.0,50,6.337729
-2740.0,50,6.365976
-3961.0,50,6.394334
-3367.0,50,6.42287
-2762.0,50,6.451149
-2883.0,50,6.479467
-1750.0,50,6.507562
-3114.0,50,6.535773
-2938.0,50,6.56388
-3015.0,50,6.592023
-2916.0,50,6.620218
-2509.0,50,6.648967
-2993.0,50,6.67683
-2421.0,50,6.705071
-2542.0,50,6.732974
-2421.0,50,6.761111
-2993.0,50,6.789162
-3169.0,50,6.817114
-3224.0,50,6.845053
-3653.0,50,6.872752
-3576.0,50,6.900789
-3466.0,50,6.929067
-3521.0,50,6.956812
-3103.0,50,6.984764
-3257.0,50,7.012558
-2740.0,50,7.040613
-2784.0,50,7.068943
-2190.0,50,7.097387
-3026.0,50,7.126137
-2971.0,50,7.154489
-2245.0,50,7.182499
-2872.0,50,7.210667
-2839.0,50,7.238461
-3070.0,50,7.266464
-3059.0,50,7.294462
-2916.0,50,7.322177
-3576.0,50,7.35019
-2245.0,50,7.377933
-3323.0,50,7.406213
-1992.0,50,7.434203
-2839.0,50,7.461947
-3620.0,50,7.490047
-3895.0,50,7.51783
-2949.0,50,7.545527
-3301.0,50,7.573425
-4049.0,50,7.601023
-3246.0,50,7.628857
-3279.0,50,7.656926
-3367.0,50,7.684924
-3323.0,50,7.712947
-2729.0,50,7.740877
-2696.0,50,7.768965
-2652.0,50,7.796666
-2355.0,50,7.824659
-3015.0,50,7.852221
-2465.0,50,7.879674
-2355.0,50,7.908109
-3334.0,50,7.935999
-2179.0,50,7.963935
-3752.0,50,7.991868
-3290.0,50,8.019233
-3301.0,50,8.047207
-2839.0,50,8.075285
-3323.0,50,8.103024
-3224.0,50,8.130923
-2575.0,50,8.159266
-2916.0,50,8.18773
-2960.0,50,8.215606
-2861.0,50,8.243526
-3015.0,50,8.271513
-2597.0,50,8.299657
-3202.0,50,8.327572
-2795.0,50,8.355164
-3202.0,50,8.383284
-3169.0,50,8.411518
-3026.0,50,8.439056
-3785.0,50,8.467095
-2718.0,50,8.494714
-3433.0,50,8.522507
-2872.0,50,8.550494
-3862.0,50,8.578369
-3213.0,50,8.607309
-2894.0,50,8.635036
-2751.0,50,8.663412
-3741.0,50,8.691128
-3686.0,50,8.719423
-2817.0,50,8.74767
-3400.0,50,8.77516
-2982.0,50,8.802778
-3576.0,50,8.830666
-2861.0,50,8.858205
-3136.0,50,8.886
-3708.0,50,8.91412
-2542.0,50,8.942162
-2905.0,50,8.969865
-2267.0,50,8.997822
-3862.0,50,9.025758
-3466.0,50,9.053589
-3224.0,50,9.080989
-3103.0,50,9.108996
-4027.0,50,9.136484
-2388.0,50,9.164678
-2553.0,50,9.192553
-3169.0,50,9.220343
-3257.0,50,9.248213
-2377.0,50,9.275878
-2542.0,50,9.303913
-3081.0,50,9.331722
-3290.0,50,9.359414
-2960.0,50,9.387581
-2652.0,50,9.416098
-3246.0,50,9.444111
-2971.0,50,9.47204
-2839.0,50,9.500155
-3433.0,50,9.528079
-2872.0,50,9.556292
-2476.0,50,9.584152
-3444.0,50,9.612301
-3774.0,50,9.640273
-2993.0,50,9.66864
-3675.0,50,9.696867
-3147.0,50,9.725006
-2740.0,50,9.753312
-3378.0,50,9.781709
-3422.0,50,9.809934
-2905.0,50,9.838372
-2696.0,50,9.866766
-3642.0,50,9.89535
-2652.0,50,9.924242
-2641.0,50,9.953026
-2740.0,50,9.981376
-3004.0,50,10.009926
-3334.0,50,10.038278
-3686.0,50,10.066768
-2696.0,50,10.094847
-2938.0,50,10.122927
-3730.0,50,10.15118
-3411.0,50,10.179865
