#{"t_start": 1762176121.318016, "env_id": "None"}
r,l,t
-62863.0,1000,0.055546
-58430.0,1000,0.106847
-62786.0,1000,0.159349
-62258.0,1000,0.210985
-62599.0,1000,0.26272
-59706.0,1000,1.064923
-60916.0,1000,1.858078
-56736.0,1000,2.667716
-56989.0,1000,3.467225
-59376.0,1000,4.281311
-57330.0,1000,5.098433
-55856.0,1000,5.921003
-53425.0,1000,6.752732
-57495.0,1000,7.590238
-53766.0,1000,8.440715
-56725.0,1000,9.310548
-55603.0,1000,10.185729
-50972.0,1000,11.057039
-59552.0,1000,11.934985
-56791.0,1000,12.816478
-50554.0,1000,13.698984
-50862.0,1000,14.585426
-43162.0,1000,15.489763
-42073.0,1000,16.399208
-41270.0,1000,17.311218
-38993.0,1000,18.236624
-35671.0,1000,19.168663
-38883.0,1000,20.102476
-36903.0,1000,21.037914
-36375.0,1000,21.986992
-34956.0,1000,22.934768
-35396.0,1000,23.890626
-34516.0,1000,24.871472
-33735.0,1000,25.838812
-32140.0,1000,26.822971
-30897.0,1000,27.80446
-28686.0,1000,28.795128
-30402.0,1000,29.798822
-29434.0,1000,30.797512
-29280.0,1000,31.802417
-23857.0,1000,32.830156
-27322.0,1000,33.854533
-23417.0,1000,34.890131
-24088.0,1000,35.926107
-21184.0,1000,36.923787
-21789.0,1000,37.949348
-21734.0,1000,38.955389
-21987.0,1000,40.000685
-18852.0,1000,41.068249
-17631.0,1000,42.115871
-14705.0,1000,43.20263
-17972.0,1000,44.256421
-12285.0,1000,45.346104
-14716.0,1000,46.444868
-15904.0,1000,47.545029
-13649.0,1000,48.646679
-12351.0,1000,49.760307
-10910.0,1000,50.878343
-10943.0,1000,52.004986
-11350.0,1000,53.131741
-11669.0,1000,54.262706
-8358.0,1000,55.397431
-8116.0,1000,56.554223
-10008.0,1000,57.702307
-11603.0,1000,58.890646
-9711.0,1000,60.06134
-9733.0,1000,61.215503
-9150.0,1000,62.358465
-8677.0,1000,63.516532
-12417.0,1000,64.665013
-9777.0,1000,65.821998
-9722.0,1000,66.974813
-10635.0,1000,68.127596
-10910.0,1000,69.275356
-10954.0,1000,70.449062
-11174.0,1000,71.622159
-10679.0,1000,72.786145
-10360.0,1000,73.94236
-8853.0,1000,75.096869
-7445.0,1000,76.273085
-8424.0,1000,77.458272
-9337.0,1000,78.620955
-8809.0,1000,79.779084
-9788.0,1000,80.924342
-10943.0,1000,82.075295
-9315.0,1000,83.23345
-11955.0,1000,84.386671
-10316.0,1000,85.534984
-10954.0,1000,86.687472
-11647.0,1000,87.839976
-11625.0,1000,88.988769
-8204.0,1000,90.142178
-9293.0,1000,91.294019
-9106.0,1000,92.443205
-12362.0,1000,93.590805
-8435.0,1000,94.741249
-10855.0,1000,95.891473
-9678.0,1000,97.035395
-8182.0,1000,98.186883
-9436.0,1000,99.330907
-8677.0,1000,100.482216
-10723.0,1000,101.633894
-11284.0,1000,102.78469
-12604.0,1000,103.930582
-9920.0,1000,105.075944
-12747.0,1000,106.225754
-8435.0,1000,107.389175
-9194.0,1000,108.545493
-11779.0,1000,109.693228
-9458.0,1000,110.84513
-10371.0,1000,112.003692
-11306.0,1000,113.154981
-9326.0,1000,114.297501
-9447.0,1000,115.441771
-10316.0,1000,116.609971
-10855.0,1000,117.763131
-10877.0,1000,118.904692
-10008.0,1000,120.042597
-9832.0,1000,121.181718
-12703.0,1000,122.316012
-10063.0,1000,123.465407
-10074.0,1000,124.601839
-10778.0,1000,125.718289
-11405.0,1000,126.856089
-8534.0,1000,128.004611
-9084.0,1000,129.148159
-8776.0,1000,130.285013
-9623.0,1000,131.429211
-9337.0,1000,132.575936
