#{"t_start": 1763579956.4819942, "env_id": "None"}
r,l,t
-59662.0,1000,0.603763
-58287.0,1000,1.215649
-59640.0,1000,1.825398
-61367.0,1000,2.408753
-61070.0,1000,2.99376
-60586.0,1000,3.565672
-59827.0,1000,4.13965
-63754.0,1000,4.707144
-61994.0,1000,5.277752
-59959.0,1000,5.850382
-62126.0,1000,6.430441
-61334.0,1000,7.003287
-58067.0,1000,7.582378
-61323.0,1000,8.15773
-60344.0,1000,8.728698
-61026.0,1000,9.305047
-60894.0,1000,9.880157
-61246.0,1000,10.468441
-62599.0,1000,11.062822
-58672.0,1000,11.639948
-62907.0,1000,13.663222
-58639.0,1000,15.717411
-53612.0,1000,17.811972
-54822.0,1000,19.967243
-59200.0,1000,22.089333
-56065.0,1000,24.261706
-59200.0,1000,26.409802
-59695.0,1000,28.633706
-56549.0,1000,30.768566
-54888.0,1000,32.950958
-55790.0,1000,35.138654
-53513.0,1000,37.306868
-53810.0,1000,39.571708
-57033.0,1000,41.755435
-51137.0,1000,43.914817
-55053.0,1000,46.056797
-57594.0,1000,48.209874
-59805.0,1000,50.378146
-53326.0,1000,52.589403
-57209.0,1000,54.880892
-54470.0,1000,57.177788
-52985.0,1000,59.52169
-51302.0,1000,61.839675
-53678.0,1000,64.150489
-57286.0,1000,66.456309
-55163.0,1000,68.816957
-55834.0,1000,71.114606
-53975.0,1000,73.414834
-53557.0,1000,75.738058
-53975.0,1000,78.08007
-55768.0,1000,80.345326
-54470.0,1000,82.646825
-58529.0,1000,84.984351
-54030.0,1000,87.366848
-55515.0,1000,89.841974
-52666.0,1000,92.233088
-54030.0,1000,94.602697
-53051.0,1000,96.985998
-57352.0,1000,99.379829
-48431.0,1000,101.870707
-50466.0,1000,104.235601
-49036.0,1000,106.615615
-51731.0,1000,109.039401
-47749.0,1000,111.473111
-47089.0,1000,113.934716
-44823.0,1000,116.42683
-43789.0,1000,118.952019
-44867.0,1000,121.443139
-44306.0,1000,123.909029
-46539.0,1000,126.30946
-40896.0,1000,128.726672
-34417.0,1000,131.11469
-34164.0,1000,133.583892
-34087.0,1000,136.044907
-33691.0,1000,138.527311
-32063.0,1000,140.992872
-34175.0,1000,143.445698
-31777.0,1000,145.935708
-31711.0,1000,148.473233
-31953.0,1000,150.977072
-28400.0,1000,153.488637
-30919.0,1000,155.989468
-30809.0,1000,158.501815
-27311.0,1000,161.055751
-27124.0,1000,163.61356
-30809.0,1000,166.171975
-32096.0,1000,168.726985
-25903.0,1000,171.338083
-29632.0,1000,173.87655
-26959.0,1000,176.41377
-29555.0,1000,178.933928
-27685.0,1000,181.502724
-29005.0,1000,184.060828
-26266.0,1000,186.686124
-27498.0,1000,189.271016
