#{"t_start": 1762178192.4942498, "env_id": "None"}
r,l,t
-59354.0,1000,0.054028
-61312.0,1000,0.106624
-56384.0,1000,0.160003
-58628.0,1000,0.213835
-59728.0,1000,0.270288
-55196.0,1000,1.084261
-58045.0,1000,1.918498
-54701.0,1000,2.750673
-56065.0,1000,3.588166
-61290.0,1000,4.409712
-57858.0,1000,5.231746
-55515.0,1000,6.051725
-58364.0,1000,6.895255
-55009.0,1000,7.739961
-53832.0,1000,8.587315
-52831.0,1000,9.453204
-53612.0,1000,10.326558
-51588.0,1000,11.197462
-48816.0,1000,12.078556
-51049.0,1000,12.970399
-42392.0,1000,13.859079
-41567.0,1000,14.759741
-45604.0,1000,15.662133
-38641.0,1000,16.578058
-39180.0,1000,17.492939
-39147.0,1000,18.405842
-39411.0,1000,19.335516
-38509.0,1000,20.280809
-38223.0,1000,21.212295
-32932.0,1000,22.163571
-30281.0,1000,23.134011
-34307.0,1000,24.110788
-32547.0,1000,25.107538
-32866.0,1000,26.106089
-30303.0,1000,27.117085
-30776.0,1000,28.14254
-28246.0,1000,29.17348
-29412.0,1000,30.195708
-30556.0,1000,31.233841
-29049.0,1000,32.297463
-25100.0,1000,33.377131
-25793.0,1000,34.442258
-21745.0,1000,35.453072
-21844.0,1000,36.495954
-21437.0,1000,37.546065
-22658.0,1000,38.600096
-24484.0,1000,39.662978
-17664.0,1000,40.7305
-18907.0,1000,41.804302
-17829.0,1000,42.871988
-18555.0,1000,43.950041
-16267.0,1000,45.041517
-14496.0,1000,46.133827
-13649.0,1000,47.251865
-16135.0,1000,48.382708
-15827.0,1000,49.509991
-14573.0,1000,50.634468
-10085.0,1000,51.775261
-10316.0,1000,52.913567
-12131.0,1000,54.084364
-11262.0,1000,55.367841
-11163.0,1000,56.698885
-9887.0,1000,57.883797
-8677.0,1000,59.122036
-8556.0,1000,60.383168
-12065.0,1000,61.583055
-7962.0,1000,62.731277
-11647.0,1000,63.880789
-9128.0,1000,65.020723
-9788.0,1000,66.159471
-11273.0,1000,67.314276
-10085.0,1000,68.460672
-11262.0,1000,69.592291
-8897.0,1000,70.72271
-11834.0,1000,71.860024
-9315.0,1000,72.994856
-9832.0,1000,74.130449
-12637.0,1000,75.264393
-8754.0,1000,76.403777
-8402.0,1000,77.554956
-9436.0,1000,78.70704
-10404.0,1000,79.859405
-10536.0,1000,81.067375
-8204.0,1000,82.240725
-11746.0,1000,83.426003
-8864.0,1000,84.755767
-9216.0,1000,85.928621
-10855.0,1000,87.087621
-10008.0,1000,88.273459
-8358.0,1000,89.446473
-10976.0,1000,90.630002
-10877.0,1000,91.800277
-9777.0,1000,92.947317
-13451.0,1000,94.094237
-10745.0,1000,95.261441
-10041.0,1000,96.426255
-10140.0,1000,97.578604
-10547.0,1000,98.727257
-9711.0,1000,99.870386
-10437.0,1000,101.011167
-8765.0,1000,102.172006
-12252.0,1000,103.326909
-9524.0,1000,104.535023
-11295.0,1000,105.735517
-10338.0,1000,106.94832
-8732.0,1000,108.109374
-10305.0,1000,109.24979
-9326.0,1000,110.402668
-11504.0,1000,111.568916
-9557.0,1000,112.726085
-9623.0,1000,113.88426
-11031.0,1000,115.029945
-8699.0,1000,116.201708
-9337.0,1000,117.366196
-8886.0,1000,118.536488
-9293.0,1000,119.714703
-11295.0,1000,120.871577
-10129.0,1000,122.018101
-8325.0,1000,123.162511
-9227.0,1000,124.302658
-10371.0,1000,125.455268
-9854.0,1000,126.568463
-9414.0,1000,127.684913
-10404.0,1000,128.788026
-8589.0,1000,129.888223
-9964.0,1000,130.990076
-9579.0,1000,132.092813
-8677.0,1000,133.194583
-11482.0,1000,134.296138
-10162.0,1000,135.418843
-10525.0,1000,136.522576
-9733.0,1000,137.629046
-11977.0,1000,138.747321
-11405.0,1000,139.901181
-9887.0,1000,141.065298
-7126.0,1000,142.262216
-9634.0,1000,143.429047
-7918.0,1000,144.590678
-11295.0,1000,145.735932
-9843.0,1000,146.879669
-8545.0,1000,148.033473
-6356.0,1000,149.176278
-9843.0,1000,150.328137
-8974.0,1000,151.508317
-10525.0,1000,152.648473
-8446.0,1000,153.819884
-10646.0,1000,154.967254
-10536.0,1000,156.109321
-10844.0,1000,157.262973
-9315.0,1000,158.443866
-11856.0,1000,159.629011
-9106.0,1000,160.792018
-8875.0,1000,161.938065
-7764.0,1000,163.115788
-11625.0,1000,164.300623
-8864.0,1000,165.461578
-10228.0,1000,166.612565
-12989.0,1000,167.751229
-10734.0,1000,168.893273
-9656.0,1000,170.036947
-10393.0,1000,171.185283
-9568.0,1000,172.342475
-7203.0,1000,173.501109
-10426.0,1000,174.648561
-9392.0,1000,175.792996
-9667.0,1000,176.94985
-10932.0,1000,178.098453
-10921.0,1000,179.241987
-12307.0,1000,180.391719
-7192.0,1000,181.543117
-9898.0,1000,182.70697
-12164.0,1000,183.860065
-7918.0,1000,185.0099
-7379.0,1000,186.158914
-10327.0,1000,187.346636
-10624.0,1000,188.493592
-10987.0,1000,189.640954
-9007.0,1000,190.784066
-12846.0,1000,191.922759
-9854.0,1000,193.085769
-11845.0,1000,194.259901
-12868.0,1000,195.400931
-11086.0,1000,196.540905
-10426.0,1000,197.687969
-12230.0,1000,198.836636
-10459.0,1000,199.97955
-9315.0,1000,201.124292
-9238.0,1000,202.269884
-8875.0,1000,203.41917
-8490.0,1000,204.559114
-8776.0,1000,205.708861
-10283.0,1000,206.862467
-10503.0,1000,208.008523
-8985.0,1000,209.152806
-10657.0,1000,210.293706
-8963.0,1000,211.43685
-12615.0,1000,212.682502
-8094.0,1000,213.939826
-10855.0,1000,215.164759
-10646.0,1000,216.334634
-9755.0,1000,217.656042
-12076.0,1000,218.799539
-12175.0,1000,219.955122
-8270.0,1000,221.114449
-10503.0,1000,222.26816
-10206.0,1000,223.4102
-9535.0,1000,224.546751
-10580.0,1000,225.690475
-10536.0,1000,226.865988
-11317.0,1000,228.010655
-12054.0,1000,229.166926
-12505.0,1000,230.299903
-9656.0,1000,231.440824
-9117.0,1000,232.581922
-9337.0,1000,233.765064
-11218.0,1000,235.028976
-12263.0,1000,236.192469
-10767.0,1000,237.348517
-13088.0,1000,238.495217
-10767.0,1000,239.63304
-8930.0,1000,240.772383
-9524.0,1000,241.970927
-10976.0,1000,243.27052
-10514.0,1000,244.434469
-11251.0,1000,245.599796
-11757.0,1000,246.803411
-8765.0,1000,247.965397
-10074.0,1000,249.104492
-9909.0,1000,250.247877
-11405.0,1000,251.383291
-9975.0,1000,252.530163
-9986.0,1000,253.733955
-7896.0,1000,254.910378
-11636.0,1000,256.055926
-12186.0,1000,257.208961
-9524.0,1000,258.357217
-8017.0,1000,259.502104
-9799.0,1000,260.684952
-8776.0,1000,261.93197
-9777.0,1000,263.205289
-9788.0,1000,264.423898
-8314.0,1000,265.627661
-7885.0,1000,266.776989
-10305.0,1000,267.915022
-8842.0,1000,269.126884
-9392.0,1000,270.335079
-8897.0,1000,271.512287
-8974.0,1000,272.744294
-10987.0,1000,273.92918
-8281.0,1000,275.076752
-9205.0,1000,276.232613
-9909.0,1000,277.388391
-7423.0,1000,278.535668
-11394.0,1000,279.760875
-11196.0,1000,280.961057
-7764.0,1000,282.182462
-10140.0,1000,283.358754
-10503.0,1000,284.531034
-11724.0,1000,285.692486
-10591.0,1000,286.86091
-10327.0,1000,287.975839
-7907.0,1000,289.117925
-9425.0,1000,290.262182
-10327.0,1000,291.407197
-10371.0,1000,292.550604
-10503.0,1000,293.709988
-10129.0,1000,294.866074
-9436.0,1000,296.017719
-9425.0,1000,297.165293
-10767.0,1000,298.304449
-9656.0,1000,299.429062
-12098.0,1000,300.567883
-6972.0,1000,301.71094
-10558.0,1000,302.846503
-10866.0,1000,304.070173
-7346.0,1000,305.254169
-8325.0,1000,306.429371
-10096.0,1000,307.603283
-11746.0,1000,308.776445
-10294.0,1000,309.925563
-10536.0,1000,311.049585
-10679.0,1000,312.188925
-9997.0,1000,313.340493
-9656.0,1000,314.503256
-10008.0,1000,315.644917
-8776.0,1000,316.744068
-9986.0,1000,317.984909
-9216.0,1000,319.207635
-11845.0,1000,320.372549
-11119.0,1000,321.730571
-11647.0,1000,323.02781
-9205.0,1000,324.188076
-7434.0,1000,325.348237
-8941.0,1000,326.527296
-10756.0,1000,327.718249
-12285.0,1000,328.86814
-9370.0,1000,330.042593
-10514.0,1000,331.196054
-9755.0,1000,332.40458
-8556.0,1000,333.610284
