#{"t_start": 1762482817.8953187, "env_id": "CartPole-v1"}
r,l,t
9.0,9,0.01179
12.0,12,0.019988
12.0,12,0.027365
9.0,9,0.033432
10.0,10,0.039808
12.0,12,0.047919
9.0,9,0.054105
9.0,9,0.060574
10.0,10,0.067208
11.0,11,0.074099
9.0,9,0.080287
8.0,8,0.086044
9.0,9,0.092261
9.0,9,0.099045
9.0,9,0.105109
8.0,8,0.110798
10.0,10,0.117719
8.0,8,0.123478
9.0,9,0.129968
10.0,10,0.137065
9.0,9,0.177999
8.0,8,0.217285
8.0,8,0.257843
10.0,10,0.305635
9.0,9,0.350026
8.0,8,0.389292
10.0,10,0.439962
9.0,9,0.485354
10.0,10,0.535166
9.0,9,0.579354
35.0,35,0.75208
10.0,10,0.802948
12.0,12,0.863851
17.0,17,0.949066
10.0,10,0.998459
17.0,17,1.080212
11.0,11,1.132331
13.0,13,1.19693
18.0,18,1.287462
12.0,12,1.346473
13.0,13,1.409968
12.0,12,1.469959
12.0,12,1.53173
11.0,11,1.587697
10.0,10,1.638928
9.0,9,1.684183
10.0,10,1.739908
10.0,10,1.791413
10.0,10,1.841917
10.0,10,1.893708
10.0,10,1.946336
8.0,8,1.985876
9.0,9,2.032962
12.0,12,2.094919
10.0,10,2.143362
10.0,10,2.195113
9.0,9,2.241031
9.0,9,2.288502
10.0,10,2.338908
11.0,11,2.394783
10.0,10,2.444691
13.0,13,2.511085
10.0,10,2.560807
11.0,11,2.61546
9.0,9,2.6609
10.0,10,2.709807
10.0,10,2.759018
10.0,10,2.80962
10.0,10,2.859003
9.0,9,2.90509
11.0,11,2.958312
9.0,9,3.001793
10.0,10,3.050234
9.0,9,3.095071
9.0,9,3.140015
10.0,10,3.18691
8.0,8,3.22528
11.0,11,3.280567
12.0,12,3.337748
9.0,9,3.382044
9.0,9,3.429252
9.0,9,3.47146
10.0,10,3.518904
11.0,11,3.571051
12.0,12,3.630618
9.0,9,3.675287
9.0,9,3.718756
10.0,10,3.767059
11.0,11,3.820881
9.0,9,3.865372
10.0,10,3.91538
9.0,9,3.960447
9.0,9,4.007289
