#{"t_start": 1762479687.7677386, "env_id": "None"}
r,l,t
-97.9,1000,0.601095
-101.6,1000,1.205315
-98.9,1000,1.807157
-101.0,1000,2.406043
-101.6,1000,3.020336
-99.6,1000,3.661091
-97.4,1000,4.272069
-100.6,1000,4.878879
-102.3,1000,5.483644
-101.2,1000,6.102986
-99.8,1000,6.690213
-102.2,1000,7.285243
-99.6,1000,7.892277
-102.1,1000,8.513875
-100.7,1000,9.169146
-100.3,1000,9.809467
-101.3,1000,10.44142
-100.5,1000,11.06116
-100.0,1000,11.686503
-101.8,1000,12.306558
-75.2,1000,23.84421
-30.0,1000,35.101596
-29.8,1000,46.358308
-2.47,137,47.958997
-15.49,639,55.177261
-8.26,346,59.102829
-2.08,108,60.281759
-25.97,927,70.258709
-1.91,141,71.821363
-12.89,579,78.036266
-0.85,95,78.970266
-18.4,860,87.492445
-7.63,433,92.12132
-7.46,426,96.661168
-7.1,410,100.99515
-20.1,1000,111.393261
-10.39,549,116.907309
-11.74,654,123.641545
-16.46,926,133.323875
-2.62,182,135.204123
-11.39,569,140.947295
-9.06,466,145.673251
-12.25,635,152.157437
-8.63,493,157.239061
-3.91,241,159.704478
-2.16,176,161.485991
-1.68,148,163.005028
-22.9,1000,173.025957
-5.44,284,175.85776
-1.4,120,176.950386
-7.12,352,180.411566
-0.44,84,181.193903
0.05,65,181.801553
-7.83,433,185.9894
-9.66,426,190.146606
-3.65,195,192.053771
-2.65,155,193.550572
-1.4,160,195.076703
-5.25,295,197.879596
-3.52,192,199.733252
-11.68,508,204.363725
0.66,34,204.695055
-0.59,69,205.356216
0.5,30,205.645293
-1.93,143,206.946579
-0.42,82,207.692183
-1.25,95,208.57966
-5.93,323,211.496901
0.04,56,211.98976
-4.7,270,214.377391
-2.82,142,215.597241
-2.6,200,217.356883
-0.97,107,218.329573
-0.14,74,218.986911
-7.76,416,222.589699
-3.95,245,224.819895
-8.24,404,228.44084
-0.48,68,229.063821
-2.28,188,230.72059
-1.96,136,231.879877
-1.43,113,232.863282
-2.95,185,234.462202
-6.41,291,237.088752
-8.69,399,240.677622
-2.25,175,242.245945
-3.26,186,243.799833
-14.3,670,249.1901
-5.75,285,251.647118
-5.46,266,253.929287
-19.1,1000,262.465519
-12.78,598,267.457114
-3.96,276,269.73754
-0.11,81,270.377833
-12.37,607,275.270913
-1.47,97,276.031075
-0.13,63,276.552962
-2.27,137,277.720814
-3.71,241,279.762573
-1.7,150,281.078849
-5.49,339,283.925352
-9.03,413,287.473201
-1.0,100,288.339694
-6.62,402,291.812733
-1.61,131,292.864368
-4.02,242,294.943584
-3.48,188,296.415558
-2.35,145,297.649763
0.42,38,297.972917
0.51,39,298.306297
-1.57,107,299.200628
-4.76,256,301.105623
-1.2,100,301.882236
-0.04,64,302.415992
-4.73,243,304.399812
-1.41,111,305.312691
-2.85,195,306.895747
-3.65,215,308.630428
-2.28,128,309.650159
-3.51,161,310.934068
-5.71,301,313.263051
-7.97,367,316.206197
-11.57,487,320.003159
-3.52,192,321.513154
-6.27,317,323.963642
-1.03,113,324.807566
-2.31,161,325.964491
0.7,30,326.199797
0.29,41,326.519538
-4.0,240,328.368066
-0.12,52,328.759864
-5.37,267,330.740176
-1.74,114,331.515864
0.09,41,331.816389
-6.61,331,334.071455
-13.78,618,338.419538
-4.25,195,339.908227
-16.99,889,346.39318
-8.93,463,349.897958
-16.9,830,356.079392
-7.25,395,358.739799
0.26,34,358.974698
0.05,45,359.262355
-9.74,494,362.828743
-4.18,218,364.231745
-1.26,126,365.152369
-7.22,382,368.015233
-1.31,141,369.070471
-0.27,77,369.630341
-20.45,895,376.149802
-8.59,429,379.321562
-5.31,281,381.362348
-0.13,83,381.982895
-1.38,138,382.945186
-6.45,335,385.312668
-2.63,173,386.51041
-19.51,821,391.939475
-22.43,973,398.987445
-6.64,364,401.705677
-12.58,558,405.887711
-4.62,242,407.714779
-5.82,242,409.511623
-2.71,181,410.85613
-11.65,515,414.687437
-24.74,794,420.618818
-25.7,1000,428.128788
-18.59,789,433.890047
-24.5,1000,441.238512
-6.74,294,443.220245
-7.24,304,445.321252
-4.74,274,447.46082
-11.8,480,451.11341
-0.19,49,451.481373
-9.61,431,454.63257
-12.2,500,458.402419
-16.04,704,463.872884
-8.99,409,467.062181
-14.83,633,471.719117
-27.9,1000,478.79073
-2.51,181,480.052242
-9.03,373,482.623131
-0.93,63,483.142869
-1.04,64,483.639085
-6.26,326,486.086333
-4.61,251,487.979761
-0.46,106,488.76725
-5.63,293,490.928679
-1.15,105,491.729331
-1.65,135,492.815558
-11.24,504,496.783708
-1.18,118,497.731797
-6.14,254,499.733821
0.47,43,500.084686
0.12,48,500.474837
-0.05,75,501.055784
-0.94,114,501.960788
-4.18,198,503.505213
-4.06,166,504.818833
0.2,40,505.133037
0.17,33,505.396632
-3.38,198,506.946104
-1.94,134,507.991205
-0.83,73,508.562211
0.1,50,508.973145
-2.7,130,509.97848
0.5,30,510.216028
-2.39,169,511.522165
0.14,46,511.879385
-4.0,240,513.743333
-5.67,257,515.726489
-0.98,98,516.488223
-1.08,88,517.175065
-3.58,118,518.069654
-2.43,133,519.094383
-1.49,119,519.990064
-0.5,90,520.660334
-9.76,516,524.502548
0.25,45,524.848594
-1.08,108,525.648038
-25.5,850,531.29955
-5.0,240,533.018499
0.23,47,533.363167
-9.47,397,536.229502
-4.22,142,537.223584
-4.24,184,538.475945
0.78,22,538.63777
-25.67,497,542.480604
-7.11,281,544.654335
-0.13,63,545.130568
0.26,34,545.392589
-1.63,113,546.260851
-0.98,78,546.891846
-0.31,41,547.208459
0.42,38,547.501866
-1.34,74,548.017569
-2.66,146,548.985876
-1.96,116,549.742648
-0.93,83,550.296603
0.4,40,550.612548
-1.42,82,551.237124
-27.88,448,554.534678
0.26,34,554.802555
0.3,50,555.191783
-4.99,109,556.00543
-3.49,139,557.047196
-0.37,67,557.562961
-0.41,51,557.940667
-3.62,122,558.869771
-1.82,122,559.789724
0.52,28,560.008851
-0.21,51,560.391641
-0.19,49,560.749516
-0.12,32,560.982546
-5.87,137,562.000436
0.17,33,562.247252
0.5,30,562.47178
0.17,53,562.848604
-4.61,211,564.362653
-1.47,97,565.103101
-5.6,160,566.248821
0.24,36,566.49724
0.53,37,566.746633
-0.26,46,567.062311
-0.23,53,567.430298
-1.06,86,568.01004
-1.76,116,568.841884
-0.84,84,569.448638
-0.21,51,569.819265
-1.71,121,570.666943
-0.08,48,571.006832
-6.75,185,572.308784
0.1,50,572.667079
0.28,52,573.047348
-0.11,41,573.337414
-0.0,40,573.619879
-7.13,283,575.615142
-0.22,62,576.042073
0.57,33,576.273612
-4.5,190,577.580459
-10.65,455,580.698298
0.09,41,580.981663
-3.94,194,582.083493
-0.27,77,582.522942
0.13,37,582.734239
-2.74,154,583.614595
-1.2,100,584.201576
0.5,30,584.381087
-1.09,79,584.817206
-0.7,50,585.104261
-0.38,58,585.440152
-5.43,213,586.637911
-0.1,50,586.917554
0.31,39,587.132164
-0.82,62,587.478222
-4.83,193,588.560307
-3.35,145,589.411546
-15.81,531,592.523088
-1.51,101,593.119369
-0.18,38,593.353531
-1.87,97,593.909839
-1.36,76,594.353236
-26.47,677,598.377927
-0.03,33,598.614643
-3.84,144,599.593646
0.83,27,599.78047
-2.84,124,600.632186
-0.2,60,601.035645
-4.88,168,602.181947
-2.05,95,602.835851
-0.25,55,603.213415
-1.74,114,603.996395
-3.65,135,604.908265
-5.54,294,606.897913
-0.56,56,607.288661
-2.03,93,607.929061
-0.06,46,608.246641
-0.72,92,608.864846
-2.65,75,609.37666
0.39,31,609.587188
-0.4,60,609.999791
-0.92,92,610.622799
0.59,31,610.81747
-2.51,121,611.620047
-20.75,345,613.627954
-21.45,335,615.779664
-101.2,1000,621.938491
-79.8,840,627.589512
-58.69,679,632.13585
-0.33,63,632.577864
-49.96,576,636.408765
-10.83,213,637.861872
-1.13,63,638.227835
-1.71,81,638.683582
-13.01,291,640.51611
-1.13,103,641.211776
-32.57,427,643.921712
0.35,35,644.131778
0.59,31,644.318256
-1.99,109,644.965008
-19.51,281,646.813979
-3.55,145,647.80722
-2.49,139,648.771551
0.26,54,649.134469
-2.65,135,650.068513
-10.13,283,652.010231
-3.62,122,652.806453
-7.17,187,654.035193
-3.87,177,655.238346
-3.17,167,656.370072
-3.33,163,657.410741
-2.48,108,658.108944
-4.1,170,659.248793
-5.8,240,660.942248
-14.8,320,663.126149
-1.91,141,664.015726
-17.95,425,666.834594
-3.01,91,667.477622
-1.58,98,668.167556
-5.19,189,669.479187
0.33,37,669.738848
-2.01,71,670.233094
-0.54,54,670.610787
0.53,37,670.875542
-10.78,318,672.887445
-2.67,137,673.842082
-2.28,108,674.584088
-1.68,108,675.33555
-1.32,92,675.991884
-23.44,344,678.362253
0.31,39,678.641419
-3.86,166,679.679039
-10.14,294,681.495742
-4.18,118,682.305498
