#{"t_start": 1764295767.7220695, "env_id": "None"}
r,l,t
-15.9,200,0.081552
-16.0,200,0.158577
-16.5,200,0.230724
-18.2,200,0.30283
-17.2,200,0.375227
-16.2,200,0.453987
-16.9,200,0.575494
-16.3,200,0.689443
-15.2,200,0.793019
-17.6,200,0.888282
-15.7,200,0.968394
-15.6,200,1.048622
-15.6,200,1.125215
-16.8,200,1.206051
-17.1,200,1.283518
-16.0,200,1.363809
-15.8,200,1.447834
-15.9,200,1.533841
-17.5,200,1.610136
-18.0,200,1.695187
-16.9,200,2.914337
-13.2,200,4.192165
-3.5,200,5.411402
-3.7,200,6.532987
-3.4,200,7.598273
-2.5,200,8.677415
-2.7,200,9.743369
-2.7,200,10.788964
-2.2,200,11.834966
-2.2,200,12.943293
-2.6,200,14.067311
-2.2,200,15.134734
-2.3,200,16.196294
-2.0,200,17.247442
-2.3,200,18.292192
-2.2,200,19.324201
-18.0,200,20.371064
-2.2,200,21.414488
-2.1,200,22.462296
-2.2,200,23.534929
-2.1,200,24.611314
-2.2,200,25.468211
-2.2,200,26.521516
-2.4,200,27.64012
-2.5,200,28.521861
-2.2,200,29.58072
-2.3,200,30.678012
-2.3,200,31.713401
-2.0,200,32.784978
-2.3,200,33.838731
-2.3,200,34.954783
-2.5,200,35.984456
-2.4,200,37.070861
-2.2,200,38.056954
-2.1,200,39.16433
-2.0,200,40.249297
-2.4,200,41.374524
-2.7,200,42.483159
-2.1,200,43.601506
-2.2,200,44.733561
-2.1,200,45.8166
-2.2,200,46.925687
-2.4,200,48.036552
-2.2,200,49.158941
-2.1,200,50.275003
-2.3,200,51.381629
-2.1,200,52.573557
-2.0,200,53.646723
-2.3,200,54.701177
-2.5,200,55.756396
-2.1,200,56.808618
-2.1,200,57.875664
-2.7,200,58.928021
-2.1,200,59.970701
0.63,27,60.113032
-2.1,200,61.161955
-2.3,200,62.225929
-1.69,189,63.369042
-0.45,55,63.702281
-1.52,172,64.738096
0.45,25,64.890614
0.02,88,65.420675
-2.4,200,66.498048
-2.6,200,67.524889
-2.1,200,68.55278
-2.4,200,69.589133
-2.3,200,70.629199
0.53,27,70.774062
-2.2,200,71.809958
-0.45,115,72.476411
-2.4,200,73.633562
-2.5,200,74.833597
-3.2,200,76.035624
-0.35,75,76.44162
-3.5,200,77.495928
-2.0,200,78.531652
-2.4,200,79.563888
-2.3,200,80.581086
-2.0,200,81.605058
-2.4,200,82.632617
-2.3,200,83.687734
-2.0,200,84.733693
-2.4,200,85.762143
-2.0,200,86.796695
-2.1,200,87.844235
-2.2,200,88.886304
-2.0,200,89.934539
-2.4,200,90.987684
-2.5,200,92.049875
-2.3,200,93.082757
-2.5,200,94.128754
-2.5,200,95.177098
-0.18,58,95.489244
-2.3,200,96.528261
-2.2,200,97.583256
-2.0,200,98.631347
-2.2,200,99.674605
-2.4,200,100.737241
-1.7,180,101.680235
-2.3,200,102.72931
-2.3,200,103.768773
-2.2,200,104.810794
-2.1,200,105.851584
-2.2,200,106.908411
-2.7,200,107.962863
-2.2,200,109.01573
-2.4,200,110.064775
-2.6,200,111.105973
-2.2,200,112.163712
-2.2,200,113.20786
0.91,9,113.256169
-0.61,111,113.833623
-2.53,193,114.83659
-1.24,104,115.37817
-0.54,84,115.811252
-0.36,96,116.265507
-2.3,200,117.291852
0.88,12,117.355112
-0.06,66,117.696684
-2.26,196,118.706621
-1.49,119,119.324548
-3.0,200,120.158077
0.73,17,120.23267
0.18,32,120.36788
0.22,28,120.508721
-0.8,80,120.901309
-4.0,200,121.955663
-4.6,200,122.993524
-3.7,200,124.028702
-2.7,200,125.056708
-2.2,200,126.090556
-3.7,200,127.124769
-0.03,43,127.365243
0.95,15,127.445303
-1.24,114,128.03409
-3.5,200,128.912802
-3.6,200,129.735195
-2.7,200,130.562438
-3.4,200,131.420957
-1.75,145,132.021729
0.86,14,132.081876
0.03,57,132.318221
-2.6,200,133.139636
-3.1,200,133.959931
-9.4,200,134.781751
0.87,13,134.838475
-2.8,200,135.654101
-3.5,200,136.506696
-2.4,200,137.330832
-2.4,200,138.312516
-0.22,72,138.682194
-2.1,200,139.652596
-2.4,200,140.627311
-3.3,200,141.65029
-1.05,195,142.619426
-2.4,200,143.456601
-2.5,200,144.410597
-2.8,200,145.430986
0.86,14,145.506404
0.34,76,145.898254
-2.7,200,146.939931
-2.1,200,148.091778
-2.4,200,149.240252
-0.22,102,149.783319
-3.11,101,150.309894
-2.2,200,151.348105
-2.5,200,152.39453
-3.0,200,153.41252
