#{"t_start": 1764223087.5396452, "env_id": "None"}
r,l,t
-16.7,200,0.129782
-17.0,200,0.253439
-16.7,200,0.381455
-14.6,200,0.507167
-16.5,200,0.641847
-16.4,200,0.769211
-17.4,200,0.898461
-15.6,200,1.032079
-15.5,200,1.162479
-16.0,200,1.288819
-15.6,200,1.415538
-16.0,200,1.543763
-16.2,200,1.674447
-15.6,200,1.803494
-16.8,200,1.938977
-13.3,200,2.067296
-16.1,200,2.200043
-18.0,200,2.330231
-16.6,200,2.45624
-16.9,200,2.584398
-4.3,200,3.96481
-3.4,200,5.359485
-3.3,200,6.752998
-4.6,200,8.105364
-6.8,200,9.461537
-2.9,200,10.856867
-2.8,200,12.263091
-2.8,200,13.678349
-2.7,200,15.077959
-2.4,200,16.468076
-2.3,200,17.837449
-2.4,200,19.212842
-2.4,200,20.600547
-2.5,200,21.984875
-2.4,200,23.387001
-2.3,200,24.766108
-0.46,106,25.495615
-2.3,200,26.845817
-2.7,200,28.196233
-2.4,200,29.588048
-2.3,200,30.971657
-0.76,46,31.296463
-2.3,200,32.682902
-2.4,200,34.070676
-2.7,200,35.438719
-2.9,200,36.81892
-2.5,200,38.212681
-2.4,200,39.620564
-2.6,200,41.034627
-2.9,200,42.43925
-3.6,200,43.821218
-2.8,200,45.172179
-2.8,200,46.568923
-2.8,200,47.956643
-2.5,200,49.343461
-2.6,200,50.753687
-2.6,200,52.162703
-2.3,200,53.548306
-0.99,149,54.546912
-2.7,200,55.924212
-2.4,200,57.325857
-2.2,200,58.709205
-2.6,200,60.102338
-2.3,200,61.482112
-2.0,200,62.838055
-2.9,200,64.195457
-2.4,200,65.58517
-3.2,200,66.979614
-2.3,200,68.366407
-2.5,200,69.760677
-2.3,200,71.095783
-2.5,200,72.462263
-2.1,200,73.835214
-2.2,200,75.237783
-2.7,200,76.637422
-2.6,200,78.034124
-2.3,200,79.416774
-2.5,200,80.819201
-2.3,200,82.189718
-2.4,200,83.575871
-2.7,200,84.977343
-2.3,200,86.352561
-2.4,200,87.758416
-2.2,200,89.159553
-2.0,200,90.559018
-2.6,200,91.942026
-2.4,200,93.338545
-2.3,200,94.736316
-2.7,200,96.137629
-2.1,200,97.546638
-2.2,200,98.9525
-2.3,200,100.350914
-2.7,200,101.718613
-2.2,200,103.12981
-2.3,200,104.545049
-2.2,200,105.960955
-2.1,200,107.353032
-2.3,200,108.754517
-2.6,200,109.999807
-2.3,200,111.046398
-2.1,200,112.236438
-2.2,200,113.565054
-2.5,200,114.7205
-2.3,200,115.877549
-2.1,200,117.248177
-2.1,200,118.651782
-2.5,200,120.018031
-0.91,151,121.052346
-2.1,200,122.44952
-2.4,200,123.854754
-2.1,200,125.258755
0.52,48,125.601438
-2.3,200,126.9958
-2.5,200,128.386323
-2.4,200,129.71658
-1.02,122,130.559838
-2.2,200,131.96735
-2.4,200,133.366997
-2.5,200,134.764142
-2.3,200,136.15663
-2.1,200,137.539308
-2.5,200,138.912097
-2.0,200,140.29891
-2.2,200,141.704972
-2.2,200,143.093775
-2.1,200,144.498521
-3.8,200,145.896699
0.82,28,146.098481
-3.6,200,147.470444
-2.2,200,148.842488
-2.0,200,150.255723
-2.8,200,151.658958
-5.3,200,153.065607
-4.0,200,154.474986
-2.3,200,155.855412
-2.4,200,157.220158
-2.9,200,158.599469
-2.5,200,159.994405
-2.2,200,161.402194
-2.6,200,162.818985
-2.4,200,164.227704
-3.1,200,165.556455
-2.3,200,166.808984
-2.2,200,168.190146
-2.7,200,169.598751
-2.0,200,171.016614
-2.7,200,172.424255
-2.3,200,173.826157
-2.1,200,175.217648
-2.1,200,176.592607
-2.6,200,177.97212
-1.45,175,179.186074
-2.2,200,180.589174
-2.2,200,181.971854
-2.3,200,183.383394
-2.3,200,184.771749
-2.4,200,186.150898
-2.47,167,187.317631
-2.0,200,188.720067
-3.5,200,190.13033
-2.3,200,191.538384
-2.2,200,192.956011
-2.7,200,194.35113
-2.2,200,195.753713
-2.4,200,197.201814
-2.4,200,198.645085
-2.5,200,200.106874
-2.5,200,201.527994
-2.2,200,202.929781
-2.2,200,204.308521
-3.7,200,205.696033
-2.5,200,207.063247
-2.3,200,208.465715
-2.8,200,209.872437
-2.4,200,211.273651
-2.6,200,212.657649
-3.0,200,214.032415
-3.0,200,215.434758
-2.1,200,216.853639
-2.5,200,218.262167
-2.0,200,219.688272
-2.3,200,221.105391
-2.3,200,222.508133
-2.6,200,223.898627
-2.1,200,225.312768
-2.7,200,226.758817
-2.1,200,228.176219
-2.3,200,229.593865
-2.4,200,230.997763
-2.3,200,232.381717
-2.0,200,233.780284
-2.9,200,235.191054
-2.6,200,236.595544
-2.2,200,237.99234
-2.6,200,239.385984
-2.4,200,240.77679
-3.1,200,242.159617
-0.53,123,243.01281
-2.4,200,244.409346
-1.4,200,245.8115
-2.2,200,247.231869
-3.2,200,248.640436
-2.6,200,250.009251
-2.1,200,251.388263
-2.3,200,252.790273
-2.5,200,254.211316
-2.0,200,255.613261
-2.2,200,257.007977
-2.0,200,258.39935
-2.0,200,259.787349
-2.1,200,261.17516
-2.1,200,262.579592
-0.42,112,263.366993
-2.2,200,264.769817
-2.1,200,266.178055
-2.0,200,267.577229
0.19,81,268.138422
-2.0,200,269.516031
-2.0,200,270.91608
-2.7,200,272.322017
-2.5,200,273.720673
-2.2,200,275.126576
-2.1,200,276.498159
-2.1,200,277.884276
-0.13,93,278.396933
0.26,64,278.731736
-2.2,200,279.850226
-3.0,200,281.089284
-2.3,200,282.508501
-2.4,200,283.916947
-2.0,200,285.322118
-2.4,200,286.722344
-2.2,200,288.108791
-2.2,200,289.514437
-2.4,200,290.909916
-2.1,200,292.303461
-2.3,200,293.700025
-2.5,200,295.113084
0.65,25,295.289654
