#{"t_start": 1764147618.263563, "env_id": "None"}
r,l,t
-87.2,1000,0.906995
-82.0,1000,1.841581
-83.4,1000,2.794616
-78.8,1000,3.7374
-83.7,1000,4.692114
-82.1,1000,5.620836
-84.6,1000,6.557959
-86.0,1000,7.522919
-81.6,1000,8.554984
-83.8,1000,9.480656
-83.1,1000,10.435114
-83.1,1000,11.38552
-84.3,1000,12.339303
-83.5,1000,13.29632
-84.2,1000,14.237337
-86.3,1000,15.163113
-84.4,1000,16.115502
-84.7,1000,17.058931
-83.0,1000,18.004177
-85.2,1000,18.997685
0.37,23,19.335647
-85.0,1000,32.731153
-33.6,1000,46.244707
-19.94,804,57.01061
0.1,40,57.581395
-0.1,50,58.265563
-4.06,256,61.589699
0.86,14,61.768051
-0.02,62,62.503813
-0.19,79,63.455185
-3.63,303,67.302146
-23.5,1000,79.84365
-13.8,1000,92.957195
0.29,51,93.725629
-3.31,271,97.392231
-16.8,1000,110.253581
-15.9,1000,122.668186
0.38,32,123.077715
-4.05,285,126.66919
-11.31,741,136.187866
-13.5,1000,148.748375
-3.93,273,152.100991
-13.0,1000,164.554698
0.77,13,164.730901
-12.3,1000,177.261602
-12.9,1000,189.676021
0.07,63,190.491959
-7.44,654,198.96797
-12.4,1000,211.251328
-2.88,298,214.976254
-9.29,799,224.807679
0.61,19,225.063565
-6.77,567,232.296744
-8.2,660,240.402608
-12.3,1000,252.940596
-0.74,124,254.610208
0.25,35,255.084525
0.39,31,255.488721
-11.3,1000,267.854464
-1.41,181,270.118544
-3.45,375,274.714571
-1.35,195,277.175438
-9.81,861,288.128364
-7.52,672,296.292631
-0.15,55,296.978619
-12.1,1000,309.175957
-3.51,361,313.557416
-0.38,118,315.024794
0.3,60,315.804577
-4.15,405,320.662496
0.72,18,320.91496
-6.28,578,327.725499
-5.31,521,334.153101
0.75,25,334.444146
-4.53,353,338.576224
-0.86,166,340.649052
-11.55,765,351.303315
-1.07,107,352.715994
-3.76,286,356.490927
-2.53,323,361.041308
-0.49,109,362.469538
0.52,58,363.190878
-1.82,162,365.146395
-0.99,159,367.063677
0.91,19,367.283336
-2.14,214,369.797691
-0.32,92,370.925003
-2.78,298,374.440751
-6.55,615,381.41579
0.48,32,381.772122
-1.25,195,383.945354
-2.53,293,387.09956
0.41,59,387.775743
-0.63,133,389.26798
-7.72,712,397.289337
-6.85,645,404.654029
-2.87,307,408.218368
0.88,22,408.469807
-1.43,203,410.755256
-2.93,253,413.637743
-6.32,572,420.168742
-4.51,351,423.977621
0.04,76,424.797808
0.47,43,425.293116
-0.73,153,426.98125
-0.55,115,428.229294
-5.17,387,432.465794
-3.52,302,435.670046
-0.52,132,437.144863
-2.83,263,440.085068
-1.68,168,441.960007
-2.91,321,445.415012
-7.78,528,451.022078
-0.7,90,451.99535
-3.74,354,455.944456
-1.55,195,457.975885
-0.64,64,458.651116
-1.8,180,460.505498
-0.72,122,461.824151
0.16,74,462.606271
-0.97,127,463.972322
-0.86,116,465.276853
0.17,83,466.122454
-5.61,491,471.20925
0.54,36,471.559796
0.52,28,471.835821
-0.86,156,473.350936
0.26,34,473.690979
-0.73,123,475.015751
-2.35,195,477.236596
-3.32,202,479.396188
0.43,37,479.842227
-2.29,169,481.508864
-0.43,43,481.946547
-1.06,146,483.414583
0.48,42,483.829324
-0.43,103,484.826324
-0.21,51,485.308175
0.06,44,485.726433
