#{"t_start": 1764244380.288566, "env_id": "None"}
r,l,t
-71.0,1000,1.045444
-77.8,1000,2.081908
-67.8,1000,3.120082
-66.3,1000,4.204271
-66.1,1000,5.233575
-69.1,1000,6.275756
-69.8,1000,7.341953
-67.7,1000,8.44666
-67.4,1000,9.501056
-73.7,1000,10.5502
-67.6,1000,11.622516
-66.6,1000,12.673917
-65.2,1000,13.712327
-63.3,1000,14.77743
-73.9,1000,15.865828
-78.6,1000,17.118982
-72.7,1000,18.174202
-66.3,1000,19.228474
-67.2,1000,20.264683
-70.1,1000,21.31828
-16.24,784,34.341048
-11.47,537,42.884058
-1.15,155,45.309655
-7.18,658,55.585159
-9.29,549,64.533496
-8.88,738,75.915997
-11.1,1000,91.553105
-6.22,662,101.697457
-11.8,1000,117.210435
-2.11,271,121.447583
-11.1,1000,137.051409
-12.9,1000,152.503238
-12.5,1000,168.18544
-6.36,606,177.434745
-9.01,891,193.759187
-2.52,352,199.495613
-11.1,1000,216.43619
-5.72,552,224.68831
-6.53,633,234.127947
-12.4,1000,249.202458
-12.7,1000,264.32226
-4.96,446,271.145475
-9.77,837,283.958662
-11.6,1000,299.112712
-0.5,110,300.773261
-6.98,678,311.483712
-5.43,463,318.650552
-0.61,121,320.507353
-2.51,241,324.140188
-4.35,435,330.738766
-1.42,152,332.885463
-0.48,158,335.259837
-0.35,105,336.851286
-3.74,384,342.601225
-4.76,416,348.589762
-13.2,1000,363.693573
-0.14,94,365.04161
-3.82,302,369.473082
-6.13,613,378.424688
-5.04,514,385.861984
-2.19,289,390.012795
-5.49,569,398.167669
-4.27,457,404.669275
-6.69,649,414.135663
-5.7,500,421.456735
-2.49,279,425.380383
-5.01,471,432.02801
-2.56,276,435.863085
-0.82,102,437.234388
-3.3,360,442.124171
-3.05,355,447.017306
-5.61,541,454.48066
-1.86,246,457.904541
-7.1,710,467.702487
-8.05,705,477.361526
-12.8,1000,491.310643
-0.77,137,493.152722
0.34,56,493.930372
-4.3,460,500.150041
-1.42,242,503.639748
-2.58,328,507.977698
-2.66,316,512.464087
0.66,44,513.055525
-3.18,308,517.194944
-3.81,361,522.149775
-0.18,118,523.739328
-0.59,139,525.621986
-0.23,83,526.804423
-4.44,474,533.048685
-0.87,147,535.163063
-4.71,441,541.108773
-10.76,776,551.403225
-2.77,337,555.742412
-1.36,176,558.077886
-2.87,317,562.353723
-0.06,106,563.687157
-6.62,522,570.779922
-3.99,429,576.413053
-2.51,331,580.782828
-2.04,214,583.518416
-0.95,145,585.408995
-3.05,305,589.388808
-3.09,179,591.746316
0.01,99,593.089555
-3.34,314,596.991903
-0.66,156,598.99592
0.1,90,600.153568
0.19,81,601.195119
-0.47,87,602.428595
-0.37,127,604.086153
0.84,26,604.444388
0.64,46,605.007847
-2.88,248,607.903636
-0.23,93,609.054893
-0.29,89,610.149152
-0.25,75,611.068666
0.93,17,611.271978
-0.4,70,612.112094
-2.07,207,614.691921
-4.71,371,619.248498
-0.84,144,621.033943
-7.81,421,626.064627
-39.57,807,635.811808
-7.8,140,637.499422
-0.68,58,638.221072
-7.72,302,641.961408
-0.46,66,642.809698
-9.99,429,647.91862
-15.68,878,658.271737
0.28,52,658.890827
-1.25,165,660.953193
-1.04,134,662.689515
0.12,68,663.464026
-9.44,694,671.680358
-1.67,177,673.784765
-1.62,182,675.956728
-0.86,166,678.019129
-2.22,232,680.676087
0.7,30,681.04433
-1.3,140,682.593127
0.04,66,683.342993
-3.82,322,686.977836
-1.25,185,689.058803
-9.68,628,696.420286
-0.87,137,698.055233
0.53,37,698.487483
0.2,90,699.533764
-1.71,211,701.832574
0.37,43,702.315623
-2.6,300,705.749846
-2.85,285,709.029594
0.76,34,709.424332
-1.14,134,710.952346
-0.78,108,712.16659
0.22,48,712.716059
-0.13,93,713.750586
-3.22,292,716.883305
-1.26,156,718.580369
-1.13,143,720.215023
0.81,19,720.442487
0.35,55,721.021793
0.46,54,721.695933
-1.74,144,723.391219
-0.47,97,724.440061
0.06,74,725.227806
0.31,29,725.526414
0.3,60,726.156685
-2.56,196,728.147871
0.54,26,728.42933
-0.71,111,729.695805
-1.31,171,731.553085
0.25,65,732.253943
0.26,44,732.719777
-0.38,78,733.505547
-0.27,87,734.412504
-1.7,170,736.166583
-1.16,136,737.683721
-1.79,209,739.985508
0.19,51,740.548962
0.15,85,741.473089
-0.49,99,742.534615
-0.41,111,743.718691
-9.25,145,745.347611
-2.63,263,748.181073
-0.69,119,749.553849
-1.44,194,751.532496
-0.48,118,752.740338
-0.44,74,753.492576
-0.21,101,754.598289
0.45,25,754.881382
-1.15,175,756.77637
0.56,24,757.031664
-0.16,86,757.924977
0.54,36,758.271815
-1.26,146,759.669115
-0.78,108,760.760712
-1.16,146,762.374311
-0.44,144,763.864923
0.51,39,764.284683
-2.8,290,767.223746
-0.86,146,768.672083
0.89,21,768.887792
-3.55,365,772.507277
-2.12,182,774.528698
-0.27,97,775.548888
-0.29,69,776.26892
0.17,73,777.033515
0.01,109,778.188155
-1.98,208,780.460142
