#{"t_start": 1762321013.5925634, "env_id": "None"}
r,l,t
-99.3,1000,0.349964
-99.7,1000,0.729806
-100.7,1000,1.049537
-100.3,1000,1.375058
-101.5,1000,1.713321
-97.3,1000,2.054231
-97.9,1000,2.394647
-101.1,1000,2.735713
-98.9,1000,3.061523
-99.5,1000,3.384411
-99.3,1000,3.720926
-101.1,1000,4.062849
-100.5,1000,4.404821
-101.1,1000,4.747338
-99.9,1000,5.089548
-102.3,1000,5.432599
-101.1,1000,5.910974
-102.3,1000,6.253724
-101.5,1000,6.596753
-101.5,1000,6.940302
-34.9,1000,17.121253
-14.8,1000,27.533053
-11.6,1000,38.254802
-11.5,1000,48.396755
-12.5,1000,58.388457
-11.9,1000,68.378162
-13.9,1000,78.38919
-12.2,1000,88.396108
-11.3,1000,98.421143
-11.6,1000,108.455472
-12.4,1000,118.416669
-12.4,1000,128.453884
-11.5,1000,138.636788
-11.7,1000,148.700274
-12.0,1000,158.779212
-11.7,1000,168.852703
-12.4,1000,178.930984
-11.4,1000,189.004545
-12.7,1000,199.076686
-14.0,1000,209.165717
-11.4,1000,219.105293
-12.1,1000,228.635197
-11.6,1000,238.714733
-11.1,1000,248.849571
-13.54,784,256.705422
-10.5,1000,266.712151
-11.8,1000,276.71643
-13.3,1000,286.7265
-11.2,1000,296.713032
-11.1,1000,306.738582
-11.4,1000,316.77768
-11.5,1000,326.837766
-10.8,1000,336.816994
-10.7,1000,346.789533
-11.1,1000,356.335632
-10.7,1000,365.77997
-11.4,1000,375.785806
-11.1,1000,385.7751
-11.2,1000,395.737075
-10.7,1000,406.015493
-11.3,1000,416.099365
-11.0,1000,426.342555
-11.1,1000,436.460459
-11.0,1000,446.546931
-11.2,1000,456.62869
-10.2,1000,466.721757
-11.4,1000,476.817567
-11.7,1000,486.470514
-10.9,1000,495.945813
-10.7,1000,504.860618
-10.9,1000,513.851946
-10.5,1000,523.526674
-11.0,1000,533.603049
-11.5,1000,543.673722
-12.2,1000,553.709805
-10.7,1000,563.763644
-11.9,1000,573.815816
-11.0,1000,583.877213
-11.6,1000,593.931337
-11.5,1000,604.002939
-11.0,1000,614.06749
-11.6,1000,624.143339
-11.3,1000,634.213902
-12.7,1000,644.274359
-13.0,1000,654.343315
-11.9,600,660.381099
-11.7,1000,670.389783
-15.41,921,679.607798
5.58,372,683.340806
1.57,783,691.173649
-7.94,264,693.832761
-6.5,140,695.228776
3.66,624,701.401034
-6.34,124,702.636688
-7.23,203,704.632211
0.28,882,712.581578
-13.2,1000,721.607664
3.07,573,727.25777
-11.7,1000,736.653423
-9.68,318,739.797571
-11.8,1000,748.989061
-20.6,1000,758.795716
-11.8,1000,768.454127
-14.1,1000,777.097399
-11.1,1000,785.806427
5.12,378,789.074301
-16.36,946,798.102342
-6.68,158,799.656189
-6.74,184,801.439639
-6.24,134,802.737285
7.44,246,805.094951
6.77,283,807.807833
-5.52,62,808.410804
-5.8,90,809.251471
6.85,315,812.208071
8.5,160,813.705252
8.71,129,814.814733
7.71,229,816.890539
7.45,255,819.256612
9.14,76,819.952028
9.24,46,820.375149
9.68,42,820.783985
8.96,94,821.725529
9.24,66,822.359652
9.61,39,822.730672
9.45,55,823.253644
9.7,40,823.631217
9.68,42,824.0339
9.72,38,824.390572
9.59,41,824.780677
9.49,51,825.260179
9.37,43,825.651955
9.59,41,826.028001
9.63,37,826.361587
9.36,54,826.849203
9.27,53,827.317488
9.51,49,827.759575
9.68,42,828.125962
9.62,48,828.555363
9.27,53,829.021895
9.53,47,829.433066
9.43,57,829.943419
6.88,62,830.474718
9.63,37,830.781412
9.31,69,831.307271
9.51,49,831.688552
9.53,47,832.079071
6.29,91,832.841502
8.86,84,833.55607
7.77,143,834.739563
8.91,89,835.492014
-6.23,123,836.491548
7.4,70,837.042897
8.57,123,838.019451
3.78,232,839.858077
7.5,180,841.189328
-10.5,1000,848.384258
-24.9,1000,855.682073
-11.3,1000,862.983742
2.67,673,867.841957
5.17,443,871.045918
8.19,121,871.959329
2.85,655,876.736669
7.16,254,878.58896
8.1,160,879.760105
3.92,218,881.318902
6.56,174,882.55527
2.68,482,885.854494
6.0,130,886.631702
8.82,68,887.031097
4.33,127,887.773881
-5.62,52,888.07546
8.11,149,888.938017
-5.46,56,889.260406
9.06,84,889.739564
9.38,72,890.159689
-12.3,1000,895.66732
9.07,53,895.967382
-37.21,781,900.478097
-8.65,205,901.82036
-7.17,97,902.457107
-12.78,368,904.540585
6.91,89,905.017746
-28.89,969,910.531929
-11.73,133,911.38661
-59.4,1000,917.552083
-10.29,269,919.270418
-38.7,1000,925.452178
-9.88,818,930.552157
5.89,131,931.369337
-58.3,1000,937.546224
-91.7,1000,943.790265
-99.3,1000,950.168345
-103.6,1000,956.574378
-103.1,1000,963.025678
-96.9,1000,969.51477
-77.5,1000,975.85345
-59.2,1000,982.358709
-52.6,1000,988.878162
-33.2,1000,995.423675
-23.6,1000,1002.055664
-16.1,1000,1008.663179
-31.1,1000,1015.23017
-40.2,1000,1021.822894
-56.77,617,1025.887645
-22.1,1000,1032.468192
-15.13,633,1036.557503
-13.5,1000,1043.112607
-13.9,1000,1049.732155
-30.29,549,1053.116678
-10.25,225,1054.3784
4.33,467,1056.988794
-23.8,1000,1062.566649
-18.9,1000,1068.222869
-8.88,318,1070.025787
-7.02,172,1071.00584
-6.41,101,1071.579192
-22.6,1000,1077.262175
-23.8,1000,1083.933372
-22.7,1000,1090.822433
-8.47,87,1091.436775
-24.1,1000,1098.381287
-0.95,275,1100.299103
-11.3,1000,1107.065492
-11.8,1000,1114.105737
4.45,455,1117.326045
4.24,526,1120.996225
-6.38,108,1121.746535
-14.5,1000,1128.891123
-13.62,532,1132.714279
8.68,82,1133.316896
-7.89,149,1134.380055
-9.07,227,1136.036844
3.27,433,1139.192378
5.19,321,1141.547703
5.64,366,1144.214834
6.39,301,1146.414876
3.86,384,1149.232569
5.38,192,1150.653774
6.78,232,1152.357538
1.08,702,1157.560133
-10.9,1000,1165.235879
-39.9,1000,1172.978624
-34.0,1000,1180.46351
-9.81,341,1183.041632
-6.88,138,1184.084346
-7.46,116,1184.953878
6.19,181,1186.316885
-6.29,89,1187.013335
-6.4,110,1187.8397
0.77,783,1193.741837
-8.93,313,1196.144696
-11.9,1000,1203.733337
-12.5,1000,1211.338719
-52.9,1000,1219.001423
-12.8,1000,1226.762659
-45.6,1000,1234.553566
-18.3,1000,1242.361085
-10.6,1000,1249.871011
-10.9,1000,1257.691012
-10.9,1000,1265.530631
-10.5,1000,1273.362075
-10.5,1000,1281.256695
-10.4,1000,1289.229981
5.39,421,1292.616149
5.21,439,1296.129042
-10.6,1000,1304.121172
7.35,185,1305.609527
6.63,217,1307.359962
7.36,254,1309.397455
6.63,237,1311.31241
-11.0,1000,1319.301345
-11.3,1000,1327.348888
-11.7,1000,1335.449311
-10.9,1000,1343.632787
-10.9,1000,1351.899547
-13.38,908,1359.424308
-32.1,1000,1367.703124
2.0,750,1373.550693
3.96,534,1378.032257
-6.17,117,1379.022564
-5.71,71,1379.630144
-5.56,66,1380.20246
9.45,55,1380.66813
-5.91,91,1381.416191
-5.72,82,1382.09235
-6.0,90,1382.841675
8.41,139,1383.991744
9.47,53,1384.432804
9.15,85,1385.123556
9.58,52,1385.540563
8.98,92,1386.285125
7.37,243,1388.251705
-9.83,403,1391.500211
6.7,300,1393.941529
-9.38,88,1394.648887
9.66,44,1395.000874
-5.74,64,1395.524807
9.3,80,1396.150752
7.07,293,1398.388386
7.99,201,1399.959592
9.54,56,1400.399184
9.5,60,1400.85888
9.42,68,1401.383309
9.6,50,1401.752663
9.6,50,1402.129568
8.96,114,1402.965953
9.55,45,1403.311233
9.3,60,1403.747256
9.41,59,1404.173419
9.66,44,1404.489893
9.28,62,1404.934921
9.53,47,1405.274419
9.39,61,1405.707606
9.28,62,1406.14595
7.73,87,1406.770326
9.66,44,1407.082787
9.39,41,1407.375959
9.66,44,1407.69425
9.58,52,1408.061197
9.47,53,1408.430639
9.62,48,1408.766888
9.59,41,1409.056799
9.64,46,1409.384958
9.7,40,1409.648594
9.7,40,1409.920124
-18.02,532,1413.471186
5.95,345,1415.82088
9.44,46,1416.133111
9.41,59,1416.529833
9.55,45,1416.83251
9.31,49,1417.159281
9.04,66,1417.593134
9.64,46,1417.895637
9.38,72,1418.382358
9.62,48,1418.708905
9.62,48,1419.025905
9.51,49,1419.342757
9.17,83,1419.883026
9.64,46,1420.193631
8.27,93,1420.793473
9.64,46,1421.091381
9.4,50,1421.423191
9.3,80,1421.933169
9.47,53,1422.281173
9.6,50,1422.591263
7.92,118,1423.33377
8.93,107,1424.005841
8.75,85,1424.5294
8.66,104,1425.194157
6.37,123,1425.979554
9.42,68,1426.414376
8.98,72,1426.857586
8.68,82,1427.371423
8.63,77,1427.84901
9.05,75,1428.299469
5.68,262,1429.901644
8.97,83,1430.401432
6.41,359,1432.53538
8.29,171,1433.539019
7.41,239,1434.943032
8.96,94,1435.493017
9.35,65,1435.861368
-10.69,309,1437.628513
8.49,111,1438.263211
7.71,189,1439.331973
4.03,457,1441.809153
9.46,44,1442.020582
-34.9,1000,1446.49579
-10.3,1000,1451.030628
8.91,49,1451.274089
9.68,42,1451.469834
-20.9,1000,1456.73359
9.27,53,1456.992911
9.25,55,1457.248397
9.17,63,1457.522324
9.03,77,1457.933842
9.61,39,1458.152587
-21.0,1000,1463.503628
7.34,96,1464.039553
9.31,49,1464.305579
9.27,53,1464.580916
9.44,46,1464.829448
9.32,58,1465.134252
9.59,41,1465.346787
9.57,43,1465.5756
9.42,48,1465.836126
9.59,41,1466.055083
9.59,41,1466.27464
9.63,37,1466.475888
9.59,41,1466.697875
9.61,39,1466.911273
9.59,41,1467.128688
9.61,39,1467.342356
9.48,42,1467.563757
9.61,39,1467.768557
9.59,41,1467.985362
9.46,44,1468.22025
9.48,42,1468.448237
9.61,39,1468.657544
9.5,40,1468.8717
9.39,41,1469.089544
9.39,41,1469.311454
9.61,39,1469.515949
9.5,40,1469.722319
9.52,38,1469.918665
9.5,40,1470.124576
9.61,39,1470.325714
9.63,37,1470.526942
9.63,37,1470.72077
9.61,39,1470.927594
9.63,37,1471.118115
9.61,39,1471.318569
9.59,41,1471.535145
9.63,37,1471.732495
9.41,39,1471.938646
9.61,39,1472.143241
9.61,39,1472.347468
9.61,39,1472.54705
9.41,39,1472.751882
9.54,36,1472.940484
9.63,37,1473.12633
9.65,35,1473.311506
9.54,36,1473.509134
9.65,35,1473.685295
9.54,36,1473.890338
9.65,35,1474.097023
9.65,35,1474.310161
9.5,40,1474.546772
9.65,35,1474.75242
9.65,35,1474.955374
9.44,46,1475.219145
9.5,40,1475.429404
9.61,39,1475.627988
9.63,37,1475.82193
9.65,35,1475.996411
9.54,36,1476.176363
9.63,37,1476.365484
9.65,35,1476.542659
9.63,37,1476.731432
9.63,37,1476.919082
8.36,54,1477.192821
9.48,42,1477.414389
9.63,37,1477.608433
9.63,37,1477.792064
9.5,40,1478.00005
9.61,39,1478.202564
9.61,39,1478.400245
9.61,39,1478.596612
9.57,43,1478.81208
9.61,39,1479.008723
9.59,41,1479.21544
9.59,41,1479.426477
9.61,39,1479.62259
9.61,39,1479.82359
9.61,39,1480.024794
9.59,41,1480.229653
9.57,43,1480.446213
9.15,45,1480.67194
9.57,43,1480.883502
9.55,45,1481.109726
9.59,41,1481.331145
9.15,45,1481.559216
8.81,79,1481.963778
9.55,45,1482.200361
7.65,215,1483.286052
9.23,57,1483.570269
9.62,48,1483.81113
7.93,207,1484.85499
1.84,766,1488.640184
9.1,100,1489.135338
9.36,74,1489.499788
9.12,98,1489.98487
9.23,77,1490.360958
9.25,75,1490.729393
9.36,74,1491.094078
9.54,56,1491.367687
9.5,60,1491.660896
8.7,100,1492.146375
8.95,105,1492.652528
9.08,102,1493.142894
7.08,282,1494.509688
8.66,144,1495.207827
-6.54,124,1495.811063
-6.8,150,1496.541491
-5.63,43,1496.756812
-5.64,34,1496.922388
4.29,131,1497.551455
4.07,113,1498.109769
7.76,54,1498.374372
7.74,56,1498.640444
8.12,58,1498.92811
-5.38,188,1499.834878
-3.43,163,1500.633298
3.46,104,1501.144998
8.34,56,1501.421791
9.05,55,1501.692559
8.74,56,1501.969414
8.63,57,1502.248789
8.52,78,1502.64093
8.46,64,1502.963427
8.73,47,1503.201268
8.78,52,1503.458616
8.89,51,1503.713991
8.82,48,1503.956002
4.98,392,1505.904412
7.79,121,1506.515963
8.53,47,1506.752957
7.46,64,1507.072651
7.99,61,1507.376466
8.11,49,1507.61891
8.16,54,1507.889818
8.31,49,1508.139072
9.57,43,1508.356479
7.63,57,1508.646584
8.07,53,1508.914431
8.09,51,1509.170784
9.76,34,1509.339905
9.63,37,1509.527561
8.18,52,1509.786819
9.76,34,1509.958993
9.76,34,1510.133791
9.63,37,1510.320234
9.76,34,1510.49595
9.76,34,1510.667219
9.76,34,1510.842297
9.76,34,1511.017133
9.76,34,1511.185932
9.76,34,1511.357152
9.65,35,1511.529406
9.76,34,1511.701412
9.63,37,1511.886153
9.74,36,1512.068522
9.76,34,1512.240113
9.74,36,1512.419998
9.74,36,1512.60036
-103.2,1000,1517.586196
-22.7,1000,1522.628274
7.27,73,1523.016541
-15.89,329,1524.696115
9.7,40,1524.910008
9.59,41,1525.120669
9.68,42,1525.337405
9.59,41,1525.555571
9.63,37,1525.741011
9.54,36,1525.927551
9.67,33,1526.087382
9.67,33,1526.256562
9.7,40,1526.461889
9.67,33,1526.632506
9.74,36,1526.817685
9.65,35,1527.000329
9.76,34,1527.174696
9.67,33,1527.343932
9.78,32,1527.504835
9.78,32,1527.67366
9.78,32,1527.838603
9.76,34,1528.010144
9.72,38,1528.207054
9.59,41,1528.423239
9.76,34,1528.597784
9.76,34,1528.77191
9.63,37,1528.964123
9.67,33,1529.134255
9.67,33,1529.30033
9.67,33,1529.466807
9.67,33,1529.638047
9.74,36,1529.823813
9.67,33,1529.988915
9.76,34,1530.161808
9.65,35,1530.343966
9.78,32,1530.505635
9.78,32,1530.674719
9.65,35,1530.85081
9.78,32,1531.005648
9.78,32,1531.170017
9.78,32,1531.33302
9.78,32,1531.494108
9.74,36,1531.674622
9.78,32,1531.841137
9.76,34,1532.012487
9.76,34,1532.182304
9.56,34,1532.355356
9.78,32,1532.510638
8.24,46,1532.743228
9.78,32,1532.905712
9.78,32,1533.071556
9.78,32,1533.235538
9.76,34,1533.407718
9.76,34,1533.57928
9.74,36,1533.762194
9.76,34,1533.93216
9.65,35,1534.110276
9.67,33,1534.27216
9.67,33,1534.437163
9.54,36,1534.613408
9.78,32,1534.775602
9.78,32,1534.935544
9.76,34,1535.104625
9.78,32,1535.26371
9.78,32,1535.428047
9.65,35,1535.601394
9.67,33,1535.769769
-108.7,1000,1540.651466
9.54,36,1540.843529
9.43,37,1541.027403
9.41,39,1541.219697
9.78,32,1541.382682
-0.44,354,1543.124582
-107.9,1000,1548.03404
9.63,37,1548.237384
9.78,32,1548.402722
9.65,35,1548.578828
9.59,41,1548.795446
9.78,32,1548.952519
9.7,40,1549.156884
9.78,32,1549.315072
9.74,36,1549.495418
9.24,46,1549.727759
9.74,36,1549.908217
9.78,32,1550.072575
9.78,32,1550.239806
-10.3,1000,1555.176494
-15.1,1000,1560.193014
-23.7,1000,1565.2549
-61.1,1000,1570.380075
-12.4,1000,1575.522038
-10.4,1000,1580.727952
-106.7,1000,1585.988127
