#{"t_start": 1763795312.6920514, "env_id": "None"}
r,l,t
-18.7,200,0.207397
-17.1,200,0.408078
-16.9,200,0.612758
-17.1,200,0.816513
-17.5,200,1.025296
-17.7,200,1.233139
-17.7,200,1.435154
-17.8,200,1.643695
-16.9,200,1.841674
-18.5,200,2.057537
-19.3,200,2.271536
-17.0,200,2.486134
-16.0,200,2.677038
-18.5,200,2.868845
-16.3,200,3.060277
-19.9,200,3.249778
-17.3,200,3.441962
-19.3,200,3.637778
-18.9,200,3.835224
-18.7,200,4.02745
-13.9,200,5.932471
-5.0,200,7.819635
-2.7,200,9.811656
-2.9,200,11.959279
-3.1,200,14.211479
-3.5,200,16.154646
-2.8,200,18.071899
-2.5,200,19.947681
-2.4,200,21.938313
-2.9,200,23.975867
-2.6,200,25.962534
-2.7,200,27.962618
-2.6,200,30.180985
-3.0,200,32.372211
-2.6,200,34.417268
-2.9,200,36.387651
-2.4,200,38.238999
-2.6,200,40.344046
-2.6,200,42.431484
-3.5,200,44.393597
-2.7,200,46.55504
-2.7,200,48.699835
-2.1,200,50.696708
-2.5,200,52.771459
-2.4,200,54.774701
-2.3,200,56.837892
-2.6,200,58.91629
-2.3,200,60.915432
-2.4,200,63.036971
-2.4,200,65.120974
-2.1,200,67.096156
-2.7,200,69.116295
-3.0,200,71.17439
-2.9,200,73.139458
-2.7,200,75.102522
-2.4,200,77.190796
-6.44,134,78.520377
-2.4,200,80.558786
-2.9,200,82.567608
-3.0,200,84.471486
7.96,134,85.818499
-2.4,200,87.895121
-2.2,200,89.943312
-3.2,200,91.988302
-3.3,200,94.011296
-3.2,200,96.091238
-2.7,200,98.095481
-2.6,200,100.018492
-2.4,200,102.034862
-2.8,200,104.269649
-2.8,200,106.430566
-2.8,200,108.578797
-3.4,200,110.593724
-2.9,200,112.702038
-2.9,200,114.656436
-3.0,200,116.680658
-2.4,200,118.762321
-3.0,200,120.916663
-2.9,200,123.056763
-6.42,132,124.414081
-2.6,200,126.503545
-2.3,200,128.609007
-3.3,200,130.60269
-2.9,200,132.541607
-2.7,200,134.616711
-2.8,200,136.579169
-2.8,200,138.731355
-2.9,200,140.862457
-2.7,200,143.051362
-3.1,200,145.106336
-2.9,200,147.138008
7.67,153,148.748889
-5.79,79,149.661717
-2.6,200,151.785674
-2.7,200,153.896127
-2.5,200,155.930218
-2.6,200,157.994849
-2.5,200,160.074943
-2.6,200,162.063048
-2.9,200,164.029553
-2.7,200,166.136918
-2.2,200,168.219603
-3.0,200,170.41691
-2.6,200,172.496587
-2.3,200,174.595502
-2.0,200,176.57908
-2.1,200,178.665629
-2.4,200,180.576378
-2.8,200,182.679152
-2.4,200,184.89046
-2.3,200,187.110064
-3.0,200,189.280641
-2.2,200,191.404784
-2.1,200,193.434601
-2.7,200,195.501826
-2.5,200,197.5694
-2.3,200,199.651906
-2.9,200,201.703278
-2.1,200,203.66241
-2.2,200,205.595578
-2.4,200,207.483242
-2.4,200,209.718081
-2.7,200,211.766796
-2.4,200,213.915629
-2.4,200,215.929622
-2.2,200,217.955216
-3.3,200,220.143629
-3.0,200,222.234848
-2.1,200,224.161129
-2.0,200,226.136258
-2.4,200,228.268997
-2.2,200,230.302752
-2.3,200,232.37891
-2.0,200,234.427805
-2.2,200,236.494653
-2.1,200,238.563787
-2.1,200,240.548115
-2.0,200,242.598528
-2.1,200,244.637555
-2.3,200,246.81209
-2.1,200,248.952377
-2.2,200,251.179187
-2.6,200,253.200723
-2.2,200,255.166797
-2.1,200,257.076966
-2.6,200,259.154807
-2.2,200,261.243262
-1.9,200,263.445992
-2.0,200,265.491967
-2.0,200,267.523457
-2.1,200,269.695648
-2.1,200,271.607728
-2.2,200,273.604744
-2.8,200,275.580602
-2.3,200,277.664902
8.27,133,279.022036
-2.1,200,281.185602
7.89,151,282.677354
-2.1,200,284.784944
-2.3,200,286.867575
-2.0,200,288.913062
-2.0,200,290.863745
-2.4,200,292.96082
-2.2,200,294.899312
-2.1,200,296.962931
-2.5,200,299.119578
-2.4,200,301.135332
-2.4,200,303.206051
-2.0,200,305.190372
-2.2,200,307.260486
-2.4,200,309.403262
-2.2,200,311.511658
-2.9,200,313.542716
-2.3,200,315.704682
-2.0,200,317.786186
-2.5,200,319.844792
8.31,149,321.37479
-2.1,200,323.51819
-1.9,200,325.721908
8.55,105,326.81991
-2.7,200,328.821492
-2.5,200,331.069894
-2.1,200,333.167195
8.63,117,334.353127
9.12,78,335.132955
8.81,79,335.904706
-2.4,200,337.893575
-2.3,200,339.87489
-2.4,200,341.959301
-2.4,200,344.084434
-2.2,200,346.114333
7.61,179,347.972314
-2.7,200,350.018281
-2.1,200,352.032548
-2.1,200,354.054492
-1.9,200,356.240818
9.38,72,357.022652
-2.2,200,359.196396
9.22,68,359.950213
9.24,66,360.670694
-6.6,200,362.835441
-2.0,200,364.914937
-2.3,200,366.910253
8.87,113,367.963961
8.12,138,369.369614
-5.1,200,371.366435
-2.4,200,373.396124
8.27,113,374.552698
-3.2,200,376.51348
-2.4,200,378.472
-2.2,200,380.455274
-2.4,200,382.335872
-2.3,200,384.216415
-2.0,200,386.292349
-2.2,200,388.400864
-2.1,200,390.475143
-2.3,200,392.598856
-2.5,200,394.751876
-2.2,200,396.73032
-2.4,200,398.794944
-8.3,200,400.883673
1.16,174,402.789106
-3.2,200,404.872118
2.6,190,406.818835
-2.2,200,408.969207
-2.2,200,411.16475
-2.4,200,413.2527
-2.3,200,415.210089
-2.4,200,417.07685
-2.3,200,419.056847
-2.6,200,421.105067
-3.3,200,423.251381
-2.3,200,425.262542
-2.4,200,427.392561
-2.5,200,429.319768
7.65,195,431.267207
8.48,122,432.486502
-2.2,200,434.409394
-2.3,200,436.486669
-2.5,200,438.552038
-2.5,200,440.626942
-2.2,200,442.738872
-2.5,200,444.728034
-2.7,200,447.046825
-3.5,200,449.410995
-3.5,200,451.630856
-2.7,200,453.957946
-4.3,200,456.132519
-5.1,200,458.309899
-3.4,200,460.354017
-2.7,200,462.597134
-2.4,200,464.724383
-2.6,200,466.803123
-2.2,200,468.859154
-2.2,200,470.926796
-2.1,200,473.034312
8.74,76,473.84052
8.27,113,475.049602
8.46,104,476.158025
-2.1,200,478.183643
-2.3,200,480.132375
-1.9,200,482.148698
8.09,91,483.061291
8.21,159,484.65389
-1.9,200,486.677413
-5.6,200,488.898225
-2.4,200,491.037662
-2.1,200,492.969714
-7.52,142,494.251635
-2.3,200,496.208082
-2.1,200,498.313871
-4.0,200,500.374781
-4.2,200,502.394928
-3.0,200,504.383679
-2.4,200,506.490777
-5.7,200,508.518846
-2.2,200,510.560559
9.25,75,511.253422
-7.3,200,513.338378
-2.3,200,515.473189
-3.6,200,517.584568
-2.2,200,519.771162
-5.6,200,521.872515
-2.6,200,523.860922
-5.9,200,525.85631
-5.7,200,527.874218
-4.9,200,529.924643
-5.7,200,531.984379
-6.9,200,534.103707
-4.7,200,536.150861
6.21,179,538.00487
-3.7,200,540.060003
-3.3,200,542.030851
-3.3,200,544.012348
-3.4,200,546.146711
-5.7,200,548.181053
-3.9,200,550.264333
-3.9,200,552.423506
-3.7,200,554.55486
-3.9,200,556.545992
-4.3,200,558.54821
-6.1,200,560.627302
-4.1,200,562.745078
-3.0,200,564.888238
-3.8,200,567.037988
8.38,72,567.816998
7.42,128,569.131016
7.88,62,569.769448
8.35,85,570.640678
8.1,80,571.443729
3.48,162,572.988919
5.91,109,574.064005
-5.95,55,574.60685
7.29,71,575.347881
9.16,54,575.907911
9.53,47,576.391528
5.67,173,578.271845
8.65,75,579.102818
9.42,48,579.63341
9.48,42,580.08409
9.4,50,580.599683
8.9,80,581.436836
9.06,64,582.096773
9.44,46,582.568634
8.99,61,583.22894
9.42,48,583.744483
9.35,45,584.223093
9.17,63,584.890408
9.25,55,585.428325
8.45,95,586.382629
9.33,67,587.007457
9.7,40,587.398509
9.42,48,587.84252
9.62,48,588.310231
9.47,53,588.839237
9.36,54,589.352925
9.29,51,589.851389
9.3,60,590.44622
-2.2,200,592.398056
7.9,180,594.20838
9.36,54,594.77697
9.62,48,595.277028
9.45,55,595.870722
-2.3,200,597.869706
-2.5,200,599.941026
8.71,89,600.890417
8.8,70,601.583889
9.1,60,602.12924
8.95,65,602.753444
9.17,63,603.370324
9.45,55,603.845743
9.36,54,604.344959
8.35,85,605.199651
9.3,60,605.741808
8.78,92,606.667533
9.35,65,607.312061
8.87,93,608.25275
9.44,46,608.696774
9.2,70,609.348877
9.36,74,610.084924
9.24,66,610.697826
9.45,55,611.235203
9.53,47,611.742446
8.71,69,612.456986
9.32,58,613.016891
9.47,53,613.552544
9.45,55,614.116865
9.19,61,614.733992
9.02,68,615.431788
9.41,59,616.029142
9.39,61,616.587513
9.25,75,617.27336
9.29,71,617.941605
9.23,57,618.48614
9.48,62,619.087247
8.35,65,619.712611
7.89,191,621.521631
-2.5,200,623.381503
7.96,194,625.268203
-2.6,200,627.27703
8.45,55,627.834862
9.46,44,628.286754
9.72,38,628.649172
9.72,38,629.014375
9.74,36,629.395845
8.82,48,629.949826
9.7,40,630.347799
9.39,61,630.907458
8.78,52,631.417883
-2.3,200,633.309507
9.2,70,633.942657
8.47,133,635.212444
-2.2,200,637.057925
-2.5,200,638.998866
9.42,48,639.471904
8.95,105,640.470398
9.46,44,640.928363
9.19,81,641.674852
8.86,104,642.653737
8.69,111,643.743011
8.66,64,644.351846
9.0,50,644.803206
9.05,75,645.507694
9.36,54,645.989874
8.85,95,646.815587
9.29,51,647.25304
7.59,61,647.792818
8.89,51,648.2472
9.33,47,648.699799
9.09,51,649.167355
9.11,49,649.5967
-3.5,200,651.307792
-2.2,200,653.102583
8.51,149,654.497411
-2.2,200,656.319999
8.23,137,657.634477
8.44,86,658.460494
8.64,66,659.123678
8.37,123,660.278502
8.57,103,661.292995
8.4,70,661.971866
7.76,114,663.034473
8.46,104,663.956462
9.21,59,664.475062
8.7,80,665.178863
9.53,47,665.574069
8.48,122,666.698588
9.0,70,667.350462
9.09,71,668.013244
-5.48,58,668.56137
9.28,62,669.151664
9.04,66,669.76179
-6.75,155,671.261757
8.68,82,672.016572
9.23,57,672.573101
8.6,90,673.436492
8.55,85,674.241558
9.31,69,674.861449
8.97,83,675.597621
8.94,76,676.272825
9.13,67,676.925946
-2.1,200,678.834835
-2.4,200,680.623971
9.36,54,681.07053
8.97,63,681.634555
-2.4,200,683.463578
8.9,60,684.007052
9.18,52,684.489331
8.73,87,685.221563
9.19,61,685.761899
-2.4,200,687.560805
7.48,182,689.356584
9.2,50,689.856709
9.29,51,690.343226
-2.1,200,692.327606
-2.5,200,694.168538
7.65,175,695.867487
9.41,39,696.240834
9.39,41,696.600763
9.3,40,696.977087
8.52,118,698.063305
9.41,39,698.409333
8.72,58,698.895647
-2.2,200,700.775267
9.41,39,701.174867
9.41,39,701.567694
9.39,41,701.922909
9.41,39,702.268512
9.3,40,702.649435
9.39,41,703.009361
-7.09,169,704.537843
-2.1,200,706.468727
9.03,57,707.033242
9.52,38,707.406288
8.59,81,708.196494
-2.2,200,710.157981
9.63,37,710.482519
9.12,58,710.996834
9.41,39,711.359868
9.5,40,711.718857
9.63,37,712.075148
9.06,44,712.470912
8.42,68,713.074573
9.63,37,713.403893
9.63,37,713.715291
8.88,62,714.23124
8.12,78,714.910362
9.63,37,715.258788
9.63,37,715.581414
9.52,38,715.899969
9.63,37,716.209381
8.6,70,716.807216
8.63,77,717.468023
9.21,59,718.067911
9.7,40,718.440539
9.74,36,718.787782
9.74,36,719.146486
9.74,36,719.502564
9.43,57,720.121509
9.38,52,720.594838
9.63,37,720.944181
9.41,59,721.539139
8.99,61,722.156461
9.34,56,722.687245
9.1,60,723.265596
9.74,36,723.65036
9.63,37,724.005434
9.63,37,724.339158
9.74,36,724.677313
9.74,36,725.044899
9.74,36,725.38761
9.63,37,725.751981
9.45,55,726.224818
9.63,37,726.550173
9.74,36,726.888804
9.63,37,727.227309
8.92,58,727.799748
9.63,37,728.137125
9.26,64,728.711967
-6.7,200,730.531115
9.63,37,730.885034
8.88,62,731.474795
9.63,37,731.817995
9.27,53,732.315212
9.1,60,732.865595
9.06,64,733.459795
8.81,59,733.962878
9.05,55,734.49816
-8.0,200,736.423906
-5.3,200,738.276816
9.16,54,738.807319
9.23,57,739.325645
-4.4,200,741.271405
8.31,89,742.069448
-3.3,200,743.907959
-4.1,200,745.636297
-3.0,200,747.353138
-3.3,200,749.165569
-3.8,200,751.007598
-6.8,200,752.752554
-3.3,200,754.53605
9.04,86,755.324788
7.89,171,757.026383
-2.4,200,758.95572
8.78,52,759.45683
8.98,52,759.966225
9.33,47,760.433986
9.11,49,760.927922
7.81,79,761.672256
8.89,51,762.136776
-3.1,200,763.910374
9.17,43,764.303271
9.22,48,764.744214
-2.1,200,766.646678
7.88,182,768.416908
-2.0,200,770.383172
-2.0,200,772.361662
8.07,113,773.429589
-2.1,200,775.433838
-2.2,200,777.319372
-3.1,200,779.146109
8.73,107,780.123452
-3.4,200,781.962181
8.76,54,782.510923
9.22,48,782.980467
8.74,56,783.52702
8.76,54,784.072513
9.2,50,784.529205
8.98,52,784.985192
8.72,58,785.568346
9.18,52,786.078182
7.76,94,786.971555
7.66,84,787.774496
8.96,54,788.314293
8.85,55,788.854094
8.21,59,789.429696
2.71,169,791.08042
2.9,120,792.194049
8.43,57,792.724866
7.91,69,793.403922
7.73,67,794.0371
8.7,60,794.613883
-0.16,146,795.934092
6.68,102,796.872392
6.3,80,797.646869
-17.6,200,799.544505
-7.9,200,801.365774
8.24,66,801.99684
7.03,77,802.736569
4.04,126,803.991521
-8.5,200,805.944499
-12.5,200,807.847424
-13.6,200,809.595999
-13.4,200,811.445498
-12.9,200,813.27119
-12.5,200,815.195398
-14.5,200,817.05478
-14.9,200,818.860822
2.66,144,820.192775
-15.9,200,822.170413
-16.7,200,824.155016
-18.3,200,826.021777
-16.9,200,827.811251
-17.1,200,829.648027
-16.5,200,831.553413
-15.7,200,833.61898
-17.1,200,835.547875
-16.7,200,837.586103
-16.5,200,839.614485
-16.7,200,841.573153
-16.1,200,843.409634
-14.9,200,845.229743
-13.5,200,847.156315
-11.3,200,849.051425
-8.0,200,850.995412
7.23,97,851.976013
-7.4,200,854.023681
6.99,101,855.028084
-7.3,200,856.91854
-20.3,200,858.833728
-15.9,200,860.769534
-3.6,200,862.847237
-4.1,200,864.944754
-4.1,200,866.9771
-3.5,200,869.038961
-3.1,200,871.058842
5.31,109,872.095608
6.97,83,872.960066
7.42,88,873.866285
6.73,87,874.719081
6.57,83,875.485
6.62,88,876.318238
8.88,62,876.925215
7.32,78,877.717951
9.12,78,878.560051
9.23,77,879.306514
-17.5,200,881.275675
8.88,82,882.062821
3.65,135,883.335165
9.08,82,884.208565
8.8,70,884.902315
8.64,66,885.508761
7.9,80,886.287752
8.86,64,886.966903
7.09,91,887.881972
7.99,81,888.665386
8.93,67,889.262098
8.16,74,889.957762
8.33,67,890.639165
-19.6,200,892.644597
5.64,126,893.885056
8.5,60,894.458967
7.35,85,895.290588
7.45,95,896.220812
3.69,191,898.206466
