#{"t_start": 1762326306.751954, "env_id": "None"}
r,l,t
-100.7,1000,0.328033
-99.7,1000,0.644048
-97.9,1000,0.959569
-100.9,1000,1.276332
-100.3,1000,1.594801
-102.1,1000,1.931572
-99.4,1000,2.269508
-101.5,1000,2.608946
-102.7,1000,2.947654
-101.0,1000,3.287918
-101.0,1000,3.629073
-101.9,1000,3.96963
-100.5,1000,4.312279
-102.9,1000,4.65526
-99.9,1000,4.995023
-99.2,1000,5.337062
-100.1,1000,5.67998
-101.1,1000,6.021362
-101.9,1000,6.385366
-99.5,1000,6.72965
-26.2,1000,16.777305
-10.9,1000,26.818696
-12.0,1000,36.865583
-13.0,1000,46.911022
-12.8,1000,56.94106
-13.4,1000,67.008333
-12.1,1000,77.062123
-11.8,1000,86.862208
-26.7,1000,97.144785
-11.1,1000,107.217141
-11.4,1000,117.291863
-12.3,1000,127.361682
-15.0,1000,137.4242
-12.2,1000,147.563902
-11.4,1000,157.63201
-13.3,1000,167.684068
-11.0,1000,177.74565
-11.0,1000,187.808525
-12.0,1000,197.881997
-12.2,1000,207.947512
-12.8,1000,218.019058
-12.3,1000,228.116515
-13.6,1000,238.332094
-12.5,1000,248.422343
-13.0,1000,258.499841
-12.3,1000,268.589481
-11.4,1000,278.653805
-12.2,1000,288.610709
-13.0,1000,298.659625
-13.1,1000,308.734774
-12.5,1000,318.806947
-12.3,1000,328.883539
-11.9,1000,338.980843
-11.7,1000,349.093048
-11.2,1000,359.209144
-11.7,1000,369.29861
-10.8,1000,379.386759
-11.2,1000,389.497904
-11.3,1000,399.602132
-11.5,1000,409.714241
-10.8,1000,419.819973
-11.3,1000,429.949814
-11.5,1000,440.085481
-10.1,1000,450.208894
-10.0,1000,460.318084
-10.6,1000,470.430295
-11.1,1000,480.529445
-10.1,1000,490.639972
-10.5,1000,500.747375
-10.6,1000,510.877557
-11.1,1000,521.002361
-10.9,1000,531.112635
-10.5,1000,541.223673
-10.9,1000,551.351072
-10.4,1000,561.475934
-10.8,1000,571.574866
-11.5,1000,581.676168
-11.3,1000,591.794698
-11.7,1000,601.892832
-11.0,1000,611.989556
-10.8,1000,621.90402
-11.1,1000,631.999013
-10.9,1000,642.114645
-10.3,1000,652.236333
-11.1,1000,662.348643
-11.1,1000,672.528258
-11.4,1000,682.691068
-11.6,1000,692.80459
-10.9,1000,702.933835
-11.0,1000,713.062445
-10.9,1000,723.180364
-11.2,1000,733.307588
-11.2,1000,743.416831
-11.2,1000,753.252157
-11.0,1000,763.385492
-11.5,1000,773.505901
-11.0,1000,783.629229
-12.3,1000,793.767648
-11.7,1000,803.929906
-11.3,1000,814.07714
-11.9,1000,824.189769
-11.4,1000,834.318305
-12.2,1000,844.44028
-11.0,1000,854.54945
-11.3,1000,864.639486
-11.9,1000,874.763276
-11.6,1000,884.870435
0.88,802,893.017705
-10.4,1000,903.130959
-11.0,1000,913.235641
-11.4,1000,923.355753
3.65,575,929.185535
-11.0,1000,939.286505
-10.6,1000,949.362772
5.17,443,953.843673
-10.5,1000,963.9089
0.05,875,972.72628
-5.82,92,973.665345
2.0,710,980.777809
-0.61,941,990.122365
-11.0,1000,1000.101443
-11.2,1000,1009.858296
-10.6,1000,1019.845504
-11.2,1000,1029.835248
-10.7,1000,1039.847976
-10.5,1000,1049.868351
-10.6,1000,1060.015378
-10.7,1000,1070.009516
-11.0,1000,1080.024219
-10.8,1000,1090.004497
-10.8,1000,1099.959844
-11.0,1000,1109.860496
-11.0,1000,1119.875432
-11.2,1000,1129.797072
-11.1,1000,1139.727074
-11.4,1000,1149.667217
-11.3,1000,1159.601452
-11.2,1000,1169.612918
-11.0,1000,1179.604685
-10.7,1000,1189.593711
-11.6,1000,1199.704731
4.2,510,1204.758621
-10.8,1000,1214.742208
-10.4,1000,1224.741046
-10.5,1000,1234.742235
-11.1,1000,1244.763631
-10.8,1000,1254.862587
-10.5,1000,1264.846238
-10.5,1000,1274.833395
-11.0,1000,1284.8448
-11.3,1000,1294.839072
-10.7,1000,1304.838421
-10.6,1000,1314.845542
-11.8,1000,1324.837236
-11.6,1000,1334.84306
-10.6,1000,1344.452448
-11.1,1000,1353.513245
-1.65,945,1362.756685
-11.3,1000,1372.722546
-11.5,1000,1382.714352
0.59,781,1390.645925
-10.6,1000,1400.183764
-0.76,966,1409.32621
-11.3,1000,1419.279311
-10.7,1000,1429.598231
-10.8,1000,1439.702632
-11.3,1000,1449.182812
-10.8,1000,1458.854459
-10.8,1000,1468.842791
-11.1,1000,1478.913197
-11.4,1000,1489.331095
-11.2,1000,1499.313918
-11.0,1000,1509.309028
-10.9,1000,1519.318605
-10.7,1000,1529.195306
-11.5,1000,1539.175539
-11.2,1000,1549.194783
-11.1,1000,1559.199766
-10.5,1000,1569.159935
-11.0,1000,1579.245014
-11.3,1000,1589.227957
-10.6,1000,1599.208841
-11.8,1000,1609.71121
-11.5,1000,1620.254254
6.37,303,1623.284033
8.68,142,1624.70662
7.14,276,1627.448653
8.71,129,1628.72217
7.83,217,1630.839854
8.39,161,1632.418505
4.62,448,1636.788666
5.6,450,1641.172061
0.89,831,1649.088644
3.17,603,1655.110042
-10.8,1000,1665.098486
-30.67,767,1672.741754
-8.14,244,1675.124697
-4.52,522,1680.00769
7.23,177,1681.702204
8.64,86,1682.526495
-89.8,1000,1692.180246
8.55,145,1693.628704
8.0,130,1694.851107
-7.82,252,1697.208644
9.72,38,1697.568263
9.63,37,1697.912875
7.99,181,1699.579437
9.39,61,1700.137401
5.85,195,1701.927574
5.28,162,1703.404635
-14.62,132,1704.601803
4.54,276,1707.10264
-29.1,1000,1716.058356
-22.58,488,1720.469233
-48.1,1000,1729.440397
-7.95,295,1732.097446
-11.74,244,1734.268393
-5.32,182,1735.89194
-2.22,152,1737.245013
-97.0,1000,1746.115083
-93.9,1000,1754.988002
-26.1,1000,1764.066883
-35.5,1000,1772.945605
-14.0,1000,1781.833501
-66.18,888,1789.782911
-4.9,300,1792.475831
-26.1,1000,1801.332199
-92.0,1000,1810.225839
-94.8,1000,1819.096992
-94.0,1000,1827.952857
-59.1,1000,1836.803689
-67.1,1000,1845.640978
-103.2,1000,1854.473838
-101.0,1000,1863.35762
-104.6,1000,1872.198438
-40.4,1000,1881.123767
-40.4,1000,1889.931587
-60.9,1000,1898.791337
-43.4,1000,1907.672718
-51.0,1000,1916.56284
-34.5,1000,1925.392699
-31.8,1000,1934.286294
-37.7,1000,1943.101291
-39.0,1000,1951.96538
-22.8,1000,1960.838533
