#{"t_start": 1762312518.2496517, "env_id": "None"}
r,l,t
-101.0,1000,0.353655
-100.8,1000,0.71
-100.1,1000,1.066076
-59.07,597,1.286817
-89.17,927,1.612631
-101.2,1000,1.967551
-100.2,1000,2.327139
-98.2,1000,2.68538
-99.5,1000,3.044976
-42.91,461,3.219869
-99.8,1000,3.573147
-102.4,1000,3.933303
-89.3,910,4.262107
-99.6,1000,4.620835
-68.42,702,4.880171
-102.9,1000,5.236914
-101.6,1000,5.599569
-99.8,1000,5.959509
-71.79,729,6.231582
-101.4,1000,6.590682
-89.0,1000,16.048976
-4.38,418,20.012082
-10.8,1000,29.395451
-3.9,430,33.462857
0.07,103,34.425995
-1.09,179,36.075104
-3.86,446,40.111284
-5.5,590,45.350315
-2.86,326,48.33518
-11.5,1000,57.290295
-0.15,125,58.412686
-0.36,136,59.611854
-12.8,1000,68.241096
-1.92,252,70.456335
-3.53,403,73.909151
-8.8,820,80.935254
0.31,79,81.621678
0.51,59,82.116856
0.31,59,82.625584
-2.7,250,84.72541
-1.31,201,86.384136
0.57,53,86.823044
0.43,47,87.206749
0.11,59,87.67732
-0.37,87,88.378431
-0.21,111,89.26325
0.08,92,89.984283
-0.95,185,91.427413
0.71,39,91.737203
-0.21,111,92.595544
-0.54,134,93.624501
-0.75,185,95.027573
0.78,22,95.194654
0.59,31,95.426201
0.87,23,95.592084
0.05,65,96.077564
0.44,56,96.501277
0.68,32,96.739743
-0.06,46,97.078331
0.69,41,97.375535
-2.49,199,98.813672
-0.58,118,99.749762
0.6,40,100.040478
-3.99,129,100.947024
-0.56,116,101.767893
0.83,27,101.965533
-0.51,121,102.811574
0.89,21,102.962675
-0.48,48,103.294785
0.47,43,103.588332
0.05,45,103.901576
0.22,58,104.294454
-9.17,827,109.857368
-2.16,236,111.488424
0.71,39,111.764025
0.65,45,112.06875
0.89,21,112.206436
0.81,29,112.399537
0.73,37,112.640369
0.83,27,112.821598
0.52,48,113.137667
0.79,31,113.34901
0.89,21,113.487338
0.89,21,113.623368
0.79,31,113.827122
0.83,27,114.000329
0.77,33,114.218696
0.62,38,114.460694
0.76,24,114.611328
0.87,23,114.752507
0.85,25,114.912689
0.87,23,115.062917
0.79,31,115.258097
0.83,27,115.428333
0.77,33,115.633371
0.77,33,115.845104
0.58,42,116.114526
0.68,32,116.311257
0.87,23,116.458114
0.79,31,116.655427
0.74,26,116.818621
0.83,27,116.985277
0.79,31,117.178561
0.87,23,117.31998
0.7,30,117.506452
0.7,30,117.698491
0.76,24,117.848935
0.85,25,118.002157
0.85,25,118.15027
0.81,29,118.318207
0.74,26,118.46672
0.89,21,118.589405
0.89,21,118.711449
0.83,27,118.865719
0.85,25,119.009441
0.76,24,119.145496
0.79,31,119.319291
0.75,35,119.509898
0.76,24,119.64347
0.87,23,119.765374
0.7,30,119.931221
0.87,23,120.056377
0.85,25,120.193457
0.89,21,120.295452
0.67,23,120.414659
0.79,31,120.576065
0.66,34,120.751324
0.89,21,120.862205
0.85,25,120.987822
0.85,25,121.116292
0.83,27,121.255549
0.85,25,121.378754
0.85,25,121.505793
0.72,28,121.645669
0.87,23,121.76171
0.81,29,121.905879
0.85,25,122.032206
0.78,22,122.139374
0.89,21,122.24265
0.89,21,122.347482
0.74,26,122.473858
0.87,23,122.590313
0.89,21,122.69645
0.81,29,122.842177
-0.04,104,123.352063
0.67,23,123.467798
0.83,27,123.599007
0.87,23,123.709853
0.78,22,123.815521
0.87,23,123.928302
0.48,32,124.07896
0.89,21,124.179205
0.87,23,124.286971
0.89,21,124.38659
0.85,25,124.50661
0.76,24,124.623612
-0.04,104,125.118397
0.65,25,125.240165
0.53,37,125.416153
0.89,21,125.518537
0.87,23,125.630751
0.85,25,125.75368
0.87,23,125.864024
0.87,23,125.975185
0.87,23,126.086461
0.74,26,126.210853
0.61,29,126.352179
0.83,27,126.480268
0.85,25,126.59961
0.81,29,126.737743
0.76,24,126.8514
0.69,41,127.047539
0.85,25,127.163652
0.87,23,127.272854
0.74,26,127.395199
0.85,25,127.513337
0.85,25,127.627505
0.81,29,127.760806
0.85,25,127.876032
0.81,29,128.010378
0.83,27,128.137385
0.77,33,128.29276
0.87,23,128.398337
0.72,28,128.528993
0.77,33,128.681235
0.87,23,128.786717
0.87,23,128.895943
0.65,25,129.013718
0.85,25,129.130375
0.85,25,129.24068
0.87,23,129.346866
0.74,26,129.469079
-1.28,208,130.437522
0.85,25,130.559398
0.42,58,130.831577
0.83,27,130.957729
0.81,29,131.095253
0.81,29,131.232002
0.83,27,131.354467
0.87,23,131.462666
0.85,25,131.578228
0.83,27,131.709247
0.81,29,131.843744
0.72,28,131.974597
0.89,21,132.072044
0.81,29,132.204434
0.81,29,132.339587
0.81,29,132.472943
0.75,35,132.639987
0.05,105,133.124102
0.79,31,133.271007
0.81,29,133.406003
0.79,31,133.552525
0.23,87,133.959484
0.71,39,134.148865
0.71,39,134.33128
0.76,24,134.443146
0.62,38,134.619119
0.89,21,134.720517
0.85,25,134.836555
0.66,34,134.996531
0.87,23,135.106532
0.83,27,135.234397
0.85,25,135.35339
0.77,33,135.509566
0.77,33,135.664708
0.79,31,135.808803
0.37,73,136.152042
0.85,25,136.269927
0.76,24,136.386591
0.52,48,136.611677
0.89,21,136.710124
0.83,27,136.837738
0.78,22,136.940191
0.83,27,137.066323
0.79,31,137.210424
0.89,21,137.306024
0.89,21,137.404051
0.85,25,137.521375
-0.62,162,138.271923
0.85,25,138.394152
-3.35,65,138.699788
0.79,31,138.845672
0.81,29,138.98309
0.89,21,139.084627
0.81,29,139.222622
0.75,35,139.38907
0.89,21,139.490256
0.87,23,139.597236
0.75,35,139.762908
0.81,29,139.901235
0.83,27,140.030113
0.78,22,140.133273
0.79,31,140.275668
0.87,23,140.383959
0.83,27,140.513363
0.89,21,140.613353
0.75,35,140.778316
0.85,25,140.895946
0.61,29,141.034088
0.79,31,141.178167
0.22,78,141.544026
0.81,29,141.684271
0.14,86,142.086445
0.85,25,142.206443
0.85,25,142.324613
0.74,26,142.446167
0.71,39,142.627255
0.09,101,143.102294
0.08,92,143.536695
0.87,23,143.645757
0.04,96,144.099848
0.05,105,144.595856
0.78,22,144.703422
0.28,72,145.04731
0.72,28,145.180822
0.73,37,145.361449
-0.06,86,145.767675
0.58,42,145.968289
0.89,21,146.069699
0.76,24,146.185739
-0.05,95,146.64305
-0.47,137,147.301358
0.89,21,147.406628
0.7,30,147.552251
0.75,35,147.718896
0.44,56,147.998171
-101.6,1000,152.209064
-5.33,183,153.090717
0.75,35,153.26195
0.77,33,153.416789
0.61,49,153.653223
0.53,57,153.927904
-60.6,1000,158.578261
-43.7,1000,163.504182
-7.27,297,164.99476
-16.38,338,166.677111
-15.84,424,168.554115
-5.99,149,169.136013
-13.86,346,170.77751
0.54,46,170.988494
0.71,39,171.178167
0.33,37,171.359836
-18.04,624,174.343127
0.73,37,174.539
0.69,41,174.747531
0.71,39,174.95232
0.81,29,175.101741
0.77,33,175.266325
0.83,27,175.402263
0.68,32,175.564387
0.36,44,175.785212
0.81,29,175.93369
0.81,29,176.083272
0.81,29,176.229575
0.7,30,176.380467
0.77,33,176.541704
0.77,33,176.707079
0.43,47,176.940549
0.75,35,177.119465
0.75,35,177.298241
0.81,29,177.448519
0.77,33,177.616965
0.79,31,177.770392
0.79,31,177.927958
0.7,30,178.082445
0.81,29,178.231991
0.77,33,178.40076
0.79,31,178.5572
0.79,31,178.716976
0.75,35,178.893856
0.79,31,179.048287
0.81,29,179.189968
0.83,27,179.330163
0.79,31,179.487293
0.73,37,179.676714
0.77,33,179.84212
0.81,29,179.993792
0.81,29,180.13882
0.81,29,180.284991
0.83,27,180.421957
0.81,29,180.572896
0.83,27,180.706644
0.66,34,180.876909
0.81,29,181.023472
0.67,43,181.24266
0.68,32,181.40591
0.79,31,181.560912
0.68,32,181.724488
0.81,29,181.874023
0.83,27,182.0059
0.83,27,182.147236
0.72,28,182.286337
0.75,35,182.462915
0.81,29,182.60861
0.77,33,182.776057
0.77,33,182.942139
0.81,29,183.08673
0.81,29,183.231234
0.79,31,183.391503
0.79,31,183.545155
0.81,29,183.697626
0.83,27,183.836504
0.79,31,183.992713
0.81,29,184.140266
0.77,33,184.310001
0.81,29,184.455973
0.81,29,184.601157
0.77,33,184.77043
0.81,29,184.919966
0.79,31,185.072527
0.81,29,185.216359
0.79,31,185.376519
0.81,29,185.525558
0.81,29,185.666915
0.53,57,185.955144
0.83,27,186.089115
0.81,29,186.232508
0.83,27,186.372478
0.83,27,186.505672
0.81,29,186.650228
0.85,25,186.781258
0.81,29,186.928711
0.45,65,187.271971
0.55,55,187.561971
0.51,59,187.921856
0.71,39,188.159886
0.47,63,188.518454
0.83,27,188.676505
0.73,37,188.891942
0.49,61,189.246534
0.83,27,189.399981
0.83,27,189.552485
0.83,27,189.711953
0.83,27,189.860269
0.89,21,189.977879
0.83,27,190.12659
0.83,27,190.269392
0.85,25,190.391329
0.53,57,190.664271
0.83,27,190.793642
0.51,59,191.079375
0.59,51,191.320013
0.89,21,191.423722
0.85,25,191.542531
0.57,53,191.799057
0.85,25,191.922218
0.85,25,192.043438
-7.88,108,192.543038
0.6,40,192.727234
0.5,50,192.959084
0.87,23,193.066806
0.51,59,193.340373
