#{"t_start": 1763334794.4223602, "env_id": "None"}
r,l,t
-2410.0,50,0.038621
-2058.0,50,0.069058
-2069.0,50,0.096407
-2168.0,50,0.125205
-2058.0,50,0.151476
-2421.0,50,0.177981
-2311.0,50,0.203492
-3059.0,50,0.230673
-2300.0,50,0.256494
-2377.0,50,0.282666
-2619.0,50,0.309046
-2080.0,50,0.335979
-2091.0,50,0.363144
-2828.0,50,0.390106
-2157.0,50,0.416068
-2201.0,50,0.442011
-3125.0,50,0.466967
-2520.0,50,0.492888
-1860.0,50,0.518178
-2498.0,50,0.544014
-2729.0,50,0.573758
-1948.0,50,0.606822
-2377.0,50,0.647618
-2718.0,50,0.678733
-1948.0,50,0.710606
-1970.0,50,0.741514
-2597.0,50,0.771058
-2399.0,50,0.799336
-2839.0,50,0.829386
-1838.0,50,0.8601
-2806.0,50,0.891888
-2300.0,50,0.923066
-1970.0,50,0.954253
-2619.0,50,0.984961
-2080.0,50,1.015314
-2069.0,50,1.0459
-1948.0,50,1.076205
-2300.0,50,1.108866
-2091.0,50,1.140196
-2718.0,50,1.170543
-2520.0,50,1.200995
-2729.0,50,1.233953
-2641.0,50,1.264804
-2388.0,50,1.295173
-2487.0,50,1.326019
-1640.0,50,1.357038
-2718.0,50,1.388357
-2421.0,50,1.420124
-1607.0,50,1.450981
-1640.0,50,1.481803
-2509.0,50,1.512324
-2069.0,50,1.544122
-2696.0,50,1.575192
-2300.0,50,1.606379
-1970.0,50,1.637306
-2817.0,50,1.668512
-1970.0,50,1.699687
-2619.0,50,1.730974
-2949.0,50,1.761825
-2168.0,50,1.794262
-2388.0,50,1.824963
-2300.0,50,1.856929
-2377.0,50,1.887028
-2355.0,50,1.91742
-2058.0,50,1.948037
-2168.0,50,1.97835
-3257.0,50,2.009857
-2806.0,50,2.040013
-1959.0,50,2.071084
-2498.0,50,2.102338
-2080.0,50,2.133183
-3257.0,50,2.164551
-2179.0,50,2.195499
-2740.0,50,2.225801
-2311.0,50,2.256977
-1849.0,50,2.28845
-2399.0,50,2.320196
-2047.0,50,2.350623
-2498.0,50,2.381629
-2157.0,50,2.412608
-2168.0,50,2.44353
-1959.0,50,2.47587
-2080.0,50,2.508104
-1849.0,50,2.53855
-2399.0,50,2.569291
-2608.0,50,2.600399
-2289.0,50,2.631679
-3059.0,50,2.662161
-2190.0,50,2.694968
-2289.0,50,2.725595
-1849.0,50,2.757603
-2839.0,50,2.78779
-2179.0,50,2.819258
-2608.0,50,2.849727
-2256.0,50,2.880558
-2047.0,50,2.912311
-2828.0,50,2.944134
-2850.0,50,2.974988
-2058.0,50,3.006009
-1310.0,50,3.037235
-1420.0,50,3.068819
-2949.0,50,3.103267
-2289.0,50,3.136965
-2729.0,50,3.169166
-3268.0,50,3.202036
-2740.0,50,3.232104
-2509.0,50,3.263107
-2641.0,50,3.294291
-2740.0,50,3.325698
-2146.0,50,3.357859
-3048.0,50,3.389268
-2289.0,50,3.420856
-2707.0,50,3.452761
-2498.0,50,3.483783
-2608.0,50,3.515411
-2267.0,50,3.546072
-2960.0,50,3.576918
-2278.0,50,3.607544
-2058.0,50,3.637831
-2498.0,50,3.670195
-2410.0,50,3.70224
-1288.0,50,3.734899
-2311.0,50,3.766124
-1849.0,50,3.797521
-2520.0,50,3.828176
-1981.0,50,3.859495
-2608.0,50,3.889816
-2740.0,50,3.921697
-2619.0,50,3.952433
-2531.0,50,3.983975
-2421.0,50,4.015869
-1299.0,50,4.04654
-2388.0,50,4.077955
-2619.0,50,4.108293
-2949.0,50,4.139779
-1970.0,50,4.173303
-2839.0,50,4.204921
-3059.0,50,4.237413
-2630.0,50,4.269102
-2938.0,50,4.29919
-2839.0,50,4.330256
-2080.0,50,4.364036
-2960.0,50,4.395485
-2619.0,50,4.425829
-2069.0,50,4.457379
-2080.0,50,4.487429
-3048.0,50,4.518267
-2289.0,50,4.55036
-2289.0,50,4.582134
-2619.0,50,4.612583
-2388.0,50,4.642771
-2289.0,50,4.674955
-2410.0,50,4.708497
-2080.0,50,4.739777
-2289.0,50,4.770442
-2520.0,50,4.801937
-2938.0,50,4.832827
-2597.0,50,4.863454
-2509.0,50,4.89456
-2091.0,50,4.925777
-1838.0,50,4.957308
-2157.0,50,4.990308
-2850.0,50,5.022558
-2157.0,50,5.056125
-2410.0,50,5.088003
-2509.0,50,5.119358
-1981.0,50,5.148129
-2949.0,50,5.178659
-2278.0,50,5.210548
-2630.0,50,5.242387
-1970.0,50,5.273954
-1805.0,50,5.3059
-2080.0,50,5.336423
-2058.0,50,5.367315
-2520.0,50,5.398332
-1860.0,50,5.429297
-2531.0,50,5.460607
-1970.0,50,5.490956
-2212.0,50,5.522521
-2410.0,50,5.554224
-2520.0,50,5.585379
-2520.0,50,5.618424
-2399.0,50,5.649958
-1970.0,50,5.681478
