#{"t_start": 1763335475.1866806, "env_id": "None"}
r,l,t
-3587.0,50,0.036006
-3928.0,50,0.063276
-4533.0,50,0.088126
-4533.0,50,0.114249
-3741.0,50,0.140476
-4005.0,50,0.167164
-4104.0,50,0.193648
-4324.0,50,0.218868
-3983.0,50,0.24319
-4423.0,50,0.266938
-3378.0,50,0.290066
-4181.0,50,0.312962
-4577.0,50,0.337616
-4973.0,50,0.361364
-4027.0,50,0.385233
-4269.0,50,0.40886
-4104.0,50,0.43237
-4720.0,50,0.455287
-4324.0,50,0.478969
-3763.0,50,0.502274
-4907.0,50,0.535795
-4082.0,50,0.577228
-4082.0,50,0.613741
-3752.0,50,0.643703
-3994.0,50,0.67331
-4236.0,50,0.704002
-3774.0,50,0.733718
-3994.0,50,0.763305
-3873.0,50,0.79313
-4093.0,50,0.822448
-3785.0,50,0.851501
-4863.0,50,0.880956
-3675.0,50,0.910322
-4434.0,50,0.939288
-3642.0,50,0.969074
-2916.0,50,0.998894
-4346.0,50,1.029116
-5083.0,50,1.06108
-4489.0,50,1.09558
-3928.0,50,1.127985
-4203.0,50,1.160642
-3785.0,50,1.195803
-3576.0,50,1.227254
-4247.0,50,1.257957
-5655.0,50,1.289122
-4214.0,50,1.319044
-5534.0,50,1.348087
-3455.0,50,1.377266
-4060.0,50,1.40645
-4423.0,50,1.437465
-4368.0,50,1.466728
-4434.0,50,1.496497
-3862.0,50,1.527343
-4104.0,50,1.556336
-4566.0,50,1.585394
-4984.0,50,1.615168
-4643.0,50,1.645076
-4764.0,50,1.676778
-4995.0,50,1.70918
-5193.0,50,1.741711
-4225.0,50,1.773437
-4324.0,50,1.805733
-3906.0,50,1.837871
-3983.0,50,1.868485
-3312.0,50,1.898123
-3983.0,50,1.928147
-4456.0,50,1.957299
-4863.0,50,1.987363
-4632.0,50,2.017309
-4874.0,50,2.048389
-4434.0,50,2.078026
-4478.0,50,2.107056
-4434.0,50,2.136918
-3576.0,50,2.166324
-5083.0,50,2.195274
-4544.0,50,2.225073
-4324.0,50,2.255455
-5083.0,50,2.28448
-3664.0,50,2.317757
-3774.0,50,2.349327
-4544.0,50,2.379933
-4742.0,50,2.410633
-4049.0,50,2.440107
-3873.0,50,2.470156
-3862.0,50,2.500246
-4566.0,50,2.530107
-4907.0,50,2.560062
-4093.0,50,2.589206
-4126.0,50,2.619117
-4544.0,50,2.648653
-4016.0,50,2.678216
-4137.0,50,2.707567
-5105.0,50,2.73839
-4082.0,50,2.768404
-4313.0,50,2.798999
-4082.0,50,2.82923
-4522.0,50,2.859479
-4962.0,50,2.889917
-4665.0,50,2.920487
-5435.0,50,2.94961
-3532.0,50,2.979146
-4544.0,50,3.010102
-4984.0,50,3.040988
-3818.0,50,3.072415
-4775.0,50,3.102475
-2828.0,50,3.132212
-5006.0,50,3.16214
-4423.0,50,3.192509
-3455.0,50,3.222312
-4852.0,50,3.25312
-4742.0,50,3.283924
-4555.0,50,3.313891
-4665.0,50,3.344469
-4555.0,50,3.374783
-4742.0,50,3.40511
-4423.0,50,3.435364
-4225.0,50,3.468236
-5336.0,50,3.50191
-4852.0,50,3.534063
-5105.0,50,3.563556
-4676.0,50,3.593061
-4731.0,50,3.625023
-4654.0,50,3.655156
-4775.0,50,3.687604
-4445.0,50,3.723337
-4313.0,50,3.761204
-3026.0,50,3.796226
-3994.0,50,3.827247
-4885.0,50,3.859332
-3972.0,50,3.897265
-4324.0,50,3.935359
-5083.0,50,3.970337
-3906.0,50,4.00435
-4885.0,50,4.061088
-5083.0,50,4.117142
-5512.0,50,4.175934
-3675.0,50,4.218033
-5534.0,50,4.268832
-4984.0,50,4.302149
-5765.0,50,4.336178
-3873.0,50,4.371536
-4654.0,50,4.403995
-4192.0,50,4.435862
-3862.0,50,4.48167
-3983.0,50,4.523043
-4313.0,50,4.586042
-3334.0,50,4.633671
-4423.0,50,4.672197
-4742.0,50,4.709201
-4533.0,50,4.743669
-4786.0,50,4.778864
-4863.0,50,4.814174
-3169.0,50,4.848451
-4082.0,50,4.883417
-4643.0,50,4.913494
-4423.0,50,4.944409
-4313.0,50,4.975167
-3653.0,50,5.005368
-4874.0,50,5.035506
-3983.0,50,5.067933
-4643.0,50,5.099074
-3433.0,50,5.13078
-4544.0,50,5.16198
-4412.0,50,5.193021
-3554.0,50,5.224513
-4742.0,50,5.255294
-4753.0,50,5.284989
-3642.0,50,5.315429
-3653.0,50,5.346543
-4478.0,50,5.37684
-4852.0,50,5.406723
-4654.0,50,5.436643
-4522.0,50,5.466966
-3664.0,50,5.497056
-3862.0,50,5.529209
-3972.0,50,5.563219
-4555.0,50,5.596005
-3862.0,50,5.629224
-5116.0,50,5.661956
-4423.0,50,5.694492
-5325.0,50,5.727845
-4742.0,50,5.761517
-4852.0,50,5.795071
-4863.0,50,5.828319
-3884.0,50,5.860901
-3312.0,50,5.893498
-4313.0,50,5.927426
-4764.0,50,5.960418
-4203.0,50,5.99263
-4665.0,50,6.021763
-3675.0,50,6.053192
-4533.0,50,6.083382
-4390.0,50,6.113625
-3532.0,50,6.145612
-3433.0,50,6.175639
-3565.0,50,6.20673
-4104.0,50,6.236431
-4764.0,50,6.268564
-3642.0,50,6.297748
-5072.0,50,6.328029
-5622.0,50,6.357635
-4302.0,50,6.389029
-3873.0,50,6.41839
-4852.0,50,6.448173
-4885.0,50,6.478004
-5006.0,50,6.507963
-4115.0,50,6.538127
-3983.0,50,6.567991
-5325.0,50,6.597313
-3862.0,50,6.627448
-4005.0,50,6.657993
-3763.0,50,6.687141
-4423.0,50,6.717052
-4863.0,50,6.748238
-5116.0,50,6.777483
-3972.0,50,6.80822
-4533.0,50,6.838232
-4412.0,50,6.868611
-4522.0,50,6.900184
-4115.0,50,6.930085
-5072.0,50,6.960236
-4412.0,50,6.99237
-4533.0,50,7.023559
-3763.0,50,7.054244
-3994.0,50,7.084381
-4456.0,50,7.114134
-4302.0,50,7.144605
-3862.0,50,7.174644
-4412.0,50,7.205525
-4192.0,50,7.236021
-4423.0,50,7.265746
-4753.0,50,7.295577
-4522.0,50,7.326519
-4093.0,50,7.356606
-4302.0,50,7.387132
-4412.0,50,7.417514
-3532.0,50,7.447722
