#{"t_start": 1762418121.9757504, "env_id": "None"}
r,l,t
-86788.0,1000,0.621798
-86744.0,1000,1.225446
-82663.0,1000,1.838166
-83884.0,1000,2.45849
-83664.0,1000,3.067749
-90198.0,1000,3.695532
-88581.0,1000,4.301046
-85875.0,1000,4.925323
-84093.0,1000,5.574601
-83565.0,1000,6.194125
-92343.0,1000,6.841038
-87118.0,1000,7.458343
-90209.0,1000,8.100481
-85589.0,1000,8.717216
-87008.0,1000,9.354256
-85105.0,1000,9.975387
-90253.0,1000,10.616755
-86491.0,1000,11.290438
-91210.0,1000,11.914052
-85974.0,1000,12.563253
-47144.0,1000,23.105124
-49399.0,1000,33.892902
-47595.0,1000,44.617148
-48651.0,1000,55.341056
-47045.0,1000,66.114612
-47639.0,1000,76.848817
-48123.0,1000,87.6079
-47705.0,1000,98.384694
-49190.0,1000,109.003558
-48937.0,1000,119.530631
-45219.0,1000,130.257939
-45494.0,1000,141.009945
-46825.0,1000,151.858983
-48849.0,1000,162.821721
-47639.0,1000,173.673129
-49135.0,1000,184.539895
-48772.0,1000,195.169923
-47639.0,1000,205.878714
-47463.0,1000,216.709424
-48244.0,1000,227.279989
-47760.0,1000,237.767953
-48002.0,1000,248.345763
-46198.0,1000,259.024803
-46462.0,1000,269.743487
-45648.0,1000,280.481839
-46649.0,1000,291.184181
-46583.0,1000,301.935648
-48893.0,1000,312.63982
-45835.0,1000,323.296672
-44812.0,1000,333.966877
-46088.0,1000,344.725486
-48948.0,1000,355.616594
-47067.0,1000,366.493923
-47155.0,1000,377.485515
-46110.0,1000,388.567561
-45857.0,1000,399.399449
-46715.0,1000,410.133236
-47243.0,1000,421.006748
-47056.0,1000,431.816731
-46638.0,1000,442.418961
-48750.0,1000,453.127073
-46308.0,1000,463.953297
-45934.0,1000,474.730137
-48992.0,1000,485.395353
-46748.0,1000,496.306562
-46154.0,1000,507.194356
-48662.0,1000,517.733204
-42865.0,1000,528.408606
-46451.0,1000,539.31986
-46319.0,1000,550.195901
-48640.0,1000,561.122684
-47573.0,1000,572.142445
-47485.0,1000,583.128266
-46495.0,1000,594.08327
-47353.0,1000,605.020023
-49960.0,1000,616.082531
-47518.0,1000,626.840111
-45428.0,1000,637.638826
-45340.0,1000,648.523284
-47672.0,1000,659.368996
-42964.0,1000,670.202275
-48200.0,1000,680.686535
-45538.0,1000,691.476878
-47287.0,1000,702.357485
-47254.0,1000,713.239283
-46110.0,1000,723.745164
-45219.0,1000,734.436724
-45769.0,1000,745.568393
-46407.0,1000,756.474261
-48519.0,1000,767.340806
-45065.0,1000,778.160176
-47738.0,1000,789.184742
-44075.0,1000,799.97261
-50367.0,1000,810.677737
-47177.0,1000,821.110957
-44295.0,1000,831.949197
-46924.0,1000,842.591535
-49729.0,1000,853.454854
-43525.0,1000,864.47647
-46110.0,1000,875.406052
-47980.0,1000,886.148848
-49872.0,1000,896.906912
-44977.0,1000,907.990207
-47265.0,1000,919.079427
-49487.0,1000,930.113062
-46253.0,1000,941.324203
-47353.0,1000,952.38344
-44933.0,1000,963.404957
-48222.0,1000,974.220872
-47309.0,1000,985.078031
-43173.0,1000,995.969841
