#{"t_start": 1763330772.162996, "env_id": "None"}
r,l,t
-2410.0,50,0.032806
-2058.0,50,0.061141
-2069.0,50,0.088465
-2168.0,50,0.113917
-2058.0,50,0.139937
-2421.0,50,0.166443
-2311.0,50,0.19192
-3059.0,50,0.217672
-2300.0,50,0.24325
-2377.0,50,0.269841
-2619.0,50,0.295368
-2080.0,50,0.321081
-2091.0,50,0.346572
-2828.0,50,0.373254
-2157.0,50,0.399215
-2201.0,50,0.424146
-3125.0,50,0.449451
-2520.0,50,0.47431
-1860.0,50,0.498571
-2498.0,50,0.523946
-2729.0,50,0.555042
-1948.0,50,0.589173
-2377.0,50,0.623164
-2718.0,50,0.652682
-1948.0,50,0.684185
-1970.0,50,0.714564
-2597.0,50,0.745008
-2399.0,50,0.775412
-2839.0,50,0.805682
-1838.0,50,0.835063
-2806.0,50,0.867192
-2300.0,50,0.899519
-1970.0,50,0.930148
-2619.0,50,0.960473
-2080.0,50,0.989604
-2069.0,50,1.019695
-1948.0,50,1.050095
-2300.0,50,1.080797
-2091.0,50,1.111956
-2718.0,50,1.142382
-2520.0,50,1.172904
-2729.0,50,1.208177
-2641.0,50,1.241536
-2388.0,50,1.27335
-2487.0,50,1.304198
-1640.0,50,1.335725
-2718.0,50,1.365684
-2421.0,50,1.396176
-1607.0,50,1.426986
-1640.0,50,1.456859
-2509.0,50,1.488358
-2069.0,50,1.518713
-2696.0,50,1.549026
-2300.0,50,1.579086
-1970.0,50,1.61007
-2817.0,50,1.641284
-1970.0,50,1.671362
-2619.0,50,1.702444
-2949.0,50,1.732212
-2168.0,50,1.763469
-2388.0,50,1.794705
-2300.0,50,1.829391
-2377.0,50,1.863439
-2355.0,50,1.894032
-2058.0,50,1.924055
-2168.0,50,1.955304
-3257.0,50,1.985756
-2806.0,50,2.017319
-1959.0,50,2.049087
-2498.0,50,2.079719
-2080.0,50,2.109958
-3257.0,50,2.140102
-2179.0,50,2.171356
-2740.0,50,2.202729
-2311.0,50,2.233418
-1849.0,50,2.265263
-2399.0,50,2.295986
-2047.0,50,2.326645
-2498.0,50,2.357527
-2157.0,50,2.389346
-2168.0,50,2.420953
-1959.0,50,2.456571
-2080.0,50,2.488489
-1849.0,50,2.520215
-2399.0,50,2.551651
-2608.0,50,2.58304
-2289.0,50,2.61641
-3059.0,50,2.649216
-2190.0,50,2.681155
-2289.0,50,2.711626
-1849.0,50,2.742403
-2839.0,50,2.77405
-2179.0,50,2.805013
-2608.0,50,2.83521
-2256.0,50,2.86681
-2047.0,50,2.897774
-2828.0,50,2.928388
-2850.0,50,2.959326
-2058.0,50,2.991047
-1310.0,50,3.021421
-1420.0,50,3.052227
-2949.0,50,3.088747
-2289.0,50,3.121122
-2729.0,50,3.152951
-3268.0,50,3.183047
-2740.0,50,3.21758
-2509.0,50,3.250289
-2641.0,50,3.280726
-2740.0,50,3.312262
-2146.0,50,3.342107
-3048.0,50,3.37232
-2289.0,50,3.403151
-2707.0,50,3.433717
-2498.0,50,3.464475
-2608.0,50,3.495398
-2267.0,50,3.527576
-2960.0,50,3.557372
-2278.0,50,3.586956
-2058.0,50,3.616651
-2498.0,50,3.64737
-2410.0,50,3.679374
-1288.0,50,3.715451
-2311.0,50,3.750264
-1849.0,50,3.780969
-2520.0,50,3.811713
-1981.0,50,3.84215
-2608.0,50,3.874077
-2740.0,50,3.904756
-2619.0,50,3.935607
-2531.0,50,3.96723
-2421.0,50,3.999011
-1299.0,50,4.029823
-2388.0,50,4.060587
-2619.0,50,4.092583
-2949.0,50,4.123182
-1970.0,50,4.15436
-2839.0,50,4.18509
-3059.0,50,4.218373
-2630.0,50,4.250809
-2938.0,50,4.283346
-2839.0,50,4.314742
-2080.0,50,4.350902
-2960.0,50,4.38431
-2619.0,50,4.414997
-2069.0,50,4.446578
-2080.0,50,4.478768
-3048.0,50,4.508862
-2289.0,50,4.539933
-2289.0,50,4.571045
-2619.0,50,4.601768
-2388.0,50,4.632177
-2289.0,50,4.664411
-2410.0,50,4.695085
-2080.0,50,4.725673
-2289.0,50,4.755862
-2520.0,50,4.785718
-2938.0,50,4.816196
-2597.0,50,4.845377
-2509.0,50,4.87614
-2091.0,50,4.906322
-1838.0,50,4.936307
-2157.0,50,4.973116
-2850.0,50,5.00746
-2157.0,50,5.037586
-2410.0,50,5.068992
-2509.0,50,5.100044
-1981.0,50,5.130512
-2949.0,50,5.160734
-2278.0,50,5.192004
-2630.0,50,5.2225
-1970.0,50,5.25543
-1805.0,50,5.288185
-2080.0,50,5.320354
-2058.0,50,5.350728
-2520.0,50,5.382342
-1860.0,50,5.413321
-2531.0,50,5.443642
-1970.0,50,5.474982
-2212.0,50,5.50663
-2410.0,50,5.53824
-2520.0,50,5.568859
-2520.0,50,5.606118
-2399.0,50,5.638501
-1970.0,50,5.670283
-1970.0,50,5.702851
-2399.0,50,5.732964
-2388.0,50,5.763898
-1321.0,50,5.794325
-2080.0,50,5.825311
-2300.0,50,5.855726
-2289.0,50,5.887209
-1992.0,50,5.919063
-3169.0,50,5.950126
-1959.0,50,5.981322
-1750.0,50,6.013468
-2047.0,50,6.044756
-2080.0,50,6.0759
-2817.0,50,6.106354
-1728.0,50,6.137683
-1871.0,50,6.169307
-2080.0,50,6.20043
-2289.0,50,6.236586
-2289.0,50,6.270709
-2300.0,50,6.303102
-2388.0,50,6.334594
-1937.0,50,6.366319
-2509.0,50,6.397762
-1860.0,50,6.429292
-2080.0,50,6.46047
-2388.0,50,6.492151
-2179.0,50,6.524759
-2740.0,50,6.556155
-2410.0,50,6.587054
-3477.0,50,6.618713
-2630.0,50,6.649493
-2751.0,50,6.680702
-1079.0,50,6.712252
-2410.0,50,6.743737
-2157.0,50,6.776983
-1519.0,50,6.809347
-2421.0,50,6.840573
-1970.0,50,6.876181
-2278.0,50,6.908483
-2069.0,50,6.940722
-1937.0,50,6.971339
-2520.0,50,7.001386
-2399.0,50,7.034638
-1860.0,50,7.065389
-2179.0,50,7.096364
-2190.0,50,7.127321
-2300.0,50,7.158287
-2201.0,50,7.189102
-2520.0,50,7.21977
-2091.0,50,7.250947
-3059.0,50,7.282815
-1959.0,50,7.313432
-2630.0,50,7.344819
-2399.0,50,7.375755
-2399.0,50,7.407128
-2399.0,50,7.439915
-1640.0,50,7.471948
-2289.0,50,7.508634
-1860.0,50,7.541388
-1629.0,50,7.574412
-2630.0,50,7.607603
-2938.0,50,7.641422
-2619.0,50,7.67398
-1750.0,50,7.70572
-2608.0,50,7.737747
-2619.0,50,7.769197
-2509.0,50,7.799736
-2399.0,50,7.830518
-2300.0,50,7.861063
-2289.0,50,7.892431
-2850.0,50,7.923113
-2190.0,50,7.953093
-2641.0,50,7.984096
-2839.0,50,8.014586
-1750.0,50,8.046147
-1827.0,50,8.07833
-2960.0,50,8.108716
-2839.0,50,8.145385
-2399.0,50,8.178242
-1750.0,50,8.209363
-1640.0,50,8.240156
-2300.0,50,8.27238
-2190.0,50,8.303108
-2740.0,50,8.334681
-1530.0,50,8.365027
-1761.0,50,8.3954
-2520.0,50,8.426369
-2399.0,50,8.456466
-2212.0,50,8.487985
-2619.0,50,8.518744
-2300.0,50,8.54952
-2520.0,50,8.582178
-1970.0,50,8.613747
-2190.0,50,8.644789
-2080.0,50,8.67714
-1739.0,50,8.708668
-2201.0,50,8.740441
-3169.0,50,8.776646
-2839.0,50,8.80921
-2410.0,50,8.842188
-2289.0,50,8.873231
-2960.0,50,8.905046
-2520.0,50,8.937765
-2850.0,50,8.970545
-2190.0,50,9.001512
-2410.0,50,9.031324
-2190.0,50,9.062672
-2399.0,50,9.094524
-1629.0,50,9.126413
