#{"t_start": 1762888599.5710638, "env_id": "None"}
r,l,t
-2.55,145,0.241361
-27.0,1000,4.5986
-6.6,360,6.169238
-5.34,234,7.449361
-14.6,860,10.58277
-18.1,1000,13.901524
-14.5,1000,16.916927
-14.6,1000,20.704837
-3.06,286,21.971318
-13.3,1000,25.691784
-8.75,645,28.310708
-14.2,1000,32.023132
-15.5,1000,35.759875
-2.22,202,36.998025
-14.7,1000,40.376213
-7.23,573,42.942297
-4.43,373,44.440514
-14.0,1000,48.420083
-13.8,1000,52.216493
-14.0,1000,56.048709
-5.91,481,58.182847
-5.23,473,60.27725
-13.1,1000,63.617306
-5.33,483,65.705541
-14.2,1000,69.415864
-9.24,744,72.179951
-4.91,401,74.150163
-4.61,431,75.835176
-14.3,1000,79.475806
-13.9,1000,83.223562
-3.92,332,85.10239
-13.4,1000,88.366173
-13.7,1000,92.04243
-13.7,1000,95.808432
-13.4,1000,99.791998
-13.7,1000,103.564728
-13.6,1000,107.37862
-12.7,1000,111.114795
-13.4,1000,114.813205
-12.9,1000,118.574281
-12.2,1000,122.335988
-12.1,1000,125.626698
-8.84,824,129.139852
-12.7,1000,132.977178
-12.4,1000,136.847945
-12.6,1000,140.276387
-12.5,1000,143.958307
-11.1,1000,147.521483
-11.1,1000,151.250784
-11.9,1000,154.741675
-10.7,1000,158.343506
-11.6,1000,162.079934
-11.0,1000,165.71992
-11.1,1000,169.370903
-10.8,1000,172.713929
-4.24,464,174.230352
-10.8,1000,177.942679
-4.68,528,180.164688
-11.3,1000,183.760461
-11.3,1000,187.532166
-12.6,1000,191.235974
-11.9,1000,194.9795
-10.9,1000,198.736587
-11.7,1000,202.575068
-11.2,1000,206.499448
-11.4,1000,210.244051
-11.1,1000,213.962056
-10.5,1000,217.250206
-10.8,1000,220.830563
-10.9,1000,224.431808
-11.4,1000,228.280426
-11.6,1000,231.993309
-11.7,1000,235.770691
-11.9,1000,239.409056
-11.6,1000,243.222882
-11.9,1000,247.020214
-11.5,1000,250.808826
-8.93,903,253.909205
-11.4,1000,257.590335
-11.5,1000,261.494044
-11.6,1000,265.711182
-11.6,1000,269.822778
-11.8,1000,273.740532
-12.0,1000,277.536919
-11.6,1000,281.024644
-10.7,1000,284.778327
-8.31,801,287.740606
-11.9,1000,291.638584
-12.2,1000,295.536249
-12.1,1000,18561.317568
-13.0,1000,18566.683689
-11.36,936,18570.519211
-12.3,1000,18574.479875
-12.3,1000,18578.536475
-12.1,1000,18581.977663
-12.1,1000,18586.152616
-7.9,790,18589.273457
-12.7,1000,18593.348831
-12.7,1000,18597.244676
-12.0,1000,18601.250783
-12.5,1000,18605.153638
-12.0,1000,18609.010574
-11.1,1000,18612.858364
-11.6,1000,18616.720074
-11.8,1000,18620.563395
-10.9,1000,18624.484332
-11.3,1000,18628.319617
-11.6,1000,18631.698947
-3.01,351,18633.560942
-11.9,1000,18637.412036
-8.36,816,18640.483338
-10.5,1000,18644.316467
-11.5,1000,18648.188253
-8.89,899,18652.143698
-11.4,1000,18656.462291
-11.3,1000,18660.533515
-11.7,1000,18664.757025
-11.6,1000,18668.623779
-11.7,1000,18672.511012
-11.0,1000,18676.263995
-11.7,1000,18680.428842
-12.0,1000,18683.806729
-10.9,1000,18687.704481
-11.1,1000,18691.570236
-12.0,1000,18695.423588
-11.5,1000,18699.522422
-7.18,718,18702.624307
-11.3,1000,18706.8439
-12.6,1000,18711.01423
-11.2,1000,18715.1549
-3.38,358,18716.792175
-12.0,1000,18720.719881
-11.5,1000,18724.702648
-12.0,1000,18728.818209
-6.55,665,18731.289796
-2.37,287,18732.524386
-11.9,1000,18735.875139
-11.5,1000,18739.068021
-10.8,1000,18742.511006
-12.3,1000,18746.407074
-12.0,1000,18750.375437
-12.8,1000,18754.384284
-12.5,1000,18758.46383
-13.3,1000,18762.383593
-11.4,1000,18766.387213
-11.2,1000,18770.235796
-12.3,1000,18773.644347
-11.4,1000,18777.515243
-11.2,1000,18781.217846
-11.6,1000,18785.004113
-8.73,763,18788.072094
-12.0,1000,18792.09038
-11.8,1000,18795.67977
-12.3,1000,18799.495954
-12.2,1000,18803.411171
-11.7,1000,18807.319162
-11.8,1000,18811.207603
-12.3,1000,18814.604096
-12.7,1000,18818.491012
-12.9,1000,18822.267392
-12.2,1000,18826.141364
-3.27,317,18827.543804
-8.69,739,18830.6615
-12.5,1000,18834.739737
-8.36,656,18837.658128
-11.59,969,18841.788187
-2.87,277,18843.281269
-9.17,847,18846.480636
-13.8,1000,18850.543202
-12.9,1000,18854.467218
-12.4,1000,18858.357411
-3.3,390,18860.120825
-12.8,1000,18864.193794
-12.8,1000,18868.223402
-12.1,1000,18872.337248
-12.9,1000,18876.475436
-12.2,1000,18880.42824
-12.4,1000,18884.104625
-13.1,1000,18887.562309
-12.9,1000,18891.212315
-12.0,1000,18895.159307
-12.5,1000,18899.127614
-1.53,203,18900.490717
-12.3,1000,18904.339488
-13.0,1000,18908.208394
-13.2,1000,18912.081478
-12.4,1000,18916.067874
-12.6,1000,18919.980336
-12.7,1000,18923.782898
-12.7,1000,18927.25342
-11.7,1000,18931.045511
-12.5,1000,18934.958254
-5.43,493,18937.097604
-11.9,1000,18941.040443
-8.5,790,18944.193915
-11.4,1000,18948.120042
-12.0,1000,18952.08582
-5.14,574,18954.420615
-12.2,1000,18958.425902
-12.4,1000,18962.236872
-11.3,1000,18966.162066
-12.0,1000,18970.046264
-9.31,921,18973.425103
-10.8,1000,18977.238296
-12.2,1000,18981.091271
-5.26,506,18983.287882
