#{"t_start": 1764222534.9987383, "env_id": "None"}
r,l,t
-4.5,200,0.526277
-4.2,200,1.054271
-5.4,200,1.579227
-5.4,200,2.103278
-3.7,200,2.607902
-3.3,200,9.789072
-4.1,200,10.268806
-3.2,200,10.756293
-4.8,200,11.247327
-2.9,200,11.726289
-5.2,200,18.701617
-4.5,200,19.180897
-4.0,200,19.671353
-4.4,200,20.150969
-5.0,200,20.629296
-3.8,200,27.820226
-4.8,200,28.301352
-4.5,200,28.780073
-3.77,187,29.224019
-5.1,200,29.686371
-3.9,200,37.136882
-3.2,200,37.623886
-3.2,200,38.106227
-3.4,200,38.589761
-4.0,200,39.066987
-3.6,200,46.424409
-3.4,200,46.892983
-4.4,200,47.3781
-4.1,200,47.861546
-3.9,200,48.341347
-5.2,200,55.751493
-3.6,200,56.235025
-4.0,200,56.701787
-4.7,200,57.171057
-3.7,200,57.64063
-4.7,200,64.768512
-5.2,200,65.253733
-4.2,200,65.738839
-5.3,200,66.230285
-4.1,200,66.714308
-3.9,200,67.210041
-3.2,200,74.88539
-1.49,129,75.200176
-1.91,171,75.619746
-3.8,200,76.101173
-4.4,200,76.590738
-4.2,200,84.053007
-3.9,200,84.518627
-4.2,200,84.994682
-3.8,200,85.468209
-4.4,200,85.954291
-3.0,200,93.10093
-5.2,200,93.594443
-3.9,200,94.085893
-4.6,200,94.575224
-4.3,200,95.066006
-5.3,200,102.199903
-3.7,200,102.690187
-1.39,179,103.132758
-3.6,200,103.625012
-3.3,200,104.120985
-3.6,200,104.609083
-5.5,200,111.81688
-3.3,200,112.297787
-3.4,200,112.787694
-0.82,112,113.06356
-3.8,200,113.56385
-3.2,200,120.703304
-0.07,57,120.855178
-3.5,200,121.354464
-0.25,75,121.543599
-2.8,200,122.040271
-3.4,200,122.540783
-5.8,200,123.044616
-3.3,200,130.618837
-3.3,200,131.113156
-3.5,200,131.596137
-4.0,200,132.086901
-3.4,200,132.574175
-2.7,200,139.721916
-3.3,200,140.217516
-3.6,200,140.713907
-4.5,200,141.217062
-3.7,200,141.688223
-3.7,200,148.862535
-3.5,200,149.343277
-2.5,200,149.824408
-3.7,200,150.303594
-3.0,200,150.790739
-3.3,200,158.03826
-2.6,200,158.526778
-3.3,200,159.016366
