#{"t_start": 1764403682.1557913, "env_id": "None"}
r,l,t
-19.24,874,1.933204
-14.5,800,8.393268
-12.82,682,12.369179
-2.34,124,12.633098
-21.7,1000,18.961278
-14.4,800,23.155213
-8.92,432,24.126106
-20.3,1000,30.74734
-21.4,1000,35.688493
-4.27,347,36.425267
-2.84,144,41.339907
-10.79,539,42.492182
-0.86,96,42.698967
-12.86,596,49.600661
-3.66,206,50.045733
-20.2,1000,56.619795
-7.89,399,57.472067
-15.9,680,63.315949
-17.56,966,68.375854
-0.53,103,68.600719
-6.18,498,69.770828
-6.42,412,76.042832
-10.4,540,77.19526
-19.8,1000,83.482536
-5.49,349,86.86665
-1.72,122,87.121799
-5.97,357,87.872319
-4.51,331,94.846405
-3.83,213,95.310643
-19.1,1000,101.409086
-10.44,664,102.901617
-12.89,839,108.840028
-10.16,566,112.761183
-6.74,434,113.686802
-7.25,445,119.150006
-1.04,144,119.453313
-4.95,395,120.328297
-8.96,486,127.776085
-12.56,776,129.466722
-15.45,895,135.783798
-16.4,1000,140.594919
-0.81,131,140.872176
-3.16,286,146.142444
-6.49,369,146.941605
-1.75,115,147.180077
-5.88,448,154.428779
-12.54,874,156.308931
-14.14,804,162.069442
-8.26,516,165.704037
-4.69,359,166.499748
-17.5,1000,172.530572
-15.03,993,177.250068
-10.57,867,181.760843
-15.8,1000,186.486983
-12.16,766,190.594505
-9.65,665,192.022961
-9.86,646,197.656452
-11.65,675,199.084136
-15.1,1000,205.427443
-14.7,1000,209.952898
-1.17,167,212.769656
-15.6,1000,217.617432
-0.6,90,217.806112
-14.4,1000,223.807532
-14.4,1000,228.572017
-14.9,1000,233.284963
-7.79,529,234.405648
-13.5,1000,240.9307
-16.6,1000,245.766289
-12.3,1000,250.520213
-13.1,1000,255.025714
-13.5,1000,259.587663
-7.42,612,263.502157
-3.09,319,264.223696
-12.3,1000,270.728415
-13.9,1000,275.544917
-7.25,595,276.786152
-6.34,554,282.27968
-7.38,608,286.336809
-5.71,461,287.306331
-12.8,1000,293.749892
-12.6,1000,298.568463
-12.8,1000,303.491136
-2.55,285,304.10452
-4.15,415,309.742556
-13.1,1000,314.450149
-3.03,293,315.100909
-13.5,1000,321.633666
-13.6,1000,326.247832
-9.7,890,330.715635
-12.6,1000,335.270236
-6.27,617,336.552943
-12.6,1000,343.247443
-12.4,1000,347.857878
-13.6,1000,352.73358
-12.7,1000,357.495087
-14.1,1000,362.148228
-11.3,1000,366.934278
-12.8,1000,371.361136
-12.7,1000,375.912851
-12.8,1000,380.46811
-3.29,309,381.117373
-12.1,1000,387.418731
-13.7,1000,391.710961
-12.5,1000,396.476551
-9.73,873,400.710016
-7.8,730,404.716038
-11.46,966,409.418929
-12.3,1000,414.129377
-14.2,1000,418.501829
-12.7,1000,423.255811
-9.87,877,427.90695
-5.21,491,428.948663
-2.28,288,429.569619
-10.03,793,436.893091
-4.52,442,440.414808
-12.2,1000,444.877662
-5.4,440,445.77289
-12.6,1000,452.064646
-13.0,1000,456.631226
-12.5,1000,461.283747
-12.8,1000,466.103415
-11.5,990,470.830148
-12.0,1000,475.54527
-12.1,1000,480.489796
-12.6,1000,485.603119
-12.5,1000,490.322451
-12.2,1000,495.220901
-6.61,681,496.669576
-12.6,1000,502.923819
-11.6,1000,507.516622
-11.6,1000,512.330728
-12.3,1000,517.198245
-0.92,152,517.51961
-12.2,1000,523.511358
-12.6,1000,528.171739
-12.3,1000,532.767714
-11.7,1000,537.379036
-11.5,1000,541.970282
-11.8,1000,546.478365
-11.5,1000,551.339914
-12.1,1000,556.008387
-12.1,1000,560.778319
-10.96,936,565.356996
-12.5,1000,570.002015
-10.51,991,574.735909
-6.69,629,578.627317
-11.0,1000,583.231042
-12.1,1000,587.880848
-11.6,1000,592.544934
-12.5,1000,597.316702
-11.6,1000,602.01169
-12.1,1000,606.458535
-12.9,1000,611.01352
-11.5,1000,615.613908
-11.9,1000,620.188342
-11.9,1000,622.28442
-11.3,1000,626.966698
-2.62,322,630.176139
-11.8,1000,634.992693
-11.9,1000,639.857055
-11.7,1000,644.621628
-6.58,678,646.058238
-11.7,1000,652.644857
-12.2,1000,657.35531
-11.4,1000,662.137257
-11.0,1000,666.908851
-11.0,1000,671.49493
-12.1,1000,676.157716
-11.3,1000,680.90864
-11.6,1000,685.680472
-11.4,1000,690.376691
-11.5,1000,694.932782
-11.9,1000,699.496209
-12.1,1000,704.245485
-11.8,1000,708.986058
-11.1,1000,713.774508
